environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20684
Free Parameters: {'V': 12367, 'W': 8012, 'T': 305}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
--------------------------------------------------------------------------------
0       0.00            0.23            1.00            47.07           
1       0.00            0.23            1.00            45.11           
2       0.00            0.48            1.50            44.87           
3       0.00            0.09            1.00            45.70           
4       0.00            0.32            2.50            45.22           
5       0.00            0.42            2.50            45.41           
6       0.00            0.67            2.50            44.97           
7       0.00            0.53            2.00            44.56           
8       0.00            0.76            2.00            44.36           
9       0.00            0.21            1.00            44.53           
10      0.00            0.61            2.50            44.17           
11      0.00            0.67            3.00            44.53           
12      0.00            0.15            1.50            44.51           
13      0.00            0.79            4.50            44.13           
14      0.00            0.89            3.50            44.07           
15      0.00            0.55            2.50            44.36           
16      0.00            0.88            2.50            44.07           
17      0.00            0.69            2.00            44.95           
18      0.00            0.54            2.00            45.90           
19      0.00            0.71            2.00            45.41           
20      0.00            0.21            1.50            44.97           
21      0.00            0.46            2.50            45.63           
22      0.00            0.41            1.50            45.05           
23      0.00            0.60            2.00            44.73           
24      0.00            0.75            3.00            44.40           
25      0.00            1.01            3.00            44.52           
26      0.00            1.19            3.00            44.46           
27      0.00            0.68            2.50            44.65           
28      0.00            1.01            3.00            44.40           
29      0.00            0.39            1.50            44.70           
30      0.00            0.38            2.00            44.62           
31      0.00            1.41            3.50            43.84           
32      0.00            1.09            2.50            44.38           
33      0.00            1.04            3.00            44.59           
34      0.00            1.29            3.50            44.27           
35      0.00            1.38            4.00            44.20           
36      0.00            0.59            2.00            44.59           
37      0.50            1.45            3.00            43.94           
38      0.00            0.83            3.00            44.51           
39      0.00            0.73            3.00            44.79           
40      0.00            1.56            3.50            44.09           
41      0.00            1.35            4.00            43.97           
42      0.00            1.25            3.00            44.26           
43      0.00            1.59            3.50            44.10           
44      0.00            1.36            3.50            44.18           
45      0.00            1.25            3.50            44.40           
46      0.00            1.53            3.50            43.97           
47      0.00            1.42            3.50            44.26           
48      0.00            1.80            3.50            44.06           
49      0.00            1.58            4.50            44.30           
50      0.00            1.85            3.50            43.81           
51      0.00            0.76            2.50            44.57           
52      0.00            1.50            3.00            44.07           
53      0.00            0.78            2.00            44.47           
54      0.00            0.74            2.00            44.82           
55      0.50            1.98            3.50            43.65           
56      0.00            0.98            3.00            44.27           
57      0.00            1.22            3.50            44.20           
58      0.00            0.54            2.00            45.03           
59      0.00            1.17            3.00            44.34           
60      0.00            0.57            2.50            44.74           
61      0.00            1.06            3.00            44.49           
62      0.00            0.98            3.00            44.79           
63      0.00            0.45            2.00            44.97           
64      0.00            1.20            3.00            44.28           
65      0.50            1.68            3.50            44.15           
66      0.00            1.00            3.00            44.62           
67      0.00            1.36            3.00            44.58           
68      0.00            1.24            4.50            44.63           
69      0.00            1.50            3.00            44.45           
70      0.00            1.21            3.00            44.48           
71      0.00            0.95            3.00            45.31           
72      0.00            1.59            4.00            44.67           
73      0.00            0.64            2.00            45.74           
74      0.00            1.12            3.00            44.67           
75      0.00            1.01            2.50            44.30           
76      0.00            1.39            4.00            44.41           
77      0.00            0.67            2.50            44.57           
78      0.00            1.88            3.50            44.10           
79      0.00            1.24            4.00            44.60           
80      0.00            1.70            3.50            44.27           
81      0.00            1.44            3.00            44.37           
82      0.00            1.04            3.00            44.87           
83      0.00            0.87            3.00            45.08           
84      0.00            0.96            2.00            44.43           
85      0.50            1.67            4.50            43.94           
86      0.00            1.21            3.50            44.62           
87      0.50            2.32            5.00            43.79           
88      0.00            1.05            2.50            44.64           
89      0.00            0.64            3.00            44.82           
90      0.00            1.25            3.00            44.94           
91      0.50            2.05            4.00            43.86           
92      0.00            1.25            2.50            44.59           
93      0.00            0.98            2.50            44.77           
94      0.50            2.09            4.00            44.03           
95      0.00            0.27            1.50            45.47           
96      0.00            1.81            3.50            44.53           
97      0.00            1.63            3.50            44.80           
98      0.00            0.76            2.00            45.51           
99      0.00            1.30            3.00            44.51           
100     0.00            2.18            4.00            43.98           
101     0.00            1.70            4.00            44.33           
102     0.00            1.06            3.00            44.91           
103     0.00            1.10            3.50            44.82           
104     0.00            1.43            3.00            44.59           
105     0.00            1.68            3.50            44.34           
106     0.00            1.15            3.00            44.34           
107     0.50            1.96            3.50            44.40           
108     0.00            1.10            3.00            44.35           
109     0.00            1.49            3.50            44.48           
110     0.00            0.49            2.00            44.79           
111     0.00            1.38            3.50            44.45           
112     0.00            1.87            4.00            44.16           
113     0.00            1.03            3.00            44.49           
114     0.00            1.00            2.50            44.95           
115     0.00            1.67            3.50            44.40           
116     0.00            1.12            3.00            44.82           
117     0.00            1.85            4.00            44.10           
118     0.00            1.42            4.00            44.85           
119     0.00            1.89            4.00            44.43           
120     0.00            2.04            4.00            44.06           
121     0.50            2.10            4.00            44.18           
122     0.00            2.21            4.50            43.96           
123     0.00            2.56            5.00            43.76           
124     0.50            2.07            4.00            43.94           
125     0.00            1.30            2.50            44.62           
126     0.00            0.98            2.50            44.70           
127     0.00            1.70            4.00            44.16           
128     0.00            0.88            3.00            44.75           
129     0.00            0.89            2.50            44.91           
130     0.50            2.64            4.50            43.63           
131     0.00            1.14            3.00            44.31           
132     1.00            3.61            5.50            42.70           
133     0.50            1.78            3.00            44.12           
134     0.00            3.39            5.50            43.17           
135     0.00            0.79            2.50            44.59           
136     1.00            2.38            5.00            43.57           
137     0.50            2.33            5.00            43.98           
138     0.00            1.87            4.00            44.12           
139     0.50            1.82            3.50            44.17           
140     0.00            1.77            4.00            44.19           
141     0.00            1.58            3.00            44.29           
142     0.00            2.53            4.50            43.58           
143     0.00            1.64            3.00            44.39           
144     0.00            1.92            4.50            44.52           
145     0.00            0.98            3.50            44.78           
146     0.00            1.50            4.00            44.82           
147     0.00            1.74            4.00            44.64           
148     0.50            1.87            3.50            44.24           
149     0.00            1.61            4.00            44.35           
150     0.50            2.20            4.00            43.89           
151     0.00            1.61            3.50            44.25           
152     0.00            1.45            3.50            44.31           
153     0.00            1.58            3.00            44.44           
154     0.00            1.46            3.00            44.80           
155     0.00            1.11            2.50            44.90           
