number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.5
	w_mask: random
	w_mask_density: 0.05
	t_mask: random
	t_mask_density: 0.3
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 2636
Free Parameters: {'V': 600, 'W': 1930, 'T': 106}
Inputs: 6
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1542.94      -607.67       644.68        -706.32       4.30          
1       -1288.67      -671.96       -217.04       -564.57       4.68          
2       -1065.63      -864.70       -619.64       -564.57       4.94          
3       -1978.61      -1053.19      643.93        -564.57       4.34          
4       -1911.76      -918.59       108.72        -564.57       4.86          
5       -1359.87      -781.38       -46.75        -564.57       4.34          
6       -1477.76      -722.47       758.73        -564.57       4.63          
7       -1435.64      -475.95       1457.68       -564.57       4.25          
8       -1562.82      -916.98       -224.38       -564.57       4.32          
9       -2316.98      -929.52       -229.73       -564.57       4.28          
10      -1642.68      -566.25       653.53        -564.57       4.40          
11      -2036.78      -1055.50      -553.82       -564.57       4.36          
12      -1410.50      -510.17       294.46        -564.57       4.37          
13      -717.76       -427.86       122.17        -564.57       4.38          
14      -1481.30      -612.78       330.13        -564.57       4.44          
15      -1571.05      -128.16       308.37        -564.57       4.31          
16      -1551.61      -626.89       -127.26       -564.57       4.35          
17      -1983.74      -827.13       21.80         -564.57       4.32          
18      -1467.79      -722.24       -50.95        -564.57       4.66          
19      -930.32       -643.39       -296.87       -564.57       4.39          
20      -2221.62      -772.05       121.64        -564.57       4.26          
21      -1559.12      -528.04       652.82        -564.57       4.36          
22      -1241.10      -623.77       89.02         -522.75       4.38          
23      -1759.38      -525.96       701.97        -522.75       4.36          
24      -1647.73      -835.39       -185.42       -522.75       4.63          
25      -2990.72      -672.38       278.83        -522.75       4.25          
26      -2131.48      -709.24       641.60        -522.75       4.42          
27      -1931.69      -500.66       585.06        -522.75       4.22          
28      -1896.18      -543.01       1240.43       -522.75       4.40          
29      -2608.30      -1420.96      600.39        -522.75       4.46          
30      -2401.87      -996.40       488.96        -522.75       4.40          
31      -1580.25      -931.06       -9.71         -522.75       4.27          
32      -1532.90      -724.35       149.10        -522.75       5.00          
33      -1220.75      -537.62       310.42        -522.75       4.44          
34      -1727.69      -494.88       678.46        -511.96       4.48          
35      -900.24       -398.90       1074.95       -511.96       4.37          
36      -2269.05      -628.75       267.59        -511.96       4.43          
37      -1870.62      -316.99       576.12        -511.96       4.40          
38      -1357.34      -124.14       724.36        -511.96       4.38          
39      -935.59       -468.84       159.09        -511.96       4.46          
40      -1449.57      -317.96       685.14        -511.96       4.31          
41      -1929.20      -867.53       63.97         -511.96       4.36          
42      -1708.18      -22.56        717.83        -511.96       4.63          
43      -1432.02      -498.05       601.68        -511.96       4.54          
44      -1287.30      -441.43       389.92        -511.96       4.73          
45      -2995.23      -1100.89      -410.34       -511.96       4.36          
46      -2006.21      -1103.65      401.81        -511.96       4.59          
47      -1471.67      -754.71       82.32         -511.96       4.79          
48      -1945.63      -799.31       1179.22       -511.96       4.44          
49      -1615.73      -300.79       1083.55       -511.96       4.42          
50      -1456.65      -739.88       306.91        -511.96       4.43          
51      -1113.22      -548.67       -234.74       -511.96       4.43          
52      -2009.73      -566.06       203.42        -511.96       4.44          
53      -1443.16      -830.37       42.57         -511.96       4.44          
54      -1341.55      -706.49       150.72        -511.96       4.44          
55      -1787.64      -1336.25      -413.02       -511.96       4.42          
56      -1997.17      -817.51       703.47        -505.30       4.42          
57      -2210.70      -834.14       -237.45       -505.30       4.82          
58      -1558.85      -478.62       638.15        -505.30       4.67          
59      -1572.28      -534.40       509.53        -505.30       4.70          
60      -1205.83      -599.64       -185.92       -505.30       4.78          
61      -1331.40      -389.84       1528.59       -505.30       4.44          
62      -1269.36      -451.81       554.98        -505.30       4.45          
63      -1811.97      -716.42       -122.59       -505.30       4.47          
64      -1764.47      -879.93       -385.66       -505.30       4.42          
65      -2070.86      -747.07       -122.28       -505.30       4.45          
66      -1269.02      -494.73       -10.80        -505.30       4.44          
67      -2094.78      -150.31       326.07        -505.30       4.46          
68      -1864.28      -1125.31      477.44        -505.30       4.42          
69      -1282.24      -410.94       141.86        -505.30       4.46          
70      -1432.14      -570.58       574.52        -505.30       4.78          
71      -1281.37      118.25        1041.93       -505.30       4.39          
72      -846.29       -202.27       240.92        -505.30       4.66          
73      -2124.69      -660.00       149.35        -505.30       4.86          
74      -3025.97      -770.56       913.47        -505.30       4.50          
75      -1470.87      -504.62       547.18        -505.30       4.40          
76      -1375.55      -751.54       -192.94       -465.34       4.41          
77      -2034.55      -837.36       452.00        -465.34       4.49          
78      -2140.22      -643.15       466.13        -465.34       4.76          
79      -1270.88      -578.07       -47.01        -465.34       4.71          
80      -2401.61      -1003.38      3.30          -465.34       5.00          
81      -2858.30      -1249.59      -227.15       -465.34       4.48          
82      -1988.88      -740.60       508.91        -465.34       4.92          
83      -1906.88      -177.08       1229.70       -465.34       4.53          
84      -2275.31      -677.19       25.07         -465.34       4.48          
85      -1011.70      -218.84       379.73        -465.34       4.50          
86      -1268.50      -664.43       592.11        -465.34       4.92          
87      -847.20       -547.78       116.67        -465.34       4.48          
88      -1503.58      -292.63       1114.23       -465.34       4.55          
89      -1691.52      -501.16       647.95        -430.44       4.71          
90      -1346.08      -643.09       -159.22       -430.44       4.42          
91      -2053.14      -719.06       -182.15       -430.44       4.45          
92      -1112.99      -687.60       -159.36       -430.44       5.10          
93      -2096.53      -620.80       569.96        -430.44       4.57          
94      -1795.18      -823.62       180.83        -403.61       4.58          
95      -1503.07      -534.46       -241.18       -403.61       4.48          
96      -926.83       -493.18       -96.91        -403.61       4.81          
97      -2881.54      -506.90       -205.18       -403.61       4.38          
98      -1712.70      -437.57       737.36        -403.61       4.51          
99      -2647.34      -556.35       -52.55        -403.61       4.47          
100     -3610.35      -731.72       197.08        -403.61       4.57          
101     -2126.80      -551.10       689.56        -403.61       4.84          
102     -2587.93      -598.91       297.34        -403.61       4.49          
103     -1412.42      -532.61       409.67        -403.61       5.49          
104     -3074.96      -521.84       723.16        -403.61       4.44          
105     -1207.32      -412.05       507.92        -403.61       4.70          
106     -1244.10      -460.12       201.31        -403.61       4.97          
107     -1521.36      -596.59       268.40        -403.61       4.35          
108     -1820.68      -538.03       630.54        -403.61       4.71          
109     -936.98       -240.43       623.11        -403.61       5.15          
110     -1159.98      -47.00        1061.03       -403.61       5.11          
111     -1244.96      -657.12       47.66         -403.61       4.70          
112     -691.23       -364.08       122.02        -403.61       4.36          
113     -878.81       -161.45       1237.13       -355.30       4.55          
114     -1618.97      15.84         1131.79       -355.30       4.62          
115     -1408.97      -528.26       505.62        -355.30       5.11          
116     -1625.51      -692.64       1073.66       -355.30       4.62          
117     -2212.33      -498.05       570.79        -355.30       4.52          
118     -1264.40      -657.28       -277.38       -355.30       4.53          
119     -1349.35      -345.07       250.24        -355.30       4.79          
120     -2276.67      -264.64       1256.54       -355.30       4.52          
121     -2068.72      -1113.90      27.28         -355.30       4.61          
122     -1981.12      -466.16       505.66        -355.30       5.07          
123     -1097.93      -456.55       104.50        -355.30       4.71          
124     -1904.05      -537.74       463.28        -355.30       5.13          
125     -2115.22      -507.46       687.64        -355.30       5.01          
126     -1444.40      -27.19        300.43        -355.30       4.64          
127     -1820.94      -456.24       141.91        -355.30       4.51          
128     -1475.67      -576.96       157.27        -355.30       4.94          
129     -1814.09      -725.06       1050.66       -355.30       4.45          
130     -2048.02      -950.86       19.32         -355.30       4.45          
131     -1470.86      -734.14       564.06        -355.30       4.45          
132     -1874.88      -3.41         428.49        -355.30       4.50          
133     -964.16       -495.19       553.81        -355.30       5.07          
134     -1942.58      -622.50       211.01        -355.30       4.50          
135     -1482.06      -870.36       575.78        -355.30       4.41          
136     -1924.45      -542.63       -345.42       -355.30       4.41          
137     -1318.11      -302.32       278.56        -355.30       4.47          
138     -2461.84      -870.39       205.96        -355.30       4.52          
139     -2792.47      -326.45       1029.28       -355.30       4.83          
140     -2763.03      -898.75       1011.41       -355.30       4.48          
141     -2700.72      -678.37       -151.28       -355.30       4.66          
142     -1494.49      -359.94       593.95        -355.30       4.47          
143     -2047.68      -783.76       694.03        -355.30       4.55          
144     -1903.86      -395.61       947.30        -355.30       4.51          
145     -2388.63      -665.46       16.66         -355.30       5.06          
146     -1536.22      -461.83       1148.05       -355.30       5.00          
147     -1167.47      46.35         618.44        -355.30       4.45          
