number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: Indirect-CTRNN
	number_dimensions: 2
	ffnn_config
		type: FeedForward
		use_bias: True
		hidden_layers: [128, 64, 64, 32, 8]
		neuron_activation: tanh
		neuron_activation_output: linear
	ctrnn_config
		type: CTRNN
		delta_t: 0.05
		number_neurons: 50
		v_mask: dense
		w_mask: dense
		t_mask: dense
		clipping_range_max: 1.0
		clipping_range_min: -1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 15909
Free Parameters: {'V': 300, 'CPPN': 15409, 'T': 100, 'Neuron Positions': 100}
Inputs: 6
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -270.00       -41.25        80.00         -138.00       30.34         
1       -260.00       21.79         190.00        25.00         30.20         
2       -310.00       5.89          175.00        25.00         30.73         
3       -150.00       -1.16         225.00        25.00         30.87         
4       -275.00       -90.36        -5.00         25.00         31.04         
5       -210.00       15.04         145.00        25.00         31.28         
6       -300.00       -40.67        75.00         25.00         31.40         
7       -180.00       -2.32         235.00        25.00         31.61         
8       -170.00       16.07         205.00        25.00         31.12         
9       -160.00       -17.72        135.00        25.00         31.05         
10      -470.00       -40.18        105.00        25.00         31.32         
11      -300.00       -47.28        95.00         25.00         31.50         
12      -255.00       -68.75        65.00         25.00         31.30         
13      -135.00       3.75          125.00        25.00         31.52         
14      -440.00       -18.66        90.00         25.00         31.30         
15      -95.00        19.51         150.00        25.00         31.64         
16      -385.00       -111.38       45.00         25.00         31.00         
17      -140.00       28.35         365.00        25.00         31.08         
18      -340.00       -39.24        125.00        25.00         31.07         
19      -370.00       -27.01        150.00        25.00         31.57         
20      -465.00       -89.64        40.00         25.00         31.30         
21      -330.00       -62.37        75.00         25.00         31.18         
22      -145.00       -1.21         170.00        25.00         31.32         
23      -185.00       6.96          220.00        25.00         31.77         
24      -290.00       11.74         145.00        25.00         31.42         
25      -385.00       -68.84        135.00        25.00         33.24         
26      -105.00       32.32         245.00        25.00         31.30         
27      -490.00       -112.14       65.00         25.00         31.22         
28      -490.00       -85.94        25.00         25.00         31.13         
29      -255.00       9.06          215.00        25.00         31.08         
30      -515.00       -66.07        120.00        25.00         31.87         
31      -470.00       -49.38        75.00         25.00         31.40         
32      -375.00       -61.92        80.00         25.00         31.36         
33      -280.00       10.89         235.00        25.00         31.33         
34      -240.00       -12.86        115.00        25.00         31.61         
35      -305.00       -28.75        90.00         25.00         31.33         
36      -570.00       -91.83        190.00        25.00         31.24         
37      -225.00       3.17          200.00        25.00         30.82         
38      -190.00       -6.70         140.00        25.00         31.01         
39      -220.00       26.25         330.00        25.00         31.17         
40      -205.00       -13.48        120.00        25.00         31.05         
41      -225.00       28.84         125.00        25.00         31.18         
42      -235.00       -35.31        200.00        25.00         30.96         
43      -190.00       19.96         175.00        25.00         31.64         
44      -195.00       0.36          165.00        25.00         31.37         
45      -355.00       -40.40        130.00        25.00         31.73         
46      -375.00       -92.90        110.00        25.00         31.65         
47      -215.00       -24.60        125.00        25.00         30.68         
48      -370.00       -91.61        40.00         25.00         31.17         
49      -380.00       -67.46        140.00        25.00         30.88         
50      -145.00       66.03         225.00        25.00         30.71         
51      -360.00       -67.41        170.00        25.00         30.99         
52      -310.00       -69.02        90.00         25.00         31.55         
53      -415.00       -11.12        165.00        25.00         30.72         
54      -570.00       -49.15        95.00         25.00         31.62         
55      -490.00       -76.88        25.00         25.00         31.33         
56      -235.00       -25.76        50.00         25.00         30.92         
57      -80.00        42.32         250.00        25.00         30.92         
58      -160.00       -24.60        50.00         25.00         31.10         
59      -315.00       -7.81         80.00         25.00         31.05         
60      -315.00       -34.55        105.00        25.00         31.60         
61      -250.00       -49.82        50.00         25.00         30.86         
62      -280.00       -15.00        120.00        25.00         31.10         
63      -335.00       -25.76        50.00         25.00         31.16         
64      -165.00       2.10          165.00        25.00         30.82         
65      -175.00       17.90         255.00        25.00         31.05         
66      -325.00       -68.88        30.00         25.00         31.58         
67      -260.00       -39.78        75.00         25.00         30.99         
68      -390.00       -39.73        105.00        25.00         31.21         
69      -140.00       -4.64         215.00        25.00         31.08         
70      -70.00        44.69         150.00        36.00         31.04         
71      -200.00       -21.83        130.00        36.00         30.70         
72      -155.00       -6.65         220.00        36.00         30.88         
73      -460.00       -43.04        235.00        36.00         31.02         
74      -215.00       -15.76        215.00        36.00         31.14         
75      -215.00       -45.58        80.00         36.00         31.54         
76      -405.00       20.40         155.00        36.00         30.93         
77      -365.00       -76.61        85.00         36.00         31.39         
78      -310.00       -48.30        70.00         36.00         31.69         
79      -215.00       -18.26        95.00         36.00         31.46         
80      -275.00       -4.78         130.00        36.00         31.71         
81      -285.00       -13.26        140.00        36.00         31.81         
82      -195.00       18.26         190.00        36.00         31.48         
83      -250.00       -20.40        100.00        36.00         31.59         
84      -430.00       -70.09        135.00        36.00         31.07         
85      -215.00       -31.47        160.00        36.00         30.68         
86      -375.00       -50.85        120.00        36.00         31.06         
87      -355.00       -51.96        95.00         36.00         31.15         
88      -135.00       1.56          215.00        36.00         31.33         
89      -510.00       -61.47        220.00        36.00         31.27         
90      -145.00       9.64          255.00        36.00         31.57         
91      -190.00       17.23         355.00        36.00         31.08         
92      -410.00       -22.72        125.00        36.00         31.31         
93      -315.00       -67.01        40.00         36.00         31.19         
94      -345.00       24.51         255.00        36.00         31.49         
95      -220.00       -23.79        120.00        36.00         31.49         
96      -180.00       24.55         240.00        36.00         31.86         
97      -395.00       -63.71        60.00         54.00         31.45         
98      -265.00       -3.17         230.00        54.00         31.53         
99      -305.00       -12.86        170.00        54.00         31.20         
100     -205.00       41.29         355.00        54.00         31.58         
101     -460.00       -62.77        140.00        54.00         31.42         
102     -205.00       5.04          145.00        54.00         31.10         
103     -365.00       -55.27        100.00        54.00         31.11         
104     -480.00       -132.05       65.00         54.00         31.43         
105     -375.00       -99.55        25.00         54.00         31.45         
106     -175.00       -19.73        195.00        54.00         31.31         
107     -285.00       -34.82        325.00        54.00         31.22         
108     -435.00       -75.27        110.00        54.00         31.19         
109     -320.00       -53.93        135.00        54.00         31.75         
110     -145.00       23.08         345.00        54.00         30.94         
111     -435.00       -80.13        90.00         54.00         31.29         
112     -400.00       -36.65        100.00        54.00         31.89         
113     -155.00       50.45         310.00        54.00         31.65         
114     -315.00       -25.09        190.00        54.00         31.51         
115     -230.00       -25.45        135.00        54.00         31.32         
116     -235.00       -16.56        115.00        54.00         31.31         
117     -490.00       -139.15       40.00         54.00         31.40         
118     -210.00       25.18         175.00        54.00         31.03         
119     -230.00       28.12         505.00        54.00         30.96         
120     -300.00       -40.13        150.00        54.00         31.56         
121     -375.00       -56.96        195.00        54.00         31.83         
122     -175.00       55.54         325.00        54.00         30.83         
123     -175.00       29.15         260.00        117.00        30.93         
124     -180.00       -4.60         185.00        117.00        31.24         
125     -295.00       -12.50        380.00        117.00        31.51         
126     -360.00       -63.53        125.00        117.00        31.63         
127     -225.00       36.70         320.00        117.00        30.97         
128     -260.00       27.77         275.00        117.00        31.39         
129     -445.00       -107.19       170.00        117.00        31.50         
130     -270.00       16.16         430.00        117.00        31.61         
131     -250.00       -22.50        130.00        117.00        31.47         
132     -290.00       50.54         305.00        117.00        31.15         
133     -305.00       -40.98        140.00        117.00        31.02         
134     -160.00       -11.56        275.00        117.00        31.23         
135     -565.00       -75.71        100.00        117.00        31.30         
136     -170.00       39.91         275.00        117.00        31.57         
137     -260.00       -16.43        200.00        117.00        31.22         
138     -510.00       -54.29        125.00        117.00        30.98         
139     -195.00       28.62         350.00        117.00        31.38         
140     -385.00       -81.74        65.00         117.00        31.00         
141     -605.00       -61.43        230.00        117.00        31.30         
142     -420.00       -66.96        55.00         117.00        30.87         
143     -200.00       10.27         270.00        117.00        31.17         
144     -300.00       8.39          320.00        117.00        31.70         
145     -305.00       -13.79        255.00        117.00        31.25         
146     -170.00       6.70          225.00        117.00        31.28         
147     -335.00       -116.96       105.00        117.00        31.40         
148     -285.00       -61.12        90.00         117.00        31.15         
149     -360.00       -18.12        130.00        117.00        31.40         
150     -345.00       -37.77        130.00        117.00        31.64         
151     -305.00       -16.16        215.00        117.00        31.67         
152     -280.00       -51.52        195.00        117.00        31.77         
153     -225.00       9.87          240.00        117.00        31.34         
154     -85.00        62.90         405.00        117.00        31.34         
155     -115.00       21.16         245.00        117.00        31.60         
156     -225.00       -10.00        210.00        117.00        31.21         
157     -270.00       -60.62        85.00         117.00        32.73         
158     -400.00       -117.46       50.00         117.00        31.80         
159     -130.00       29.55         390.00        117.00        31.67         
160     -205.00       -16.12        205.00        117.00        31.60         
161     -420.00       -60.40        95.00         117.00        31.60         
162     -395.00       -78.84        75.00         117.00        31.07         
163     -340.00       12.72         255.00        117.00        32.17         
164     -305.00       -12.99        180.00        117.00        31.49         
165     -190.00       31.52         205.00        117.00        31.49         
166     -205.00       -11.07        210.00        117.00        31.68         
167     -140.00       11.74         370.00        117.00        31.38         
168     -395.00       -57.28        160.00        117.00        32.91         
169     -185.00       -13.08        165.00        117.00        31.54         
170     -375.00       -71.16        135.00        117.00        31.55         
171     -205.00       -8.08         145.00        117.00        31.73         
172     -270.00       -60.09        105.00        117.00        31.40         
173     -300.00       -52.14        150.00        117.00        32.41         
174     -90.00        28.12         220.00        117.00        31.93         
175     -175.00       26.34         205.00        117.00        32.08         
176     -325.00       -67.90        165.00        117.00        31.89         
177     -315.00       22.95         300.00        117.00        31.67         
178     -440.00       -77.41        80.00         117.00        31.54         
179     -575.00       -121.25       75.00         117.00        30.98         
180     -255.00       -22.14        245.00        117.00        31.56         
181     -310.00       -1.70         190.00        117.00        31.22         
182     -360.00       -42.50        100.00        117.00        31.53         
183     -255.00       -28.79        140.00        117.00        31.86         
184     -390.00       -44.51        115.00        117.00        31.83         
185     -425.00       -98.35        80.00         117.00        32.23         
