number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 100
	differential_equation: original
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 10800
Free Parameters: {'V': 600, 'W': 10000, 'T': 200}
Inputs: 6
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -265.00       -71.38        180.00        -76.00        11.09         
1       -190.00       13.17         170.00        -2.00         11.93         
2       -185.00       -1.25         140.00        -2.00         11.69         
3       -175.00       -7.99         140.00        16.00         11.61         
4       -155.00       -15.67        145.00        18.00         11.17         
5       -115.00       -0.76         220.00        29.00         11.87         
6       -215.00       -58.35        100.00        29.00         11.51         
7       -255.00       -87.41        65.00         29.00         11.23         
8       -240.00       -9.20         190.00        29.00         11.92         
9       -155.00       -13.17        175.00        29.00         11.31         
10      -290.00       -49.87        75.00         29.00         11.58         
11      -115.00       2.68          125.00        29.00         12.38         
12      -195.00       14.91         230.00        29.00         11.36         
13      -115.00       8.12          125.00        29.00         11.31         
14      -260.00       -47.59        80.00         29.00         11.27         
15      -185.00       2.50          180.00        29.00         11.55         
16      -205.00       -2.28         75.00         29.00         11.31         
17      -125.00       23.48         175.00        29.00         11.23         
18      -140.00       -3.17         190.00        29.00         11.10         
19      -140.00       -11.83        125.00        29.00         11.00         
20      -265.00       -78.12        30.00         29.00         11.10         
21      -185.00       -28.71        100.00        29.00         11.29         
22      -160.00       -12.41        125.00        29.00         11.17         
23      -160.00       -32.50        75.00         29.00         11.11         
24      -230.00       -23.62        150.00        29.00         11.14         
25      -315.00       -36.56        90.00         29.00         11.34         
26      -290.00       -41.47        125.00        29.00         11.20         
27      -245.00       -74.73        75.00         29.00         11.22         
28      -170.00       27.95         190.00        29.00         11.24         
29      -150.00       -0.76         115.00        29.00         11.24         
30      -150.00       13.93         130.00        29.00         11.25         
31      -160.00       -26.96        100.00        29.00         11.32         
32      -195.00       0.80          165.00        58.00         11.28         
33      -90.00        23.93         155.00        63.00         11.25         
34      -150.00       18.66         250.00        63.00         11.30         
35      -160.00       6.74          140.00        63.00         11.30         
36      -125.00       15.89         125.00        63.00         11.25         
37      -185.00       4.73          140.00        63.00         11.31         
38      -120.00       13.48         175.00        63.00         11.32         
39      -210.00       0.00          215.00        63.00         11.28         
40      -105.00       35.45         250.00        63.00         11.26         
41      -175.00       -5.13         125.00        63.00         11.19         
42      -125.00       17.95         165.00        63.00         11.24         
43      -240.00       -46.47        75.00         63.00         11.53         
44      -115.00       36.92         165.00        63.00         11.42         
45      -220.00       1.79          125.00        69.00         11.33         
46      -280.00       -44.11        90.00         69.00         11.41         
47      -125.00       26.70         175.00        69.00         11.39         
48      -140.00       -25.85        100.00        69.00         11.37         
49      -175.00       -21.21        90.00         69.00         11.43         
50      -160.00       -15.89        125.00        69.00         11.23         
51      -115.00       15.80         150.00        69.00         11.27         
52      -185.00       22.46         175.00        69.00         11.23         
53      -185.00       -38.35        90.00         69.00         11.23         
54      -150.00       -23.04        115.00        69.00         11.25         
55      -115.00       1.38          150.00        69.00         11.60         
56      -115.00       66.52         200.00        69.00         11.14         
57      -160.00       -11.56        150.00        69.00         11.18         
58      -245.00       -53.53        50.00         69.00         11.50         
59      -150.00       -13.97        140.00        69.00         12.25         
60      -220.00       -35.67        125.00        69.00         11.96         
61      -210.00       -7.68         120.00        69.00         11.48         
62      -230.00       12.32         150.00        69.00         11.39         
63      -150.00       8.35          125.00        69.00         11.36         
64      -135.00       -3.79         115.00        69.00         11.39         
65      -125.00       23.04         155.00        69.00         11.35         
66      -125.00       4.11          145.00        69.00         11.39         
67      -160.00       8.26          125.00        69.00         11.36         
68      -170.00       78.57         315.00        69.00         11.38         
69      -195.00       -35.36        90.00         69.00         11.35         
70      -150.00       -10.71        190.00        69.00         11.53         
71      -140.00       21.21         125.00        69.00         11.43         
72      -230.00       -14.38        100.00        69.00         11.36         
73      -210.00       37.99         165.00        69.00         11.38         
74      -185.00       -46.43        155.00        69.00         11.39         
75      -140.00       7.81          150.00        69.00         11.54         
76      -140.00       -11.88        165.00        69.00         11.40         
77      -185.00       20.85         150.00        69.00         11.39         
78      -265.00       -11.88        100.00        69.00         11.32         
79      -100.00       18.30         130.00        69.00         11.30         
80      -105.00       24.96         150.00        69.00         11.38         
81      -55.00        23.12         100.00        69.00         11.39         
82      -115.00       41.47         200.00        69.00         11.37         
83      -160.00       -24.29        90.00         69.00         11.33         
84      -210.00       -47.99        150.00        69.00         11.34         
85      -115.00       5.36          190.00        69.00         11.69         
86      -45.00        52.10         215.00        69.00         11.38         
87      -60.00        87.19         250.00        69.00         11.37         
88      -160.00       -16.79        115.00        69.00         11.35         
89      -240.00       -45.89        80.00         69.00         11.44         
90      -105.00       22.95         175.00        69.00         11.13         
91      -220.00       -20.49        140.00        69.00         11.29         
92      -170.00       -11.92        130.00        69.00         11.30         
93      -225.00       -82.99        120.00        69.00         11.21         
94      -115.00       43.04         250.00        69.00         11.21         
95      -220.00       38.26         280.00        74.00         11.24         
96      -175.00       -35.80        100.00        74.00         11.22         
97      -115.00       37.68         150.00        74.00         11.20         
98      -105.00       20.85         175.00        74.00         11.22         
99      -140.00       0.27          115.00        74.00         11.35         
100     -55.00        47.68         165.00        74.00         11.36         
101     -150.00       -0.98         140.00        74.00         11.37         
102     -230.00       -29.87        145.00        74.00         11.49         
103     -115.00       24.29         180.00        74.00         11.33         
104     -160.00       1.38          150.00        74.00         11.32         
105     -90.00        62.10         200.00        74.00         11.33         
106     -150.00       16.21         145.00        74.00         11.33         
107     -205.00       2.41          150.00        74.00         11.53         
108     -45.00        94.46         315.00        74.00         11.31         
109     -230.00       -53.88        95.00         74.00         11.27         
110     -140.00       90.27         275.00        74.00         11.24         
111     -140.00       -4.33         75.00         74.00         11.28         
112     -80.00        67.50         250.00        74.00         11.31         
113     -140.00       -24.33        105.00        74.00         11.28         
114     -140.00       9.64          115.00        74.00         11.25         
115     -140.00       -26.79        75.00         74.00         11.27         
116     -150.00       13.79         140.00        80.00         11.15         
117     -125.00       -34.02        95.00         80.00         11.30         
118     -115.00       18.04         150.00        80.00         11.27         
119     -185.00       -6.38         195.00        80.00         11.19         
120     -245.00       -38.04        130.00        80.00         11.30         
121     -135.00       44.82         175.00        80.00         11.34         
122     -170.00       8.04          150.00        80.00         11.40         
123     -55.00        28.04         150.00        80.00         11.39         
124     -70.00        38.53         175.00        80.00         11.30         
125     -75.00        49.78         175.00        80.00         11.42         
126     -170.00       22.68         200.00        80.00         11.31         
127     -115.00       22.28         155.00        80.00         11.81         
128     -125.00       0.71          115.00        80.00         11.39         
129     -175.00       -6.38         140.00        80.00         11.39         
130     -90.00        49.96         275.00        80.00         11.32         
131     -150.00       2.10          175.00        86.00         11.32         
132     -245.00       -58.84        75.00         86.00         11.37         
133     -80.00        47.81         175.00        86.00         11.53         
134     -140.00       59.60         240.00        86.00         11.98         
135     -90.00        -1.70         125.00        86.00         11.35         
136     -210.00       3.62          205.00        86.00         11.36         
137     -35.00        70.94         200.00        87.00         11.34         
138     -20.00        90.89         250.00        87.00         11.36         
139     -105.00       -1.29         100.00        87.00         11.42         
140     -10.00        64.15         155.00        87.00         11.42         
141     -185.00       -26.43        165.00        87.00         11.43         
142     -175.00       -1.29         150.00        87.00         11.47         
143     -90.00        78.88         245.00        87.00         11.45         
144     -120.00       8.97          190.00        87.00         11.43         
145     -80.00        45.00         175.00        87.00         11.48         
146     -105.00       34.29         240.00        97.00         11.46         
147     -30.00        116.47        265.00        97.00         11.47         
148     -80.00        58.71         180.00        97.00         11.52         
149     -65.00        94.15         320.00        165.00        11.54         
150     -55.00        58.26         180.00        165.00        11.51         
151     -75.00        50.80         205.00        165.00        11.45         
152     -90.00        66.74         250.00        165.00        11.51         
153     -105.00       58.04         190.00        165.00        11.51         
154     -50.00        86.92         265.00        165.00        11.50         
155     -160.00       90.40         265.00        165.00        11.50         
156     -70.00        32.99         175.00        165.00        11.37         
157     -35.00        51.56         150.00        165.00        11.41         
158     -115.00       43.12         240.00        165.00        11.55         
159     -80.00        40.76         200.00        165.00        11.91         
160     -80.00        24.02         190.00        165.00        11.52         
161     -185.00       15.62         265.00        165.00        11.54         
162     -110.00       56.56         340.00        178.00        11.51         
163     -125.00       31.47         190.00        178.00        11.59         
164     -155.00       16.96         180.00        178.00        11.53         
165     -135.00       55.71         295.00        178.00        11.52         
166     -40.00        107.14        300.00        178.00        11.53         
167     -135.00       41.29         240.00        178.00        11.52         
168     -135.00       13.57         165.00        178.00        11.52         
169     -180.00       -1.65         175.00        178.00        11.55         
170     -100.00       51.74         215.00        178.00        11.57         
171     15.00         127.32        300.00        178.00        11.56         
172     -20.00        97.81         300.00        178.00        11.58         
173     -20.00        82.72         240.00        178.00        11.52         
174     -75.00        129.33        375.00        178.00        11.63         
175     -245.00       -17.54        165.00        178.00        11.56         
176     -125.00       15.94         150.00        178.00        11.62         
177     -100.00       94.51         265.00        178.00        11.55         
178     -115.00       83.17         305.00        178.00        11.58         
179     -30.00        73.48         250.00        178.00        11.45         
180     -90.00        6.52          125.00        178.00        11.60         
181     -210.00       -38.97        190.00        178.00        11.86         
182     -30.00        55.04         150.00        178.00        12.22         
183     -150.00       62.68         255.00        178.00        11.60         
184     -80.00        45.00         180.00        178.00        11.97         
185     -105.00       67.46         365.00        178.00        11.61         
186     -195.00       -64.24        95.00         178.00        11.60         
187     -140.00       -4.73         150.00        178.00        11.65         
188     -100.00       87.10         335.00        178.00        11.63         
189     -65.00        94.55         265.00        178.00        11.76         
190     -175.00       73.30         230.00        178.00        11.69         
191     -105.00       44.51         280.00        178.00        11.65         
192     -55.00        50.58         175.00        178.00        11.67         
193     -80.00        35.49         205.00        178.00        11.79         
194     -115.00       31.65         200.00        178.00        11.83         
195     -15.00        117.99        325.00        178.00        11.77         
196     -55.00        82.90         265.00        178.00        11.80         
197     -65.00        73.71         265.00        178.00        11.82         
198     -90.00        128.04        305.00        178.00        11.90         
199     -80.00        79.06         315.00        178.00        11.84         
200     -45.00        126.29        280.00        178.00        11.77         
201     -160.00       27.63         210.00        178.00        11.76         
202     -80.00        53.53         280.00        178.00        11.81         
203     -160.00       65.04         240.00        178.00        11.83         
204     -135.00       125.80        315.00        178.00        11.85         
205     -80.00        52.28         250.00        178.00        11.75         
206     -90.00        53.93         215.00        178.00        11.79         
207     -160.00       24.82         195.00        178.00        11.68         
208     -45.00        92.01         280.00        178.00        11.71         
209     -90.00        77.54         390.00        178.00        11.69         
210     0.00          135.36        300.00        178.00        11.69         
211     -105.00       -1.65         100.00        178.00        11.70         
212     -65.00        131.96        305.00        178.00        11.67         
213     -210.00       -63.44        60.00         178.00        11.85         
214     -100.00       71.70         340.00        178.00        11.75         
215     -80.00        90.36         265.00        178.00        11.71         
216     -125.00       22.72         165.00        178.00        11.70         
217     -125.00       -2.14         160.00        178.00        11.60         
218     -80.00        90.45         250.00        178.00        11.70         
219     -90.00        67.90         275.00        178.00        11.71         
220     -90.00        25.40         205.00        178.00        11.76         
221     -80.00        31.47         165.00        178.00        11.88         
222     -185.00       98.04         275.00        178.00        11.68         
223     -150.00       -10.89        130.00        178.00        11.70         
224     -55.00        88.12         240.00        178.00        11.71         
225     5.00          124.42        275.00        178.00        11.64         
226     -55.00        99.78         355.00        178.00        11.70         
227     -100.00       13.84         180.00        178.00        11.72         
228     15.00         157.46        290.00        178.00        11.73         
229     -45.00        132.14        350.00        178.00        11.75         
230     -20.00        116.07        290.00        178.00        12.12         
231     -45.00        157.14        325.00        178.00        11.78         
232     -105.00       62.72         225.00        178.00        11.85         
233     -85.00        65.18         265.00        178.00        11.84         
234     -90.00        45.62         220.00        178.00        12.11         
235     -20.00        105.04        225.00        178.00        11.69         
236     -90.00        47.63         190.00        178.00        11.69         
237     -70.00        37.68         230.00        178.00        11.71         
238     -65.00        104.46        300.00        178.00        11.65         
239     -20.00        67.10         200.00        178.00        11.69         
240     -100.00       28.93         215.00        178.00        11.69         
241     -55.00        70.89         225.00        178.00        11.68         
242     -90.00        55.98         175.00        178.00        11.68         
243     -55.00        111.21        265.00        178.00        11.75         
244     -15.00        139.06        290.00        178.00        11.72         
245     -160.00       -48.48        195.00        178.00        11.71         
246     40.00         166.56        350.00        178.00        11.69         
247     -105.00       61.43         200.00        178.00        11.69         
248     -85.00        70.71         230.00        178.00        11.67         
249     15.00         112.01        250.00        178.00        11.69         
250     -55.00        71.16         215.00        178.00        11.84         
251     -55.00        50.31         215.00        178.00        11.71         
252     -10.00        85.71         240.00        178.00        11.68         
253     -75.00        77.46         215.00        178.00        11.73         
254     -115.00       65.09         205.00        178.00        11.90         
255     -35.00        37.50         150.00        178.00        11.70         
256     -55.00        93.21         200.00        178.00        11.72         
257     -105.00       13.75         155.00        178.00        11.71         
258     -10.00        183.88        350.00        178.00        11.74         
259     -80.00        3.57          105.00        178.00        11.72         
260     -40.00        115.31        300.00        178.00        12.01         
261     -115.00       51.43         240.00        178.00        11.79         
262     -180.00       -22.77        230.00        178.00        11.81         
263     -70.00        51.61         175.00        178.00        11.66         
264     -5.00         174.78        375.00        178.00        11.79         
265     -20.00        113.30        275.00        178.00        11.77         
266     -105.00       78.04         230.00        178.00        11.70         
267     -45.00        102.46        300.00        178.00        11.79         
268     -195.00       4.51          170.00        178.00        11.75         
269     -80.00        75.22         230.00        178.00        11.80         
270     -45.00        78.79         215.00        178.00        11.79         
271     -80.00        23.57         125.00        178.00        11.78         
272     -105.00       35.58         230.00        178.00        11.82         
273     -55.00        72.14         280.00        178.00        11.78         
274     -35.00        109.42        330.00        178.00        11.76         
275     -160.00       19.38         190.00        178.00        11.77         
276     -80.00        48.48         230.00        178.00        11.80         
277     -35.00        107.28        290.00        178.00        11.78         
278     -20.00        104.73        365.00        178.00        11.76         
279     5.00          110.85        230.00        178.00        11.76         
280     -80.00        53.08         180.00        178.00        11.83         
281     -65.00        46.92         155.00        178.00        11.71         
282     -90.00        61.92         175.00        178.00        11.71         
283     -100.00       91.03         365.00        178.00        11.73         
284     -45.00        63.66         215.00        178.00        11.67         
285     -150.00       33.44         175.00        178.00        11.67         
286     15.00         180.09        450.00        178.00        11.66         
287     -35.00        76.96         200.00        178.00        11.72         
288     -90.00        51.56         220.00        178.00        11.73         
289     -70.00        23.12         140.00        178.00        11.74         
290     5.00          119.42        290.00        178.00        11.74         
291     -90.00        55.45         190.00        178.00        11.71         
292     -150.00       75.67         275.00        178.00        11.72         
293     -90.00        55.40         230.00        178.00        11.73         
294     -150.00       98.26         345.00        178.00        11.72         
295     -45.00        96.83         275.00        178.00        11.72         
296     -80.00        88.66         265.00        178.00        11.83         
297     -135.00       -10.45        105.00        178.00        11.73         
298     5.00          103.39        200.00        178.00        11.74         
299     -55.00        92.23         240.00        178.00        11.81         
300     -80.00        8.71          175.00        178.00        11.70         
301     -70.00        67.14         240.00        178.00        11.74         
302     15.00         157.59        325.00        178.00        11.73         
303     -10.00        114.73        275.00        178.00        11.65         
304     -210.00       44.69         200.00        178.00        11.66         
305     -5.00         103.93        225.00        178.00        11.71         
306     -45.00        59.64         250.00        178.00        11.71         
307     -150.00       20.18         185.00        178.00        11.59         
308     -30.00        151.56        440.00        178.00        11.60         
309     -35.00        56.92         275.00        178.00        11.61         
310     -55.00        128.53        340.00        178.00        11.63         
311     -20.00        130.89        290.00        178.00        11.65         
312     -115.00       96.29         315.00        178.00        11.60         
313     -65.00        111.03        250.00        178.00        11.53         
314     -55.00        24.33         100.00        178.00        11.69         
315     -115.00       66.52         225.00        178.00        11.75         
316     -35.00        127.59        345.00        178.00        11.64         
317     -45.00        100.40        315.00        178.00        11.58         
318     0.00          99.46         300.00        178.00        11.60         
319     -35.00        74.91         225.00        178.00        11.60         
320     -80.00        111.52        315.00        178.00        11.56         
321     -125.00       92.50         265.00        178.00        11.58         
322     -170.00       71.25         215.00        178.00        11.60         
323     5.00          181.70        350.00        178.00        11.98         
324     -30.00        118.66        300.00        178.00        11.67         
325     -45.00        69.73         240.00        178.00        11.74         
326     -115.00       -14.29        145.00        178.00        11.61         
327     5.00          114.33        250.00        178.00        11.72         
328     -70.00        134.38        405.00        178.00        11.75         
329     5.00          109.91        300.00        178.00        11.72         
330     -45.00        47.77         140.00        178.00        11.76         
331     -150.00       26.03         205.00        178.00        11.72         
332     -30.00        93.48         330.00        178.00        11.70         
333     15.00         121.16        315.00        178.00        11.73         
334     -55.00        40.22         245.00        178.00        11.70         
335     65.00         234.82        480.00        178.00        11.66         
336     -65.00        101.12        290.00        178.00        11.72         
337     -55.00        99.29         275.00        178.00        11.75         
338     -70.00        82.05         305.00        178.00        12.36         
339     -5.00         145.49        340.00        178.00        11.75         
340     -20.00        126.12        275.00        178.00        11.80         
341     40.00         142.63        275.00        178.00        11.76         
342     -70.00        73.71         240.00        178.00        11.86         
343     -80.00        91.56         315.00        178.00        11.75         
344     -55.00        86.25         275.00        178.00        11.75         
345     -20.00        94.69         225.00        178.00        11.71         
346     -55.00        132.46        305.00        178.00        11.70         
347     -45.00        82.10         270.00        178.00        11.72         
348     -10.00        95.89         280.00        178.00        11.71         
349     -45.00        33.04         140.00        178.00        11.65         
350     -80.00        134.64        290.00        178.00        11.72         
351     -15.00        163.84        350.00        178.00        11.93         
352     -10.00        147.95        350.00        178.00        11.80         
353     -75.00        110.18        275.00        178.00        11.80         
354     -10.00        158.39        365.00        178.00        11.92         
355     30.00         155.04        350.00        178.00        11.60         
356     -25.00        129.73        275.00        178.00        11.58         
357     -40.00        97.23         365.00        178.00        11.60         
358     -65.00        71.47         240.00        178.00        11.64         
359     -125.00       8.44          190.00        178.00        11.61         
360     -125.00       72.72         320.00        178.00        11.59         
361     -120.00       41.96         185.00        178.00        11.63         
362     -35.00        69.64         250.00        178.00        11.58         
363     -45.00        58.88         250.00        178.00        11.61         
364     -80.00        88.35         300.00        178.00        11.58         
365     -70.00        102.50        255.00        178.00        11.60         
366     -90.00        34.91         215.00        178.00        11.60         
367     -70.00        50.94         175.00        178.00        11.52         
368     -20.00        129.73        275.00        178.00        11.60         
369     -160.00       72.10         285.00        178.00        11.59         
370     -80.00        41.96         175.00        178.00        11.63         
371     -175.00       -45.85        80.00         178.00        11.55         
372     -45.00        56.12         165.00        178.00        11.67         
373     15.00         209.51        365.00        178.00        11.65         
374     -70.00        39.06         305.00        178.00        11.61         
375     -45.00        32.05         100.00        178.00        11.90         
376     -135.00       7.86          165.00        178.00        11.80         
377     -55.00        63.79         205.00        178.00        11.69         
378     -30.00        102.46        225.00        178.00        11.81         
379     -20.00        127.01        380.00        178.00        11.79         
380     -45.00        137.19        340.00        178.00        11.76         
381     -10.00        80.13         200.00        178.00        11.79         
382     -65.00        71.96         315.00        178.00        11.81         
383     -30.00        107.72        265.00        178.00        11.78         
384     -20.00        106.79        265.00        178.00        11.69         
385     -55.00        101.88        365.00        178.00        11.92         
386     -155.00       38.75         295.00        178.00        11.80         
387     -80.00        19.06         115.00        178.00        11.74         
388     -65.00        100.45        280.00        178.00        11.73         
389     -150.00       19.64         230.00        178.00        11.80         
390     -20.00        225.62        600.00        178.00        11.84         
391     -45.00        158.17        375.00        178.00        11.72         
392     -40.00        112.37        350.00        178.00        11.81         
393     -45.00        47.28         175.00        178.00        11.85         
394     5.00          111.16        250.00        178.00        11.65         
395     -35.00        91.61         250.00        178.00        11.73         
396     -85.00        95.85         240.00        178.00        11.71         
397     -55.00        69.96         190.00        178.00        11.75         
398     -115.00       83.21         305.00        178.00        11.76         
399     -45.00        95.22         250.00        178.00        11.74         
400     -20.00        121.56        280.00        178.00        11.76         
401     -140.00       27.86         250.00        178.00        11.74         
402     -55.00        87.86         325.00        178.00        11.82         
403     -55.00        92.10         215.00        178.00        11.75         
404     -150.00       -13.66        130.00        178.00        11.74         
405     -80.00        42.86         225.00        178.00        11.73         
406     -105.00       35.54         205.00        178.00        11.73         
407     -140.00       -26.34        105.00        178.00        11.70         
408     -30.00        135.27        365.00        178.00        11.67         
409     -80.00        65.27         220.00        178.00        11.73         
410     -45.00        73.62         225.00        178.00        11.71         
411     0.00          147.72        345.00        178.00        12.08         
412     -80.00        104.82        300.00        178.00        11.80         
413     -50.00        132.10        370.00        178.00        11.65         
414     -55.00        83.26         225.00        178.00        11.86         
415     -90.00        74.46         250.00        178.00        11.71         
416     -115.00       56.07         225.00        178.00        11.69         
417     -75.00        77.23         265.00        178.00        11.69         
418     -55.00        60.09         215.00        178.00        11.71         
419     -150.00       95.09         265.00        178.00        11.96         
420     -55.00        73.12         230.00        178.00        11.71         
421     -195.00       36.52         190.00        178.00        11.73         
422     -35.00        104.46        325.00        178.00        11.72         
423     -50.00        108.71        240.00        178.00        11.65         
424     -35.00        105.27        300.00        178.00        11.83         
425     -110.00       46.12         220.00        178.00        11.67         
426     -55.00        72.68         250.00        178.00        11.67         
427     -45.00        81.52         200.00        178.00        11.66         
428     -40.00        57.50         230.00        178.00        11.70         
429     -125.00       49.06         225.00        178.00        11.69         
430     -105.00       29.20         140.00        178.00        11.69         
431     -10.00        108.93        215.00        178.00        11.67         
432     -80.00        1.16          115.00        178.00        11.83         
433     -35.00        32.46         150.00        178.00        11.87         
434     -65.00        89.55         280.00        178.00        11.72         
435     -70.00        66.47         200.00        178.00        11.72         
436     -10.00        109.73        275.00        178.00        11.67         
437     -170.00       63.48         265.00        178.00        11.74         
438     -5.00         155.67        340.00        178.00        11.72         
439     -150.00       105.49        295.00        178.00        11.68         
440     -45.00        32.10         140.00        178.00        11.74         
441     -80.00        77.77         215.00        178.00        11.77         
442     -85.00        183.84        480.00        178.00        11.88         
443     0.00          102.41        240.00        178.00        11.75         
444     -20.00        111.38        290.00        178.00        11.73         
445     55.00         169.64        330.00        178.00        11.76         
446     -90.00        48.75         215.00        178.00        11.67         
447     -65.00        159.11        340.00        178.00        11.70         
448     -10.00        120.31        300.00        178.00        11.75         
449     -5.00         97.32         240.00        178.00        11.74         
450     -5.00         147.59        315.00        178.00        11.72         
451     -65.00        65.94         165.00        178.00        11.82         
452     -30.00        158.12        355.00        178.00        11.79         
453     -20.00        123.44        265.00        178.00        11.71         
454     15.00         190.58        340.00        178.00        11.70         
455     -80.00        103.75        400.00        178.00        11.74         
456     -70.00        2.99          90.00         178.00        11.76         
457     -55.00        124.24        310.00        178.00        11.75         
458     -90.00        97.63         345.00        178.00        11.76         
459     -5.00         122.10        355.00        178.00        11.77         
460     -150.00       -51.07        80.00         178.00        11.75         
461     -30.00        181.03        425.00        178.00        11.73         
462     -30.00        81.43         240.00        178.00        11.83         
463     -10.00        142.01        300.00        178.00        11.62         
464     -40.00        118.08        300.00        178.00        11.71         
465     -20.00        112.86        240.00        178.00        11.69         
466     -150.00       -55.89        70.00         178.00        11.67         
467     25.00         112.99        250.00        178.00        11.68         
468     -80.00        17.59         115.00        178.00        11.59         
469     15.00         122.59        225.00        178.00        11.63         
470     -30.00        91.61         290.00        178.00        11.69         
471     -45.00        81.83         300.00        178.00        11.66         
472     -55.00        154.82        275.00        178.00        11.82         
473     -35.00        72.95         175.00        178.00        11.72         
474     15.00         174.91        375.00        178.00        11.75         
475     -100.00       70.09         215.00        178.00        11.74         
476     -45.00        67.72         205.00        178.00        11.74         
477     -65.00        62.37         205.00        178.00        11.93         
478     -35.00        101.38        300.00        178.00        11.67         
479     -65.00        66.47         255.00        178.00        11.63         
480     -45.00        83.71         240.00        178.00        11.67         
481     -125.00       -24.24        115.00        178.00        11.65         
482     -35.00        58.71         150.00        178.00        11.58         
483     100.00        239.02        400.00        178.00        11.54         
484     -10.00        182.86        465.00        178.00        11.96         
485     15.00         118.62        225.00        178.00        11.65         
486     -10.00        130.27        315.00        178.00        11.57         
487     25.00         115.71        250.00        178.00        11.69         
488     -10.00        83.57         225.00        178.00        11.72         
489     50.00         159.55        365.00        178.00        11.68         
490     -20.00        110.13        330.00        178.00        11.67         
491     25.00         166.34        375.00        178.00        11.65         
492     -65.00        112.50        340.00        178.00        11.80         
493     -20.00        118.88        300.00        178.00        11.82         
494     -10.00        61.16         165.00        178.00        11.61         
495     30.00         200.40        375.00        178.00        11.58         
496     -20.00        130.36        300.00        178.00        11.61         
497     -65.00        53.12         285.00        178.00        12.03         
498     -20.00        114.11        350.00        178.00        11.58         
499     40.00         182.95        325.00        178.00        11.57         
