number_generations: 20000
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100
environment
	type: ReacherMemory
	frames_observation_phase: 20
	frames_memory_phase: 20
	frames_action_phase: 50
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	differential_equation: separated
optimizer
	type: CMA-ES-Deap
	population_size: 120
	sigma: 1.0

Genome Size: 230
Free Parameters: {'V': 110, 'W': 100, 'T': 20}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -104.68       -75.07        -20.95        -22.09        8.81          
1       -104.28       -71.80        -27.91        -22.09        2.63          
2       -103.82       -72.53        -29.22        -22.09        2.59          
3       -104.89       -72.92        -26.38        -22.09        2.58          
4       -103.93       -66.71        -23.41        -22.09        2.57          
5       -104.15       -67.47        -18.04        -16.98        2.66          
6       -102.15       -67.87        -29.85        -16.98        2.59          
7       -102.59       -67.80        -26.00        -16.98        2.62          
8       -101.78       -67.68        -14.73        -14.81        2.57          
9       -104.55       -67.93        -26.78        -14.81        2.65          
10      -102.73       -65.47        -21.17        -14.81        2.64          
11      -102.41       -65.96        -23.06        -14.81        2.61          
12      -103.29       -62.62        -26.01        -14.81        2.55          
13      -101.14       -62.25        -16.25        -14.81        2.64          
14      -103.75       -61.39        -18.05        -14.81        2.57          
15      -99.48        -61.14        -12.63        -12.05        2.57          
16      -100.68       -61.95        -20.48        -12.05        2.57          
17      -102.26       -62.27        -23.24        -12.05        2.61          
18      -101.85       -61.33        -18.25        -12.05        2.54          
19      -101.69       -59.40        -17.54        -12.05        2.63          
20      -105.11       -59.08        -17.88        -12.05        2.57          
21      -101.18       -59.56        -15.39        -12.05        2.64          
22      -103.48       -57.38        -14.97        -12.05        2.57          
23      -103.43       -57.23        -17.26        -12.05        2.57          
24      -102.89       -53.91        -15.91        -12.05        2.57          
25      -106.18       -52.40        -17.46        -12.05        2.55          
26      -102.23       -61.04        -17.68        -12.05        2.54          
27      -101.09       -55.38        -15.04        -12.05        2.60          
28      -101.35       -53.29        -15.54        -12.05        2.56          
29      -100.11       -54.61        -15.12        -12.05        2.56          
30      -95.92        -51.79        -13.03        -12.05        2.57          
31      -102.97       -54.97        -12.85        -12.05        2.58          
32      -101.55       -54.30        -17.05        -12.05        2.72          
33      -100.72       -54.65        -13.62        -12.05        2.66          
34      -97.17        -51.65        -17.85        -12.05        2.57          
35      -99.75        -54.12        -14.59        -12.05        2.63          
36      -93.74        -52.35        -15.13        -12.05        2.62          
37      -103.72       -56.54        -16.09        -12.05        2.60          
38      -104.08       -50.91        -12.42        -11.70        2.54          
39      -97.87        -47.92        -12.24        -11.70        2.61          
40      -103.05       -52.80        -16.89        -11.70        2.61          
41      -102.00       -54.15        -14.72        -11.70        2.56          
42      -107.15       -51.26        -13.93        -11.70        2.66          
43      -103.53       -52.31        -15.74        -11.70        2.56          
44      -101.45       -53.99        -19.08        -11.70        2.58          
45      -102.22       -49.07        -16.78        -11.70        2.58          
46      -104.95       -53.88        -12.68        -11.70        2.54          
47      -107.97       -53.76        -14.80        -11.70        2.64          
48      -103.50       -54.09        -13.19        -11.70        2.60          
49      -104.98       -51.98        -14.60        -11.70        2.57          
50      -94.26        -46.40        -13.32        -11.70        2.53          
51      -101.22       -54.48        -14.77        -11.70        2.58          
52      -99.38        -53.91        -14.04        -11.70        2.56          
53      -103.27       -49.84        -13.35        -11.70        2.54          
54      -94.86        -51.93        -17.24        -11.70        2.53          
55      -105.74       -48.76        -12.75        -11.70        2.53          
56      -103.12       -51.46        -12.44        -11.70        2.53          
57      -98.01        -47.34        -13.45        -11.70        2.56          
58      -98.76        -46.90        -14.33        -11.70        2.54          
59      -106.02       -42.60        -11.75        -11.70        2.56          
60      -104.14       -49.62        -13.27        -11.70        2.59          
61      -105.17       -50.68        -13.55        -11.70        2.57          
62      -105.77       -46.81        -12.27        -11.70        2.57          
63      -99.11        -48.98        -12.50        -11.70        2.55          
64      -106.15       -45.83        -11.73        -11.70        2.58          
65      -100.80       -48.10        -14.61        -11.70        2.55          
66      -101.26       -47.59        -14.45        -11.70        2.51          
67      -103.00       -48.94        -12.87        -11.70        2.65          
68      -105.33       -47.13        -11.80        -11.45        2.59          
69      -103.46       -42.60        -14.60        -11.45        2.51          
70      -93.14        -44.22        -12.45        -11.45        2.54          
71      -103.27       -44.99        -11.88        -11.45        2.60          
72      -105.36       -46.33        -14.04        -11.45        2.59          
73      -106.93       -51.35        -12.34        -11.45        2.59          
74      -101.42       -50.25        -13.57        -11.45        2.53          
75      -90.39        -43.44        -12.13        -11.45        2.58          
76      -94.00        -46.92        -12.91        -11.45        2.57          
77      -102.96       -46.97        -15.28        -11.45        2.58          
78      -100.17       -46.17        -13.77        -11.45        2.52          
79      -103.78       -47.10        -12.15        -11.45        2.61          
80      -102.82       -47.09        -13.86        -11.45        2.57          
81      -100.18       -46.64        -13.02        -11.45        2.56          
82      -102.62       -46.85        -13.48        -11.45        2.52          
83      -102.42       -49.58        -13.12        -11.45        2.57          
84      -104.18       -46.85        -12.01        -11.45        2.52          
85      -101.80       -45.91        -12.58        -11.45        2.57          
86      -100.88       -47.68        -13.93        -11.45        2.52          
87      -100.48       -43.99        -12.22        -11.45        2.56          
88      -102.17       -47.00        -11.75        -11.45        2.52          
