number_generations: 20000
number_validation_runs: 100
number_rounds: 25
maximum_env_seed: 100
environment
	type: ReacherMemory
	frames_observation_phase: 20
	frames_memory_phase: 20
	frames_action_phase: 50
brain
	type: LSTMNN
	hidden_layer_structure: [10]
optimizer
	type: CMA-ES-Deap
	population_size: 120
	sigma: 1.0

Genome Size: 500
Free Parameters: {'layer 0': {'input_weight_matrix': 440, 'hidden_weight_matrix': 40}, 'output_weight_matrix': 20}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -782.19       -188.64       -14.07        -14.23        8.95          
1       -1729.36      -182.56       -19.09        -14.23        3.66          
2       -812.28       -172.83       -16.52        -14.23        3.67          
3       -945.49       -169.69       -13.22        -14.23        3.68          
4       -947.48       -144.17       -14.32        -14.23        3.86          
5       -874.02       -140.54       -14.24        -14.23        3.78          
6       -715.40       -124.41       -10.26        -11.23        3.67          
7       -787.92       -153.57       -14.93        -11.23        3.75          
8       -1059.58      -126.59       -14.87        -11.23        3.77          
9       -658.24       -112.49       -13.25        -11.23        3.76          
10      -942.25       -132.09       -10.73        -10.52        3.69          
11      -1112.36      -115.70       -10.71        -10.52        3.65          
12      -1369.27      -147.93       -10.62        -10.52        3.62          
13      -1255.68      -138.34       -10.93        -10.52        3.64          
14      -1071.87      -116.94       -10.63        -10.52        3.70          
15      -1056.71      -150.42       -10.38        -10.52        3.65          
16      -1458.34      -126.74       -10.32        -10.27        3.57          
17      -831.96       -92.99        -10.66        -10.08        3.61          
18      -1208.96      -107.02       -10.07        -10.08        3.66          
19      -1011.42      -75.76        -10.43        -10.08        3.62          
20      -833.10       -85.53        -10.86        -10.08        3.68          
21      -1105.00      -140.70       -10.48        -9.98         3.65          
22      -1171.76      -91.83        -9.39         -9.39         3.59          
23      -1056.93      -77.21        -10.75        -9.39         3.70          
24      -945.43       -68.48        -9.67         -9.39         3.55          
25      -699.59       -80.97        -10.63        -9.39         3.68          
26      -748.97       -74.14        -9.00         -9.11         3.63          
27      -1562.37      -91.84        -8.78         -9.11         3.61          
28      -1474.24      -74.29        -9.41         -9.11         3.54          
29      -1169.42      -80.70        -10.72        -9.11         3.58          
30      -785.57       -68.61        -9.71         -9.11         3.61          
31      -962.24       -108.19       -8.99         -9.11         3.61          
32      -674.03       -66.96        -9.68         -9.11         3.62          
33      -1627.17      -111.38       -9.46         -9.11         3.56          
34      -1286.34      -123.94       -8.85         -8.68         3.53          
35      -3469.19      -144.64       -9.34         -8.68         3.57          
36      -2676.54      -145.76       -10.36        -8.68         3.61          
37      -2094.80      -119.83       -9.14         -8.68         3.57          
38      -1762.91      -97.27        -8.68         -8.68         3.75          
39      -2403.92      -145.83       -9.13         -8.68         3.56          
40      -1995.23      -117.03       -9.62         -8.68         3.55          
41      -1044.24      -59.99        -8.90         -8.68         3.56          
42      -2085.06      -175.76       -8.75         -8.68         3.61          
43      -2664.13      -135.55       -9.31         -8.68         3.61          
44      -1662.53      -124.33       -8.88         -8.68         3.53          
45      -1782.74      -121.21       -8.87         -8.68         3.62          
46      -1817.80      -148.46       -8.94         -8.68         3.52          
47      -1264.83      -98.60        -8.91         -8.68         3.47          
48      -1703.86      -122.53       -8.62         -8.68         3.61          
49      -955.27       -49.59        -8.97         -8.68         3.56          
50      -1180.21      -76.10        -9.23         -8.68         3.51          
51      -1198.81      -93.74        -8.76         -8.68         3.56          
52      -740.90       -75.18        -9.45         -8.68         3.60          
53      -2435.59      -130.73       -9.01         -8.68         3.51          
54      -2375.18      -139.68       -8.99         -8.68         3.55          
55      -1393.96      -110.52       -8.79         -8.68         3.53          
56      -1568.10      -78.81        -8.84         -8.68         3.48          
57      -1928.42      -110.51       -8.61         -8.68         3.59          
58      -2093.83      -118.03       -8.68         -8.68         3.57          
59      -1461.78      -96.50        -8.53         -8.68         3.51          
60      -3095.65      -87.14        -8.78         -8.68         3.60          
61      -737.23       -45.42        -8.76         -8.68         3.52          
62      -861.40       -54.02        -8.61         -8.68         3.57          
63      -1013.69      -60.73        -8.75         -8.68         3.52          
64      -4658.00      -133.86       -8.56         -8.68         3.61          
65      -1715.51      -78.33        -8.46         -8.68         3.51          
66      -1930.72      -127.87       -8.59         -8.68         3.53          
67      -4152.10      -151.30       -8.69         -8.68         3.52          
68      -1876.11      -140.55       -8.67         -8.68         3.54          
69      -2359.98      -110.76       -8.56         -8.68         3.52          
70      -2871.00      -77.31        -8.51         -8.68         3.50          
71      -1746.41      -86.89        -8.53         -8.68         3.58          
72      -2826.75      -154.77       -8.56         -8.68         3.59          
73      -3868.96      -215.28       -8.57         -8.68         3.55          
74      -3335.30      -169.74       -8.69         -8.68         3.63          
75      -2956.12      -195.51       -8.72         -8.68         3.61          
76      -4498.74      -156.44       -8.62         -8.68         3.56          
77      -3465.45      -119.69       -8.63         -8.68         3.51          
78      -4755.35      -140.14       -8.71         -8.68         3.55          
79      -2330.07      -112.95       -8.55         -8.68         3.64          
80      -5920.89      -150.05       -8.47         -8.68         3.66          
81      -4098.33      -202.24       -8.51         -8.68         3.52          
82      -4723.82      -234.35       -8.55         -8.68         3.47          
83      -2637.17      -110.70       -8.53         -8.68         3.46          
84      -6594.56      -197.97       -8.68         -8.68         3.58          
