number_generations: 20000
number_validation_runs: 100
number_rounds: 25
maximum_env_seed: 100
environment
	type: ReacherMemory
	frames_observation_phase: 20
	frames_memory_phase: 20
	frames_action_phase: 50
brain
	type: GRUNN
	hidden_layer_structure: [10]
optimizer
	type: CMA-ES-Deap
	population_size: 120
	sigma: 1.0

Genome Size: 380
Free Parameters: {'layer 0': {'input_weight_matrix': 330, 'hidden_weight_matrix': 30}, 'output_weight_matrix': 20}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -2863.41      -783.03       -64.81        -72.08        9.09          
1       -4552.85      -749.70       -67.01        -66.58        3.51          
2       -6509.99      -773.50       -55.04        -58.18        3.53          
3       -4850.75      -628.96       -41.85        -41.97        3.49          
4       -2517.17      -573.90       -48.35        -41.97        3.64          
5       -2215.44      -563.10       -73.95        -41.97        3.52          
6       -2591.35      -514.12       -19.48        -19.26        3.52          
7       -3167.30      -580.11       -51.66        -19.26        3.57          
8       -3350.92      -520.29       -46.81        -19.26        3.48          
9       -1935.84      -463.09       -34.82        -19.26        3.53          
10      -2485.83      -454.11       -54.49        -19.26        3.51          
11      -2336.97      -407.09       -32.99        -19.26        3.50          
12      -1495.57      -396.21       -36.75        -19.26        3.51          
13      -1407.77      -408.22       -32.05        -19.26        3.60          
14      -2456.09      -425.54       -20.95        -19.26        3.56          
15      -2173.32      -375.89       -20.71        -19.26        3.50          
16      -1982.57      -412.70       -29.53        -19.26        3.54          
17      -1721.50      -389.01       -33.83        -19.26        3.47          
18      -3052.37      -399.22       -54.49        -19.26        3.52          
19      -1821.31      -394.74       -31.47        -19.26        3.56          
20      -1170.46      -332.30       -38.25        -19.26        3.53          
21      -2486.52      -380.42       -19.38        -19.26        3.56          
22      -1398.28      -361.67       -26.85        -19.26        3.40          
23      -1921.41      -363.84       -53.44        -19.26        3.46          
24      -2130.46      -373.48       -28.33        -19.26        3.50          
25      -2034.34      -338.69       -34.43        -19.26        3.44          
26      -1589.03      -333.03       -13.51        -18.03        3.48          
27      -1856.44      -405.16       -55.88        -18.03        3.53          
28      -1717.10      -391.29       -28.45        -18.03        3.45          
29      -2214.91      -445.71       -16.89        -18.03        3.57          
30      -1764.12      -340.35       -49.82        -18.03        3.51          
31      -1801.51      -360.96       -52.62        -18.03        3.55          
32      -1367.26      -343.01       -33.81        -18.03        3.61          
33      -1271.18      -275.88       -31.53        -18.03        3.43          
34      -1721.11      -404.99       -31.23        -18.03        3.46          
35      -2383.98      -339.39       -20.92        -18.03        3.49          
36      -1188.47      -330.98       -43.38        -18.03        3.52          
37      -1734.30      -325.43       -31.19        -18.03        3.47          
38      -1112.88      -361.58       -34.52        -18.03        3.51          
39      -1473.98      -360.69       -32.15        -18.03        3.61          
40      -2061.14      -347.33       -38.02        -18.03        3.49          
41      -2098.63      -332.70       -33.77        -18.03        3.50          
42      -1580.37      -346.22       -22.27        -18.03        3.59          
43      -1616.85      -308.25       -32.58        -18.03        3.46          
44      -1492.01      -333.09       -48.68        -18.03        3.55          
45      -1402.96      -344.06       -38.79        -18.03        3.46          
46      -1528.45      -322.26       -26.47        -18.03        3.48          
47      -1423.55      -310.63       -27.60        -18.03        3.51          
48      -1153.04      -263.99       -37.93        -18.03        3.42          
49      -1535.90      -334.86       -37.17        -18.03        3.54          
50      -1706.78      -288.05       -45.04        -18.03        3.59          
51      -953.29       -266.92       -24.56        -18.03        3.44          
52      -1097.01      -256.49       -18.64        -18.03        3.47          
53      -1641.29      -285.85       -39.72        -18.03        3.44          
54      -1568.66      -275.85       -15.89        -15.68        3.43          
55      -1368.40      -275.29       -31.45        -15.68        3.46          
56      -3791.92      -312.18       -32.00        -15.68        3.56          
57      -1174.78      -278.84       -18.76        -15.68        3.44          
58      -1732.35      -310.11       -38.81        -15.68        3.45          
59      -2077.47      -298.88       -30.75        -15.68        3.42          
60      -1115.29      -262.87       -27.12        -15.68        3.47          
61      -1634.30      -325.99       -15.47        -15.68        3.49          
62      -1780.75      -305.89       -22.35        -15.68        3.43          
63      -1689.01      -337.35       -21.70        -15.68        3.42          
64      -1468.40      -297.68       -16.37        -15.68        3.53          
65      -1830.91      -307.60       -25.07        -15.68        3.44          
66      -1470.25      -285.59       -28.79        -15.68        3.44          
67      -1679.78      -302.19       -19.19        -15.68        3.53          
68      -1883.68      -287.74       -32.91        -15.68        3.43          
69      -1310.74      -311.41       -24.36        -15.68        3.60          
70      -1536.75      -297.87       -53.82        -15.68        3.56          
71      -1032.26      -258.30       -20.71        -15.68        3.43          
72      -1662.69      -301.04       -22.68        -15.68        3.44          
73      -1381.95      -267.75       -25.92        -15.68        3.54          
74      -1321.20      -294.61       -31.00        -15.68        3.49          
75      -1602.52      -263.84       -38.71        -15.68        3.45          
76      -1564.88      -311.61       -38.78        -15.68        3.52          
77      -1392.62      -295.91       -45.75        -15.68        3.51          
78      -1092.82      -258.13       -18.34        -15.68        3.41          
79      -1557.26      -298.49       -31.43        -15.68        3.42          
80      -1524.64      -288.31       -35.35        -15.68        3.47          
81      -2276.23      -312.20       -28.97        -15.68        3.46          
82      -1318.22      -282.31       -36.74        -15.68        3.55          
83      -962.65       -269.29       -22.55        -15.68        3.48          
84      -1218.96      -276.05       -19.49        -15.68        3.52          
85      -1147.27      -230.54       -21.86        -15.68        3.47          
86      -1189.72      -242.51       -21.68        -15.68        3.45          
87      -1391.38      -263.86       -27.40        -15.68        3.45          
88      -1233.01      -258.90       -21.20        -15.68        3.40          
89      -1612.88      -313.45       -27.63        -15.68        3.40          
90      -1316.56      -270.98       -21.85        -15.68        3.51          
91      -1470.80      -251.83       -24.22        -15.68        3.41          
92      -1301.88      -289.55       -21.94        -15.68        3.47          
93      -1258.65      -299.56       -22.56        -15.68        3.54          
94      -1584.86      -255.28       -18.17        -15.68        3.51          
95      -1734.28      -231.67       -25.91        -15.68        3.63          
