number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: LSTMNN
	hidden_layer_structure: [10]
	diagonal_hidden_to_hidden: True
	use_bias: False
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 300
Free Parameters: {'layer 0': {'input_weight_matrix': 240, 'hidden_weight_matrix': 40}, 'output_weight_matrix': 20}
Inputs: 6
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -45.00        29.20         100.00        -37.00        4.25          
1       -105.00       -15.76        65.00         -37.00        4.25          
2       -45.00        30.40         100.00        -36.00        4.24          
3       -105.00       -5.18         75.00         -36.00        4.00          
4       -175.00       -58.44        40.00         -8.00         4.26          
5       -45.00        11.83         75.00         -8.00         3.96          
6       -70.00        -9.51         75.00         -8.00         4.09          
7       -140.00       -52.72        0.00          -8.00         4.16          
8       -150.00       -56.16        40.00         -8.00         4.45          
9       -80.00        -32.14        65.00         -8.00         4.28          
10      -70.00        -2.86         65.00         -8.00         4.20          
11      -140.00       -19.51        50.00         -8.00         4.23          
12      -70.00        16.25         100.00        14.00         4.15          
13      -140.00       -36.83        65.00         14.00         4.22          
14      -55.00        41.21         100.00        14.00         4.36          
15      -115.00       4.73          100.00        14.00         4.24          
16      -70.00        2.81          75.00         14.00         4.21          
17      -115.00       -12.68        75.00         14.00         4.14          
18      -140.00       17.10         100.00        14.00         4.21          
19      -70.00        35.71         115.00        14.00         4.22          
20      -105.00       -32.50        50.00         14.00         4.25          
21      -35.00        42.77         125.00        14.00         4.72          
22      -70.00        7.28          125.00        14.00         4.28          
23      -115.00       3.30          75.00         14.00         4.22          
24      -70.00        -10.58        65.00         14.00         4.19          
25      -80.00        14.51         100.00        14.00         4.23          
26      -70.00        -3.30         75.00         14.00         4.23          
27      -80.00        -19.73        40.00         14.00         4.13          
28      -150.00       -10.04        75.00         14.00         4.12          
29      -70.00        -1.16         75.00         14.00         4.20          
30      -105.00       -15.89        50.00         14.00         4.25          
31      -70.00        -0.22         75.00         14.00         4.31          
32      -150.00       -39.20        90.00         14.00         4.31          
33      -210.00       -33.84        50.00         14.00         4.15          
34      -45.00        17.28         100.00        14.00         4.22          
35      -70.00        15.54         75.00         14.00         4.20          
36      -175.00       -61.43        25.00         14.00         4.17          
37      -105.00       -15.62        90.00         14.00         4.16          
38      -105.00       -14.15        75.00         14.00         4.31          
39      -105.00       -15.89        50.00         14.00         4.14          
40      -210.00       -20.98        100.00        14.00         4.19          
41      -150.00       -6.21         100.00        14.00         4.18          
42      -70.00        8.12          100.00        14.00         4.15          
43      -140.00       0.04          75.00         14.00         4.13          
44      -140.00       -13.79        50.00         14.00         4.22          
45      -70.00        -6.70         50.00         14.00         4.21          
46      -70.00        -1.52         75.00         14.00         4.26          
47      -70.00        3.97          50.00         14.00         4.04          
48      -105.00       -30.09        25.00         14.00         4.49          
49      -70.00        -5.40         90.00         14.00         4.20          
50      -140.00       9.87          75.00         14.00         4.88          
51      -55.00        45.58         150.00        14.00         4.44          
52      -105.00       12.41         75.00         14.00         4.84          
53      -105.00       -7.90         75.00         14.00         4.20          
54      -90.00        19.24         125.00        14.00         4.36          
55      -35.00        27.50         100.00        14.00         4.26          
56      -70.00        13.93         75.00         14.00         4.21          
57      -105.00       23.48         100.00        14.00         4.04          
58      -140.00       -25.62        65.00         14.00         4.19          
59      -105.00       4.02          75.00         14.00         4.31          
60      -115.00       -18.39        50.00         14.00         4.12          
61      -175.00       -36.56        30.00         14.00         4.26          
62      -150.00       -21.65        50.00         14.00         4.33          
63      -70.00        15.54         150.00        14.00         4.27          
64      -20.00        57.72         125.00        14.00         4.15          
65      -140.00       -36.03        125.00        14.00         4.24          
66      -45.00        7.86          75.00         14.00         4.21          
67      -70.00        8.30          75.00         14.00         4.27          
68      -35.00        20.22         75.00         14.00         4.34          
