number_generations: 20000
number_validation_runs: 100
number_rounds: 25
maximum_env_seed: 100
environment
	type: ReacherMemory
	frames_observation_phase: 20
	frames_memory_phase: 20
	frames_action_phase: 50
brain
	type: ELMANNN
	hidden_layer_structure: [10]
optimizer
	type: CMA-ES-Deap
	population_size: 120
	sigma: 1.0

Genome Size: 140
Free Parameters: {'layer 0': {'input_weight_matrix': 110, 'hidden_weight_matrix': 10}, 'output_weight_matrix': 20}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -5117.43      -948.07       -27.27        -26.99        8.48          
1       -7545.11      -766.01       -75.22        -26.99        2.84          
2       -6061.99      -711.11       -62.01        -26.99        2.81          
3       -2811.32      -664.29       -65.01        -26.99        2.91          
4       -2696.21      -650.77       -42.85        -26.99        2.92          
5       -2411.31      -612.60       -98.02        -26.99        2.81          
6       -2395.65      -537.81       -54.92        -26.99        2.87          
7       -2103.17      -539.77       -54.46        -26.99        2.83          
8       -2188.74      -540.08       -33.56        -26.99        2.80          
9       -1441.78      -430.67       -30.48        -26.99        2.82          
10      -3730.14      -538.86       -28.91        -26.99        2.85          
11      -2125.49      -546.28       -51.08        -26.99        2.89          
12      -3141.05      -506.09       -40.58        -26.99        2.85          
13      -2191.86      -500.97       -24.92        -25.69        2.88          
14      -1764.13      -450.95       -17.02        -16.90        2.89          
15      -1767.83      -458.74       -41.88        -16.90        3.02          
16      -1746.14      -397.85       -26.53        -16.90        2.82          
17      -2409.84      -404.61       -17.11        -16.03        2.89          
18      -1800.53      -428.31       -47.98        -16.03        2.82          
19      -2219.31      -458.92       -20.21        -16.03        2.78          
20      -1923.08      -473.63       -53.09        -16.03        2.81          
21      -2244.43      -471.54       -27.92        -16.03        2.80          
22      -2336.68      -499.54       -40.47        -16.03        2.93          
23      -2473.41      -472.31       -47.51        -16.03        2.81          
24      -2436.27      -480.41       -41.39        -16.03        2.81          
25      -1955.95      -434.98       -32.82        -16.03        2.83          
26      -1259.91      -389.43       -39.84        -16.03        2.79          
27      -1893.28      -435.04       -24.86        -16.03        3.00          
28      -2119.62      -404.41       -13.87        -13.97        2.84          
29      -2437.46      -399.87       -28.28        -13.97        2.82          
30      -2192.16      -412.18       -26.76        -13.97        2.76          
31      -1740.76      -342.03       -28.36        -13.97        2.83          
32      -2187.93      -408.26       -40.85        -13.97        2.78          
33      -1736.63      -372.59       -20.68        -13.97        2.78          
34      -1926.96      -332.74       -23.50        -13.97        2.80          
35      -1943.16      -390.74       -16.06        -13.97        2.80          
36      -1953.04      -361.00       -35.32        -13.97        2.76          
37      -1729.46      -437.95       -43.94        -13.97        2.75          
38      -1558.21      -371.50       -26.94        -13.97        2.81          
39      -2154.53      -384.34       -49.13        -13.97        2.79          
40      -1872.85      -348.37       -25.72        -13.97        2.79          
41      -2247.39      -456.16       -30.62        -13.97        2.79          
42      -1924.11      -405.17       -38.10        -13.97        2.75          
43      -1381.77      -377.09       -28.29        -13.97        2.79          
44      -1325.28      -405.36       -40.23        -13.97        2.77          
45      -1744.12      -382.44       -49.83        -13.97        2.86          
46      -1545.31      -427.95       -48.70        -13.97        2.79          
47      -1311.32      -393.24       -36.52        -13.97        2.81          
48      -1391.02      -379.39       -32.12        -13.97        2.81          
49      -2034.49      -408.22       -39.87        -13.97        2.78          
50      -1358.97      -376.07       -56.54        -13.97        2.75          
51      -1612.13      -372.69       -41.66        -13.97        2.81          
52      -1879.14      -398.03       -42.76        -13.97        2.86          
53      -1550.30      -418.85       -54.39        -13.97        2.83          
54      -2106.94      -375.17       -36.32        -13.97        2.78          
55      -1987.17      -404.52       -29.10        -13.97        2.79          
56      -1415.60      -400.72       -38.58        -13.97        2.79          
57      -1968.98      -414.31       -50.68        -13.97        2.85          
58      -1113.89      -379.14       -33.57        -13.97        2.77          
59      -2140.98      -365.59       -17.71        -13.97        2.85          
60      -1727.32      -391.19       -14.64        -13.97        2.78          
61      -1470.59      -399.35       -41.69        -13.97        2.82          
62      -1647.68      -398.30       -29.28        -13.97        2.75          
63      -2499.29      -421.40       -18.98        -13.97        2.78          
64      -1588.57      -401.00       -26.75        -13.97        2.81          
65      -1514.66      -386.91       -51.63        -13.97        2.76          
66      -1788.33      -377.24       -35.85        -13.97        2.82          
67      -1517.79      -346.87       -22.16        -13.97        2.80          
