number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	use_sensors: True
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: LSTMNN
	hidden_layer_structure: [10]
	diagonal_hidden_to_hidden: True
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 500
Free Parameters: {'layer 0': {'input_weight_matrix': 400, 'hidden_weight_matrix': 40, 'bias': 40}, 'output_weight_matrix': 20}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -105.00       -15.45        75.00         2.00          11.90         
1       -105.00       12.50         75.00         2.00          11.35         
2       -115.00       -36.29        65.00         2.00          11.01         
3       -105.00       7.28          75.00         2.00          11.86         
4       -45.00        -1.07         25.00         2.00          12.50         
5       -45.00        28.21         100.00        2.00          11.67         
6       -45.00        19.06         100.00        2.00          11.89         
7       -55.00        23.66         75.00         2.00          11.34         
8       -105.00       6.34          100.00        2.00          11.46         
9       -105.00       -3.88         75.00         2.00          11.76         
10      -115.00       -22.81        50.00         2.00          11.96         
11      -105.00       -15.09        50.00         2.00          11.66         
12      -105.00       -16.96        50.00         2.00          11.18         
13      -175.00       -8.12         75.00         2.00          11.47         
14      -80.00        8.79          125.00        2.00          11.87         
15      -105.00       2.46          75.00         2.00          11.32         
16      -210.00       -49.51        50.00         2.00          12.57         
17      -105.00       7.19          75.00         2.00          13.31         
18      -105.00       -4.73         75.00         2.00          12.00         
19      -105.00       4.91          100.00        2.00          12.47         
20      -105.00       -16.83        50.00         2.00          12.42         
21      -115.00       -21.21        65.00         2.00          11.60         
22      -115.00       -8.35         100.00        2.00          12.59         
23      -80.00        2.72          75.00         2.00          12.78         
24      -35.00        12.41         75.00         2.00          12.01         
25      -70.00        -8.93         25.00         2.00          11.40         
26      -90.00        13.35         75.00         2.00          11.83         
27      -115.00       -12.63        50.00         2.00          11.58         
28      -70.00        28.53         125.00        2.00          11.07         
29      -105.00       29.15         150.00        2.00          11.28         
30      -125.00       -27.59        75.00         2.00          11.29         
31      -80.00        3.93          125.00        2.00          11.23         
32      -160.00       -6.92         75.00         2.00          11.17         
33      -115.00       26.52         100.00        2.00          11.88         
34      -105.00       -7.14         100.00        2.00          10.96         
35      -45.00        10.18         50.00         2.00          11.30         
36      -140.00       -44.11        40.00         2.00          11.33         
37      -150.00       -31.29        90.00         2.00          11.43         
38      -105.00       11.38         125.00        2.00          11.58         
39      -140.00       -14.11        100.00        2.00          11.92         
40      -115.00       -37.99        25.00         2.00          12.47         
41      -105.00       -18.93        75.00         2.00          12.22         
42      -55.00        32.37         100.00        2.00          12.48         
43      -80.00        21.03         100.00        2.00          12.13         
44      -35.00        23.17         75.00         2.00          12.46         
45      -115.00       -13.04        100.00        2.00          11.88         
46      -55.00        20.71         100.00        2.00          12.15         
47      -210.00       -51.29        40.00         2.00          12.70         
48      -140.00       -42.14        50.00         2.00          12.43         
49      -70.00        10.13         75.00         2.00          10.74         
50      -80.00        -19.78        25.00         2.00          10.94         
51      -80.00        -28.57        55.00         9.00          11.89         
52      -35.00        23.79         90.00         9.00          11.65         
53      -80.00        0.89          75.00         9.00          11.64         
54      -80.00        -6.74         65.00         9.00          11.68         
55      -80.00        19.87         125.00        9.00          11.63         
56      -115.00       -14.02        100.00        9.00          11.24         
57      -105.00       -6.03         75.00         9.00          6.97          
58      -115.00       -32.81        25.00         9.00          5.98          
59      -185.00       -25.76        100.00        9.00          6.96          
60      -105.00       -1.79         75.00         9.00          8.30          
61      -140.00       -39.20        50.00         9.00          10.03         
62      -175.00       -74.82        25.00         9.00          12.32         
63      -35.00        17.10         90.00         9.00          13.23         
64      -80.00        20.09         100.00        9.00          12.53         
65      -150.00       8.26          100.00        9.00          12.27         
66      -115.00       -3.30         100.00        9.00          11.92         
67      -140.00       -32.32        65.00         9.00          12.11         
68      -115.00       -30.18        100.00        9.00          13.41         
69      -80.00        6.79          75.00         9.00          7.50          
70      -210.00       -91.16        15.00         9.00          5.80          
71      -80.00        12.14         75.00         9.00          7.48          
72      -115.00       -7.72         100.00        9.00          7.94          
73      -150.00       -26.47        65.00         9.00          9.50          
74      -140.00       -61.16        15.00         9.00          13.13         
75      -70.00        11.79         100.00        9.00          12.51         
76      -105.00       2.63          75.00         9.00          8.21          
77      -105.00       -1.03         75.00         9.00          6.76          
78      -105.00       10.62         75.00         9.00          7.64          
79      -115.00       26.07         100.00        9.00          8.24          
80      -105.00       -19.51        75.00         9.00          7.51          
81      -105.00       -0.45         75.00         9.00          7.93          
82      -115.00       11.07         100.00        9.00          8.14          
83      -80.00        8.04          100.00        9.00          8.37          
84      -80.00        -9.64         75.00         9.00          6.82          
85      -45.00        27.19         125.00        9.00          7.77          
86      -140.00       -44.55        40.00         9.00          8.14          
87      -70.00        12.19         75.00         9.00          8.11          
88      -35.00        22.50         100.00        9.00          6.74          
89      -80.00        31.16         125.00        9.00          7.54          
90      -185.00       -22.23        100.00        9.00          7.94          
91      -45.00        31.52         165.00        9.00          7.50          
92      -210.00       -13.57        100.00        9.00          6.68          
93      -115.00       2.19          105.00        9.00          7.30          
94      -70.00        12.32         125.00        9.00          7.84          
95      -220.00       -50.67        50.00         9.00          7.47          
96      -105.00       -26.07        65.00         9.00          6.61          
97      -70.00        1.52          50.00         9.00          7.64          
98      -70.00        47.41         150.00        9.00          8.01          
99      -150.00       -36.79        75.00         9.00          7.70          
100     -115.00       -20.98        65.00         9.00          7.47          
101     -70.00        13.57         100.00        9.00          7.64          
102     -150.00       -38.21        30.00         9.00          8.34          
103     -55.00        23.62         115.00        9.00          7.26          
104     -140.00       -19.20        100.00        9.00          7.83          
105     -105.00       -18.79        75.00         9.00          8.20          
106     -105.00       -49.24        15.00         9.00          7.61          
107     -90.00        -15.62        100.00        9.00          6.86          
108     -45.00        12.77         75.00         9.00          7.56          
