number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	use_sensors: True
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 100
	differential_equation: original
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	alpha: 0.1
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 11200
Free Parameters: {'V': 1000, 'W': 10000, 'T': 200}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -190.00       4.11          240.00        -99.00        12.47         
1       -175.00       1.56          140.00        -14.00        12.98         
2       -220.00       -21.92        175.00        -14.00        12.81         
3       -110.00       1.03          150.00        -14.00        12.82         
4       -240.00       -11.47        150.00        -14.00        12.55         
5       -220.00       -15.00        75.00         -14.00        12.55         
6       -135.00       4.51          130.00        -14.00        12.90         
7       -170.00       -7.90         90.00         -14.00        12.68         
8       -195.00       -16.29        100.00        -14.00        12.67         
9       -325.00       -91.52        75.00         -14.00        12.70         
10      -150.00       -16.56        105.00        -14.00        12.77         
11      -205.00       -38.39        80.00         -14.00        12.77         
12      -150.00       -32.28        115.00        -14.00        12.45         
13      -140.00       -0.49         150.00        -14.00        12.43         
14      -250.00       -62.59        80.00         -7.00         12.59         
15      -175.00       -33.44        75.00         -7.00         12.51         
16      -245.00       -53.48        90.00         -7.00         12.45         
17      -185.00       -47.41        80.00         -7.00         12.48         
18      -195.00       -17.32        125.00        -7.00         12.58         
19      -275.00       -31.79        180.00        -7.00         12.49         
20      -115.00       -24.82        90.00         3.00          12.52         
21      -150.00       -25.58        90.00         3.00          12.53         
22      -210.00       -60.58        25.00         3.00          12.50         
23      -220.00       -49.87        55.00         8.00          12.45         
24      -135.00       7.54          140.00        8.00          12.47         
25      -290.00       -55.76        50.00         8.00          12.46         
26      -105.00       34.91         230.00        8.00          12.46         
27      -140.00       -24.15        100.00        50.00         12.42         
28      -185.00       -32.23        115.00        50.00         12.54         
29      -280.00       -80.98        45.00         50.00         12.49         
30      -160.00       -19.69        75.00         50.00         12.46         
31      -150.00       8.57          175.00        50.00         12.44         
32      -105.00       -22.99        50.00         50.00         12.42         
33      -195.00       12.99         125.00        50.00         12.51         
34      -140.00       -0.89         100.00        50.00         12.43         
35      -180.00       -19.24        120.00        50.00         12.44         
36      -175.00       -30.09        100.00        50.00         12.46         
37      -125.00       -7.63         75.00         50.00         12.44         
38      -90.00        17.19         175.00        50.00         12.51         
39      -105.00       0.13          90.00         50.00         12.45         
40      -115.00       15.31         175.00        50.00         12.55         
41      -115.00       8.04          90.00         50.00         12.49         
42      -150.00       19.51         190.00        50.00         12.51         
43      -205.00       -19.96        90.00         50.00         12.43         
44      -220.00       -76.56        40.00         50.00         12.47         
45      -105.00       28.84         140.00        50.00         12.45         
46      -115.00       3.30          75.00         50.00         12.47         
47      -70.00        8.75          150.00        50.00         12.58         
48      -140.00       -15.22        75.00         50.00         12.47         
49      -195.00       -57.41        75.00         50.00         12.54         
50      -220.00       -93.84        65.00         50.00         12.48         
51      -45.00        35.98         150.00        50.00         12.43         
52      -115.00       0.36          125.00        50.00         12.48         
53      -80.00        23.62         125.00        50.00         12.48         
54      -45.00        33.97         125.00        50.00         12.50         
55      -230.00       -10.71        125.00        50.00         12.52         
56      -125.00       6.12          100.00        50.00         12.49         
57      -160.00       -8.62         140.00        50.00         12.53         
58      -230.00       -66.38        80.00         50.00         12.48         
59      -220.00       7.63          175.00        50.00         12.44         
60      -125.00       18.30         125.00        50.00         12.44         
61      -210.00       -57.05        40.00         50.00         12.53         
62      -110.00       4.64          125.00        50.00         12.59         
63      -115.00       9.38          115.00        50.00         12.54         
64      -140.00       -16.12        115.00        50.00         12.50         
65      -70.00        30.31         125.00        50.00         12.44         
66      -175.00       -17.23        80.00         50.00         12.55         
67      -160.00       4.51          175.00        50.00         12.56         
68      -175.00       -43.35        75.00         50.00         12.55         
69      -90.00        19.64         150.00        50.00         12.58         
70      -105.00       -9.20         115.00        50.00         12.52         
71      -115.00       -8.97         125.00        50.00         12.50         
72      -90.00        24.38         150.00        50.00         12.53         
73      -150.00       -63.93        50.00         50.00         12.59         
74      -180.00       -11.65        115.00        50.00         12.63         
75      -70.00        41.03         175.00        50.00         12.60         
76      -80.00        6.61          125.00        50.00         12.56         
77      -150.00       -24.60        90.00         50.00         12.51         
78      -125.00       6.70          105.00        50.00         12.54         
79      -210.00       -8.26         100.00        50.00         12.55         
80      -175.00       -37.99        65.00         50.00         12.63         
81      -115.00       -0.27         80.00         50.00         12.61         
82      -210.00       -17.41        50.00         50.00         12.66         
83      -170.00       -42.05        55.00         50.00         12.59         
84      -175.00       -13.71        155.00        50.00         12.60         
85      -185.00       -31.65        75.00         50.00         12.88         
86      -255.00       -39.55        75.00         50.00         12.57         
87      -160.00       -19.64        80.00         50.00         12.62         
88      -185.00       -3.75         150.00        50.00         12.69         
89      -185.00       -19.73        100.00        50.00         12.60         
90      -100.00       44.64         200.00        50.00         12.63         
91      -150.00       9.55          200.00        50.00         12.66         
92      -140.00       -6.70         150.00        50.00         12.67         
93      -70.00        8.08          100.00        50.00         12.76         
94      -115.00       12.68         125.00        50.00         12.73         
95      -125.00       -9.42         240.00        50.00         12.62         
96      -140.00       -8.97         120.00        50.00         12.62         
97      -90.00        47.59         150.00        50.00         12.67         
98      -160.00       -6.83         150.00        50.00         12.59         
99      -140.00       -12.99        90.00         50.00         12.57         
