number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	use_sensors: True
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 10
	differential_equation: separated
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	alpha: 0.1
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 220
Free Parameters: {'V': 100, 'W': 100, 'T': 20}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -135.00       -1.83         125.00        0.00          4.11          
1       -115.00       -7.54         90.00         0.00          4.50          
2       -245.00       -32.10        50.00         0.00          4.16          
3       -175.00       -24.51        75.00         0.00          4.15          
4       -80.00        0.00          65.00         18.00         4.11          
5       -120.00       6.61          125.00        18.00         4.08          
6       -125.00       -0.31         100.00        18.00         4.18          
7       -80.00        28.21         100.00        18.00         4.05          
8       -125.00       8.53          100.00        18.00         4.07          
9       -255.00       -55.76        75.00         18.00         4.13          
10      -125.00       4.51          90.00         18.00         4.07          
11      -125.00       -10.62        155.00        18.00         4.32          
12      -100.00       27.01         125.00        18.00         4.09          
13      -160.00       -35.49        50.00         18.00         4.09          
14      -180.00       -18.93        75.00         18.00         4.13          
15      -175.00       -13.04        150.00        18.00         4.12          
16      -205.00       -29.11        50.00         18.00         4.10          
17      -65.00        42.90         125.00        18.00         4.14          
18      -105.00       -7.28         75.00         18.00         4.00          
19      -150.00       -19.06        115.00        18.00         4.09          
20      -145.00       -15.94        75.00         18.00         4.06          
21      -125.00       21.38         165.00        18.00         4.12          
22      -80.00        -7.81         100.00        18.00         4.05          
23      -115.00       18.48         125.00        18.00         4.15          
24      -175.00       -52.59        75.00         18.00         4.12          
25      -150.00       3.75          100.00        18.00         4.11          
26      -140.00       -0.27         75.00         18.00         4.07          
27      -140.00       -25.00        65.00         18.00         4.23          
28      -115.00       2.95          155.00        18.00         3.96          
29      -170.00       12.32         175.00        18.00         4.07          
30      -185.00       -53.08        50.00         18.00         4.10          
