number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	use_sensors: True
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 95
	differential_equation: separated
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: True
	alpha: 0.1
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 10165
Free Parameters: {'V': 950, 'W': 9025, 'T': 190}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -280.00       -74.20        360.00        -161.00       10.26         
1       -510.00       -98.48        145.00        -158.00       10.83         
2       -420.00       -54.46        280.00        -121.00       10.32         
3       -450.00       -103.26       195.00        -87.00        10.87         
4       -355.00       -14.55        305.00        -87.00        10.38         
5       -355.00       2.50          260.00        -40.00        10.42         
6       -320.00       -1.83         310.00        -40.00        10.34         
7       -520.00       -76.83        415.00        52.00         10.29         
8       -450.00       -133.88       70.00         52.00         10.21         
9       -560.00       -135.18       205.00        52.00         10.32         
10      -565.00       -235.27       75.00         52.00         10.44         
11      -520.00       -172.68       95.00         52.00         10.24         
12      -380.00       -36.88        280.00        52.00         10.34         
13      -475.00       -186.92       105.00        52.00         10.34         
14      -415.00       -76.61        360.00        52.00         10.35         
15      -585.00       -172.95       130.00        52.00         10.38         
16      -440.00       -123.12       85.00         52.00         10.29         
17      -645.00       -208.04       230.00        52.00         10.34         
18      -380.00       -63.57        185.00        52.00         10.39         
19      -395.00       -33.93        185.00        52.00         10.30         
20      -240.00       -23.17        330.00        52.00         10.51         
21      -600.00       -88.93        270.00        52.00         10.43         
22      -520.00       -96.34        235.00        52.00         10.32         
23      -635.00       -152.99       65.00         52.00         10.54         
24      -445.00       -47.28        240.00        52.00         10.39         
25      -300.00       -60.54        340.00        52.00         10.25         
26      -615.00       -31.12        345.00        52.00         10.51         
27      -295.00       -94.60        155.00        52.00         10.41         
28      -480.00       -103.88       170.00        52.00         10.44         
29      -340.00       -27.23        220.00        52.00         10.27         
30      -635.00       -145.22       170.00        52.00         10.51         
31      -385.00       -41.70        240.00        52.00         10.40         
32      -495.00       -108.30       255.00        52.00         10.43         
33      -435.00       -89.55        200.00        52.00         10.40         
34      -365.00       -61.65        185.00        52.00         10.41         
35      -385.00       -58.88        325.00        52.00         10.46         
36      -300.00       -43.39        215.00        74.00         10.45         
37      -545.00       -82.28        240.00        74.00         10.41         
38      -420.00       -40.76        255.00        74.00         10.40         
39      -240.00       13.62         365.00        74.00         10.38         
40      -225.00       51.79         435.00        74.00         10.42         
41      -355.00       -102.72       205.00        74.00         10.44         
42      -375.00       71.88         375.00        74.00         10.39         
43      -535.00       -77.54        200.00        74.00         10.38         
44      -415.00       -59.33        260.00        74.00         10.62         
45      -400.00       -86.12        215.00        74.00         10.35         
46      -170.00       40.94         275.00        74.00         10.43         
47      -490.00       -54.82        250.00        74.00         10.40         
48      -315.00       13.71         445.00        74.00         10.34         
49      -335.00       -17.23        400.00        74.00         10.34         
50      -440.00       -48.71        165.00        74.00         10.34         
51      -465.00       0.27          320.00        74.00         10.38         
52      -250.00       -13.93        235.00        74.00         10.36         
53      -460.00       -134.38       370.00        74.00         10.33         
54      -395.00       -70.09        200.00        74.00         10.39         
55      -220.00       42.68         370.00        74.00         10.36         
56      -300.00       -87.28        155.00        74.00         10.42         
57      -540.00       15.85         415.00        74.00         10.49         
58      -700.00       -86.52        255.00        74.00         10.50         
59      -200.00       95.71         370.00        74.00         10.49         
60      -150.00       87.54         410.00        74.00         10.79         
61      -250.00       16.29         320.00        74.00         10.43         
62      -205.00       144.29        575.00        74.00         10.39         
63      -300.00       -63.75        345.00        74.00         10.45         
64      -340.00       -21.21        415.00        86.00         10.43         
65      -260.00       42.28         310.00        86.00         10.43         
66      -295.00       51.74         410.00        86.00         10.54         
