number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	use_sensors: True
	agent_movement_range: 10.0
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: GRUNN
	hidden_layer_structure: [50]
	use_bias: False
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 1750
Free Parameters: {'layer 0': {'input_weight_matrix': 1500, 'hidden_weight_matrix': 150}, 'output_weight_matrix': 100}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -105.00       2.01          75.00         -10.00        5.03          
1       -140.00       -30.36        50.00         -10.00        5.09          
2       -80.00        8.39          75.00         -3.00         5.38          
3       -105.00       -25.18        25.00         1.00          4.91          
4       -245.00       -64.51        15.00         1.00          5.58          
5       -80.00        5.04          100.00        1.00          4.81          
6       -105.00       -1.96         100.00        1.00          5.00          
7       -140.00       -0.58         75.00         1.00          4.98          
8       -150.00       -18.88        100.00        1.00          5.06          
9       -140.00       -23.57        75.00         1.00          5.02          
10      -105.00       -0.76         75.00         1.00          4.96          
11      -70.00        9.38          75.00         1.00          4.96          
12      -105.00       2.46          115.00        1.00          4.95          
13      -140.00       -35.85        100.00        1.00          5.33          
14      -160.00       -30.00        75.00         1.00          5.01          
15      -185.00       -14.82        75.00         1.00          4.96          
16      -150.00       -33.57        50.00         1.00          5.01          
17      -195.00       -18.39        65.00         1.00          5.02          
18      -105.00       -36.70        25.00         1.00          4.96          
19      -140.00       10.04         125.00        1.00          5.00          
20      -115.00       -7.81         65.00         1.00          4.96          
21      -175.00       -0.45         100.00        1.00          5.00          
22      -150.00       -24.55        75.00         1.00          5.03          
23      -90.00        6.52          75.00         1.00          5.02          
24      -185.00       -93.71        -10.00        1.00          5.05          
25      -115.00       -42.41        50.00         1.00          4.99          
26      -245.00       -48.21        40.00         1.00          4.97          
27      -105.00       -18.48        50.00         1.00          4.99          
28      -105.00       -10.94        50.00         1.00          5.04          
29      -45.00        55.40         125.00        1.00          5.04          
30      -35.00        29.64         100.00        1.00          4.97          
31      -105.00       -13.08        50.00         1.00          5.14          
32      -105.00       -16.47        75.00         1.00          5.73          
33      -115.00       1.56          75.00         1.00          4.99          
34      -105.00       -1.74         100.00        1.00          5.03          
35      -175.00       -37.72        50.00         1.00          4.90          
36      -105.00       -20.67        50.00         1.00          5.02          
37      -185.00       -10.80        50.00         1.00          4.98          
38      -150.00       -1.70         75.00         1.00          5.02          
39      -35.00        25.67         125.00        1.00          4.81          
40      -175.00       -48.44        80.00         1.00          5.08          
41      -80.00        -11.74        50.00         1.00          5.03          
42      -150.00       -38.66        75.00         1.00          4.98          
43      -70.00        26.29         175.00        1.00          4.99          
44      -150.00       12.54         150.00        1.00          4.98          
45      -220.00       -38.08        75.00         1.00          4.97          
46      -115.00       -19.91        50.00         1.00          5.12          
47      -80.00        30.40         125.00        1.00          5.01          
48      -175.00       -65.98        65.00         1.00          5.01          
49      -105.00       3.26          100.00        1.00          5.07          
50      -120.00       75.04         175.00        1.00          4.97          
51      -175.00       -67.77        65.00         3.00          5.04          
52      -185.00       -20.98        75.00         46.00         4.89          
53      -150.00       -36.29        125.00        46.00         5.04          
54      -115.00       13.08         115.00        46.00         5.21          
55      -125.00       -22.14        65.00         46.00         5.00          
56      -175.00       -18.21        75.00         46.00         5.12          
57      -150.00       -47.81        40.00         46.00         5.03          
58      -140.00       -26.07        30.00         46.00         5.03          
59      -55.00        15.85         105.00        46.00         5.01          
60      -70.00        5.22          75.00         46.00         5.11          
61      -80.00        7.81          100.00        46.00         4.90          
62      -70.00        -12.10        25.00         46.00         4.97          
63      -45.00        49.55         175.00        46.00         5.12          
64      -115.00       1.52          75.00         46.00         4.88          
65      -55.00        35.40         150.00        46.00         5.13          
66      -45.00        9.60          65.00         46.00         5.00          
67      -70.00        18.08         125.00        46.00         5.04          
68      -135.00       -32.14        90.00         46.00         4.98          
69      -115.00       15.31         100.00        46.00         5.12          
70      -115.00       -13.26        75.00         46.00         4.99          
71      -140.00       -1.47         200.00        46.00         5.05          
72      -70.00        36.34         150.00        46.00         4.98          
73      -105.00       31.61         150.00        46.00         5.03          
74      -115.00       -11.65        125.00        46.00         5.01          
75      -150.00       -21.12        65.00         46.00         5.00          
76      -125.00       -4.02         115.00        46.00         5.00          
77      -210.00       -41.21        150.00        46.00         4.98          
78      -105.00       21.83         125.00        46.00         5.03          
79      -125.00       -1.65         100.00        46.00         4.98          
80      -140.00       -20.94        100.00        46.00         4.99          
81      -105.00       -8.93         100.00        46.00         5.19          
82      -140.00       20.31         175.00        46.00         4.89          
83      -150.00       -36.61        75.00         46.00         5.03          
84      -175.00       -18.44        75.00         46.00         4.99          
85      -70.00        14.73         115.00        46.00         5.04          
86      -45.00        67.99         180.00        46.00         5.00          
87      -175.00       3.39          115.00        46.00         5.00          
88      -220.00       -59.87        30.00         46.00         4.99          
89      -115.00       7.19          120.00        46.00         5.03          
90      -80.00        35.27         200.00        46.00         4.99          
91      -210.00       -52.10        90.00         46.00         5.36          
92      -150.00       -11.38        115.00        46.00         5.10          
93      -185.00       7.81          165.00        46.00         5.00          
94      -185.00       -22.23        80.00         46.00         4.99          
95      -75.00        31.29         175.00        46.00         5.03          
96      -80.00        -0.40         125.00        46.00         5.05          
97      -160.00       -43.17        80.00         46.00         5.05          
98      -115.00       14.69         100.00        46.00         5.00          
99      -150.00       -3.75         115.00        46.00         5.11          
100     -115.00       10.67         115.00        46.00         5.15          
101     -180.00       -69.24        30.00         46.00         5.72          
102     -150.00       4.33          125.00        46.00         5.02          
103     -180.00       5.67          245.00        46.00         5.11          
104     -80.00        29.38         125.00        46.00         5.12          
105     -245.00       -31.03        130.00        46.00         5.60          
106     -115.00       13.48         150.00        46.00         4.97          
107     -140.00       3.57          125.00        46.00         4.92          
108     -140.00       18.79         150.00        46.00         4.93          
109     -150.00       44.73         190.00        46.00         5.14          
110     -170.00       -34.24        115.00        46.00         5.09          
111     -185.00       -26.47        155.00        46.00         4.99          
112     -70.00        36.07         225.00        46.00         5.03          
113     -295.00       -81.61        140.00        46.00         5.03          
114     -115.00       -1.83         115.00        46.00         5.00          
115     -155.00       3.21          250.00        46.00         4.98          
116     -30.00        97.86         250.00        46.00         5.06          
117     -125.00       64.82         265.00        46.00         4.97          
118     -115.00       9.24          140.00        46.00         4.95          
119     -180.00       41.21         150.00        46.00         5.01          
120     -145.00       6.83          215.00        46.00         4.93          
121     -45.00        76.47         225.00        46.00         5.03          
122     -245.00       -66.65        75.00         46.00         5.10          
123     -160.00       1.29          150.00        46.00         4.97          
124     -65.00        12.50         100.00        46.00         5.07          
125     -175.00       -4.96         125.00        46.00         5.01          
126     -80.00        60.94         200.00        46.00         5.62          
127     -105.00       41.34         165.00        46.00         4.99          
128     -135.00       29.11         190.00        46.00         4.96          
129     -65.00        39.24         140.00        46.00         4.95          
130     -90.00        20.71         175.00        46.00         5.02          
131     -90.00        35.98         175.00        46.00         5.08          
132     -205.00       -40.94        115.00        46.00         5.41          
133     -150.00       -9.91         120.00        46.00         5.05          
134     -50.00        91.61         280.00        46.00         5.00          
135     -65.00        69.73         265.00        46.00         5.03          
136     -160.00       -26.79        130.00        46.00         4.97          
137     -100.00       38.35         150.00        46.00         5.20          
138     -205.00       -9.11         155.00        46.00         4.93          
139     -220.00       -27.72        150.00        46.00         5.36          
140     -410.00       -51.29        140.00        46.00         4.99          
141     -100.00       36.56         170.00        46.00         5.22          
142     -170.00       -5.80         155.00        46.00         4.96          
143     -220.00       19.96         180.00        46.00         5.05          
144     -265.00       7.28          125.00        46.00         5.11          
145     -120.00       33.71         195.00        46.00         5.02          
146     -230.00       48.21         240.00        46.00         4.99          
147     -150.00       8.26          205.00        48.00         4.99          
148     -150.00       81.38         225.00        48.00         5.03          
149     -135.00       59.33         245.00        48.00         4.97          
150     -215.00       -52.50        90.00         75.00         4.89          
151     -40.00        71.52         215.00        75.00         5.02          
152     -110.00       57.14         215.00        75.00         5.00          
153     -175.00       -8.97         180.00        75.00         5.01          
154     -55.00        82.23         250.00        75.00         4.96          
155     -245.00       -14.24        140.00        75.00         5.16          
156     -135.00       67.37         275.00        75.00         5.45          
157     -115.00       51.34         250.00        75.00         5.25          
158     -160.00       24.38         185.00        75.00         5.03          
159     -160.00       -1.61         180.00        75.00         5.04          
160     -140.00       24.24         175.00        75.00         4.98          
161     -245.00       -36.38        115.00        75.00         4.98          
162     -205.00       -10.31        215.00        75.00         5.00          
163     -210.00       -10.40        125.00        85.00         5.01          
164     -245.00       -63.44        100.00        85.00         4.96          
165     -145.00       13.79         220.00        85.00         5.08          
166     -55.00        89.73         250.00        85.00         5.00          
167     -155.00       98.93         360.00        85.00         4.96          
168     -90.00        96.52         400.00        85.00         4.93          
169     -240.00       -26.07        300.00        85.00         5.09          
170     -230.00       -28.26        140.00        85.00         5.16          
171     -175.00       37.68         305.00        85.00         4.97          
172     -170.00       4.91          175.00        85.00         5.00          
173     -135.00       78.97         300.00        85.00         5.10          
174     -240.00       -81.61        90.00         85.00         5.01          
175     -160.00       -0.36         290.00        88.00         5.03          
176     -140.00       20.09         150.00        88.00         5.07          
177     -185.00       10.00         200.00        88.00         5.11          
178     -130.00       52.68         225.00        88.00         4.98          
179     -325.00       -15.31        155.00        88.00         5.09          
180     -75.00        74.33         250.00        88.00         5.17          
181     -170.00       -13.44        125.00        88.00         5.00          
182     -45.00        104.20        225.00        88.00         5.02          
183     -215.00       61.88         205.00        88.00         5.21          
184     -285.00       -21.25        160.00        88.00         4.97          
185     -125.00       69.29         270.00        88.00         5.06          
186     -150.00       -3.88         140.00        88.00         5.15          
187     -125.00       52.86         225.00        88.00         4.98          
