number_generations: 20000
number_validation_runs: 100
number_rounds: 25
maximum_env_seed: 100
environment
	type: ReacherMemory
	frames_observation_phase: 20
	frames_memory_phase: 20
	frames_action_phase: 50
brain
	type: ELMANNN
	hidden_layer_structure: [10]
	use_bias: False
	diagonal_hidden_to_hidden: False
optimizer
	type: CMA-ES-Deap
	population_size: 120
	sigma: 1.0

Genome Size: 230
Free Parameters: {'layer 0': {'input_weight_matrix': 110, 'hidden_weight_matrix': 100}, 'output_weight_matrix': 20}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -3801.29      -858.96       -57.45        -64.14        8.70          
1       -2680.94      -757.80       -103.57       -64.14        2.88          
2       -3865.39      -691.55       -78.57        -64.14        2.78          
3       -4083.66      -756.08       -108.64       -64.14        2.97          
4       -4519.34      -692.70       -58.69        -59.04        2.85          
5       -2946.66      -635.34       -79.91        -59.04        2.92          
6       -4235.27      -689.08       -52.82        -45.28        2.84          
7       -3583.32      -650.45       -29.63        -35.88        2.87          
8       -3242.81      -600.57       -102.29       -35.88        2.87          
9       -2967.64      -659.50       -65.11        -35.88        2.81          
10      -2346.39      -637.20       -42.63        -35.88        2.82          
11      -3606.32      -741.10       -36.30        -34.75        2.83          
12      -5125.33      -649.40       -104.50       -34.75        2.81          
13      -2166.18      -574.73       -76.12        -34.75        2.87          
14      -1635.88      -576.46       -83.02        -34.75        2.92          
15      -1817.81      -539.35       -49.85        -34.75        2.86          
16      -1685.72      -488.11       -55.77        -34.75        2.80          
17      -4147.78      -551.09       -96.63        -34.75        2.84          
18      -2214.52      -521.39       -56.97        -34.75        2.78          
19      -2370.79      -494.79       -93.46        -34.75        2.90          
20      -3051.84      -586.92       -62.64        -34.75        2.82          
21      -2127.42      -567.93       -60.88        -34.75        2.90          
22      -1348.30      -416.26       -59.88        -34.75        2.83          
23      -2092.01      -509.28       -50.08        -34.75        2.81          
24      -1711.99      -466.20       -67.57        -34.75        2.81          
25      -2505.14      -479.21       -75.17        -34.75        2.84          
26      -3685.00      -513.19       -81.14        -34.75        2.88          
27      -1702.46      -491.10       -62.44        -34.75        2.81          
28      -4090.76      -490.87       -27.81        -25.89        2.84          
29      -1887.31      -488.51       -54.52        -25.89        2.76          
30      -2107.04      -501.95       -56.86        -25.89        2.83          
31      -2235.80      -495.48       -58.15        -25.89        2.87          
32      -2384.15      -469.02       -51.35        -25.89        2.84          
33      -3652.74      -568.13       -36.04        -25.89        2.85          
34      -2750.76      -467.74       -41.07        -25.89        2.81          
35      -2639.20      -558.24       -74.88        -25.89        2.83          
36      -1691.28      -456.28       -21.72        -22.90        2.79          
37      -1800.22      -406.24       -37.38        -22.90        2.83          
38      -2038.86      -391.49       -44.18        -22.90        2.76          
39      -1405.75      -456.44       -46.76        -22.90        2.77          
40      -1556.81      -442.50       -23.38        -22.90        2.85          
41      -1550.49      -422.89       -41.11        -22.90        2.80          
42      -1329.85      -460.27       -25.52        -22.90        2.87          
43      -2119.48      -441.83       -51.59        -22.90        2.87          
44      -1860.34      -392.57       -62.27        -22.90        2.78          
45      -1745.91      -409.76       -53.23        -22.90        2.81          
46      -2379.42      -452.39       -45.50        -22.90        2.86          
47      -1561.77      -448.11       -102.73       -22.90        2.83          
48      -2127.86      -450.53       -57.15        -22.90        2.71          
49      -1982.21      -430.42       -49.72        -22.90        2.82          
50      -1829.04      -502.45       -43.72        -22.90        2.77          
51      -1813.76      -422.22       -61.43        -22.90        2.82          
52      -1259.67      -391.36       -43.06        -22.90        2.93          
53      -2113.55      -390.80       -73.13        -22.90        2.82          
54      -1678.48      -392.38       -32.74        -22.90        2.83          
55      -1930.57      -412.69       -30.57        -22.90        2.78          
56      -1129.67      -383.28       -64.81        -22.90        2.76          
57      -2815.57      -408.04       -27.69        -22.90        2.79          
58      -2197.33      -424.64       -54.15        -22.90        2.95          
59      -2100.94      -392.27       -57.11        -22.90        2.77          
60      -1289.14      -369.54       -47.74        -22.90        2.83          
61      -1576.03      -337.84       -47.71        -22.90        2.82          
62      -1777.97      -413.07       -44.42        -22.90        2.76          
63      -1401.25      -418.55       -31.28        -22.90        2.80          
64      -2123.53      -396.07       -65.57        -22.90        2.77          
65      -2037.18      -411.58       -55.83        -22.90        2.85          
66      -1475.84      -391.40       -26.82        -22.90        2.75          
67      -1502.71      -458.75       -69.52        -22.90        2.81          
68      -2180.26      -440.54       -89.53        -22.90        2.86          
69      -1911.59      -402.35       -22.22        -22.90        2.84          
70      -1782.72      -399.62       -32.49        -22.90        2.84          
71      -1287.47      -400.08       -66.78        -22.90        2.78          
72      -1489.99      -398.37       -27.58        -22.90        2.82          
73      -2658.56      -461.59       -77.71        -22.90        2.73          
74      -1592.63      -393.20       -58.21        -22.90        2.83          
75      -1281.97      -352.73       -35.60        -22.90        2.78          
76      -2108.54      -379.30       -53.51        -22.90        2.84          
77      -2545.53      -338.39       -48.15        -22.90        2.85          
78      -1133.32      -321.02       -54.41        -22.90        2.75          
79      -1677.75      -332.45       -36.13        -22.90        2.84          
80      -2538.13      -372.11       -55.96        -22.90        2.78          
81      -1747.31      -376.10       -21.02        -21.04        2.87          
82      -2982.68      -383.66       -38.09        -21.04        2.72          
83      -1326.97      -347.28       -47.66        -21.04        2.84          
84      -1063.87      -314.93       -39.76        -21.04        2.87          
85      -1626.62      -318.25       -28.34        -21.04        2.82          
86      -1393.86      -312.97       -37.11        -21.04        2.74          
87      -1645.28      -349.11       -43.75        -21.04        2.76          
88      -2188.59      -341.67       -41.63        -21.04        2.79          
89      -1271.58      -332.98       -33.15        -21.04        2.83          
90      -1630.51      -344.99       -16.91        -17.95        2.85          
91      -1260.08      -330.82       -41.39        -17.95        2.77          
92      -1779.92      -355.59       -27.35        -17.95        2.81          
93      -1376.06      -315.12       -37.62        -17.95        2.76          
94      -1477.62      -296.19       -37.36        -17.95        2.88          
95      -1598.81      -327.70       -24.26        -17.95        2.78          
96      -1878.43      -381.03       -32.02        -17.95        2.76          
97      -1536.98      -315.12       -35.88        -17.95        2.82          
98      -1318.51      -315.24       -21.03        -17.95        2.75          
99      -1230.61      -341.58       -32.34        -17.95        2.84          
100     -1848.68      -356.13       -14.45        -14.30        2.76          
101     -1324.81      -326.87       -29.24        -14.30        2.80          
102     -2207.86      -297.24       -25.85        -14.30        2.79          
103     -1324.70      -286.16       -25.31        -14.30        2.74          
104     -1050.34      -299.66       -23.14        -14.30        2.80          
105     -1675.02      -353.97       -25.79        -14.30        2.81          
106     -1349.86      -279.23       -28.71        -14.30        2.82          
107     -1302.46      -298.09       -20.15        -14.30        2.79          
108     -1683.97      -296.74       -29.48        -14.30        2.88          
109     -2263.95      -302.29       -20.64        -14.30        2.88          
110     -1790.24      -299.48       -36.71        -14.30        2.79          
111     -1346.92      -285.01       -23.75        -14.30        2.80          
112     -1455.98      -281.48       -41.97        -14.30        2.76          
113     -1311.34      -263.16       -22.28        -14.30        2.77          
114     -1170.46      -277.74       -30.80        -14.30        2.79          
115     -1146.44      -259.98       -39.91        -14.30        2.78          
116     -1077.91      -256.31       -27.02        -14.30        2.83          
117     -1891.67      -294.38       -39.11        -14.30        2.84          
118     -1169.21      -266.07       -31.27        -14.30        2.78          
119     -1094.52      -248.04       -27.92        -14.30        2.79          
120     -912.09       -289.61       -32.18        -14.30        2.79          
121     -1984.05      -324.80       -27.97        -14.30        2.80          
122     -1413.74      -275.34       -27.50        -14.30        2.80          
123     -1071.76      -282.05       -33.30        -14.30        2.80          
124     -1509.55      -294.45       -40.79        -14.30        2.81          
