number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: True
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 95
	differential_equation: separated
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 10165
Free Parameters: {'V': 950, 'W': 9025, 'T': 190}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -310.00       66.07         375.00        -89.00        10.22         
1       -380.00       -108.04       270.00        7.00          10.41         
2       -580.00       -126.52       160.00        7.00          10.62         
3       -455.00       -51.07        195.00        7.00          10.34         
4       -420.00       -112.37       145.00        7.00          10.84         
5       -500.00       -144.51       225.00        7.00          10.92         
6       -305.00       33.84         430.00        7.00          10.41         
7       -400.00       -12.10        260.00        7.00          10.37         
8       -480.00       -88.26        400.00        7.00          10.39         
9       -530.00       -144.46       170.00        7.00          10.46         
10      -470.00       -97.63        155.00        7.00          10.71         
11      -615.00       -124.69       135.00        7.00          10.43         
12      -520.00       -144.91       115.00        7.00          10.41         
13      -370.00       1.65          310.00        7.00          10.37         
14      -510.00       -54.78        220.00        7.00          10.49         
15      -310.00       -42.50        215.00        7.00          10.33         
16      -485.00       -102.14       285.00        7.00          10.30         
17      -500.00       -116.83       245.00        7.00          10.38         
18      -370.00       -99.96        130.00        7.00          10.27         
19      -420.00       -120.27       135.00        7.00          10.30         
20      -350.00       -11.56        320.00        7.00          10.32         
21      -440.00       -88.39        165.00        7.00          10.40         
22      -460.00       -93.44        150.00        7.00          10.36         
23      -500.00       -70.94        205.00        7.00          10.37         
24      -445.00       -96.47        175.00        7.00          10.40         
25      -445.00       -64.78        270.00        7.00          10.43         
26      -350.00       -76.79        225.00        7.00          10.41         
27      -325.00       -76.70        155.00        7.00          10.40         
28      -485.00       -115.54       125.00        7.00          10.37         
29      -425.00       -24.24        315.00        7.00          10.39         
30      -290.00       -30.04        275.00        7.00          10.39         
31      -295.00       57.72         425.00        7.00          10.38         
32      -340.00       -30.04        235.00        7.00          10.40         
33      -560.00       -49.69        165.00        7.00          10.40         
34      -760.00       -188.97       300.00        7.00          10.42         
35      -355.00       8.21          370.00        7.00          10.40         
36      -190.00       88.39         330.00        7.00          10.40         
37      -255.00       50.94         350.00        7.00          10.38         
38      -445.00       -67.99        225.00        7.00          10.39         
39      -300.00       59.29         390.00        7.00          10.42         
40      -285.00       -1.70         255.00        7.00          10.40         
41      -410.00       -59.38        335.00        7.00          10.26         
42      -395.00       -36.83        310.00        15.00         10.38         
43      -315.00       -43.44        295.00        15.00         10.41         
44      -560.00       -253.84       50.00         15.00         10.45         
