number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: True
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 20
	differential_equation: original
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 640
Free Parameters: {'V': 200, 'W': 400, 'T': 40}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -205.00       -31.47        100.00        -45.00        4.54          
1       -255.00       -39.82        75.00         -12.00        4.32          
2       -150.00       -13.12        150.00        -12.00        4.14          
3       -210.00       -43.53        100.00        -12.00        3.76          
4       -125.00       -0.89         150.00        2.00          3.83          
5       -105.00       13.35         150.00        25.00         3.78          
6       -150.00       -8.44         165.00        25.00         4.38          
7       -185.00       1.34          190.00        25.00         3.80          
8       -160.00       -25.13        115.00        25.00         3.83          
9       -210.00       -30.40        200.00        26.00         4.09          
10      -175.00       -54.55        90.00         26.00         4.29          
11      -220.00       -32.95        100.00        26.00         4.00          
12      -140.00       -16.07        100.00        26.00         3.79          
13      -280.00       -65.09        75.00         26.00         3.77          
14      -135.00       39.24         165.00        26.00         4.13          
15      -160.00       -21.43        75.00         26.00         3.83          
16      -125.00       -12.77        75.00         26.00         4.33          
17      -150.00       -17.90        125.00        26.00         3.76          
18      -230.00       -15.94        75.00         26.00         4.52          
19      -150.00       -20.22        65.00         26.00         3.89          
20      -185.00       -48.39        55.00         26.00         3.79          
21      -150.00       0.67          125.00        26.00         3.75          
22      -185.00       -45.13        75.00         26.00         3.86          
23      -115.00       -23.97        40.00         26.00         4.17          
24      -150.00       -6.38         125.00        26.00         4.18          
25      -90.00        20.27         100.00        26.00         4.33          
26      -140.00       -27.19        100.00        26.00         4.43          
27      -195.00       -23.35        100.00        26.00         4.13          
28      -185.00       -3.30         100.00        26.00         3.81          
29      -115.00       -17.54        50.00         26.00         3.79          
30      -185.00       -17.01        150.00        26.00         3.81          
31      -125.00       -10.67        100.00        26.00         4.19          
32      -140.00       -30.67        75.00         26.00         3.78          
33      -140.00       -35.27        50.00         26.00         3.75          
34      -55.00        23.66         175.00        26.00         3.78          
35      -65.00        37.46         150.00        26.00         3.79          
36      -105.00       -25.09        75.00         26.00         3.78          
37      -150.00       12.99         200.00        26.00         4.27          
38      -150.00       1.47          100.00        26.00         3.76          
39      -150.00       -31.21        125.00        26.00         4.04          
40      -150.00       3.84          100.00        26.00         3.80          
41      -150.00       -4.06         100.00        26.00         3.82          
42      -265.00       -86.38        25.00         26.00         3.80          
43      -140.00       -37.68        80.00         26.00         3.79          
44      -160.00       -40.09        65.00         26.00         3.72          
45      -105.00       -8.48         150.00        26.00         3.79          
46      -100.00       -9.46         75.00         26.00         3.75          
47      -150.00       -18.17        75.00         26.00         3.74          
48      -115.00       -21.65        50.00         26.00         3.77          
49      -140.00       -2.90         115.00        26.00         3.85          
50      -210.00       -85.94        65.00         26.00         3.78          
51      -170.00       -18.12        100.00        26.00         3.73          
52      -150.00       14.02         100.00        26.00         3.73          
53      -140.00       14.91         100.00        29.00         3.74          
54      -175.00       -8.30         100.00        29.00         3.90          
55      -80.00        1.47          125.00        29.00         3.81          
56      -65.00        49.33         175.00        29.00         3.78          
57      -105.00       -2.05         75.00         29.00         4.09          
58      -175.00       -30.89        75.00         29.00         3.73          
59      -150.00       39.73         190.00        29.00         3.74          
60      -80.00        9.51          125.00        29.00         3.73          
61      -195.00       -5.54         125.00        29.00         3.72          
62      -105.00       -20.54        70.00         29.00         3.86          
63      -125.00       -23.75        50.00         29.00         3.84          
64      -220.00       -23.21        100.00        29.00         4.02          
65      -210.00       -59.82        115.00        29.00         3.79          
66      -105.00       -6.61         125.00        29.00         3.80          
67      -210.00       -72.23        15.00         29.00         3.70          
68      -195.00       -23.08        105.00        29.00         3.78          
69      -150.00       7.95          100.00        29.00         3.79          
70      -115.00       -12.28        50.00         29.00         3.78          
71      -150.00       -7.86         125.00        29.00         3.79          
72      -185.00       2.14          125.00        29.00         3.79          
73      -70.00        33.62         125.00        29.00         3.77          
74      -150.00       4.42          140.00        29.00         3.74          
75      -175.00       -7.95         125.00        29.00         3.89          
76      -90.00        44.60         125.00        29.00         3.77          
77      -135.00       -8.93         115.00        29.00         4.01          
78      -210.00       -59.46        90.00         29.00         3.80          
79      -220.00       -10.18        90.00         29.00         3.73          
80      -90.00        16.70         105.00        29.00         3.91          
81      -80.00        24.15         150.00        29.00         4.11          
82      -135.00       19.02         170.00        29.00         3.78          
83      -145.00       -15.67        100.00        29.00         3.76          
84      -110.00       21.47         190.00        29.00         3.76          
85      -140.00       -0.13         125.00        29.00         4.07          
86      -185.00       -30.45        50.00         29.00         3.75          
87      -160.00       -26.29        140.00        29.00         3.75          
88      -150.00       -2.59         225.00        29.00         3.76          
89      -115.00       11.21         125.00        29.00         4.12          
90      -160.00       -0.67         120.00        29.00         4.27          
91      -125.00       6.16          225.00        29.00         3.73          
92      -80.00        -3.66         80.00         29.00         3.91          
93      -175.00       -58.62        65.00         29.00         3.83          
94      -115.00       16.79         150.00        29.00         4.16          
95      -220.00       -63.30        90.00         29.00         3.75          
96      -105.00       19.87         150.00        29.00         3.75          
97      -80.00        60.40         240.00        29.00         3.74          
98      -100.00       29.46         165.00        29.00         4.11          
99      -115.00       13.39         100.00        29.00         3.74          
100     -80.00        5.54          100.00        29.00         3.90          
101     -170.00       -0.80         155.00        29.00         3.80          
102     -80.00        16.61         150.00        29.00         3.75          
103     -115.00       20.04         150.00        29.00         3.84          
104     -140.00       -13.48        165.00        29.00         3.65          
105     -150.00       41.16         265.00        29.00         3.69          
106     -210.00       -65.85        55.00         29.00         3.76          
107     -170.00       2.81          115.00        29.00         3.75          
108     -150.00       20.31         150.00        29.00         3.74          
109     -115.00       28.26         175.00        29.00         3.76          
110     -165.00       14.29         155.00        29.00         3.75          
111     -80.00        30.62         130.00        29.00         3.78          
112     -145.00       30.27         250.00        29.00         3.71          
113     -55.00        39.06         115.00        29.00         3.75          
114     -115.00       6.79          100.00        29.00         3.78          
115     -105.00       28.88         275.00        43.00         3.80          
116     -160.00       26.12         175.00        43.00         3.74          
117     -115.00       -24.78        140.00        43.00         3.79          
118     -135.00       21.56         150.00        43.00         3.75          
119     -210.00       9.06          250.00        43.00         3.99          
120     -65.00        68.79         200.00        43.00         3.93          
121     -175.00       5.89          115.00        43.00         3.95          
122     -70.00        10.22         200.00        43.00         3.78          
123     -185.00       -10.98        125.00        43.00         3.87          
124     -80.00        31.70         130.00        43.00         4.29          
125     -100.00       11.70         175.00        43.00         3.74          
