number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: True
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: LSTMNN
	hidden_layer_structure: [50]
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 12300
Free Parameters: {'layer 0': {'input_weight_matrix': 2000, 'hidden_weight_matrix': 10000, 'bias': 200}, 'output_weight_matrix': 100}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -330.00       -65.62        140.00        -67.00        14.50         
1       -220.00       -54.91        150.00        -46.00        14.85         
2       -295.00       -26.07        120.00        -41.00        14.57         
3       -245.00       -25.04        165.00        -41.00        14.57         
4       -220.00       5.27          170.00        -41.00        14.62         
5       -410.00       -97.90        120.00        -7.00         14.59         
6       -260.00       13.79         215.00        -7.00         14.69         
7       -195.00       -35.58        115.00        -7.00         14.67         
8       -200.00       14.33         405.00        100.00        14.66         
9       -250.00       -59.15        130.00        100.00        14.69         
10      -265.00       -33.35        125.00        100.00        14.54         
11      -230.00       -18.66        260.00        100.00        14.47         
12      -230.00       -46.92        155.00        100.00        14.47         
13      -250.00       -60.80        105.00        100.00        14.67         
14      -255.00       -27.14        115.00        100.00        14.56         
15      -350.00       -72.37        90.00         100.00        14.52         
16      -430.00       -88.08        70.00         100.00        14.74         
17      -430.00       -113.79       135.00        100.00        14.79         
18      -300.00       5.98          175.00        100.00        14.75         
19      -205.00       23.48         225.00        100.00        14.80         
20      -225.00       -20.76        135.00        100.00        14.72         
21      -250.00       -20.40        170.00        100.00        14.79         
22      -195.00       8.57          190.00        100.00        14.75         
23      -240.00       -33.44        145.00        100.00        14.54         
24      -135.00       56.88         305.00        100.00        14.76         
25      -410.00       -35.04        190.00        100.00        14.70         
26      -275.00       -52.99        110.00        100.00        14.76         
27      -250.00       -24.11        130.00        100.00        14.73         
28      -215.00       4.78          215.00        100.00        14.68         
29      -195.00       -30.98        155.00        100.00        14.75         
30      -565.00       -137.81       75.00         100.00        14.72         
31      -320.00       -64.51        80.00         100.00        14.64         
32      -470.00       -114.38       110.00        100.00        14.69         
33      -255.00       -70.27        100.00        100.00        14.72         
34      -225.00       -45.40        130.00        100.00        14.66         
35      -225.00       -8.39         295.00        100.00        14.76         
36      -105.00       55.36         280.00        100.00        14.68         
37      -265.00       -3.66         255.00        100.00        14.68         
38      -125.00       55.62         255.00        100.00        14.68         
39      -230.00       -25.27        200.00        100.00        14.73         
40      -195.00       22.50         300.00        100.00        14.69         
41      -455.00       -64.46        130.00        100.00        14.62         
42      -275.00       -16.38        195.00        100.00        14.66         
43      -205.00       -47.99        215.00        100.00        14.66         
44      -180.00       -37.05        165.00        100.00        14.70         
45      -180.00       8.48          235.00        100.00        14.70         
46      -290.00       -81.43        140.00        100.00        14.74         
47      -170.00       36.61         280.00        100.00        14.81         
48      -250.00       -11.12        200.00        100.00        14.59         
49      -170.00       -29.06        185.00        100.00        14.63         
50      -355.00       -33.57        215.00        100.00        15.03         
51      -260.00       8.26          205.00        100.00        14.75         
52      -285.00       -65.27        175.00        100.00        14.77         
53      -135.00       39.96         255.00        100.00        14.74         
54      -380.00       -60.54        145.00        100.00        14.81         
55      -240.00       -57.63        285.00        100.00        14.73         
56      -215.00       -3.35         300.00        100.00        14.75         
57      -190.00       9.29          330.00        100.00        14.76         
58      -325.00       25.13         265.00        100.00        14.77         
59      -405.00       -46.29        200.00        100.00        14.78         
60      -195.00       16.79         305.00        100.00        14.80         
61      -155.00       37.72         295.00        100.00        14.78         
62      -265.00       -12.19        205.00        100.00        14.75         
63      -245.00       51.03         305.00        100.00        14.75         
64      -170.00       -26.96        170.00        100.00        14.76         
65      -215.00       39.60         315.00        100.00        14.82         
66      -375.00       -27.68        125.00        100.00        14.70         
67      -185.00       19.78         235.00        100.00        14.59         
68      -75.00        79.06         305.00        100.00        14.79         
69      -170.00       -1.47         285.00        100.00        14.77         
70      -340.00       -6.43         220.00        100.00        14.79         
71      -205.00       85.40         320.00        100.00        14.59         
72      -185.00       62.32         315.00        100.00        14.72         
73      -200.00       -34.73        155.00        100.00        14.72         
74      -375.00       -37.81        230.00        100.00        14.74         
75      -305.00       -51.70        140.00        100.00        14.74         
76      -255.00       45.58         310.00        100.00        14.76         
77      -260.00       19.78         305.00        100.00        14.88         
78      -205.00       -0.40         275.00        100.00        14.62         
79      -140.00       53.57         300.00        100.00        14.72         
80      -500.00       -188.17       145.00        100.00        14.70         
81      -170.00       63.88         310.00        144.00        14.84         
82      -325.00       174.20        485.00        144.00        14.82         
83      -200.00       24.06         260.00        144.00        14.76         
84      -210.00       39.20         335.00        144.00        14.88         
85      -150.00       113.35        590.00        144.00        14.87         
86      -155.00       61.03         280.00        144.00        14.90         
87      -25.00        204.91        480.00        144.00        14.88         
88      -160.00       99.55         375.00        144.00        14.80         
89      -370.00       17.37         290.00        144.00        14.89         
90      -150.00       91.21         370.00        144.00        14.86         
91      -145.00       183.48        515.00        144.00        14.86         
92      -140.00       119.82        455.00        144.00        14.90         
93      -205.00       29.60         305.00        144.00        14.91         
94      -415.00       -33.57        185.00        144.00        14.81         
95      -305.00       37.46         360.00        189.00        14.96         
96      -120.00       111.88        425.00        189.00        14.86         
97      -135.00       95.85         380.00        189.00        14.95         
98      -340.00       42.77         325.00        189.00        15.02         
99      -395.00       -45.58        225.00        189.00        14.89         
100     -290.00       11.38         325.00        189.00        14.76         
101     -345.00       -55.22        425.00        189.00        14.93         
102     -205.00       148.97        380.00        189.00        14.87         
103     -90.00        225.18        620.00        189.00        14.93         
104     -215.00       158.30        580.00        189.00        14.92         
105     -100.00       130.58        455.00        189.00        14.93         
106     -160.00       155.62        575.00        189.00        14.92         
107     -110.00       181.29        540.00        189.00        15.03         
108     -160.00       147.37        495.00        189.00        14.99         
109     0.00          286.25        745.00        189.00        15.16         
110     -290.00       59.87         355.00        189.00        14.95         
111     -190.00       112.72        325.00        189.00        15.00         
112     -200.00       100.13        535.00        189.00        14.93         
113     -255.00       50.71         350.00        189.00        14.92         
114     -180.00       83.75         395.00        209.00        14.95         
115     -130.00       180.36        435.00        209.00        15.02         
116     -155.00       163.84        560.00        209.00        14.92         
117     -15.00        217.63        455.00        209.00        14.95         
118     25.00         344.87        655.00        209.00        15.47         
119     -225.00       45.94         390.00        209.00        14.92         
120     -190.00       109.06        470.00        209.00        14.97         
121     -110.00       238.12        630.00        209.00        15.05         
122     -270.00       62.81         410.00        209.00        14.94         
123     -390.00       -6.96         255.00        209.00        14.94         
124     -205.00       57.46         310.00        209.00        14.90         
125     -190.00       172.59        545.00        209.00        15.43         
126     -210.00       213.66        645.00        209.00        15.27         
127     -300.00       56.52         335.00        209.00        15.21         
128     -310.00       -22.72        160.00        218.00        15.60         
129     -205.00       104.91        465.00        218.00        15.07         
130     -260.00       85.18         315.00        218.00        15.26         
131     -445.00       -32.68        240.00        218.00        14.85         
132     -195.00       150.62        520.00        218.00        14.89         
133     -155.00       96.61         370.00        218.00        15.09         
134     -85.00        114.24        475.00        218.00        14.92         
135     -300.00       120.31        530.00        218.00        14.79         
136     -155.00       120.36        460.00        291.00        14.90         
137     -200.00       84.51         390.00        291.00        14.92         
138     -190.00       103.21        475.00        291.00        14.91         
139     -145.00       312.41        800.00        291.00        14.97         
140     -250.00       54.15         400.00        291.00        15.01         
141     -165.00       107.99        420.00        291.00        14.90         
142     -235.00       5.49          275.00        291.00        14.69         
