experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
optimizer
	type: CMA-ES-Deap
	population_size: 100
	sigma: 1.0
elapsed_time: 4167.53987121582

Genome Size: 140
Free Parameters: {'V': 85, 'W': 25, 'T': 30}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -20.51        -3.01         67.10         121.60        16.60         
1       -54.68        -4.57         60.50         121.60        0.31          
2       -16.93        -3.96         73.27         121.60        0.28          
3       -19.43        2.22          322.39        323.88        0.76          
4       -30.69        -0.05         152.24        323.88        0.31          
5       -21.66        -0.19         69.31         323.88        0.36          
6       -17.99        1.31          112.21        323.88        0.32          
7       -83.60        3.02          85.58         323.88        0.35          
8       -55.07        2.94          112.33        323.88        0.38          
9       -45.24        9.45          138.84        323.88        0.39          
10      -61.56        24.89         959.34        916.36        1.07          
11      -39.49        16.24         254.14        916.36        0.42          
12      -71.49        29.80         350.73        916.36        0.81          
13      -32.79        26.46         349.17        916.36        0.72          
14      -33.72        41.48         447.91        916.36        0.52          
15      -55.69        47.73         320.80        916.36        0.54          
16      -45.35        52.27         435.47        916.36        0.64          
17      -41.05        59.90         694.94        916.36        0.97          
18      -51.00        59.97         382.29        916.36        0.55          
19      -34.30        84.35         484.62        916.36        0.87          
20      -41.15        76.92         461.41        916.36        0.52          
21      -44.55        91.84         591.41        916.36        0.74          
22      -19.04        112.52        701.19        916.36        0.98          
23      -25.69        141.61        488.61        916.36        0.81          
24      -81.31        150.32        1008.35       916.36        1.13          
25      -32.19        156.98        774.48        916.36        0.97          
26      -104.19       141.77        504.08        916.36        0.67          
27      -33.42        128.60        515.87        916.36        0.92          
28      -14.31        170.83        978.15        916.36        1.10          
29      -22.41        116.24        675.79        916.36        0.83          
30      -51.76        130.55        468.43        916.36        0.63          
31      -21.49        171.71        969.96        916.36        1.11          
32      -11.12        183.02        972.03        916.36        1.40          
33      -34.10        223.90        1026.24       967.26        1.13          
34      -56.04        227.44        997.77        967.26        1.14          
35      -37.73        247.81        1044.67       967.26        1.26          
36      -30.83        257.24        1055.57       967.26        1.24          
37      -12.05        354.91        1031.35       973.63        1.36          
38      -16.59        314.20        1275.55       973.63        1.23          
39      -50.64        408.61        1060.77       973.63        1.39          
40      -18.77        368.84        1017.41       1013.83       1.41          
41      -27.42        416.87        1056.29       1054.08       1.62          
42      -14.91        394.92        1064.38       1054.08       1.58          
43      -9.86         415.78        1024.28       1054.08       1.37          
44      -27.59        458.40        1064.92       1054.08       1.42          
45      -6.46         474.87        1069.30       1069.23       1.66          
46      -9.99         528.59        1065.15       1069.23       1.40          
47      -28.02        522.26        1083.01       1069.23       1.38          
48      -35.79        392.97        1040.46       1069.23       1.29          
49      -24.00        514.52        1067.95       1069.23       1.64          
50      -24.25        437.81        1062.61       1069.23       1.54          
51      -18.30        497.60        1059.63       1069.23       1.65          
52      -18.21        534.13        1067.10       1069.23       1.69          
53      -55.13        511.12        1065.78       1069.23       1.53          
54      -59.93        477.45        1066.46       1069.23       1.36          
55      -11.26        494.46        1060.21       1069.23       1.40          
56      -19.29        443.39        1056.55       1069.23       1.60          
57      -16.44        517.78        1068.86       1070.36       1.38          
58      -11.29        510.99        1070.38       1070.36       1.47          
59      -15.85        509.42        1068.61       1070.36       1.48          
60      -57.61        556.09        1067.44       1070.36       1.42          
61      -16.29        641.12        1065.75       1070.36       1.70          
62      -14.45        641.88        1066.54       1070.36       1.58          
63      -17.40        496.37        1068.93       1070.36       1.47          
64      -6.48         620.65        1070.18       1070.36       1.69          
65      -12.65        586.20        1067.97       1070.36       1.50          
66      -28.35        546.87        1068.12       1070.36       1.47          
67      -23.46        526.72        1067.10       1070.36       1.47          
68      -10.74        609.39        1067.75       1070.36       1.67          
69      -16.18        578.33        1072.62       1070.36       1.71          
70      -17.57        615.92        1069.10       1070.36       1.67          
71      -14.28        565.20        1070.72       1070.36       1.68          
72      -22.12        546.40        1067.26       1070.36       1.52          
73      -15.83        711.61        1070.22       1070.36       1.60          
74      -10.37        718.32        1072.74       1070.36       1.67          
75      -19.30        621.78        1073.61       1070.36       1.71          
76      -13.68        581.60        1070.03       1070.36       1.55          
77      -17.85        654.86        1073.80       1070.36       1.64          
78      -17.91        707.41        1067.93       1070.36       1.70          
79      -10.40        642.30        1070.24       1070.36       1.74          
80      -19.08        729.93        1076.38       1073.14       1.79          
81      -16.63        644.05        1080.60       1079.23       1.53          
82      -13.27        555.07        1067.37       1079.23       1.41          
83      -12.27        896.71        1070.21       1079.23       1.77          
84      -15.42        732.51        1070.14       1079.23       1.75          
85      -10.47        694.46        1070.85       1079.23       1.74          
86      -13.04        685.76        1071.33       1079.23       1.72          
87      -13.83        786.84        1071.08       1079.23       1.76          
88      -14.99        774.20        1074.26       1079.23       1.70          
89      -17.01        723.00        1071.86       1079.23       1.64          
90      -14.99        741.19        1072.41       1079.23       1.77          
91      -17.89        700.91        1073.37       1079.23       1.70          
92      -3.61         714.51        1071.94       1079.23       1.64          
93      -8.06         741.99        1071.61       1079.23       1.59          
94      -3.83         750.67        1073.52       1079.23       1.67          
95      -17.75        725.81        1072.67       1079.23       1.74          
96      -14.31        751.95        1072.94       1079.23       1.68          
97      -18.46        689.57        1071.50       1079.23       1.71          
98      -13.13        729.68        1077.04       1079.23       1.70          
99      -12.57        794.76        1078.79       1079.23       1.71          
100     -12.55        627.39        1073.94       1079.23       1.46          
101     -12.19        668.08        1070.50       1079.23       1.77          
102     -20.77        682.11        1073.97       1079.23       1.79          
103     -13.30        772.74        1072.77       1079.23       1.62          
104     -11.72        631.41        1072.25       1079.23       1.77          
105     -8.24         704.67        1072.49       1079.23       1.65          
106     -18.87        566.33        1072.74       1079.23       1.45          
107     -10.20        661.72        1072.80       1079.23       1.51          
108     -9.40         756.99        1071.69       1079.23       1.70          
109     -13.37        714.59        1073.32       1079.23       1.62          
110     -8.00         703.45        1073.41       1079.23       1.62          
111     -14.90        736.91        1074.42       1079.23       1.64          
112     -14.79        712.29        1072.16       1079.23       1.75          
113     -14.58        780.83        1072.13       1079.23       1.67          
114     -15.76        750.50        1074.40       1079.23       1.74          
115     -10.23        804.37        1073.56       1079.23       1.74          
116     -13.20        721.22        1075.05       1079.23       1.82          
117     -14.56        824.64        1073.48       1079.23       1.73          
118     38.47         809.72        1073.55       1079.23       1.73          
119     -14.44        722.06        1073.35       1079.23       1.64          
120     -9.94         769.80        1072.81       1079.23       1.71          
121     -11.84        739.29        1074.86       1079.23       1.68          
122     -10.82        751.96        1074.41       1079.23       1.59          
123     -9.57         879.60        1073.07       1079.23       1.76          
124     -2.44         780.36        1074.00       1079.23       1.76          
125     -16.70        749.32        1076.46       1079.23       1.76          
126     -12.73        799.99        1074.35       1079.23       1.74          
127     -10.54        851.12        1073.13       1079.23       1.75          
128     -7.90         682.62        1074.26       1079.23       1.56          
129     -10.53        729.40        1073.07       1079.23       1.68          
130     -13.84        688.45        1075.45       1079.23       1.52          
131     -11.23        662.08        1075.28       1079.23       1.72          
132     -10.62        744.14        1074.13       1079.23       1.66          
133     -9.87         785.42        1074.66       1079.23       1.72          
134     -2.07         852.79        1071.46       1079.23       1.63          
135     -7.71         703.77        1075.40       1079.23       1.73          
136     107.38        781.70        1074.03       1079.23       1.70          
137     -10.74        768.30        1076.51       1079.23       1.66          
138     -8.85         836.78        1074.16       1079.23       1.81          
139     -9.17         839.39        1072.86       1079.23       1.74          
140     -11.36        709.47        1073.70       1079.23       1.74          
141     -11.06        716.83        1075.55       1079.23       1.68          
142     17.08         907.47        1072.75       1079.23       1.77          
143     -9.93         750.93        1075.58       1079.23       1.77          
144     -8.94         802.30        1072.73       1079.23       1.70          
145     -3.99         841.94        1072.99       1079.23       1.73          
146     -10.53        784.96        1073.03       1079.23       1.63          
147     -6.43         834.18        1072.99       1079.23       1.78          
148     -9.46         728.38        1074.14       1079.23       1.73          
149     -6.81         886.94        1074.55       1079.23       1.77          
150     -4.00         828.28        1072.97       1079.23       1.75          
151     67.23         880.11        1073.26       1079.23       1.80          
152     156.17        841.88        1074.08       1079.23       1.81          
153     -8.33         814.09        1074.22       1079.23       1.82          
154     -8.27         850.43        1072.21       1079.23       1.76          
155     -24.07        732.66        1074.79       1079.23       1.73          
156     72.11         894.90        1073.87       1079.23       1.77          
157     -11.84        773.34        1074.39       1079.23       1.84          
158     -7.59         854.05        1074.69       1079.23       1.90          
159     -14.54        838.71        1073.49       1079.23       1.80          
160     -10.18        759.42        1074.76       1079.23       1.78          
161     79.39         832.68        1074.40       1079.23       1.80          
162     46.34         799.55        1075.84       1079.23       1.81          
163     -10.34        790.26        1072.77       1079.23       1.75          
164     -8.85         816.80        1073.18       1079.23       1.72          
165     -12.17        787.38        1075.54       1079.23       1.69          
166     -6.73         845.04        1073.74       1079.23       1.76          
167     -11.90        675.14        1074.02       1079.23       1.70          
168     -12.41        805.97        1074.26       1079.23       1.67          
169     -13.06        755.41        1083.07       1079.23       1.74          
170     -12.87        719.16        1081.22       1079.23       1.73          
171     -7.23         739.68        1076.05       1079.23       1.74          
172     -14.64        835.03        1079.25       1079.23       1.74          
173     14.72         810.74        1085.57       1079.23       1.75          
174     -2.64         796.37        1079.82       1079.23       1.73          
175     49.43         799.34        1094.08       1079.23       1.74          
176     20.05         857.56        1086.27       1087.78       1.79          
177     -3.23         751.95        1082.44       1087.78       1.70          
178     -10.60        846.51        1086.83       1088.85       1.65          
179     3.01          768.58        1095.05       1088.85       1.74          
180     -12.35        810.96        1092.92       1088.85       1.72          
181     -10.06        780.00        1088.63       1088.85       1.70          
182     -13.60        752.03        1087.66       1088.85       1.69          
183     -12.03        765.79        1086.40       1088.85       1.71          
184     -11.05        759.63        1088.65       1089.34       1.75          
185     21.27         814.74        1085.78       1089.34       1.76          
186     -19.54        791.53        1115.34       1089.34       1.59          
187     16.01         837.97        1106.89       1089.34       1.78          
188     -12.13        873.63        1107.05       1089.34       1.73          
189     -12.17        772.28        1098.90       1089.34       1.70          
190     -13.23        713.97        1095.15       1089.34       1.63          
191     -13.53        746.41        1102.16       1089.34       1.69          
192     -11.15        699.22        1108.08       1089.34       1.70          
193     -12.39        720.39        1098.76       1089.34       1.71          
194     -14.95        794.68        1113.61       1089.34       1.70          
195     -14.40        691.28        1105.75       1089.34       1.67          
196     -21.01        811.07        1114.79       1089.34       1.73          
197     -10.61        768.99        1116.00       1106.43       1.60          
198     -14.80        760.02        1118.62       1106.43       1.70          
199     -9.25         801.39        1120.44       1115.49       1.67          
200     -17.12        768.39        1117.44       1115.49       1.70          
201     -9.48         783.47        1114.78       1115.49       1.68          
202     -11.90        792.84        1118.01       1115.49       1.61          
203     -16.42        743.32        1120.06       1118.34       1.66          
204     -11.34        812.41        1126.02       1118.34       1.69          
205     -19.71        802.26        1147.90       1145.19       1.63          
206     -12.82        814.26        1135.06       1145.19       1.77          
207     -12.99        759.21        1145.81       1145.19       1.69          
208     -12.50        861.69        1149.38       1145.19       1.69          
209     -12.70        812.86        1141.64       1145.19       1.69          
210     39.46         747.17        1139.39       1145.19       1.57          
211     30.34         785.96        1150.39       1150.72       1.68          
212     -12.19        826.25        1154.67       1150.72       1.73          
213     -11.54        796.91        1154.76       1150.72       1.67          
214     -18.30        781.11        1158.90       1150.72       1.74          
215     -15.10        868.28        1155.91       1156.34       1.67          
216     -15.08        855.82        1155.06       1163.27       1.67          
217     -14.09        823.38        1157.12       1163.27       1.59          
218     -16.40        727.48        1155.09       1163.27       1.67          
219     -8.82         794.54        1159.00       1163.27       1.66          
220     -15.57        882.28        1160.91       1163.27       1.67          
221     -10.03        870.94        1165.74       1163.27       1.68          
222     -13.03        801.98        1162.45       1163.27       1.65          
223     -4.43         796.03        1161.95       1163.27       1.68          
224     -6.53         906.35        1161.25       1163.27       1.65          
225     -13.12        899.36        1171.17       1166.95       1.66          
226     -14.16        807.85        1159.15       1166.95       1.64          
227     -12.42        858.46        1162.49       1166.95       1.69          
228     -14.63        925.08        1166.51       1166.95       1.67          
229     -21.55        903.13        1172.02       1166.95       1.68          
230     -57.07        914.69        1166.53       1166.95       1.74          
231     -13.45        922.24        1170.50       1166.95       1.75          
232     16.83         947.51        1171.84       1166.95       1.67          
233     -13.34        914.55        1168.43       1169.20       1.68          
234     -18.04        823.64        1171.57       1169.20       1.64          
235     -4.43         860.02        1164.39       1169.20       1.64          
236     4.31          935.20        1171.64       1169.20       1.75          
237     -10.40        971.34        1174.23       1169.20       1.72          
238     -2.64         920.31        1180.10       1169.20       1.68          
239     51.09         885.66        1177.75       1169.20       1.64          
240     -32.13        893.00        1181.93       1169.20       1.60          
241     -2.42         975.09        1194.02       1190.99       1.73          
242     30.18         977.99        1172.71       1190.99       1.70          
243     87.44         1057.95       1174.38       1190.99       1.64          
244     -13.67        967.14        1176.87       1190.99       1.69          
245     -2.30         913.37        1175.76       1190.99       1.69          
246     -8.40         952.77        1171.67       1190.99       1.75          
247     -13.75        910.44        1174.00       1190.99       1.68          
248     -13.68        982.38        1177.15       1190.99       1.70          
249     11.86         1026.26       1178.88       1190.99       1.70          
250     -9.13         1022.17       1191.16       1190.99       1.59          
251     34.52         1025.27       1176.00       1190.99       1.74          
252     -8.91         1058.78       1179.66       1190.99       1.70          
253     -14.21        943.82        1173.73       1190.99       1.73          
254     65.10         993.05        1179.89       1190.99       1.70          
255     -9.29         914.01        1176.55       1190.99       1.61          
256     -13.02        1044.33       1176.13       1190.99       1.68          
257     -1.15         995.13        1181.42       1190.99       1.72          
258     -13.16        1063.87       1179.37       1190.99       1.71          
