experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: True
optimizer
	type: CMA-ES-Deap
	population_size: 500
	sigma: 0.5
elapsed_time: 26380.9132604599

Genome Size: 3650
Free Parameters: {'V': 850, 'W': 2500, 'T': 300}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -21.47        -5.40         37.27         30.37         18.29         
1       -21.89        -4.79         158.55        92.14         3.96          
2       -32.62        -4.10         105.80        106.60        3.93          
3       -22.72        -4.23         200.08        212.05        3.88          
4       -23.60        -4.40         57.37         212.05        3.80          
5       -26.69        -4.19         111.86        212.05        3.87          
6       -22.65        -3.95         115.52        212.05        4.08          
7       -22.44        -3.68         40.66         212.05        3.93          
8       -22.90        -3.52         61.32         212.05        3.93          
9       -29.45        -2.47         139.19        212.05        4.04          
10      -28.57        -1.87         134.44        212.05        4.21          
11      -24.80        -0.10         199.35        212.05        4.16          
12      -43.70        -1.03         184.98        212.05        4.18          
13      -31.04        0.69          181.77        212.05        4.21          
14      -31.43        2.16          164.46        222.39        4.25          
15      -45.53        4.96          174.44        222.39        4.30          
16      -47.86        4.90          158.62        222.39        4.23          
17      -76.94        8.08          198.51        222.39        4.24          
18      -39.99        8.15          472.65        355.00        4.31          
19      -55.05        13.30         222.80        355.00        4.18          
20      -34.17        14.39         237.84        355.00        4.21          
21      -79.83        18.23         291.26        355.00        4.24          
22      -56.80        22.95         337.30        355.00        4.35          
23      -43.58        28.24         305.45        355.00        4.28          
24      -65.89        29.67         312.07        355.00        4.26          
25      -52.90        39.83         360.25        355.00        4.31          
26      -74.19        46.21         401.42        355.00        4.37          
27      -54.55        52.63         405.11        355.00        4.49          
28      -81.51        66.44         437.66        355.00        4.53          
29      -59.17        77.40         394.17        378.05        4.60          
30      -61.23        88.82         473.20        378.05        4.72          
31      -94.42        98.61         476.72        378.05        4.69          
32      -49.43        116.62        529.56        378.05        4.83          
33      -42.72        126.16        694.45        378.05        5.16          
34      -31.47        128.47        460.30        378.05        4.87          
35      -40.23        152.32        772.01        547.18        5.16          
36      -70.82        163.37        610.91        631.76        5.20          
37      -47.56        163.01        579.58        640.66        5.17          
38      -47.97        164.73        938.35        781.33        5.60          
39      -43.14        166.57        928.70        781.33        5.56          
40      -66.44        181.03        782.61        781.33        5.47          
41      -41.61        194.78        639.20        781.33        5.99          
42      -87.89        192.40        775.23        781.33        5.74          
43      -30.43        203.44        938.94        924.51        5.69          
44      -25.59        207.17        1040.19       924.51        5.82          
45      -93.13        202.84        889.54        924.51        5.58          
46      -38.09        193.57        952.45        950.17        5.56          
47      -22.53        213.40        903.51        950.17        5.43          
48      -30.03        224.85        941.13        950.17        5.99          
49      -21.81        222.80        957.92        950.17        5.96          
50      -32.28        226.14        998.12        973.11        6.12          
51      -21.79        229.18        1029.78       973.11        5.98          
52      -26.11        237.94        1024.95       973.11        5.90          
53      -37.99        235.54        1052.43       973.11        5.83          
54      -31.95        239.81        1025.98       998.08        5.85          
55      -38.49        239.68        969.51        998.08        5.68          
56      -26.04        248.24        1048.30       998.08        5.92          
57      -32.51        255.15        1021.25       998.08        5.93          
58      -29.41        262.47        971.70        998.08        5.92          
59      -16.78        256.31        1043.57       1047.33       6.11          
60      -29.94        260.78        1034.44       1047.33       6.32          
61      -19.56        301.75        1039.56       1047.33       6.45          
62      -66.89        278.73        1062.84       1063.58       6.15          
63      -36.23        301.21        1025.13       1063.58       6.31          
64      -32.45        317.92        1131.91       1063.58       6.48          
65      -19.14        316.05        1047.27       1063.58       6.42          
66      -25.61        337.45        1073.95       1063.58       7.16          
67      -16.30        341.10        1032.89       1063.58       7.00          
68      -71.81        343.17        1046.25       1063.58       6.92          
69      -17.34        345.72        1059.39       1063.58       6.93          
70      -22.99        366.25        1054.93       1063.58       7.36          
71      -62.29        385.00        1027.03       1063.58       7.26          
72      -20.53        398.25        1067.71       1070.52       7.51          
73      -35.79        405.89        1075.02       1070.52       7.44          
74      -27.48        433.34        1077.21       1083.08       7.88          
75      -42.95        411.27        1062.67       1083.08       7.46          
76      -68.39        422.65        1063.18       1083.08       7.66          
77      -46.13        449.47        1066.78       1083.08       7.79          
78      -36.33        437.29        1070.85       1083.08       7.33          
79      -31.43        467.53        1106.75       1083.08       7.49          
80      -37.11        479.91        1062.79       1083.08       7.71          
81      -28.14        473.73        1073.66       1083.08       7.65          
82      -21.68        486.48        1077.15       1083.08       7.70          
83      -15.61        496.38        1071.09       1083.08       7.86          
84      -17.83        489.30        1079.13       1083.08       7.81          
85      -22.34        517.05        1063.81       1083.08       8.49          
86      -15.29        536.29        1091.22       1083.08       8.33          
87      -2.02         538.11        1072.17       1083.08       8.03          
88      -11.82        546.54        1100.21       1083.08       8.17          
89      -40.81        579.11        1095.57       1083.08       8.48          
90      -21.06        571.06        1081.21       1083.08       8.25          
91      -15.45        570.70        1130.97       1083.08       8.24          
92      -9.58         592.58        1074.73       1083.08       8.47          
93      -15.88        603.08        1073.05       1083.08       8.66          
94      -12.43        580.43        1108.07       1083.08       8.25          
95      -15.00        622.21        1089.00       1083.08       9.03          
96      -9.49         635.79        1075.99       1083.08       8.94          
97      -21.03        609.39        1160.48       1083.08       9.01          
98      -26.41        659.45        1087.49       1083.08       8.79          
99      -41.43        652.32        1189.12       1147.90       8.51          
100     -48.86        623.89        1081.04       1147.90       8.61          
101     -21.15        651.89        1083.97       1147.90       8.75          
102     -13.50        618.77        1092.20       1147.90       8.28          
103     -21.14        615.04        1093.44       1147.90       8.46          
104     -12.34        664.30        1094.58       1147.90       8.79          
105     -17.89        676.55        1096.53       1147.90       8.80          
106     -10.72        673.26        1094.01       1147.90       8.79          
107     -34.32        625.48        1121.15       1147.90       8.87          
108     -13.48        691.03        1090.21       1147.90       9.27          
109     -5.53         643.10        1124.27       1147.90       8.69          
110     -40.93        723.42        1126.51       1147.90       9.50          
111     -10.50        641.42        1098.00       1147.90       8.43          
112     -45.42        618.43        1161.63       1147.90       8.29          
113     -18.60        718.71        1113.38       1147.90       8.72          
114     -26.34        645.10        1088.95       1147.90       8.74          
115     -14.53        642.57        1090.58       1147.90       8.85          
116     -15.04        626.99        1116.28       1147.90       8.48          
117     -64.87        706.83        1093.94       1147.90       9.12          
118     -20.46        700.60        1160.13       1168.97       8.92          
119     -12.51        730.93        1106.46       1168.97       9.26          
120     -23.51        663.04        1158.68       1168.97       8.86          
121     -28.09        680.73        1087.82       1168.97       8.92          
122     -87.03        686.61        1086.90       1168.97       9.04          
123     -13.72        661.70        1141.19       1168.97       8.81          
124     -31.52        727.19        1091.06       1168.97       9.40          
125     -21.27        702.18        1138.34       1168.97       9.06          
126     -25.39        666.44        1086.54       1168.97       8.86          
127     -9.23         746.78        1137.37       1168.97       9.38          
128     -17.33        736.24        1100.39       1168.97       9.25          
129     -9.87         710.32        1108.65       1168.97       9.14          
130     -10.48        689.62        1090.91       1168.97       9.08          
131     -11.77        683.29        1095.57       1168.97       8.89          
132     -13.91        691.85        1090.80       1168.97       8.95          
133     -15.65        671.10        1091.60       1168.97       8.89          
134     -25.75        713.81        1107.86       1168.97       9.04          
135     -46.44        702.90        1143.92       1168.97       9.29          
136     -22.06        677.15        1125.14       1168.97       8.74          
137     -54.25        666.68        1100.14       1168.97       8.61          
138     -27.86        715.30        1094.20       1168.97       9.06          
139     -35.36        694.60        1160.30       1168.97       8.98          
140     -21.31        744.13        1103.15       1168.97       9.18          
141     -35.49        683.11        1115.67       1168.97       8.92          
142     -14.20        762.88        1162.77       1177.00       9.25          
143     -44.51        696.80        1119.57       1177.00       9.21          
144     -12.05        772.69        1091.27       1177.00       9.14          
145     -37.51        742.38        1101.89       1177.00       9.04          
146     -11.83        708.89        1116.96       1177.00       8.97          
147     -25.87        685.18        1138.51       1177.00       8.91          
148     -18.99        691.60        1194.55       1177.00       8.75          
149     -50.32        725.52        1107.53       1177.00       9.34          
150     2.86          779.41        1111.94       1177.00       9.41          
151     -29.08        748.87        1150.49       1177.00       9.41          
152     -18.78        718.88        1140.50       1177.00       9.21          
153     -14.03        744.40        1097.18       1177.00       9.46          
154     -26.69        732.65        1142.30       1177.00       8.96          
155     -13.61        761.40        1099.15       1177.00       9.17          
156     -15.03        722.56        1118.59       1177.00       9.34          
157     -25.35        752.89        1157.09       1177.00       9.39          
158     -1.03         791.86        1166.88       1177.00       9.76          
159     -27.44        729.39        1127.95       1177.00       9.45          
160     -8.27         761.70        1177.96       1177.00       9.36          
161     -20.77        800.13        1120.24       1177.00       9.40          
162     -13.19        726.87        1150.55       1177.00       9.20          
163     -25.64        744.32        1170.42       1177.00       9.38          
164     -155.68       766.51        1125.10       1177.00       9.22          
165     -17.99        805.40        1136.09       1177.00       9.47          
166     -3.14         768.98        1110.26       1177.00       9.22          
167     -7.41         760.89        1182.16       1177.00       8.93          
168     -11.86        792.89        1187.60       1177.00       9.07          
169     -76.77        756.78        1136.53       1177.00       9.04          
170     -3.50         780.54        1149.45       1177.00       9.19          
171     -1.20         783.20        1136.88       1177.00       9.23          
172     -7.06         786.58        1164.66       1177.00       9.36          
173     -12.82        780.08        1173.06       1177.00       9.17          
174     -12.80        768.63        1160.85       1177.00       9.53          
175     -10.54        746.63        1159.22       1177.00       9.40          
176     -13.47        733.25        1162.92       1177.00       8.88          
177     -10.50        729.66        1119.43       1177.00       9.02          
178     -5.49         770.52        1133.16       1177.00       9.08          
179     -7.22         741.15        1156.85       1177.00       9.01          
180     -29.92        760.56        1186.86       1177.00       9.28          
181     -16.87        775.07        1178.73       1177.00       9.44          
182     -32.44        775.01        1175.05       1177.00       9.21          
183     -8.84         762.56        1172.06       1177.00       9.40          
184     -22.02        735.04        1178.32       1177.00       9.01          
185     -14.95        746.75        1154.77       1177.00       9.05          
186     -10.42        774.94        1146.90       1177.00       9.00          
187     -39.85        792.79        1159.19       1177.00       9.23          
188     -12.90        783.83        1194.34       1177.00       9.06          
189     -7.14         761.29        1143.45       1177.00       9.37          
190     -20.24        768.40        1161.60       1177.00       9.27          
191     -2.45         801.86        1154.49       1177.00       9.68          
192     -15.88        836.74        1141.13       1177.00       9.75          
193     -29.79        766.87        1168.13       1177.00       9.18          
194     -26.97        784.80        1157.87       1177.00       9.49          
195     -6.32         780.90        1181.09       1180.10       9.28          
196     -68.41        818.49        1157.18       1180.10       9.44          
197     -16.30        797.38        1150.46       1186.29       9.49          
198     -10.18        764.00        1196.40       1186.29       9.10          
199     -6.34         790.88        1155.90       1186.29       9.31          
200     9.62          795.56        1151.53       1186.29       9.30          
201     -13.14        793.26        1174.14       1186.29       9.17          
202     -13.21        756.29        1141.73       1186.29       9.25          
203     -14.24        819.03        1183.91       1186.29       9.48          
204     -17.00        777.77        1229.14       1220.19       9.04          
205     -7.27         852.14        1160.30       1220.19       9.69          
206     0.80          823.97        1268.49       1220.19       9.38          
207     -2.24         829.41        1169.94       1220.19       9.62          
208     1.38          749.08        1185.30       1220.19       9.33          
209     -7.28         852.86        1133.52       1220.19       9.95          
210     -19.87        793.07        1305.65       1220.19       9.74          
211     -1.98         849.23        1157.21       1220.19       9.65          
212     -40.01        802.28        1159.12       1220.19       9.42          
213     -3.79         812.80        1185.77       1220.19       9.43          
214     -14.67        786.70        1174.97       1220.19       9.20          
215     -15.29        810.30        1184.61       1220.19       9.54          
216     1.34          846.86        1219.44       1220.19       9.65          
217     -16.71        818.76        1191.88       1220.19       9.48          
218     -5.74         849.10        1186.83       1220.19       9.71          
219     -4.31         868.25        1182.63       1220.19       9.77          
220     49.84         858.39        1195.63       1220.19       9.96          
221     -30.09        867.85        1175.19       1220.19       10.11         
222     -5.29         834.02        1207.64       1220.19       9.83          
223     -5.78         863.82        1182.10       1220.19       9.95          
224     54.70         864.84        1150.70       1220.19       10.11         
225     -17.47        793.30        1192.82       1220.19       9.22          
226     -6.37         780.89        1254.96       1220.19       9.47          
227     -3.96         833.55        1239.92       1220.19       9.59          
228     -21.22        863.30        1195.40       1220.19       9.52          
229     -29.78        863.06        1181.31       1220.19       9.51          
230     -12.24        833.90        1187.99       1220.19       9.36          
231     -12.60        872.54        1177.78       1220.19       9.80          
232     -8.66         846.43        1226.76       1220.19       9.44          
233     -42.18        809.81        1193.56       1220.19       9.60          
234     -10.47        873.09        1265.81       1261.65       10.12         
235     -0.97         871.03        1227.45       1261.65       10.12         
236     51.35         860.71        1196.18       1261.65       9.84          
237     10.01         826.30        1199.69       1261.65       9.68          
238     -1.07         871.07        1231.79       1261.65       10.00         
239     2.88          799.02        1238.48       1261.65       9.77          
240     -126.87       832.46        1197.81       1261.65       9.55          
