experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
optimizer
	type: CMA-ES-Deap
	population_size: 500
	sigma: 1.0
elapsed_time: 8393.161729574203

Genome Size: 330
Free Parameters: {'V': 170, 'W': 100, 'T': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1615.74      -474.74       -7.14         -19.52        17.31         
1       -1181.30      -456.59       70.48         -19.52        3.85          
2       -1664.00      -449.30       401.61        364.37        3.79          
3       -1127.51      -431.56       98.39         364.37        4.01          
4       -1384.92      -440.68       -39.10        364.37        3.82          
5       -1889.45      -440.70       -150.79       364.37        3.75          
6       -1064.07      -436.30       122.41        364.37        3.90          
7       -1580.31      -434.23       106.96        364.37        3.88          
8       -1669.30      -427.83       8.46          364.37        3.88          
9       -1590.53      -429.10       153.77        364.37        3.99          
10      -1940.95      -426.15       -47.21        364.37        3.80          
11      -2234.94      -431.62       112.64        364.37        3.78          
12      -1979.96      -417.95       693.11        671.69        3.71          
13      -1397.03      -415.07       447.71        671.69        3.77          
14      -1531.23      -418.17       298.40        671.69        3.96          
15      -1396.26      -413.48       189.02        671.69        3.70          
16      -1343.64      -418.94       248.19        671.69        3.83          
17      -1523.59      -420.56       205.93        671.69        3.90          
18      -1751.57      -414.17       850.22        809.04        3.77          
19      -1516.08      -430.75       544.40        809.04        3.86          
20      -1698.93      -438.72       214.05        809.04        3.66          
21      -2015.87      -426.93       134.39        809.04        3.82          
22      -1245.11      -424.13       134.94        809.04        3.64          
23      -1101.85      -419.75       724.28        809.04        3.82          
24      -1716.76      -427.26       431.78        809.04        3.91          
25      -1914.42      -416.71       358.24        809.04        3.74          
26      -1384.01      -411.48       966.97        809.04        3.67          
27      -1446.01      -419.99       782.09        1005.41       3.72          
28      -1585.16      -417.63       448.57        1005.41       3.94          
29      -1212.70      -413.80       608.94        1005.41       3.64          
30      -2199.10      -414.67       829.49        1005.41       3.85          
31      -1802.75      -438.78       633.25        1005.41       3.62          
32      -1921.21      -425.37       801.96        1005.41       3.52          
33      -1165.51      -383.45       1565.64       1438.65       3.75          
34      -2633.89      -387.14       981.84        1438.65       3.68          
35      -1445.12      -331.11       1558.36       1438.65       3.48          
36      -1477.99      -286.81       1454.94       1438.65       3.65          
37      -1209.36      -263.54       1387.40       1440.37       3.36          
38      -2481.96      -208.78       1383.23       1440.37       3.48          
39      -1595.19      -158.86       1336.83       1440.37       3.55          
40      -2148.22      -105.99       1432.84       1440.37       3.36          
41      -1703.77      20.05         1426.34       1440.37       3.53          
42      -2104.22      58.80         1433.18       1440.37       3.29          
43      -2307.26      18.10         1611.99       1440.37       3.27          
44      -2035.00      17.64         1317.73       1440.37       3.33          
45      -1832.58      51.79         1400.13       1440.37       3.41          
46      -1837.58      36.82         1262.90       1440.37       3.22          
47      -2327.09      4.86          1659.33       1599.74       3.31          
48      -2260.23      59.74         1212.64       1599.74       3.51          
49      -2686.30      103.81        1390.26       1599.74       3.47          
50      -1973.79      115.93        1222.80       1599.74       3.55          
51      -1696.56      165.87        1360.34       1599.74       3.36          
52      -2021.11      151.11        1696.25       1599.74       3.22          
53      -2656.94      170.75        1476.42       1599.74       3.49          
54      -1808.08      190.89        1463.38       1599.74       3.50          
55      -2238.27      280.99        1614.18       1599.74       3.47          
56      -2613.94      202.63        1183.10       1599.74       3.24          
