experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: True
optimizer
	type: CMA-ES-Deap
	population_size: 500
	sigma: 2.0
elapsed_time: 11527.962147951126

Genome Size: 680
Free Parameters: {'V': 220, 'W': 400, 'T': 60}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.36         11.17         117.58        118.45        17.93         
1       -1.91         10.47         155.81        153.72        1.01          
2       -1.68         10.84         91.60         153.72        1.29          
3       -1.61         11.77         107.18        159.38        1.10          
4       -1.66         12.96         122.76        159.38        1.10          
5       -1.55         12.76         414.69        299.61        1.21          
6       -1.70         14.75         125.40        299.61        0.99          
7       -1.50         15.19         178.95        299.61        0.99          
8       -1.52         17.60         167.79        299.61        1.02          
9       -1.27         16.39         141.04        299.61        0.97          
10      -1.21         20.48         168.53        299.61        1.00          
11      -1.31         23.13         205.28        299.61        1.04          
12      -1.91         25.33         201.53        299.61        1.00          
13      -1.94         26.01         193.94        299.61        1.03          
14      -1.43         25.92         182.54        299.61        1.05          
15      -1.47         29.93         238.00        299.61        1.06          
16      -1.12         30.98         358.56        299.61        1.21          
17      -1.24         30.19         254.38        299.61        1.01          
18      -1.87         33.69         514.33        685.85        1.32          
19      -1.51         34.02         169.10        685.85        1.01          
20      -1.50         35.08         182.58        685.85        0.96          
21      -1.62         37.50         151.10        685.85        1.00          
22      -1.37         41.06         215.68        685.85        1.00          
23      0.17          43.74         200.87        685.85        0.99          
24      -1.24         45.08         262.06        685.85        1.13          
25      -1.45         47.22         196.52        685.85        1.07          
26      -1.58         50.77         259.52        685.85        1.04          
27      -0.84         50.86         253.15        685.85        1.04          
28      -0.63         56.96         278.06        685.85        1.04          
29      -1.35         54.40         414.59        685.85        1.13          
30      -0.85         54.49         234.59        685.85        1.05          
31      -1.46         64.54         274.25        685.85        1.10          
32      -1.49         63.02         869.56        720.87        1.60          
33      0.47          65.14         335.37        720.87        1.00          
34      -1.25         73.89         549.65        720.87        1.38          
35      -1.61         75.20         430.57        720.87        1.05          
36      -0.86         79.19         329.11        720.87        1.03          
37      1.00          80.39         291.38        720.87        1.07          
38      0.56          84.94         757.69        720.87        1.47          
39      -1.26         85.62         536.11        720.87        1.26          
40      0.43          89.99         345.10        720.87        1.11          
41      -1.33         95.79         995.45        996.12        1.66          
42      -0.92         94.30         1009.87       996.12        1.51          
43      -1.13         94.01         785.85        996.12        1.21          
44      -0.98         100.09        457.80        996.12        1.24          
45      0.63          101.36        1036.38       996.12        1.64          
46      2.50          102.63        1021.36       997.10        1.49          
47      -1.06         110.05        965.64        997.10        1.52          
