experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
elapsed_time: 4179.213772058487

Genome Size: 860
Free Parameters: {'V': 340, 'W': 400, 'T': 120}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -2684.16      -615.14       -151.76       -106.37       17.00         
1       -2258.41      -617.77       -204.48       -106.37       1.70          
2       -1379.25      -598.96       -214.83       -106.37       1.65          
3       -1040.31      -587.88       -291.95       -106.37       1.71          
4       -1066.34      -599.84       -187.57       -106.37       1.70          
5       -1664.46      -598.13       107.26        333.87        1.77          
6       -1785.21      -558.23       593.21        333.87        1.75          
7       -987.28       -554.56       -163.84       333.87        1.73          
8       -1201.45      -568.99       -239.50       333.87        1.70          
9       -1320.45      -547.56       -40.73        333.87        1.75          
10      -1350.12      -539.17       -14.43        333.87        1.73          
11      -1280.54      -536.80       -143.08       333.87        1.72          
12      -949.25       -499.46       57.43         333.87        1.73          
13      -846.11       -477.67       91.50         333.87        1.70          
14      -1249.51      -482.49       55.00         333.87        1.76          
15      -821.17       -426.63       143.22        333.87        1.72          
16      -1718.88      -408.55       215.17        333.87        1.71          
17      -820.15       -384.32       100.45        333.87        1.73          
18      -865.53       -315.67       211.75        333.87        1.71          
19      -960.38       -322.46       368.22        333.87        1.72          
20      -883.91       -262.35       182.00        333.87        1.73          
21      -821.52       -227.21       368.20        333.87        1.68          
22      -986.07       -232.07       283.76        333.87        1.66          
23      -1016.86      -180.07       315.02        333.87        1.68          
24      -732.53       -168.38       298.77        333.87        1.69          
25      -778.81       -95.89        424.18        521.92        1.68          
26      -603.25       -94.89        396.53        521.92        1.73          
27      -548.92       -60.23        770.91        544.87        1.69          
28      -598.73       -33.89        453.66        544.87        1.68          
29      -617.65       -29.07        582.18        568.38        1.68          
30      -766.16       -27.68        476.29        568.38        1.65          
31      -707.50       10.99         512.55        568.38        1.71          
32      -724.50       -7.75         557.75        582.68        1.72          
33      -683.98       39.62         560.43        582.68        1.69          
34      -696.22       76.27         611.82        582.68        1.69          
35      -1004.40      52.94         500.44        582.68        1.71          
36      -549.79       101.65        667.99        599.99        1.65          
37      -601.45       73.45         576.03        599.99        1.66          
38      -821.49       118.18        607.35        600.03        1.67          
39      -770.33       104.37        567.72        600.03        1.66          
40      -643.29       144.64        664.82        613.09        1.66          
41      -506.54       144.50        626.02        613.09        1.72          
42      -726.38       183.24        729.42        613.09        1.69          
43      -497.01       158.33        630.41        615.90        1.68          
44      -533.76       164.80        655.93        615.90        1.69          
45      -712.46       188.51        707.15        615.90        1.70          
46      -421.70       219.06        771.68        627.53        1.66          
47      -680.28       192.56        758.15        627.53        1.67          
48      -554.73       181.32        683.90        682.13        1.73          
49      -542.15       232.63        749.52        682.13        1.74          
50      -782.00       200.92        729.72        682.13        1.71          
51      -781.01       251.10        727.95        682.13        1.69          
52      -633.27       249.77        786.32        682.13        1.68          
