experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
optimizer
	type: CMA-ES-Deap
	population_size: 500
	sigma: 2.0
elapsed_time: 9284.962196111679

Genome Size: 860
Free Parameters: {'V': 340, 'W': 400, 'T': 120}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1232.37      -589.34       -50.62        -128.26       17.78         
1       -2163.80      -582.02       166.94        65.62         3.92          
2       -1408.38      -584.72       -70.37        65.62         3.92          
3       -1492.29      -579.59       63.56         65.62         3.77          
4       -1347.21      -582.30       -12.14        65.62         3.70          
5       -1397.01      -583.51       -72.34        65.62         3.72          
6       -1553.41      -584.84       -140.43       65.62         3.63          
7       -1786.31      -587.69       -151.23       65.62         3.90          
8       -1325.97      -577.48       43.41         65.62         3.78          
9       -1488.15      -590.86       -110.82       65.62         3.96          
10      -1741.97      -568.99       280.63        214.34        4.00          
11      -1649.66      -571.16       -69.19        214.34        3.82          
12      -1424.27      -576.61       -63.78        214.34        3.92          
13      -2075.82      -576.48       -71.03        214.34        3.65          
14      -2156.37      -570.74       342.13        464.87        3.85          
15      -1609.34      -557.94       27.40         464.87        3.85          
16      -1196.32      -547.10       252.12        464.87        3.84          
17      -2004.38      -547.51       149.98        464.87        3.70          
18      -1739.01      -544.24       238.03        464.87        3.90          
19      -2036.51      -517.96       148.22        464.87        3.64          
20      -1304.91      -510.85       175.52        464.87        3.78          
21      -2018.12      -503.26       287.89        464.87        3.69          
22      -1057.31      -465.95       441.12        464.87        3.76          
23      -1629.87      -468.90       53.54         464.87        3.80          
24      -1049.28      -432.42       665.47        607.65        3.81          
25      -2562.27      -407.47       262.45        607.65        3.57          
26      -922.37       -395.36       136.52        607.65        3.74          
27      -2249.53      -378.97       364.15        607.65        3.82          
28      -1091.25      -341.56       287.92        607.65        3.58          
29      -1133.06      -301.94       376.38        607.65        3.62          
30      -808.31       -272.60       475.53        607.65        3.88          
31      -1253.75      -274.78       550.27        607.65        3.72          
32      -894.87       -233.42       406.59        607.65        3.62          
33      -806.87       -216.47       400.22        607.65        3.88          
34      -1119.97      -209.09       517.83        607.65        3.90          
35      -872.00       -177.29       401.05        607.65        3.76          
36      -895.44       -174.20       569.59        607.65        3.73          
37      -1090.26      -166.67       488.22        607.65        3.65          
38      -819.72       -148.31       602.83        607.65        3.58          
39      -1388.13      -150.21       453.45        607.65        3.74          
40      -947.34       -105.31       428.85        607.65        3.72          
41      -883.42       -102.58       639.10        647.31        3.71          
42      -1192.42      -100.84       521.01        647.31        3.68          
43      -801.01       -84.49        554.27        647.31        3.56          
44      -802.88       -77.06        678.78        647.31        3.61          
45      -817.86       -59.43        723.30        647.31        3.60          
46      -963.24       -79.08        647.79        697.05        3.86          
47      -983.79       -59.96        671.52        697.05        3.86          
48      -1006.22      -51.04        599.13        697.05        3.79          
49      -1122.17      -48.33        702.62        697.05        3.52          
50      -822.28       -31.57        567.47        697.05        3.76          
51      -825.84       -13.21        685.21        699.86        3.57          
52      -959.09       36.73         606.94        699.86        3.61          
53      -641.93       33.98         650.76        699.86        3.71          
54      -798.16       21.40         734.50        699.86        3.56          
55      -877.68       18.52         667.27        699.86        3.55          
56      -1072.93      13.12         748.48        699.86        3.76          
57      -789.07       24.13         699.82        699.86        3.51          
58      -986.34       64.58         714.82        699.86        3.59          
59      -935.85       80.66         683.65        699.86        3.83          
60      -650.68       102.65        708.90        699.86        3.57          
61      -772.15       85.57         793.34        699.86        3.87          
