experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
optimizer
	type: CMA-ES-Deap
	population_size: 100
	sigma: 0.5
elapsed_time: 10706.505413293839

Genome Size: 3700
Free Parameters: {'V': 850, 'W': 2500, 'T': 300, 'x_0': 50}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -528.19       -433.96       -349.34       -388.68       18.73         
1       -546.24       -445.82       -344.35       -358.20       3.73          
2       -633.17       -444.82       -361.71       -358.20       3.68          
3       -548.54       -443.29       -346.60       -294.98       3.81          
4       -585.75       -444.42       -294.92       -294.98       3.81          
5       -552.25       -449.18       -370.26       -294.98       3.93          
6       -532.50       -449.43       -330.83       -294.98       3.92          
7       -531.67       -445.69       -369.10       -294.98       4.19          
8       -538.65       -452.77       -374.30       -294.98       3.95          
9       -587.69       -450.59       -275.22       -294.98       3.85          
10      -551.19       -445.09       -332.36       -294.98       3.90          
11      -583.48       -446.41       -317.10       -294.98       3.88          
12      -632.08       -444.55       -303.64       -294.98       3.92          
13      -538.52       -440.62       -321.16       -294.98       3.91          
14      -553.21       -445.69       -347.20       -294.98       3.83          
15      -745.96       -447.83       -343.72       -294.98       3.98          
16      -543.22       -439.33       -351.67       -294.98       4.10          
17      -652.17       -438.17       -303.91       -294.98       3.92          
18      -530.08       -433.45       -316.54       -294.98       3.89          
19      -975.33       -446.07       -341.01       -294.98       3.84          
20      -559.12       -434.45       -274.40       -294.98       3.83          
21      -544.54       -428.68       -155.29       -210.58       3.88          
22      -651.83       -433.69       -149.96       -197.60       3.99          
23      -640.45       -422.38       -85.53        -171.76       4.14          
24      -713.05       -429.55       -196.91       -171.76       4.02          
25      -1749.78      -426.42       -195.58       -171.76       3.67          
26      -745.63       -414.13       53.48         -27.07        3.82          
27      -746.22       -381.88       798.76        650.23        3.89          
28      -698.96       -357.43       1150.75       697.65        3.97          
29      -770.39       -335.26       423.44        697.65        3.98          
30      -1161.88      -315.68       670.43        697.65        3.80          
31      -1328.52      -297.90       408.16        697.65        3.82          
32      -1282.05      -212.28       985.84        697.65        3.86          
33      -921.17       -205.00       622.18        697.65        3.91          
34      -923.75       -186.58       785.11        697.65        4.05          
35      -776.37       -130.58       1046.11       697.65        4.21          
36      -794.56       -110.81       722.01        697.65        3.89          
37      -887.21       24.18         1110.93       697.65        4.14          
38      -772.47       27.04         1230.52       923.12        3.94          
39      -711.63       153.00        1265.68       1271.06       3.92          
40      -793.20       170.11        1774.09       1271.06       3.96          
41      -816.42       250.16        1387.32       1271.06       3.82          
42      -452.62       332.22        1735.31       1379.34       3.92          
43      -761.88       268.09        1106.33       1379.34       3.70          
44      -689.87       401.81        2369.35       2143.41       3.86          
45      -885.99       443.05        2164.32       2143.41       3.91          
46      -651.26       535.04        2411.75       2143.41       3.95          
47      -686.18       505.85        1557.33       2143.41       3.73          
48      -695.57       572.05        1753.15       2143.41       3.81          
49      -743.89       678.67        2266.14       2143.41       3.86          
50      -811.07       599.80        3233.20       2953.96       3.75          
51      -846.69       813.40        2382.14       2953.96       3.89          
52      -416.89       934.25        3170.45       3030.33       4.00          
53      -691.50       848.66        2379.81       3030.33       3.97          
54      -551.34       1013.56       3437.35       3030.33       4.26          
55      -885.90       999.24        2685.80       3030.33       4.03          
56      -785.85       925.83        2917.90       3030.33       4.11          
57      -317.34       1168.37       3167.70       3030.33       4.17          
58      -432.36       1307.62       3215.03       3030.33       3.93          
59      -521.22       1296.01       3454.51       3030.33       3.97          
60      -676.61       1319.20       3803.96       3250.23       3.80          
61      -629.75       1245.94       3111.72       3250.23       4.03          
62      -565.39       1262.70       3411.18       3250.23       3.98          
63      -569.94       1579.49       3572.59       3250.23       3.96          
64      -454.34       1696.37       3716.30       3489.20       3.98          
65      -603.23       1777.30       3542.83       3489.20       4.20          
66      -92.49        1939.64       4018.48       3522.48       4.01          
67      -338.16       1953.82       3966.27       3782.38       4.06          
68      -460.61       1834.36       3827.08       3782.38       4.17          
69      -124.29       2150.60       3959.84       3782.38       4.09          
70      -603.12       1953.63       4010.78       3782.38       4.23          
71      -504.60       1908.76       3915.67       3782.38       4.33          
72      -742.67       1867.89       4162.95       3782.38       4.38          
73      -675.78       2066.67       3931.96       3782.38       4.35          
74      -379.12       1923.07       3750.07       3782.38       4.31          
75      -266.94       2104.36       3883.39       3782.38       4.03          
76      -640.47       1816.18       4049.79       3782.38       4.08          
77      -456.55       2162.94       4294.48       3782.38       4.38          
78      -524.00       2257.27       4083.78       3798.82       4.22          
79      -662.75       2622.13       4105.83       3866.50       4.35          
80      -217.35       2684.93       3933.84       3866.50       4.26          
81      -34.74        2467.57       4311.87       3866.50       3.94          
82      -167.29       2518.58       3854.32       3866.50       4.13          
83      -648.54       2424.60       4058.12       3866.50       4.22          
84      -265.38       2342.71       3933.77       3866.50       4.22          
85      -423.45       2402.69       4349.58       3866.50       4.38          
86      -333.17       2399.16       3936.23       3866.50       4.36          
87      104.42        2747.86       4123.79       3866.50       4.46          
