experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
optimizer
	type: CMA-ES-Deap
	population_size: 500
	sigma: 1.0
elapsed_time: 12824.398508310318

Genome Size: 145
Free Parameters: {'V': 85, 'W': 25, 'T': 30, 'x_0': 5}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -22.66        -4.71         102.04        90.02         14.85         
1       -35.29        -4.64         103.29        90.02         1.00          
2       -54.08        -4.54         159.92        106.35        1.01          
3       -27.37        -5.37         57.26         106.35        1.02          
4       -34.33        -3.23         279.64        227.67        1.52          
5       -95.90        -4.08         349.39        260.78        1.00          
6       -43.21        -4.03         240.65        260.78        0.91          
7       -56.02        -2.69         162.21        260.78        0.97          
8       -46.54        -0.94         307.32        312.41        0.93          
9       -31.37        -1.43         344.23        347.71        0.86          
10      -36.70        0.91          339.37        347.71        1.23          
11      -29.67        0.06          193.76        347.71        0.93          
12      -31.81        2.05          120.30        347.71        0.85          
13      -68.38        3.52          429.42        347.71        1.15          
14      -81.63        3.58          209.60        347.71        0.92          
15      -32.79        5.80          276.51        347.71        0.98          
16      -59.52        5.47          279.08        347.71        1.05          
17      -53.06        10.28         654.42        347.71        1.12          
18      -47.88        7.18          332.90        347.71        0.90          
19      -89.42        14.82         732.41        347.71        1.32          
20      -61.20        10.50         243.41        347.71        0.88          
21      -60.19        13.78         376.74        347.71        1.17          
22      -51.68        10.69         240.58        347.71        0.94          
23      -60.69        10.75         249.99        347.71        1.00          
24      -31.73        10.89         215.53        347.71        0.94          
25      -58.10        9.17          216.79        347.71        0.95          
26      -28.04        11.22         319.21        347.71        0.94          
27      -86.23        10.52         420.70        347.71        1.04          
28      -60.06        15.02         255.30        347.71        0.89          
29      -51.24        16.24         306.64        347.71        0.91          
30      -81.72        14.62         256.05        347.71        0.89          
31      -31.58        16.33         430.07        347.71        0.86          
32      -43.55        18.23         330.81        347.71        0.97          
33      -35.10        16.26         156.21        347.71        0.84          
34      -62.40        19.34         301.88        347.71        1.07          
35      -29.46        16.63         295.52        347.71        0.84          
36      -23.26        15.68         229.91        347.71        0.81          
37      -41.30        16.48         372.63        347.71        0.88          
38      -106.63       14.02         228.08        347.71        0.82          
39      -37.83        17.88         272.61        347.71        1.00          
40      -57.78        13.60         156.24        347.71        0.84          
41      -22.72        15.83         208.16        347.71        0.81          
42      -51.53        15.95         272.93        347.71        0.82          
43      -55.19        17.08         229.28        347.71        0.85          
44      -66.23        19.93         220.68        347.71        0.82          
45      -31.44        21.60         262.48        347.71        0.90          
46      -28.82        19.50         220.48        347.71        0.86          
47      -41.59        20.64         233.22        347.71        0.81          
48      -45.02        26.77         255.72        347.71        0.83          
49      -48.14        24.18         250.06        347.71        0.83          
50      -17.58        22.76         240.87        347.71        0.85          
51      -52.31        24.94         271.16        347.71        0.81          
52      -31.14        25.02         239.88        347.71        0.91          
53      -38.41        24.85         260.50        347.71        0.80          
54      -50.12        22.24         402.87        347.71        0.80          
55      -180.99       23.79         257.41        347.71        0.86          
56      -39.16        25.45         231.52        347.71        0.86          
57      -39.48        25.33         318.30        347.71        0.84          
58      -45.90        21.25         190.90        347.71        0.82          
59      -71.63        21.70         226.11        347.71        0.84          
60      -32.11        21.73         253.42        347.71        0.86          
61      -53.33        23.78         224.72        347.71        0.89          
62      -36.09        22.79         298.89        347.71        0.87          
63      -45.90        21.90         266.98        347.71        0.86          
64      -34.30        23.59         209.68        347.71        0.82          
65      -22.95        20.79         199.77        347.71        0.85          
66      -46.46        22.86         190.81        347.71        0.84          
67      -42.45        23.42         215.72        347.71        0.86          
68      -79.75        23.63         283.37        347.71        0.83          
69      -121.72       25.51         282.39        347.71        0.86          
70      -51.57        28.29         188.80        347.71        0.82          
71      -54.14        29.91         262.54        347.71        0.88          
72      -71.37        33.24         266.53        347.71        0.91          
73      -51.46        26.88         271.01        347.71        0.88          
74      -70.87        28.53         260.90        347.71        0.85          
75      -40.88        29.05         253.56        347.71        0.89          
76      -31.00        29.47         534.29        357.27        1.17          
77      -31.09        29.01         535.23        357.27        1.07          
78      -33.52        25.22         293.18        357.27        0.89          
79      -50.39        31.85         226.19        357.27        0.87          
80      -43.76        31.37         280.44        357.27        0.86          
81      -63.94        32.40         279.62        357.27        0.92          
82      -44.53        31.20         329.04        357.27        0.91          
83      -48.97        29.55         287.16        357.27        0.84          
84      -66.53        28.61         321.99        357.27        0.95          
85      -35.60        31.79         290.11        357.27        0.83          
86      -235.98       35.70         295.79        357.27        0.91          
87      -38.81        32.01         290.83        357.27        0.85          
88      -48.86        37.31         253.07        357.27        0.92          
89      -44.76        38.31         345.51        357.27        1.00          
90      -50.41        36.66         376.61        357.27        0.93          
91      -37.12        33.95         365.27        357.27        0.87          
92      -68.82        28.45         259.18        357.27        0.86          
93      -48.72        30.63         353.92        357.27        0.93          
94      -33.55        32.32         340.56        357.27        0.91          
95      -48.60        30.51         278.23        357.27        0.87          
96      -25.55        40.07         331.44        357.27        0.90          
97      -50.36        35.47         345.06        357.27        0.95          
98      -45.76        35.35         347.97        357.27        0.97          
99      -52.31        36.28         304.28        357.27        0.87          
100     -73.32        33.25         287.28        357.27        0.92          
101     -33.26        36.33         286.24        357.27        0.89          
102     -38.21        30.26         246.53        357.27        0.89          
103     -63.51        39.08         457.27        357.27        1.07          
104     -58.80        43.62         362.96        357.27        1.03          
105     -50.81        39.64         298.26        357.27        0.88          
106     -62.19        38.43         362.75        357.27        0.94          
107     -28.92        33.98         342.55        357.27        0.87          
108     -35.73        36.89         305.28        357.27        0.88          
109     -57.35        43.76         384.04        357.27        0.94          
110     -84.10        42.07         331.27        357.27        0.95          
111     -74.28        44.08         396.22        357.27        0.98          
112     -57.33        48.78         313.59        357.27        0.98          
113     -66.59        53.26         328.99        357.27        0.94          
114     -50.17        51.74         343.97        357.27        0.97          
115     -35.46        51.15         531.78        357.27        1.03          
116     -53.66        46.83         398.75        357.27        0.97          
117     -28.35        48.33         367.67        357.27        0.91          
118     -25.13        51.60         311.41        357.27        0.92          
119     -41.98        51.13         297.77        357.27        0.90          
120     -59.38        50.77         402.72        548.13        1.14          
121     -44.28        45.89         368.87        548.13        1.01          
122     -54.23        48.49         318.26        548.13        0.93          
123     -42.29        56.22         384.17        548.13        0.95          
124     -31.94        57.68         428.22        548.13        1.10          
125     -55.07        59.31         331.39        548.13        1.07          
126     -84.68        56.54         314.20        548.13        0.93          
127     -48.04        55.00         476.70        548.13        0.89          
128     -27.57        57.86         376.39        548.13        0.96          
129     -62.93        48.60         298.99        548.13        0.93          
130     -96.04        58.02         359.45        548.13        1.03          
131     -46.42        55.40         406.27        548.13        0.94          
132     -28.27        58.04         414.14        548.13        0.96          
133     -31.36        53.89         300.38        548.13        1.01          
134     -25.48        58.43         369.39        548.13        0.98          
135     -67.74        60.51         310.57        548.13        1.14          
136     -32.64        65.45         335.40        548.13        0.92          
137     -43.57        62.30         413.03        548.13        0.92          
138     -52.84        54.70         348.33        548.13        0.98          
139     -96.68        48.65         420.96        548.13        1.09          
140     -54.66        51.07         509.99        548.13        1.23          
141     -48.94        62.16         471.78        548.13        0.98          
142     -32.55        57.59         488.66        548.13        0.93          
143     -59.80        58.95         578.65        548.13        1.15          
144     -59.00        63.43         421.09        548.13        1.10          
