experiment_id: 1
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
elapsed_time: 12338.945662975311

Genome Size: 3700
Free Parameters: {'V': 850, 'W': 2500, 'T': 300, 'x_0': 50}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -630.00       -572.34       -515.83       -555.86       19.96         
1       -632.91       -574.04       -522.96       -548.67       4.59          
2       -613.49       -570.62       -499.81       -548.67       4.66          
3       -660.34       -572.11       -526.71       -548.67       4.62          
4       -620.51       -571.61       -477.72       -542.33       4.65          
5       -713.89       -574.30       -520.21       -532.49       4.56          
6       -636.60       -573.37       -517.86       -532.49       4.64          
7       -634.25       -572.25       -529.90       -532.49       4.64          
8       -646.47       -572.67       -536.51       -532.49       4.69          
9       -649.71       -568.54       -507.70       -532.49       4.69          
10      -618.94       -567.03       -503.61       -532.49       4.86          
11      -675.76       -571.32       -526.93       -532.49       4.85          
12      -619.25       -570.59       -522.52       -532.49       4.84          
13      -626.39       -567.48       -504.96       -532.49       4.81          
14      -638.95       -568.51       -512.48       -532.49       4.85          
15      -635.79       -568.39       -522.68       -532.49       4.84          
16      -647.89       -570.62       -525.11       -532.49       4.74          
17      -627.75       -571.67       -529.31       -532.49       4.72          
18      -635.97       -569.39       -513.07       -532.49       4.75          
19      -638.48       -567.55       -520.75       -532.49       4.80          
20      -606.07       -567.78       -518.25       -532.49       4.81          
21      -620.55       -569.41       -527.78       -532.49       4.81          
22      -618.14       -569.29       -511.83       -532.49       4.82          
23      -639.13       -567.90       -513.85       -532.49       4.85          
24      -634.51       -568.95       -511.39       -532.49       4.78          
25      -645.20       -563.58       -502.99       -532.49       4.86          
26      -613.35       -566.63       -511.31       -532.49       4.86          
27      -624.59       -563.58       -514.00       -532.49       4.88          
28      -624.03       -562.95       -495.91       -532.49       4.94          
29      -609.12       -561.75       -372.99       -532.49       4.94          
30      -692.43       -566.47       -514.26       -532.49       4.95          
31      -636.84       -561.68       -504.27       -532.49       5.13          
32      -638.54       -563.90       -523.00       -532.49       5.24          
33      -632.62       -562.93       -487.70       -532.49       5.06          
34      -662.81       -562.30       -490.25       -532.49       5.18          
35      -637.00       -561.00       -479.94       -532.49       5.29          
36      -628.90       -565.79       -496.50       -525.28       5.23          
37      -616.71       -559.24       -481.91       -525.28       5.25          
38      -632.38       -562.43       -445.29       -525.28       5.24          
39      -622.95       -560.77       -507.05       -525.28       5.25          
40      -620.09       -552.72       -494.47       -525.28       5.25          
41      -648.96       -560.90       -490.95       -525.28       5.24          
42      -623.05       -557.56       -476.42       -525.28       5.08          
43      -650.17       -557.59       -478.58       -507.29       5.04          
44      -646.45       -560.79       -477.10       -507.29       5.14          
45      -626.91       -552.94       -477.44       -507.29       5.15          
46      -661.70       -553.61       -501.66       -507.29       5.16          
47      -624.45       -552.83       -473.23       -507.29       5.11          
48      -631.19       -550.47       -416.09       -453.55       5.29          
49      -665.67       -547.92       -443.15       -453.55       5.10          
50      -668.71       -549.30       -486.03       -453.55       4.84          
51      -646.73       -542.44       -396.90       -453.55       4.94          
52      -623.33       -543.54       -363.06       -453.55       5.26          
53      -666.74       -536.45       -445.94       -453.55       5.29          
54      -698.42       -533.31       -303.80       -404.91       5.11          
55      -624.88       -528.83       -291.79       -399.69       5.04          
56      -643.09       -522.42       -354.41       -399.69       5.02          
57      -673.13       -515.74       -283.82       -399.69       5.02          
58      -698.66       -507.87       -285.03       -389.61       4.98          
59      -665.58       -514.96       -327.02       -389.61       4.95          
60      -795.03       -501.58       -262.76       -357.05       5.14          
61      -691.56       -486.19       -167.81       -357.05       4.88          
62      -803.98       -486.51       -245.09       -357.05       5.37          
63      -718.66       -473.19       -162.49       -357.05       5.35          
64      -829.27       -465.70       -130.33       -357.05       5.33          
65      -702.93       -442.40       -81.83        -265.06       5.22          
66      -655.07       -423.47       107.10        -227.69       5.01          
67      -683.62       -406.33       207.62        -227.69       5.04          
68      -771.00       -403.27       -18.73        -34.74        5.32          
69      -754.12       -363.42       108.92        45.43         5.14          
70      -714.46       -329.91       329.21        67.38         5.07          
71      -611.57       -333.07       156.88        67.38         5.32          
72      -880.59       -285.16       257.35        67.38         4.96          
73      -709.71       -276.22       305.46        67.38         5.01          
74      -635.45       -259.82       386.01        135.40        4.92          
75      -664.20       -218.49       424.78        135.40        5.02          
76      -849.71       -161.27       855.50        135.40        4.97          
77      -643.55       -169.26       342.26        135.40        4.98          
78      -731.25       -133.13       443.91        206.02        4.94          
79      -632.15       -115.82       1145.35       451.99        5.14          
80      -749.78       -95.94        572.69        451.99        5.01          
81      -758.77       -49.73        583.83        451.99        4.95          
82      -750.55       -57.42        708.25        451.99        4.85          
83      -709.06       -6.70         779.22        451.99        4.98          
84      -687.51       6.20          1045.55       721.69        5.02          
85      -746.53       21.46         845.00        721.69        4.96          
86      -551.14       45.81         957.32        721.69        4.94          
87      -714.73       88.84         883.13        721.69        4.92          
88      -765.12       103.55        1110.19       739.71        4.82          
89      -741.61       187.89        1153.05       739.71        4.87          
90      -644.22       194.02        1019.46       739.71        4.98          
91      -884.49       275.29        1261.42       739.71        5.02          
92      -677.83       322.90        1243.09       743.72        4.98          
93      -655.94       370.97        1271.10       1236.43       4.64          
94      -920.01       472.77        1494.01       1236.43       4.75          
95      -633.02       477.01        1552.11       1236.43       4.74          
96      -634.14       526.15        1441.97       1236.43       4.87          
97      -629.64       521.56        1753.99       1236.43       4.95          
98      -1005.60      603.53        1593.45       1236.43       4.82          
99      -533.92       563.97        1824.72       1403.62       4.78          
100     -513.18       696.80        1865.65       1681.30       4.97          
101     -438.83       777.16        1740.24       1732.36       4.88          
102     -285.93       858.37        1867.22       1732.36       4.78          
103     -797.07       912.33        2121.69       1908.60       4.89          
104     -635.92       952.61        2320.90       1908.60       5.05          
105     -666.80       896.61        1969.21       1908.60       4.89          
106     -270.43       1037.87       3033.02       1908.60       4.79          
107     -185.99       1007.77       2132.44       2275.87       4.99          
108     -353.42       1082.66       2206.38       2275.87       5.03          
109     -260.96       1145.97       2221.02       2275.87       5.00          
110     -633.09       1186.97       2373.85       2275.87       5.00          
111     -715.00       1270.06       2215.89       2283.22       5.00          
112     -197.93       1305.84       2511.43       2283.22       4.84          
113     -447.03       1366.72       2537.43       2283.22       4.91          
114     -560.96       1353.83       2525.50       2283.22       4.82          
115     -84.51        1462.01       2466.00       2283.22       4.87          
116     -198.34       1418.74       2753.95       2283.22       4.83          
117     -675.54       1477.55       2503.59       2327.34       4.96          
118     -378.27       1427.76       2453.45       2517.10       4.98          
119     -203.09       1536.76       2530.76       2550.25       5.07          
120     -658.49       1546.25       2578.73       2550.25       5.14          
121     -319.74       1638.04       2873.87       2550.25       4.99          
122     -698.71       1658.17       2675.70       2550.25       4.91          
123     -321.58       1752.22       2692.11       2555.32       5.02          
124     76.06         1673.88       2623.99       2600.90       4.99          
125     -232.43       1719.48       2624.32       2600.90       4.96          
126     -822.94       1701.97       2570.71       2600.90       4.85          
127     -513.82       1732.97       2688.48       2600.90       4.93          
