experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
elapsed_time: 3685.3708164691925

Genome Size: 200
Free Parameters: {'V': 80, 'W': 100, 'T': 20}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -50.21        -4.83         73.71         47.05         17.38         
1       -77.10        -6.65         61.63         47.05         1.73          
2       -53.92        -3.71         51.27         50.59         1.70          
3       -106.33       -7.49         100.52        88.94         1.81          
4       -68.57        -2.17         124.33        118.69        1.69          
5       -47.59        -1.03         135.66        124.98        1.68          
6       -37.68        0.00          91.14         124.98        1.70          
7       -85.28        2.20          141.64        142.83        1.74          
8       -63.78        4.83          197.53        199.15        1.77          
9       -46.33        5.59          145.28        199.15        1.70          
10      -52.97        8.86          186.32        199.15        1.71          
11      -51.83        9.75          102.87        199.15        1.69          
12      -52.44        22.03         193.50        199.15        1.73          
13      -43.84        20.83         146.93        199.15        1.70          
14      -87.59        33.52         180.31        199.15        1.68          
15      -88.09        30.78         184.88        199.15        1.66          
16      -108.80       42.93         223.25        234.39        1.70          
17      -58.46        61.61         244.76        245.50        1.68          
18      -31.12        79.59         263.37        261.82        1.63          
19      -100.05       96.72         255.01        261.82        1.64          
20      -68.76        105.56        269.82        271.97        1.63          
21      -111.09       114.91        292.64        293.03        1.61          
22      -83.61        121.49        283.83        293.03        1.56          
23      -142.44       114.94        320.41        326.23        1.59          
24      -101.51       119.98        305.03        326.23        1.58          
25      -90.59        144.05        295.19        326.23        1.56          
26      -86.05        133.54        309.05        326.23        1.57          
27      -54.04        119.83        334.10        326.78        1.60          
28      -132.07       121.75        314.45        326.78        1.56          
29      -96.24        145.63        337.89        333.87        1.58          
30      -67.24        124.91        302.95        333.87        1.56          
31      -93.24        171.19        336.16        333.87        1.55          
32      -173.80       154.77        326.76        333.87        1.54          
33      -167.85       164.66        350.85        347.53        1.52          
34      -111.29       161.85        339.67        347.53        1.52          
35      -65.16        168.80        353.24        350.71        1.53          
36      -91.66        183.20        344.59        350.71        1.50          
37      -96.14        182.27        336.48        350.71        1.53          
38      -71.55        176.58        342.39        350.71        1.53          
39      -62.77        201.75        330.27        350.71        1.50          
40      -71.58        203.45        350.16        350.71        1.50          
41      -63.79        194.65        356.72        361.55        1.51          
42      -22.28        218.20        347.58        361.55        1.51          
43      -65.03        219.23        358.88        361.55        1.52          
44      -64.92        203.63        351.41        361.55        1.48          
45      -57.68        215.96        353.72        361.55        1.56          
46      -60.72        222.45        351.59        361.55        1.51          
47      -94.24        220.02        350.95        361.55        1.48          
48      -87.56        227.25        354.08        361.55        1.46          
49      -37.57        231.27        351.91        361.55        1.55          
50      -32.75        220.17        347.17        361.55        1.54          
51      -33.56        234.75        352.71        361.55        1.49          
52      -83.44        225.31        343.34        361.55        1.52          
53      -70.26        233.14        349.90        361.55        1.51          
54      -79.10        248.72        353.41        361.55        1.49          
55      -50.88        258.24        350.13        361.55        1.47          
56      -49.32        259.37        352.43        361.55        1.53          
57      -43.95        258.88        355.53        361.55        1.47          
58      -16.85        267.18        357.07        361.55        1.45          
59      -79.70        271.01        354.42        361.55        1.47          
60      -104.83       261.06        353.54        361.55        1.50          
61      12.97         274.51        350.46        361.55        1.48          
62      -13.36        273.01        351.73        361.55        1.47          
63      -41.92        276.56        354.75        361.55        1.46          
64      29.20         281.03        356.46        361.55        1.45          
65      -3.06         279.76        355.32        361.55        1.58          
66      -27.58        276.11        354.39        361.55        1.48          
67      -0.33         275.46        354.38        361.55        1.47          
68      -16.01        272.52        350.00        361.55        1.46          
69      81.71         287.04        355.56        361.55        1.48          
70      -16.33        285.54        352.71        361.55        1.48          
71      -7.21         282.28        350.66        361.55        1.51          
72      36.12         281.22        350.12        361.55        1.50          
73      -7.41         282.91        352.69        361.55        1.49          
74      -48.05        289.05        354.55        361.55        1.45          
75      17.57         283.02        354.82        361.55        1.46          
76      44.95         293.12        356.11        361.55        1.52          
77      27.88         287.40        352.41        361.55        1.51          
78      21.31         293.29        355.46        361.55        1.47          
79      -32.92        300.34        357.44        361.55        1.49          
80      11.72         295.07        355.27        361.55        1.47          
81      52.61         300.08        354.05        361.55        1.44          
82      22.11         295.05        355.97        361.55        1.51          
83      33.34         310.79        356.76        361.55        1.45          
84      27.01         302.67        355.73        361.55        1.44          
85      104.11        316.34        356.71        361.55        1.50          
