experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
elapsed_time: 14731.917200803757

Genome Size: 860
Free Parameters: {'V': 340, 'W': 400, 'T': 120}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -777.56       -577.07       -504.88       -537.49       10.89         
1       -738.04       -575.99       -341.88       -497.51       6.72          
2       -685.94       -575.00       -484.23       -497.51       6.79          
3       -723.75       -573.57       -347.17       -497.51       6.49          
4       -697.03       -574.35       -454.80       -497.51       6.58          
5       -743.33       -573.72       -473.03       -497.51       6.79          
6       -704.69       -573.02       -355.14       -476.58       6.74          
7       -729.54       -576.11       -446.83       -476.58       6.74          
8       -738.37       -573.38       -297.82       -476.58       6.44          
9       -750.42       -568.43       -414.50       -476.58       6.76          
10      -712.62       -568.97       -165.70       -476.58       6.66          
11      -731.14       -569.12       -464.85       -476.58       6.49          
12      -702.19       -574.53       -445.53       -476.58       6.45          
13      -762.29       -570.59       -384.23       -461.53       6.68          
14      -771.05       -568.17       -442.54       -461.53       6.69          
15      -743.80       -570.10       -349.28       -461.53       6.64          
16      -703.16       -570.11       -481.05       -461.53       6.66          
17      -706.13       -572.64       -399.04       -461.53       6.54          
18      -828.26       -573.12       -359.03       -461.53       6.52          
19      -696.87       -567.55       -437.77       -461.53       6.48          
20      -814.29       -567.02       -402.99       -461.53       6.64          
21      -774.00       -569.29       -166.21       -461.53       6.58          
22      -666.73       -563.95       -435.57       -461.53       6.64          
23      -822.14       -569.77       -428.84       -461.53       6.82          
24      -933.36       -564.40       -154.15       -388.53       6.43          
25      -656.17       -564.01       -436.48       -388.53       6.50          
26      -763.48       -565.23       -229.80       -388.53       6.60          
27      -720.87       -560.88       -232.86       -388.53       6.59          
28      -800.13       -565.68       -129.88       -388.53       6.76          
29      -732.53       -559.15       -369.01       -388.53       6.96          
30      -912.90       -555.85       78.24         -355.11       6.66          
31      -743.35       -564.62       -424.49       -355.11       6.65          
32      -990.38       -567.81       -387.74       -355.11       6.71          
33      -754.41       -561.61       -377.93       -355.11       6.61          
34      -689.82       -565.07       -312.24       -355.11       6.57          
35      -770.68       -564.54       -332.20       -355.11       6.67          
36      -774.73       -558.11       -142.63       -248.53       6.33          
37      -719.70       -551.88       255.48        -206.28       6.79          
38      -747.82       -551.75       -199.19       -206.28       6.71          
39      -747.99       -556.55       -4.79         -206.28       6.72          
40      -808.89       -555.64       103.58        -206.28       6.53          
41      -791.08       -549.06       -71.26        -206.28       6.55          
42      -835.70       -542.58       242.18        -206.28       6.56          
43      -719.39       -541.24       55.20         -179.62       6.72          
44      -1045.34      -536.63       184.97        -179.62       6.69          
45      -803.69       -517.49       41.79         -179.62       6.58          
46      -866.66       -537.63       145.94        -179.62       6.54          
47      -1304.05      -513.95       74.65         -179.62       6.55          
48      -1297.47      -507.10       234.02        -21.76        6.65          
49      -1144.97      -514.14       685.31        -21.76        6.42          
50      -888.31       -505.84       459.95        -21.76        6.53          
51      -1023.48      -486.32       809.61        -21.76        6.42          
52      -1290.09      -511.31       485.21        -21.76        6.61          
53      -1391.00      -494.16       332.92        -0.94         6.75          
54      -1340.27      -463.59       732.92        -0.94         6.89          
55      -1006.14      -471.45       446.81        -0.94         6.72          
56      -938.50       -478.88       673.62        -0.94         6.51          
57      -1331.45      -448.03       538.48        -0.94         6.88          
58      -1780.61      -422.13       583.48        64.06         6.42          
59      -1251.57      -424.33       906.04        64.06         6.70          
60      -1144.09      -399.95       914.07        64.06         6.53          
61      -1374.12      -364.84       743.41        158.18        6.45          
62      -1051.95      -368.98       971.05        375.62        6.57          
63      -1450.67      -314.44       883.71        375.62        6.42          
64      -1064.50      -322.37       949.42        375.62        6.45          
65      -2081.49      -302.90       1211.22       375.62        6.56          
66      -1096.29      -257.26       888.02        375.62        6.41          
67      -1271.20      -293.85       885.64        375.62        6.38          
68      -1596.50      -281.71       749.54        375.62        6.29          
69      -1727.25      -320.10       913.12        375.62        6.41          
70      -1033.55      -215.59       913.99        375.62        6.44          
71      -1414.10      -190.32       1297.01       375.62        6.33          
72      -1189.97      -143.86       1088.38       615.81        6.18          
73      -1112.33      -152.63       1025.89       615.81        6.48          
74      -1208.52      -148.41       1149.30       615.81        6.24          
75      -1230.42      -90.32        950.11        615.81        6.31          
76      -1191.09      -95.16        973.49        615.81        6.31          
77      -1108.34      -131.14       992.96        751.11        6.21          
78      -1516.30      -134.40       963.50        751.11        6.37          
79      -1021.04      -2.06         1022.34       751.11        6.29          
80      -997.81       121.83        1069.42       751.11        6.40          
81      -868.87       84.22         1228.12       751.11        6.17          
82      -1578.38      -46.07        929.51        751.11        6.15          
83      -1064.64      77.47         1112.97       751.11        6.38          
84      -1222.00      -20.75        1032.50       751.11        6.20          
85      -1388.46      16.07         1145.45       751.11        6.25          
86      -939.11       206.53        1213.13       751.11        6.21          
87      -1268.46      76.92         1237.56       751.11        6.37          
88      -1113.11      73.16         1083.26       751.11        6.24          
89      -1107.75      102.10        1202.01       751.11        6.21          
90      -1167.95      211.23        1216.57       751.11        6.12          
91      -1026.48      149.87        1289.11       751.11        6.06          
92      -1257.59      124.78        1305.46       751.11        6.08          
93      -2663.98      61.48         1182.21       751.11        6.15          
94      -1902.63      111.94        1230.57       751.11        5.88          
95      -1323.17      130.03        1292.23       751.11        6.34          
96      -1387.75      271.15        1201.43       751.11        6.26          
97      -1648.08      212.26        1166.86       751.11        6.18          
98      -1230.32      266.22        1093.54       751.11        6.19          
99      -1020.94      285.14        1220.01       751.11        5.86          
100     -959.27       295.69        1128.19       751.11        6.17          
101     -957.48       235.06        1363.27       751.11        6.10          
102     -930.40       397.14        1224.16       751.11        6.28          
103     -724.28       341.95        1159.62       751.11        6.15          
104     -1532.29      268.45        1103.25       798.63        6.24          
105     -1791.87      296.20        1250.14       798.63        6.24          
106     -1135.70      400.85        1135.96       798.63        5.85          
107     -725.01       403.71        1205.65       798.63        6.06          
108     -955.80       379.21        1174.41       798.63        6.21          
109     -1215.78      385.63        1354.68       798.63        5.89          
110     -783.72       442.56        1334.58       806.55        6.00          
111     -790.91       418.53        1295.01       806.55        5.95          
112     -1494.07      339.14        1234.06       916.40        6.05          
113     -1446.74      353.79        1382.02       916.40        6.15          
114     -1103.53      401.93        1311.85       916.40        6.09          
115     -615.24       453.47        1268.24       916.40        6.16          
116     -1260.41      351.91        1334.62       916.40        6.06          
117     -1897.71      335.91        1325.85       916.40        5.98          
118     -1126.22      353.96        1228.34       916.40        6.19          
119     -944.43       401.73        1258.45       916.40        6.13          
120     -1025.06      470.94        1338.01       916.40        5.92          
121     -831.89       389.04        1338.21       916.40        6.02          
122     -815.35       534.59        1462.82       916.40        6.23          
123     -1560.80      519.69        1252.79       916.40        6.28          
124     -946.43       529.88        1350.52       916.40        6.21          
125     -1032.98      502.91        1306.59       916.40        6.35          
126     -761.04       497.55        1421.86       916.40        6.07          
127     -1072.89      495.88        1438.86       916.40        6.13          
128     -821.67       466.67        1292.63       916.40        6.16          
129     -1183.94      558.38        1403.96       916.40        5.81          
130     -1179.95      560.67        1349.86       916.40        6.17          
131     -894.90       511.57        1331.89       916.40        6.20          
132     -1145.03      608.98        1442.44       916.40        6.08          
133     -1159.07      433.48        1432.60       916.40        6.06          
134     -884.84       615.81        1333.80       955.59        5.99          
135     -823.92       569.53        1302.67       955.59        6.20          
136     -1024.69      612.04        1373.24       1118.40       6.18          
137     -1092.30      577.69        1464.37       1192.67       6.10          
138     -1030.55      721.41        1462.31       1192.67       6.05          
139     -990.31       794.91        1417.80       1192.67       5.92          
140     -932.22       621.77        1437.88       1192.67       6.30          
141     -475.56       719.43        1564.39       1192.67       6.02          
142     -496.25       793.54        1482.15       1192.67       6.02          
143     -473.02       874.97        1504.63       1192.67       5.91          
144     -856.58       846.63        1467.97       1192.67       5.71          
145     -690.43       760.36        1468.66       1192.67       6.07          
146     -368.70       832.77        1407.32       1192.67       6.11          
147     -1557.75      774.87        1415.87       1192.67       5.92          
148     -1756.28      753.15        1396.53       1192.67       6.05          
149     -628.57       818.81        1405.86       1192.67       5.90          
150     -586.16       829.92        1439.56       1192.67       6.08          
151     -842.23       715.22        1422.69       1192.67       5.88          
152     -616.79       811.64        1694.40       1192.67       6.06          
153     -846.79       766.19        1354.94       1192.67       5.92          
154     -581.76       813.42        1386.08       1192.67       5.93          
155     -759.84       935.24        1518.75       1192.67       5.84          
156     -767.33       844.71        1520.90       1192.67       6.00          
157     -507.60       742.41        1457.47       1192.67       6.12          
158     -1605.18      793.88        1523.88       1192.67       6.08          
159     -736.36       857.66        1357.26       1192.67       5.77          
160     -454.17       1027.41       1472.88       1192.67       5.92          
161     -580.94       903.86        1416.94       1192.67       5.93          
162     -791.07       860.26        1500.58       1192.67       6.13          
163     -536.56       1015.22       1631.52       1192.67       5.78          
164     -650.98       930.80        1435.90       1192.67       6.08          
165     -811.26       896.14        1453.52       1192.67       5.97          
166     -800.58       698.18        1364.63       1192.67       5.97          
167     -1195.98      898.43        1440.33       1192.67       6.05          
