experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: GRUNN
	hidden_layer_structure: [20]
	use_bias: True
elapsed_time: 5716.8007934093475

Genome Size: 1980
Free Parameters: {'layer 0': {'input_weight_matrix': 660, 'hidden_weight_matrix': 1200, 'bias': 60}, 'output_weight_matrix': 60}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -5.10         8.02          122.13        76.41         16.85         
1       -5.67         9.63          135.54        76.41         0.63          
2       -6.36         10.83         85.76         80.15         0.67          
3       -8.26         10.77         85.84         80.15         0.81          
4       -5.09         10.05         77.22         80.15         0.69          
5       -5.41         10.21         69.54         80.15         0.62          
6       -6.10         12.57         78.17         80.15         0.73          
7       -7.11         18.58         453.18        217.68        1.13          
8       -6.92         17.93         116.08        217.68        0.71          
9       -8.43         21.59         220.89        226.64        0.90          
10      -3.71         24.17         107.56        226.64        0.70          
11      -7.97         24.43         75.18         226.64        0.70          
12      -5.80         28.77         139.12        226.64        0.71          
13      -8.96         31.00         119.33        226.64        0.73          
14      -3.20         31.37         106.83        226.64        0.65          
15      -2.22         32.86         298.78        226.64        1.00          
16      -0.45         40.48         158.68        226.64        0.78          
17      -4.87         41.67         182.22        226.64        0.87          
18      -2.91         40.38         265.19        226.64        0.93          
19      -3.93         40.76         149.31        226.64        0.77          
20      -1.88         46.11         230.79        226.64        0.84          
21      -1.09         48.32         165.14        226.64        0.83          
22      -9.01         50.21         195.30        226.64        0.84          
23      -4.57         51.06         179.06        226.64        0.73          
24      -10.81        57.27         167.72        226.64        0.71          
25      -3.37         64.86         187.58        226.64        0.73          
26      -4.47         55.92         201.69        226.64        0.75          
27      0.85          63.83         188.47        226.64        0.69          
28      -4.37         68.83         253.14        226.64        0.73          
29      -7.54         74.30         249.92        226.64        0.92          
30      -13.96        75.11         195.46        226.64        0.79          
31      0.77          86.84         290.98        226.64        0.93          
32      2.61          92.54         508.80        537.86        1.47          
33      -9.56         96.27         487.49        537.86        1.09          
34      -8.63         85.60         294.00        537.86        0.85          
35      -9.03         95.23         353.04        537.86        1.07          
36      -10.15        94.73         235.05        537.86        0.80          
37      -7.97         103.28        240.83        537.86        0.96          
38      -18.92        101.82        279.17        537.86        1.00          
39      -2.41         112.00        250.58        537.86        0.81          
40      -6.50         109.93        705.19        537.86        1.27          
41      -5.78         116.28        337.63        537.86        1.22          
42      -13.35        108.06        392.04        537.86        1.13          
43      -8.30         112.47        366.73        537.86        1.29          
44      -25.12        108.24        465.51        537.86        1.01          
45      -7.48         132.74        598.19        537.86        1.47          
46      -23.78        120.07        442.70        537.86        1.42          
47      -18.90        135.55        484.10        537.86        1.40          
48      -24.25        135.58        879.71        836.79        1.53          
49      -27.39        121.64        484.22        836.79        1.60          
50      -39.06        122.82        543.53        836.79        1.38          
51      -58.48        134.62        642.57        836.79        1.53          
52      -61.41        123.31        487.99        836.79        1.53          
53      -93.12        135.09        581.01        836.79        1.33          
54      -41.77        115.83        489.17        836.79        1.56          
55      -65.56        130.39        888.51        861.95        1.67          
56      -37.60        139.03        683.85        861.95        1.54          
57      -30.50        117.62        429.00        861.95        1.36          
58      -19.92        150.04        593.24        861.95        1.56          
59      -43.99        131.36        636.20        861.95        1.65          
60      -10.64        140.93        581.93        861.95        1.58          
61      -60.36        154.21        805.68        861.95        1.73          
62      -12.92        154.22        748.60        861.95        1.74          
63      -24.30        148.02        683.67        861.95        1.62          
64      -32.11        138.73        601.85        861.95        1.62          
65      -21.67        150.45        644.18        861.95        1.99          
66      -63.88        167.83        718.24        861.95        1.71          
67      -26.91        149.34        672.68        861.95        1.59          
68      -21.24        149.45        626.21        861.95        1.68          
69      -44.00        150.12        749.36        861.95        1.70          
70      -12.63        192.24        812.44        861.95        1.97          
71      -232.85       203.16        786.91        861.95        1.99          
72      -157.38       191.84        858.11        861.95        1.93          
73      -18.62        189.67        810.78        861.95        1.89          
74      -40.03        231.45        834.02        861.95        2.19          
75      -19.77        191.46        847.56        861.95        1.80          
76      -28.17        222.83        827.87        861.95        1.94          
77      -30.81        225.58        931.73        905.81        1.97          
78      -89.01        185.81        889.65        905.81        1.85          
79      -34.24        231.72        848.06        905.81        2.18          
80      -25.39        198.85        861.62        905.81        2.01          
81      -54.41        241.41        896.05        905.81        2.10          
82      -22.83        215.62        885.10        905.81        2.08          
83      -13.82        242.67        978.34        905.81        2.03          
84      -144.03       246.15        868.07        905.81        2.18          
85      -22.60        251.93        879.75        905.81        2.18          
86      -182.78       259.64        879.45        905.81        2.11          
87      -97.85        256.96        878.83        905.81        2.16          
88      -68.90        284.09        910.86        905.81        2.20          
89      -13.07        279.90        880.62        905.81        2.17          
90      -6.88         301.91        891.04        905.81        2.21          
91      -31.24        253.02        854.02        905.81        2.16          
92      -128.15       281.48        929.13        937.23        2.23          
93      -50.31        291.34        917.08        937.23        2.29          
94      -1.30         300.72        896.20        937.23        2.15          
95      -113.69       262.62        923.94        937.23        2.05          
96      -328.24       282.83        982.61        983.28        2.23          
97      -13.76        296.37        927.62        983.28        2.20          
98      -9.86         290.27        963.88        983.28        2.14          
99      -9.26         258.63        843.09        983.28        2.14          
100     -83.63        287.23        847.15        983.28        2.20          
101     -15.44        322.52        888.61        983.28        2.38          
102     -324.14       290.65        910.82        983.28        2.32          
103     -167.88       309.65        910.35        983.28        2.25          
104     -15.83        300.31        927.71        983.28        2.27          
105     -16.72        342.07        924.77        983.28        2.27          
106     -22.54        309.34        917.48        983.28        2.25          
107     -4.61         314.56        939.10        983.28        2.08          
108     -163.71       327.16        922.25        983.28        2.17          
109     -194.04       305.93        904.65        983.28        2.28          
110     -17.66        371.47        922.94        983.28        2.55          
111     -52.58        337.18        912.65        983.28        2.26          
112     -13.26        360.97        923.21        983.28        2.34          
113     -6.79         353.90        920.12        983.28        2.43          
114     2.55          341.13        920.01        983.28        2.35          
115     -1.60         313.86        923.97        983.28        2.26          
116     -6.44         342.17        884.49        983.28        2.42          
117     -10.54        381.31        945.25        983.28        2.42          
118     -10.54        295.27        906.84        983.28        2.21          
119     -160.86       323.84        890.84        983.28        2.22          
120     -23.26        344.17        931.51        983.28        2.36          
121     -21.42        339.12        972.85        983.28        2.19          
122     0.93          368.30        964.87        983.28        2.27          
