experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: LSTMNN
	hidden_layer_structure: [50]
	use_bias: True
elapsed_time: 33160.60772848129

Genome Size: 12550
Free Parameters: {'layer 0': {'input_weight_matrix': 2200, 'hidden_weight_matrix': 10000, 'bias': 200}, 'output_weight_matrix': 150}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -0.31         15.02         116.91        117.44        27.26         
1       -1.76         14.99         159.99        157.59        10.61         
2       -0.97         16.18         256.25        246.19        10.76         
3       -1.15         15.35         82.17         246.19        10.80         
4       -1.29         15.56         91.75         246.19        10.66         
5       -1.08         18.63         510.56        246.19        10.92         
6       -1.26         17.11         116.40        246.19        10.69         
7       -0.68         18.35         91.95         246.19        10.71         
8       -0.61         19.56         164.06        246.19        10.83         
9       -0.35         21.94         172.77        246.19        10.85         
10      -0.10         19.31         98.28         246.19        11.07         
11      -0.01         20.89         124.66        246.19        10.84         
12      0.23          27.14         112.13        246.19        10.71         
13      -1.14         31.09         230.81        246.19        10.73         
14      -0.61         33.03         145.02        246.19        10.68         
15      -1.42         36.86         365.66        293.51        10.90         
16      2.24          35.84         163.82        293.51        10.84         
17      -1.09         40.96         245.52        293.51        10.85         
18      -0.86         38.28         360.70        458.96        11.03         
19      -0.79         49.82         349.01        458.96        11.02         
20      -0.73         48.62         410.14        458.96        10.96         
21      -0.16         48.07         150.61        458.96        10.60         
22      2.03          59.35         899.03        688.64        11.26         
23      -0.16         59.06         627.81        688.64        11.10         
24      -0.43         56.37         240.83        688.64        10.71         
25      -0.67         60.37         398.49        688.64        10.80         
26      1.00          59.11         289.72        688.64        10.84         
27      -0.78         69.28         1004.27       698.64        11.35         
28      1.88          68.81         221.95        698.64        10.63         
29      0.81          76.93         649.19        777.54        11.18         
30      -0.15         72.59         616.62        777.54        11.05         
31      2.16          69.04         401.42        777.54        10.84         
32      -1.08         88.23         744.78        777.54        11.31         
33      2.52          92.41         1022.65       1022.24       12.16         
34      2.36          83.28         985.64        1022.24       11.75         
35      1.64          87.47         987.85        1022.24       11.86         
36      3.03          103.98        997.71        1022.24       12.08         
37      3.07          112.72        860.64        1022.24       11.40         
38      2.83          117.95        987.92        1022.24       11.59         
39      4.67          133.31        1013.94       1022.24       11.60         
40      4.11          143.68        1001.60       1022.24       11.71         
41      8.60          175.49        1010.30       1022.24       11.84         
42      1.13          171.48        1015.67       1022.24       11.66         
43      2.97          169.77        1017.79       1022.24       11.83         
44      8.76          197.32        1017.34       1022.24       11.76         
45      6.16          230.96        1032.61       1022.24       11.72         
46      8.33          208.90        1011.52       1022.24       11.86         
47      5.84          254.67        1033.15       1022.24       11.99         
48      8.30          196.40        1014.03       1022.24       11.78         
49      9.32          274.27        1008.61       1022.24       12.21         
50      3.81          224.49        1005.36       1022.24       12.00         
51      9.44          262.23        1004.20       1022.24       12.20         
52      7.29          266.94        1053.76       1022.24       12.04         
53      9.07          301.08        1017.02       1022.24       12.21         
54      8.79          270.32        1020.39       1022.24       11.96         
55      10.63         289.90        1013.90       1022.24       12.04         
56      7.89          329.99        1014.25       1022.24       12.02         
57      11.62         318.10        1024.61       1022.24       12.12         
58      7.37          308.41        1020.30       1022.24       12.25         
59      7.53          326.55        1016.67       1022.24       12.06         
60      7.69          359.52        1023.11       1022.24       12.33         
61      5.17          339.04        1021.11       1022.24       12.05         
62      8.31          352.69        1023.66       1023.61       12.40         
63      13.16         351.36        1016.79       1023.61       12.36         
64      12.33         359.30        1018.38       1023.61       12.36         
65      10.21         374.22        1017.78       1023.61       12.40         
66      8.24          427.60        1022.00       1023.61       12.53         
67      12.68         380.93        1013.58       1023.61       13.17         
68      10.93         401.52        1016.89       1023.61       12.61         
69      10.07         427.46        1018.04       1023.61       12.53         
70      9.27          445.89        1020.25       1023.61       12.69         
71      9.69          443.81        1019.37       1023.61       12.82         
72      9.62          448.51        1044.81       1023.61       12.63         
73      10.79         441.91        1010.73       1023.61       12.57         
74      9.41          471.60        1044.38       1023.61       12.50         
75      8.17          418.96        1022.11       1023.61       12.74         
76      15.05         455.86        1024.08       1023.61       12.94         
77      14.14         489.69        1015.97       1023.61       12.92         
78      18.05         474.32        1020.66       1023.61       12.86         
79      9.98          486.91        1021.24       1023.61       12.86         
80      12.01         490.60        1018.35       1023.61       12.84         
81      11.23         451.65        1023.36       1023.61       12.81         
82      8.67          491.65        1021.36       1023.61       12.95         
83      6.44          523.52        1023.81       1023.70       12.90         
84      9.75          521.49        1020.97       1023.70       12.96         
85      7.39          548.45        1018.49       1023.70       12.93         
86      1.06          561.54        1021.39       1023.70       13.01         
87      13.12         591.71        1069.34       1023.70       13.20         
88      19.04         562.81        1025.16       1023.70       13.07         
89      6.06          550.15        1023.18       1023.70       13.20         
90      17.36         539.12        1021.77       1023.70       13.10         
91      7.83          495.70        1031.93       1023.70       12.84         
92      0.72          471.96        1025.19       1023.70       12.96         
93      8.66          577.06        1027.91       1023.70       13.17         
94      8.51          570.58        1030.76       1023.70       13.16         
95      7.31          541.31        1038.35       1023.70       13.06         
96      -0.74         539.87        1024.32       1023.70       13.21         
97      12.55         590.69        1025.92       1026.90       13.19         
98      5.04          580.02        1028.56       1026.90       13.39         
99      12.46         580.14        1022.06       1026.90       13.26         
100     8.90          567.97        1023.26       1026.90       13.12         
101     -1.26         633.11        1022.35       1026.90       13.41         
102     14.47         616.73        1020.85       1026.90       13.18         
103     9.39          604.07        1023.00       1026.90       13.05         
104     18.64         598.92        1047.52       1026.90       13.23         
105     -0.01         608.36        1033.27       1030.30       13.01         
106     21.48         599.24        1026.88       1030.30       13.08         
107     9.58          644.28        1022.57       1030.30       13.31         
108     8.37          650.93        1024.35       1030.30       14.11         
109     14.48         639.97        1019.51       1030.30       13.57         
110     8.54          575.48        1022.23       1030.30       13.19         
111     16.28         660.51        1026.01       1030.30       13.54         
112     20.25         680.16        1020.29       1030.30       13.98         
113     17.30         684.12        1031.53       1030.30       13.75         
114     27.70         714.86        1025.55       1030.30       13.94         
115     4.96          674.79        1032.78       1033.33       13.79         
116     10.65         689.57        1025.15       1033.33       13.54         
117     14.23         657.08        1034.04       1033.33       13.28         
118     51.01         574.74        1027.38       1033.33       13.14         
119     60.41         707.96        1048.90       1044.58       13.61         
120     37.25         674.21        1027.88       1044.58       13.85         
121     15.89         662.11        1021.66       1044.58       13.66         
122     23.43         708.87        1044.14       1044.58       13.63         
123     15.74         664.07        1024.23       1044.58       13.92         
124     36.27         682.84        1040.33       1044.58       13.69         
125     24.63         684.19        1024.11       1044.58       13.72         
126     77.33         686.66        1035.86       1044.58       13.89         
127     9.57          690.16        1034.77       1044.58       13.92         
128     71.94         757.34        1046.41       1047.87       13.65         
129     12.97         730.41        1025.09       1047.87       14.41         
130     69.89         720.53        1034.21       1047.87       13.54         
131     62.56         661.17        1025.94       1047.87       13.29         
132     27.54         726.72        1022.68       1047.87       13.44         
133     61.03         688.37        1040.77       1047.87       13.52         
134     52.67         753.78        1042.98       1047.87       13.63         
135     7.33          700.01        1040.61       1047.87       13.41         
136     10.16         665.40        1038.04       1047.87       13.38         
137     24.20         700.91        1028.49       1047.87       13.42         
138     30.76         655.92        1047.29       1047.87       13.22         
139     26.67         694.79        1037.79       1047.87       13.70         
140     25.90         673.79        1033.55       1047.87       13.33         
141     82.30         711.91        1035.72       1047.87       13.47         
142     16.62         707.19        1042.51       1047.87       13.45         
143     28.13         713.85        1029.31       1047.87       13.41         
144     11.77         684.76        1032.89       1047.87       13.58         
145     23.37         727.10        1060.03       1049.03       13.49         
146     39.65         702.80        1032.80       1049.03       13.46         
147     24.63         672.60        1033.24       1049.03       13.40         
148     34.61         741.72        1043.44       1049.03       13.48         
149     32.28         651.85        1031.63       1049.03       13.28         
150     17.38         649.02        1053.10       1049.03       13.44         
151     15.94         691.69        1024.44       1049.03       13.60         
152     34.31         711.76        1056.46       1049.03       13.44         
153     26.00         690.49        1041.65       1049.03       13.47         
154     34.58         698.67        1039.54       1049.03       13.35         
155     27.18         708.73        1046.12       1049.03       13.39         
156     30.86         691.50        1041.70       1049.03       13.27         
157     57.81         744.85        1063.07       1049.03       13.45         
158     9.01          690.50        1066.09       1061.82       13.33         
159     20.38         659.35        1055.12       1061.82       13.42         
160     15.54         653.34        1047.37       1061.82       13.54         
161     37.39         685.97        1043.47       1061.82       13.46         
162     8.10          682.59        1052.05       1061.82       13.36         
163     19.07         744.87        1061.04       1061.82       13.79         
164     26.34         647.55        1053.87       1061.82       13.27         
165     0.97          728.90        1064.27       1065.93       13.59         
166     34.07         677.11        1064.91       1065.93       13.37         
167     42.94         658.03        1065.81       1065.93       13.56         
168     32.79         675.84        1048.48       1065.93       13.61         
169     25.93         711.29        1084.87       1065.93       13.48         
170     34.11         694.40        1057.56       1065.93       13.28         
171     36.01         728.51        1083.09       1069.38       13.54         
172     24.64         750.36        1088.48       1069.38       13.58         
173     30.09         703.84        1074.54       1069.38       13.27         
174     41.25         685.74        1063.83       1069.38       13.37         
175     22.03         691.78        1126.62       1115.68       13.53         
176     32.65         677.38        1125.60       1126.89       13.65         
177     4.23          643.73        1076.44       1126.89       13.43         
178     25.58         658.37        1095.70       1126.89       13.30         
179     5.17          650.24        1072.92       1126.89       13.36         
180     30.55         668.11        1098.14       1126.89       13.35         
181     18.09         676.46        1102.98       1126.89       13.16         
182     32.04         683.67        1157.23       1126.89       13.25         
183     20.31         753.32        1093.30       1126.89       13.76         
184     16.72         663.26        1079.29       1126.89       13.31         
185     1.09          677.67        1088.58       1126.89       13.30         
186     49.58         702.15        1092.16       1126.89       13.48         
187     18.44         687.98        1078.24       1126.89       13.41         
188     31.61         707.25        1110.46       1126.89       13.67         
189     35.50         687.18        1131.90       1126.89       13.18         
190     86.88         753.31        1091.31       1126.89       13.45         
191     27.25         778.50        1109.62       1126.89       13.69         
192     18.54         728.41        1130.39       1126.89       13.60         
193     22.03         704.74        1100.29       1126.89       13.34         
194     34.42         687.51        1140.02       1130.15       13.21         
195     37.56         686.28        1127.18       1130.15       13.27         
196     97.76         730.49        1128.84       1130.15       13.36         
197     25.13         669.69        1157.49       1144.99       13.04         
198     27.82         650.31        1138.03       1144.99       12.98         
199     40.03         690.28        1120.03       1144.99       13.36         
200     22.94         743.22        1123.30       1144.99       13.38         
201     25.02         752.64        1116.55       1144.99       13.42         
202     36.67         719.62        1128.14       1144.99       13.32         
203     28.91         664.64        1195.45       1167.55       13.15         
204     26.05         665.59        1142.03       1167.55       13.06         
205     16.61         711.21        1112.95       1167.55       13.33         
206     26.60         753.28        1141.78       1167.55       13.41         
207     7.31          713.83        1135.81       1167.55       13.22         
208     32.29         786.74        1167.13       1167.55       14.02         
209     23.67         664.72        1106.18       1167.55       13.40         
