experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 5314.958211183548

Genome Size: 100
Free Parameters: {'V': 55, 'W': 25, 'T': 15, 'x_0': 5}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.25         12.91         116.92        117.41        17.66         
1       -1.52         12.64         143.76        125.06        0.42          
2       -2.06         16.17         245.46        469.48        0.67          
3       -1.42         13.15         346.33        469.48        0.67          
4       -1.05         15.18         194.97        469.48        0.48          
5       -1.54         14.21         140.07        469.48        0.49          
6       -1.40         12.75         132.72        469.48        0.56          
7       -1.30         16.30         151.19        469.48        0.55          
8       -1.17         14.84         140.92        469.48        0.50          
9       -1.76         13.28         123.60        469.48        0.49          
10      -1.17         19.70         1012.77       1012.76       1.07          
11      -1.11         13.49         132.47        1012.76       0.44          
12      -1.29         13.99         146.14        1012.76       0.39          
13      -1.28         15.14         113.64        1012.76       0.38          
14      -1.42         18.02         158.91        1012.76       0.49          
15      -1.06         17.75         145.70        1012.76       0.37          
16      -1.26         17.26         123.50        1012.76       0.35          
17      -1.33         18.01         155.87        1012.76       0.41          
18      -1.46         22.07         108.25        1012.76       0.39          
19      -1.34         29.09         863.96        1012.76       1.04          
20      -1.25         31.93         361.46        1012.76       0.83          
21      -1.36         39.70         956.37        1012.76       0.97          
22      -1.52         29.06         365.83        1012.76       0.71          
23      -1.57         32.45         305.08        1012.76       0.54          
24      -1.36         29.14         280.42        1012.76       0.48          
25      -1.54         36.11         253.83        1012.76       0.39          
26      -1.55         41.85         998.68        1012.76       1.08          
27      -1.77         41.91         217.76        1012.76       0.44          
28      -1.55         51.40         859.84        1012.76       1.07          
29      -0.85         51.81         823.34        1012.76       1.01          
30      -1.55         40.27         235.31        1012.76       0.48          
31      -1.59         48.54         984.67        1012.76       1.02          
32      -1.51         53.74         859.13        1012.76       1.07          
33      -1.72         46.25         310.44        1012.76       0.59          
34      -1.39         40.74         216.08        1012.76       0.43          
35      -1.67         48.47         195.62        1012.76       0.41          
36      -1.52         55.12         414.28        1012.76       0.52          
37      -1.42         53.43         1033.08       1012.76       1.05          
38      -1.73         50.24         287.82        1012.76       0.42          
39      -1.44         69.37         597.66        1012.76       0.69          
40      -1.33         67.35         328.54        1012.76       0.45          
41      -1.92         82.45         988.70        1012.76       1.14          
42      -1.54         89.06         1018.15       1012.76       1.03          
43      -1.46         69.97         300.61        1012.76       0.49          
44      -1.58         70.18         426.23        1012.76       0.62          
45      -1.51         82.68         502.20        1012.76       0.50          
46      -0.40         98.91         756.77        1012.76       0.95          
