experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: False
elapsed_time: 3936.7169563770294

Genome Size: 360
Free Parameters: {'layer 0': {'input_weight_matrix': 255, 'hidden_weight_matrix': 75}, 'output_weight_matrix': 30}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -24816.19     -11217.54     -4791.90      -4869.79      18.46         
1       -35037.26     -11052.16     -4304.68      -4717.65      1.60          
2       -19797.12     -9471.74      -4055.00      -4717.65      1.59          
3       -19324.57     -8922.36      -2981.30      -3029.81      1.66          
4       -17379.06     -8651.43      -3636.44      -3029.81      1.67          
5       -16788.45     -8091.93      -3975.63      -3029.81      1.60          
6       -18889.21     -7916.28      -3591.13      -3029.81      1.61          
7       -17409.26     -7697.42      -2479.58      -1983.05      1.66          
8       -18308.14     -7352.35      -2495.48      -1983.05      1.59          
9       -18971.10     -7150.28      -2890.27      -1983.05      1.64          
10      -17499.93     -7345.29      -2137.97      -1983.05      1.61          
11      -15478.62     -7508.62      -2253.67      -1983.05      1.62          
12      -14929.84     -7454.31      -2834.67      -1983.05      1.61          
13      -15284.34     -7289.10      -2776.76      -1983.05      1.63          
14      -18650.01     -7512.99      -2949.15      -1983.05      1.66          
15      -15466.38     -6977.31      -2566.35      -1983.05      1.62          
16      -20685.52     -7349.08      -2410.21      -1983.05      1.59          
17      -14882.32     -7012.65      -1978.11      -1983.05      1.66          
18      -12783.97     -7130.49      -1576.09      -1602.14      1.65          
19      -16273.36     -7059.57      -2828.80      -1602.14      1.61          
20      -22487.92     -7537.35      -1877.48      -1602.14      1.62          
21      -18048.06     -7146.62      -2713.20      -1602.14      1.65          
22      -15320.83     -6998.72      -1832.44      -1602.14      1.62          
23      -19139.21     -7240.82      -2411.91      -1602.14      1.61          
24      -13721.34     -6836.48      -1948.96      -1602.14      1.64          
25      -16032.52     -6915.75      -1974.29      -1602.14      1.63          
26      -16316.46     -6824.13      -2002.86      -1602.14      1.63          
27      -15174.27     -6503.99      -2206.03      -1602.14      1.64          
28      -20529.18     -6349.48      -1592.26      -1602.14      1.66          
29      -16846.67     -6101.82      -1987.10      -1602.14      1.65          
30      -15772.18     -6226.23      -938.12       -1602.14      1.71          
31      -13776.47     -6053.65      -1791.29      -1602.14      1.67          
32      -14487.70     -5703.06      -2052.93      -1602.14      1.69          
33      -14624.28     -5605.14      -1604.82      -1602.14      1.66          
34      -13751.30     -5701.04      -2151.37      -1602.14      1.69          
35      -12741.13     -5715.53      -1829.59      -1602.14      1.64          
36      -14792.05     -5531.03      -1870.88      -1602.14      1.65          
37      -14763.58     -5899.91      -2096.50      -1602.14      1.66          
38      -15993.66     -5566.51      -1511.74      -1602.14      1.63          
39      -12750.03     -5704.55      -1842.59      -1602.14      1.68          
