experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
elapsed_time: 10078.13900399208

Genome Size: 3700
Free Parameters: {'V': 850, 'W': 2500, 'T': 300, 'x_0': 50}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -20.23        -6.58         52.25         14.74         18.12         
1       -22.37        -6.85         19.03         16.40         1.26          
2       -22.95        -6.46         32.74         34.95         1.43          
3       -19.50        -5.06         59.91         35.77         1.29          
4       -21.24        -5.24         28.89         35.77         1.28          
5       -18.79        -4.54         52.36         35.77         1.34          
6       -18.12        -5.10         39.70         35.77         1.42          
7       -17.50        -2.32         161.64        65.23         1.28          
8       -21.20        -3.07         48.37         70.75         1.28          
9       -21.69        -1.11         106.38        70.75         1.34          
10      -18.91        -0.05         101.60        70.75         1.31          
11      -29.34        2.71          110.55        72.40         1.30          
12      -32.34        3.31          148.76        73.45         1.32          
13      -19.33        2.53          66.47         73.45         1.34          
14      -25.85        5.49          89.33         73.45         1.37          
15      -21.43        9.85          114.88        106.07        1.31          
16      -34.54        14.39         238.60        126.48        1.42          
17      -95.97        20.83         249.66        147.21        1.43          
18      -30.28        19.42         170.47        164.08        1.33          
19      -28.24        33.12         195.85        164.08        1.35          
20      -18.48        38.78         232.64        164.08        1.40          
21      -20.94        43.85         262.07        278.16        1.39          
22      -25.16        63.48         424.07        278.16        1.62          
23      -38.23        64.03         298.35        278.16        1.51          
24      -39.46        70.37         342.34        278.16        1.57          
25      -39.52        83.98         381.47        278.16        1.59          
26      -38.38        107.31        559.06        278.16        1.67          
27      -50.63        128.17        471.75        278.16        1.63          
28      -40.16        132.22        632.41        278.16        2.07          
29      -34.71        147.84        538.84        499.24        1.98          
30      -61.15        156.53        615.74        499.24        1.87          
31      -28.92        183.06        551.88        499.24        1.96          
32      -22.48        202.76        889.63        605.42        1.94          
33      -11.05        191.82        989.30        605.42        2.19          
34      -38.33        193.41        936.49        605.42        2.04          
35      -24.13        221.67        741.66        605.42        1.99          
36      -9.81         231.96        862.63        605.42        2.06          
37      -20.59        240.66        734.04        605.42        2.06          
38      -0.76         253.96        1013.25       605.42        2.13          
39      -9.53         272.77        884.27        605.42        2.24          
40      -20.27        273.09        766.96        605.42        2.34          
41      -17.02        270.04        833.45        696.13        2.39          
42      -12.94        278.39        931.62        811.77        2.54          
43      -22.68        295.73        918.26        811.77        2.47          
44      -13.26        333.27        992.21        950.57        2.67          
