experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.01
elapsed_time: 3724.604632139206

Genome Size: 330
Free Parameters: {'V': 170, 'W': 100, 'T': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -604.49       -569.80       -395.56       -343.10       17.49         
1       -601.34       -565.08       -308.33       -343.10       1.69          
2       -606.99       -562.32       -235.29       -261.63       1.67          
3       -609.65       -559.89       -442.96       -261.63       1.77          
4       -597.91       -559.93       -474.81       -261.63       1.69          
5       -598.46       -556.00       -404.35       -261.63       1.72          
6       -598.16       -554.33       -434.17       -261.63       1.66          
7       -600.21       -548.55       -184.15       -203.93       1.70          
8       -596.24       -547.56       -360.49       -203.93       1.72          
9       -620.47       -542.79       -16.58        -155.55       1.70          
10      -604.24       -538.75       -244.77       -155.55       1.69          
11      -622.66       -542.92       -353.71       -155.55       1.69          
12      -597.18       -540.29       -306.29       -155.55       1.72          
13      -611.10       -535.12       -349.06       -155.55       1.70          
14      -607.00       -518.46       -54.98        -155.55       1.67          
15      -603.35       -512.79       -90.12        -155.55       1.72          
16      -606.69       -520.07       -293.65       -155.55       1.72          
17      -604.46       -508.61       -100.13       -98.79        1.71          
18      -685.70       -506.92       -89.21        -98.79        1.71          
19      -604.83       -495.85       -132.03       -98.79        1.68          
20      -681.72       -487.32       145.01        126.73        1.72          
21      -711.49       -491.65       97.14         126.73        1.70          
22      -743.42       -492.88       -25.58        126.73        1.73          
23      -875.24       -495.06       -65.91        126.73        1.67          
24      -1180.02      -482.73       206.22        126.73        1.68          
25      -815.84       -488.55       -21.88        126.73        1.69          
26      -1437.25      -493.23       24.28         126.73        1.70          
27      -871.60       -467.29       277.09        126.73        1.70          
28      -1572.49      -480.20       477.14        456.51        1.70          
29      -1454.53      -484.75       186.58        456.51        1.65          
30      -948.96       -458.49       244.14        456.51        1.68          
31      -1067.12      -455.60       56.45         456.51        1.70          
32      -1445.17      -449.58       809.29        456.51        1.68          
33      -1445.79      -445.35       530.59        456.51        1.67          
34      -1181.50      -390.85       1477.24       912.01        1.65          
35      -1699.71      -364.84       1085.12       926.30        1.65          
36      -1712.35      -340.91       1233.14       926.30        1.68          
37      -1139.08      -244.81       1215.69       926.30        1.63          
38      -1576.71      -229.39       1200.70       926.30        1.62          
39      -1472.83      -119.68       1424.57       926.30        1.61          
40      -1374.23      -50.55        1302.16       926.30        1.62          
41      -1189.50      -25.67        1369.67       1101.20       1.62          
42      -1236.08      0.81          1282.48       1101.20       1.61          
43      -1082.08      62.41         1281.62       1101.20       1.62          
44      -1194.16      271.77        1442.58       1238.86       1.54          
45      -1560.84      274.86        1556.58       1238.86       1.59          
46      -1502.18      271.39        1366.78       1356.81       1.57          
47      -1604.52      351.60        1642.77       1356.81       1.53          
48      -1181.89      387.70        1489.89       1356.81       1.57          
49      -1393.56      345.90        1537.56       1356.81       1.58          
