experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
elapsed_time: 3796.175713777542

Genome Size: 340
Free Parameters: {'V': 170, 'W': 100, 'T': 60, 'x_0': 10}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1472.61      -487.81       -114.12       -273.07       18.31         
1       -2206.69      -459.93       53.08         -30.15        1.65          
2       -1574.49      -460.65       43.20         125.72        1.62          
3       -1248.98      -441.62       -117.91       125.72        1.69          
4       -1336.41      -453.20       -38.79        125.72        1.66          
5       -1042.63      -438.69       415.36        562.30        1.71          
6       -1401.85      -427.29       50.72         562.30        1.66          
7       -1329.47      -421.40       50.98         562.30        1.72          
8       -1050.06      -437.47       -114.81       562.30        1.68          
9       -841.55       -421.30       157.93        562.30        1.66          
10      -2014.67      -436.29       248.30        562.30        1.68          
11      -1210.72      -442.05       -157.55       562.30        1.67          
12      -1320.16      -425.86       70.46         562.30        1.70          
13      -1414.25      -424.72       209.64        562.30        1.73          
14      -2212.78      -440.88       -150.80       562.30        1.67          
15      -1731.64      -452.65       175.54        562.30        1.65          
16      -2067.53      -445.79       1095.28       596.07        1.64          
17      -1465.04      -455.41       -30.92        596.07        1.64          
18      -1209.51      -404.14       267.60        596.07        1.63          
19      -2788.34      -446.42       -55.55        596.07        1.62          
20      -1829.60      -425.93       51.13         596.07        1.66          
21      -2253.58      -472.09       217.23        596.07        1.66          
22      -2144.95      -404.53       531.36        596.07        1.59          
23      -2158.89      -389.09       1174.16       1152.20       1.62          
24      -2192.09      -470.37       186.67        1152.20       1.58          
25      -2425.88      -395.24       632.65        1152.20       1.57          
26      -1940.14      -351.51       1124.45       1152.20       1.56          
27      -1829.25      -335.60       1154.31       1152.20       1.57          
28      -2116.98      -298.62       1161.86       1162.40       1.55          
29      -1528.58      -137.94       1566.08       1581.68       1.54          
30      -1734.72      -74.05        1594.60       1581.68       1.53          
31      -1311.94      125.93        1334.24       1581.68       1.51          
32      -1436.93      215.50        1388.62       1581.68       1.54          
33      -1540.25      352.26        1558.66       1581.68       1.54          
34      -1165.92      429.72        1506.25       1581.68       1.52          
35      -1357.29      543.52        1652.20       1607.25       1.51          
36      -872.00       626.41        1480.76       1607.25       1.50          
37      -612.92       671.76        1499.64       1607.25       1.49          
38      -2201.98      683.42        1560.43       1607.25       1.51          
39      -1071.22      678.89        1499.96       1607.25       1.53          
40      -1385.41      705.75        1447.94       1607.25       1.53          
41      -552.62       659.60        1461.27       1607.25       1.47          
42      -1624.67      677.44        1532.03       1607.25       1.52          
43      -765.54       719.32        1384.74       1607.25       1.51          
44      -581.98       732.89        1451.26       1607.25       1.52          
45      -1062.98      764.07        1448.20       1607.25       1.54          
46      -913.97       821.52        1484.19       1607.25       1.55          
47      -1320.68      813.42        1438.98       1607.25       1.50          
48      -1006.74      855.63        1430.53       1607.25       1.49          
49      -1767.86      878.40        1447.14       1607.25       1.58          
50      -1361.02      824.01        1546.56       1607.25       1.53          
51      -749.77       946.74        1526.76       1607.25       1.54          
52      -394.44       898.43        1463.39       1607.25       1.53          
53      -498.62       929.58        1457.23       1607.25       1.51          
54      -841.61       976.29        1489.74       1607.25       1.54          
55      -425.49       957.03        1525.16       1607.25       1.51          
56      -888.93       976.58        1497.26       1607.25       1.50          
57      -1251.77      962.90        1584.61       1607.25       1.52          
58      -417.37       990.53        1520.81       1607.25       1.52          
59      -1293.87      990.54        1537.72       1607.25       1.51          
60      -950.54       1000.83       1476.44       1607.25       1.54          
61      -790.99       958.91        1521.62       1607.25       1.56          
62      -1766.80      988.72        1473.87       1607.25       1.52          
63      -550.44       1022.22       1489.49       1607.25       1.51          
64      -346.68       1001.11       1503.15       1607.25       1.51          
65      -962.26       1001.63       1514.35       1607.25       1.54          
66      -749.26       994.79        1516.82       1607.25       1.51          
67      -439.94       990.80        1469.39       1607.25       1.50          
68      -577.03       937.64        1485.94       1607.25       1.55          
69      -1776.74      1028.07       1484.42       1607.25       1.53          
70      -214.32       1028.40       1440.07       1607.25       1.53          
71      -455.92       990.76        1411.20       1607.25       1.50          
72      -307.58       1037.95       1517.42       1607.25       1.52          
73      -413.13       1054.44       1536.66       1607.25       1.51          
74      -89.59        1053.62       1493.57       1607.25       1.49          
75      28.31         1117.59       1536.11       1607.25       1.49          
76      -230.81       1057.45       1480.36       1607.25       1.52          
77      -426.50       1031.21       1479.59       1607.25       1.50          
78      -224.62       1029.02       1475.87       1607.25       1.52          
79      -359.01       1007.92       1556.47       1607.25       1.52          
80      -222.70       1016.61       1519.64       1607.25       1.52          
81      -387.92       1068.09       1517.61       1607.25       1.54          
82      21.17         1004.58       1505.07       1607.25       1.49          
83      -150.68       1044.50       1517.18       1607.25       1.53          
84      -296.19       1029.64       1554.59       1607.25       1.52          
85      -249.27       1050.56       1532.39       1607.25       1.51          
86      -56.61        1074.58       1534.79       1607.25       1.50          
87      -264.54       1045.06       1478.03       1607.25       1.51          
88      -262.26       1018.54       1493.01       1607.25       1.53          
89      161.43        1076.16       1502.54       1607.25       1.52          
90      -325.01       1064.51       1489.89       1607.25       1.54          
91      -227.79       1053.69       1465.30       1607.25       1.54          
92      -210.40       1063.95       1511.09       1607.25       1.54          
93      -184.61       1088.73       1539.12       1607.25       1.50          
94      -140.66       1070.01       1539.59       1607.25       1.51          
95      119.67        1063.37       1506.90       1607.25       1.51          
96      -154.19       1035.16       1532.24       1607.25       1.59          
97      -76.44        1051.41       1516.15       1607.25       1.55          
98      328.02        1081.90       1533.25       1607.25       1.50          
99      -182.76       1071.46       1498.06       1607.25       1.51          
100     -25.58        1082.88       1531.07       1607.25       1.53          
101     -202.73       1073.22       1524.36       1607.25       1.55          
102     408.26        1081.15       1506.77       1607.25       1.52          
103     251.36        1075.30       1539.59       1607.25       1.52          
104     -47.59        1053.73       1448.50       1607.25       1.52          
105     229.72        1082.85       1519.91       1607.25       1.52          
106     370.70        1059.70       1486.87       1607.25       1.53          
107     30.00         1106.99       1496.03       1607.25       1.52          
108     111.96        1126.40       1535.14       1607.25       1.56          
109     401.25        1101.30       1494.29       1607.25       1.53          
110     216.65        1079.67       1501.22       1607.25       1.51          
111     254.50        1107.99       1534.80       1607.25       1.51          
112     323.29        1100.57       1522.09       1607.25       1.52          
113     9.22          1065.42       1496.65       1607.25       1.52          
114     629.37        1110.73       1540.58       1607.25       1.50          
115     -74.42        1087.18       1496.77       1607.25       1.50          
116     410.45        1128.04       1514.68       1607.25       1.54          
117     627.20        1086.32       1515.63       1607.25       1.48          
118     -278.19       1042.92       1498.28       1607.25       1.52          
119     -28.55        1100.88       1533.01       1607.25       1.49          
120     -242.41       1024.62       1523.42       1607.25       1.55          
121     -227.83       1068.27       1479.54       1607.25       1.53          
122     -179.18       1077.41       1474.23       1607.25       1.57          
123     -223.65       1144.78       1534.91       1607.25       1.52          
124     370.00        1111.72       1467.89       1607.25       1.55          
125     9.43          1090.98       1522.38       1607.25       1.52          
126     -190.65       1113.73       1538.80       1607.25       1.52          
127     154.59        1120.62       1536.98       1607.25       1.53          
128     257.86        1079.11       1458.99       1607.25       1.54          
129     217.19        1071.16       1479.47       1607.25       1.55          
130     -231.46       1096.28       1486.03       1607.25       1.52          
131     58.00         1064.01       1518.03       1607.25       1.52          
132     -64.29        1085.78       1522.13       1607.25       1.52          
133     -48.35        1055.89       1540.22       1607.25       1.50          
134     0.46          1099.85       1509.74       1607.25       1.51          
135     345.34        1115.53       1422.45       1607.25       1.50          
136     302.27        1101.54       1499.31       1607.25       1.51          
137     674.37        1126.40       1530.59       1607.25       1.50          
138     560.23        1150.46       1488.77       1607.25       1.53          
