experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
elapsed_time: 18138.86101102829

Genome Size: 700
Free Parameters: {'V': 220, 'W': 400, 'T': 60, 'x_0': 20}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -2.01         11.56         111.47        112.06        8.63          
1       -0.78         12.11         171.15        175.01        0.99          
2       -1.17         14.77         194.82        175.01        1.14          
3       -0.95         16.07         240.14        240.61        1.18          
4       -0.79         15.57         137.38        240.61        0.95          
5       -1.17         15.73         177.83        240.61        1.03          
6       -0.80         21.75         177.18        240.61        1.01          
7       -0.66         19.43         175.95        240.61        0.90          
8       -1.00         25.26         433.19        313.09        1.48          
9       -1.12         27.99         286.48        313.09        1.51          
10      -0.38         31.51         398.63        848.97        1.97          
11      0.27          31.79         236.45        848.97        1.25          
12      1.58          28.00         210.80        848.97        1.21          
13      0.09          35.70         223.50        848.97        1.21          
14      -0.36         38.19         168.49        848.97        1.11          
15      0.71          40.49         325.54        848.97        1.52          
16      1.78          41.75         246.02        848.97        1.18          
17      1.40          54.68         698.63        848.97        1.61          
18      -0.32         56.31         266.15        848.97        1.33          
19      0.61          54.29         481.56        848.97        1.68          
20      3.90          75.12         1021.80       1022.37       2.51          
21      2.77          73.46         977.21        1022.37       2.32          
22      3.87          69.31         685.21        1022.37       1.96          
23      4.93          85.98         727.06        1022.37       2.26          
24      4.50          80.49         998.82        1022.37       2.61          
25      0.47          98.62         1023.60       1024.31       2.94          
26      3.49          90.54         983.15        1024.31       2.34          
27      0.73          103.78        995.38        1024.31       2.88          
28      5.81          112.48        1019.00       1024.31       2.89          
29      5.53          105.34        839.65        1024.31       2.69          
30      4.84          115.35        1019.39       1024.31       2.89          
31      7.25          110.18        1007.99       1024.31       2.99          
32      5.29          96.10         996.89        1024.31       2.84          
33      6.42          103.83        1006.76       1024.31       2.65          
34      6.67          117.66        1020.89       1024.31       2.96          
35      3.94          115.97        1024.39       1024.31       2.82          
36      6.83          124.46        975.31        1024.31       2.71          
37      7.32          123.32        1024.05       1024.31       2.84          
38      5.86          146.02        1026.03       1024.31       3.08          
39      6.53          135.46        1024.84       1024.79       3.37          
40      6.77          129.52        997.03        1024.79       3.04          
41      4.48          154.94        1010.47       1024.79       3.24          
42      7.90          149.02        993.08        1024.79       3.37          
43      8.26          131.32        985.90        1024.79       2.87          
44      6.60          158.36        1020.84       1024.79       3.14          
45      6.42          158.24        1003.20       1024.79       3.33          
46      8.48          163.73        1003.32       1024.79       3.30          
47      8.85          185.50        1022.75       1024.79       3.60          
48      8.11          165.43        1009.25       1024.79       3.33          
49      6.65          173.04        1006.87       1024.79       3.48          
50      6.80          180.48        1012.39       1024.79       3.40          
51      7.59          173.22        989.63        1024.79       3.56          
52      7.80          225.19        1022.38       1024.79       3.78          
53      10.83         220.15        1022.75       1024.79       3.97          
54      7.69          233.49        1021.17       1024.79       3.88          
55      7.74          203.96        1011.64       1024.79       3.88          
56      6.75          202.25        1018.22       1024.79       3.84          
57      7.37          258.04        1024.74       1024.99       4.20          
58      8.44          248.12        1025.22       1025.37       4.48          
59      7.81          214.28        1016.44       1025.37       3.75          
60      6.64          234.64        1023.72       1025.37       3.88          
61      7.66          231.90        1018.25       1025.37       4.00          
62      8.03          249.72        1020.36       1025.37       4.03          
63      10.17         253.68        1022.37       1025.37       3.84          
64      9.18          252.09        1023.30       1025.37       4.18          
65      6.61          289.03        1023.24       1025.37       4.98          
66      8.48          225.77        1024.10       1025.37       4.10          
67      6.92          271.71        1025.05       1025.37       4.12          
