experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 17416.99464225769

Genome Size: 100
Free Parameters: {'V': 55, 'W': 25, 'T': 15, 'x_0': 5}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.46         10.49         105.80        105.13        8.34          
1       -1.05         13.87         204.79        207.45        0.87          
2       -1.15         16.40         356.29        337.53        0.89          
3       -1.39         13.27         160.54        337.53        0.73          
4       -1.11         15.55         971.96        972.02        2.00          
5       -0.90         24.50         877.01        980.38        1.99          
6       -0.45         18.12         166.62        980.38        0.74          
7       -0.83         22.95         304.63        980.38        0.87          
8       -0.79         23.07         216.13        980.38        0.72          
9       -1.10         32.60         709.39        1001.02       1.85          
10      -0.97         34.88         482.44        1001.02       1.42          
11      -1.06         37.30         1005.46       1006.21       2.04          
12      -1.45         39.14         997.22        1006.21       2.08          
13      0.52          40.22         316.04        1006.21       1.00          
14      -1.60         40.03         311.92        1006.21       1.23          
15      -1.23         40.65         384.82        1006.21       1.36          
16      -1.25         47.78         487.55        1006.21       1.33          
17      -1.25         60.85         1000.16       1006.21       2.04          
18      -1.58         73.42         1010.22       1011.60       2.32          
19      1.26          70.69         1003.50       1011.60       2.10          
20      -0.61         80.01         1017.72       1017.55       2.20          
21      -1.31         62.06         1003.56       1017.55       1.82          
22      -0.99         86.65         1006.10       1017.55       2.28          
23      -1.64         105.70        1014.65       1017.55       2.29          
24      -1.54         98.61         1014.36       1017.55       2.41          
25      -1.68         109.17        1027.21       1017.55       2.63          
26      -1.57         124.39        1017.97       1019.05       2.57          
27      -1.56         93.42         1000.70       1019.05       2.42          
28      1.92          144.19        1034.68       1019.05       2.73          
29      -1.23         129.12        1015.10       1019.05       2.71          
30      -0.27         142.69        1025.54       1021.73       2.67          
31      0.98          149.30        1023.90       1021.73       2.96          
32      1.40          168.98        1023.80       1021.73       3.17          
33      0.93          194.94        1032.00       1021.73       3.08          
34      -1.58         171.30        1021.36       1024.94       3.01          
35      3.48          195.74        1026.58       1027.39       3.37          
36      1.82          210.92        1039.38       1027.39       2.83          
37      0.19          259.25        1032.87       1033.38       3.76          
38      -1.21         270.25        1026.35       1033.38       3.74          
39      1.01          226.13        1030.79       1033.38       3.48          
40      -1.17         265.83        1025.86       1033.38       3.68          
41      0.27          285.11        1058.34       1059.90       4.00          
42      0.31          298.68        1034.58       1059.90       3.88          
43      1.26          242.23        1031.25       1059.90       3.47          
44      2.49          257.63        1026.01       1059.90       4.09          
45      -0.98         309.34        1023.06       1059.90       4.40          
46      -0.70         307.53        1028.38       1059.90       4.19          
47      -1.35         362.75        1027.91       1059.90       4.43          
48      -0.78         362.62        1031.19       1059.90       4.62          
49      -1.35         387.13        1030.17       1059.90       4.48          
50      0.70          406.63        1066.97       1059.90       5.00          
51      8.64          375.76        1027.29       1059.90       4.65          
52      -1.15         443.61        1029.35       1059.90       5.25          
53      1.90          461.88        1031.53       1059.90       5.21          
54      6.99          445.98        1039.89       1059.90       5.20          
55      5.80          510.28        1044.57       1059.90       5.54          
56      -1.40         504.80        1049.25       1059.90       5.61          
57      5.79          474.61        1034.57       1059.90       5.40          
58      6.42          540.82        1033.45       1059.90       6.08          
59      -0.97         594.28        1029.97       1059.90       6.71          
60      8.47          573.38        1034.29       1059.90       6.16          
61      5.31          573.75        1037.55       1059.90       6.16          
62      7.07          524.89        1041.44       1059.90       5.94          
63      8.55          474.62        1032.28       1059.90       5.13          
64      7.51          513.58        1032.81       1059.90       5.77          
65      6.24          586.46        1059.12       1059.90       6.18          
66      7.59          573.16        1043.62       1059.90       6.08          
67      24.09         625.47        1052.43       1059.90       6.18          
68      10.78         579.15        1035.88       1059.90       6.05          
69      9.59          573.31        1041.08       1059.90       5.99          
70      8.58          650.44        1040.11       1059.90       6.56          
71      11.87         673.59        1047.65       1059.90       6.77          
72      5.49          636.46        1037.17       1059.90       6.55          
73      23.01         620.99        1044.16       1059.90       6.06          
74      9.38          611.53        1042.12       1059.90       6.02          
75      17.67         666.84        1058.77       1061.74       6.73          
76      13.08         626.20        1050.52       1061.74       6.41          
77      10.35         628.79        1064.05       1063.34       6.09          
78      -1.43         601.38        1064.15       1063.34       6.10          
79      11.40         615.55        1069.94       1063.34       6.09          
80      -0.19         635.94        1070.95       1063.34       6.27          
81      6.82          621.18        1078.48       1078.47       6.18          
82      3.00          631.48        1067.70       1078.47       6.47          
83      7.83          623.67        1066.92       1078.47       6.24          
84      -1.41         609.34        1056.58       1078.47       6.35          
85      2.07          687.59        1074.98       1078.47       6.60          
86      10.99         633.18        1056.59       1078.47       6.36          
87      29.80         705.73        1058.45       1078.47       6.84          
88      0.36          642.75        1074.12       1078.47       6.16          
89      10.67         674.14        1097.84       1078.47       6.42          
90      2.87          720.06        1065.70       1078.47       6.81          
91      15.42         685.80        1080.61       1085.33       6.58          
92      34.11         712.04        1092.21       1085.33       6.59          
93      18.68         692.81        1097.79       1085.33       6.51          
94      16.52         674.78        1077.96       1085.33       6.26          
95      2.16          651.71        1099.37       1111.68       6.46          
96      13.24         739.10        1080.44       1111.68       6.89          
97      10.82         636.44        1079.19       1111.68       6.12          
98      5.82          691.64        1098.23       1111.68       6.62          
99      40.40         706.72        1078.99       1111.68       6.78          
100     39.35         763.54        1099.43       1111.68       7.32          
101     23.04         723.65        1097.13       1111.68       6.80          
102     29.99         750.42        1106.91       1111.68       6.96          
103     49.11         725.45        1101.23       1111.68       6.34          
104     21.24         822.17        1110.58       1111.68       7.64          
105     13.06         692.19        1102.39       1111.68       6.37          
106     -0.15         723.74        1103.06       1111.68       6.78          
107     29.61         748.03        1112.98       1111.68       6.76          
108     33.43         755.55        1103.01       1111.68       6.81          
109     36.65         770.41        1090.30       1111.68       6.85          
110     47.19         755.79        1080.00       1111.68       7.02          
111     28.17         819.65        1091.12       1111.68       7.36          
112     27.77         727.12        1129.85       1111.68       6.62          
113     28.72         804.18        1113.86       1111.68       6.86          
114     34.32         779.32        1107.58       1111.68       6.85          
115     20.98         799.85        1122.75       1111.68       7.12          
116     37.03         821.29        1099.58       1111.68       6.98          
117     31.37         782.47        1118.41       1111.68       6.77          
118     54.75         786.40        1110.99       1111.68       6.91          
119     29.66         810.41        1129.42       1111.68       7.12          
120     23.00         735.71        1140.62       1111.68       6.32          
121     41.42         762.34        1137.51       1111.68       6.69          
122     39.35         734.92        1137.70       1111.68       6.38          
123     28.85         779.15        1173.18       1146.78       6.94          
124     64.22         759.69        1170.11       1161.49       6.58          
125     46.40         747.17        1128.58       1161.49       6.61          
126     45.10         820.65        1135.92       1161.49       7.23          
127     31.69         777.87        1172.13       1161.49       6.31          
128     27.85         782.59        1133.75       1161.49       7.11          
129     28.85         769.69        1135.94       1161.49       6.62          
130     27.84         800.34        1148.23       1161.49       6.80          
131     54.29         815.06        1114.64       1161.49       6.99          
132     33.57         783.32        1177.42       1161.49       6.62          
133     22.75         723.23        1229.99       1161.49       6.14          
134     26.61         760.54        1230.58       1161.49       6.49          
135     27.90         790.64        1139.87       1161.49       6.41          
136     33.55         793.59        1172.47       1161.49       6.58          
137     40.97         856.73        1172.07       1161.49       7.28          
138     30.64         824.86        1182.93       1161.49       6.76          
139     4.30          809.50        1185.31       1161.49       6.84          
140     44.11         807.04        1173.75       1161.49       7.02          
141     28.52         790.72        1186.54       1161.49       6.53          
142     37.75         785.49        1180.99       1161.49       6.48          
143     35.41         817.71        1177.50       1161.49       6.86          
144     39.67         784.65        1151.55       1161.49       6.78          
145     6.96          723.05        1144.87       1161.49       6.25          
146     32.17         768.64        1200.96       1161.49       6.42          
147     30.69         764.94        1226.59       1161.49       6.19          
148     0.07          733.42        1237.56       1161.49       6.44          
149     41.22         755.39        1173.29       1161.49       6.66          
150     46.11         800.02        1186.15       1161.49       6.75          
151     32.17         791.20        1128.09       1161.49       6.76          
152     62.99         811.01        1356.41       1237.04       6.71          
153     31.18         806.45        1207.56       1237.04       6.53          
154     33.06         734.90        1204.69       1237.04       6.17          
155     45.47         829.45        1196.23       1237.04       6.82          
156     40.34         855.53        1174.90       1237.04       7.07          
157     23.40         816.84        1165.02       1237.04       7.01          
158     64.18         883.93        1216.30       1237.04       7.31          
159     41.10         841.85        1236.28       1237.04       6.81          
160     43.27         846.66        1304.38       1237.04       6.84          
161     44.91         752.16        1209.34       1237.04       6.30          
162     24.65         824.55        1225.71       1237.04       7.01          
163     40.97         770.56        1185.29       1237.04       6.49          
164     39.25         819.63        1268.48       1237.04       6.94          
165     38.38         773.94        1261.78       1237.04       6.42          
166     72.99         852.54        1199.79       1237.04       6.83          
167     34.58         836.94        1272.52       1249.01       6.78          
168     79.42         821.66        1223.37       1249.01       6.61          
169     78.04         810.55        1362.99       1249.01       6.43          
170     84.08         829.16        1329.09       1277.91       6.55          
171     33.59         794.70        1277.24       1277.91       6.32          
172     49.14         839.53        1263.54       1277.91       6.83          
173     35.00         825.33        1294.43       1277.91       6.60          
174     27.30         748.98        1262.03       1277.91       6.17          
175     46.41         829.35        1442.90       1277.91       6.38          
176     35.26         774.32        1304.44       1277.91       6.13          
177     54.37         833.42        1355.70       1277.91       6.41          
178     72.57         842.14        1424.80       1277.91       6.34          
179     29.24         804.02        1497.48       1277.91       6.11          
180     91.35         823.47        1305.26       1283.24       6.41          
181     48.59         843.13        1416.82       1283.24       6.19          
182     66.76         809.16        1435.88       1283.24       6.22          
183     38.65         821.29        1456.08       1283.24       5.92          
184     35.49         864.37        1451.47       1283.24       6.34          
185     67.52         863.81        1438.28       1283.24       6.14          
186     77.53         847.22        1395.92       1316.76       6.51          
187     63.27         828.83        1382.23       1381.60       6.26          
188     78.65         831.37        1450.44       1381.60       6.29          
189     32.20         887.65        1366.57       1381.60       6.78          
190     62.17         893.11        1506.58       1381.60       6.44          
191     52.55         870.86        1512.48       1381.60       6.09          
192     72.17         839.15        1413.97       1381.60       6.14          
193     71.22         880.51        1443.66       1381.60       6.54          
194     85.13         893.40        1446.06       1381.60       6.55          
195     81.94         888.13        1477.20       1381.60       6.66          
196     73.18         829.56        1538.34       1456.48       6.33          
197     77.97         895.54        1493.76       1456.48       6.57          
198     79.68         829.19        1506.14       1456.48       6.14          
199     69.06         842.77        1511.52       1456.48       6.11          
200     67.11         820.32        1581.42       1456.48       5.91          
201     60.13         850.30        1630.68       1545.61       6.03          
202     72.85         817.61        1722.14       1545.61       5.64          
203     59.25         847.68        1602.37       1559.00       5.88          
204     97.11         866.49        1615.05       1559.00       5.91          
205     69.75         894.21        1595.94       1559.00       6.00          
206     67.20         956.42        1524.76       1559.00       6.20          
207     66.78         875.81        1616.84       1559.00       5.85          
208     69.11         898.81        1702.81       1559.00       5.76          
209     66.63         889.68        1754.45       1559.00       5.76          
210     97.92         864.97        1606.78       1559.00       5.87          
211     91.18         937.87        1669.04       1559.00       5.72          
212     91.03         925.39        1613.57       1559.00       5.99          
213     83.08         969.77        1632.84       1576.60       6.17          
214     84.86         969.85        1750.06       1576.60       6.08          
215     65.95         920.08        1559.11       1576.60       6.10          
216     81.27         971.43        1592.53       1576.60       5.87          
217     100.70        976.21        1593.49       1576.60       6.27          
218     104.60        993.64        1690.50       1576.60       6.10          
219     111.10        1001.74       1753.22       1576.60       6.08          
220     94.64         965.37        1718.34       1576.60       6.20          
221     108.51        1060.58       1774.78       1576.60       6.21          
222     95.27         1034.62       1782.65       1576.60       6.12          
223     129.67        1010.99       1735.48       1576.60       5.97          
224     84.87         1023.07       1788.33       1576.60       5.86          
