experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 7379.86990737915

Genome Size: 145
Free Parameters: {'V': 85, 'W': 25, 'T': 30, 'x_0': 5}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -18.53        2.69          207.40        200.08        17.03         
1       -19.58        4.16          183.74        200.08        0.41          
2       -35.59        6.31          315.55        200.08        0.73          
3       -26.74        5.13          285.79        240.76        0.78          
4       -31.11        6.02          284.24        280.35        0.50          
5       -31.89        7.60          341.80        280.35        0.54          
6       -23.65        8.04          237.94        280.35        0.63          
7       -33.20        9.66          282.52        284.92        0.57          
8       -29.58        15.22         287.67        284.92        0.51          
9       -57.73        9.44          247.97        284.92        0.51          
10      -38.87        10.98         304.18        298.92        0.53          
11      -36.20        32.12         1073.09       1073.32       1.19          
12      -52.99        22.06         317.34        1073.32       0.54          
13      -55.48        42.37         986.01        1073.32       1.25          
14      -58.00        56.12         955.86        1073.32       1.21          
15      -93.80        43.49         523.85        1073.32       0.89          
16      -80.71        48.19         714.30        1073.32       0.99          
17      -81.13        53.13         818.86        1073.32       1.02          
18      -59.65        44.44         382.77        1073.32       0.72          
19      -46.71        58.03         575.21        1073.32       0.93          
20      -35.56        60.29         988.29        1073.32       1.03          
21      -69.50        64.63         611.12        1073.32       1.07          
22      -64.53        62.81         460.36        1073.32       0.80          
23      -25.07        63.78         544.94        1073.32       0.84          
24      -40.75        65.06         453.96        1073.32       0.85          
25      -83.07        81.36         759.97        1073.32       1.01          
26      -49.80        86.50         743.39        1073.32       0.98          
27      -117.96       95.20         511.23        1073.32       0.84          
28      -56.38        90.27         667.13        1073.32       0.96          
29      -111.25       84.78         359.93        1073.32       0.61          
30      -77.62        100.84        725.78        1073.32       1.05          
31      -17.87        109.70        614.64        1073.32       0.87          
32      -27.49        100.17        1021.31       1073.32       1.27          
33      -54.23        110.36        451.55        1073.32       0.90          
34      -17.80        121.42        969.85        1073.32       1.24          
35      -149.80       93.49         491.27        1073.32       0.82          
36      -16.24        133.77        514.64        1073.32       1.05          
37      -46.73        125.42        504.33        1073.32       0.74          
38      -22.38        150.15        985.80        1073.32       1.26          
39      -65.05        133.90        506.14        1073.32       0.75          
40      -8.52         140.88        359.08        1073.32       0.73          
41      -36.02        151.43        640.69        1073.32       1.03          
42      -33.63        166.63        973.39        1073.32       1.37          
43      -57.97        165.26        760.73        1073.32       1.07          
44      -25.91        180.78        692.73        1073.32       1.16          
45      -58.02        174.40        1051.34       1073.32       1.33          
46      -73.35        175.30        988.24        1073.32       1.33          
47      -16.17        187.06        1065.99       1073.32       1.32          
48      -33.29        211.60        1025.56       1073.32       1.48          
49      -31.81        161.07        1008.01       1073.32       1.27          
50      -46.66        212.48        1037.06       1073.32       1.40          
51      -31.66        218.54        1053.48       1073.32       1.41          
52      -6.70         228.33        1081.27       1073.32       1.54          
53      -61.54        242.34        1043.29       1073.32       1.56          
54      -49.12        276.66        1074.95       1073.32       1.64          
55      -55.74        269.17        1048.42       1073.32       1.60          
56      -49.86        302.16        1077.86       1073.32       1.64          
57      -72.25        297.28        1068.04       1073.32       1.72          
58      -59.01        302.99        1067.89       1073.32       1.61          
59      -49.55        312.37        1081.45       1076.22       1.62          
60      -50.95        264.58        1070.03       1076.22       1.76          
61      -15.62        305.62        1080.00       1076.22       1.62          
62      -23.15        314.60        1103.15       1076.22       1.73          
63      -21.41        253.32        1069.11       1076.22       1.71          
64      -26.69        359.12        1054.43       1076.22       1.72          
65      -24.19        324.95        1078.59       1076.22       1.77          
66      -49.52        314.50        1090.77       1076.22       1.77          
67      -47.87        320.28        1050.16       1076.22       1.73          
68      -36.14        348.65        1054.77       1076.22       1.83          
69      -42.86        366.86        1088.97       1083.48       1.76          
70      -19.10        432.89        1081.33       1083.48       1.84          
71      -11.65        420.42        1058.18       1083.48       1.93          
72      -15.88        419.27        1064.99       1083.48       1.86          
73      -24.81        398.34        1064.35       1083.48       1.83          
74      -23.65        390.69        1068.28       1083.48       1.89          
75      -31.37        426.95        1083.01       1083.48       1.86          
