experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.01
elapsed_time: 24754.461669921875

Genome Size: 340
Free Parameters: {'V': 170, 'W': 100, 'T': 60, 'x_0': 10}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -22.90        2.57          238.67        68.97         8.78          
1       -45.10        4.68          280.88        282.47        1.13          
2       -56.69        2.74          252.81        283.50        1.22          
3       -63.79        6.59          255.93        283.50        1.16          
4       -45.23        3.62          233.40        283.50        1.03          
5       -39.96        1.79          174.25        283.50        1.13          
6       -31.38        6.57          200.15        283.50        1.06          
7       -78.52        6.85          260.40        283.50        1.08          
8       -116.55       7.50          553.43        283.50        1.34          
9       -22.31        6.53          207.08        283.50        1.06          
10      -33.20        7.94          231.07        283.50        1.05          
11      -42.57        4.17          236.53        283.50        1.11          
12      -51.24        7.00          217.35        283.50        1.11          
13      -65.28        10.21         288.32        320.44        1.18          
14      -43.83        9.42          318.04        320.44        1.26          
15      -20.62        9.12          224.36        320.44        1.22          
16      -46.88        16.23         289.15        320.44        1.29          
17      -46.52        12.83         347.76        320.44        1.39          
18      -98.73        17.03         272.81        320.44        1.37          
19      -38.39        23.56         277.64        320.44        1.30          
20      -46.56        27.30         270.64        320.44        1.51          
21      -64.39        32.93         695.29        658.45        2.37          
22      -76.41        36.49         323.09        658.45        1.58          
23      -103.67       40.72         269.33        658.45        1.56          
24      -70.62        50.22         414.68        658.45        1.75          
25      -52.12        52.68         374.18        658.45        1.99          
26      -63.65        74.04         354.98        658.45        1.91          
27      -53.84        67.99         313.42        658.45        1.82          
28      -80.79        81.51         692.25        658.45        2.39          
29      -50.99        80.19         407.23        658.45        2.04          
30      -64.55        99.73         412.26        658.45        2.12          
31      -37.98        87.85         393.28        658.45        1.99          
32      -63.08        95.22         347.11        658.45        2.13          
33      -64.02        103.93        437.75        658.45        2.40          
34      -82.57        109.62        444.09        658.45        2.17          
35      -37.01        110.78        379.02        658.45        2.10          
