experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: FFNN
	hidden_layers: [50, 50]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: True
elapsed_time: 5930.171931505203

Genome Size: 3756
Free Parameters: {'individual_size': 3756}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1541.76      -530.33       -214.19       -262.24       19.26         
1       -1117.58      -513.82       -111.67       -227.68       2.34          
2       -1064.54      -495.92       -149.48       -227.68       2.35          
3       -950.62       -491.78       -179.97       -227.68       2.38          
4       -1529.89      -492.97       -192.71       -227.68       2.33          
5       -1509.43      -457.88       -15.36        -199.03       2.35          
6       -922.41       -459.84       87.70         -65.90        2.41          
7       -865.39       -417.22       183.23        33.73         2.35          
8       -909.65       -413.35       151.11        33.73         2.37          
9       -704.04       -410.03       -106.97       33.73         2.34          
10      -907.46       -400.25       -15.07        33.73         2.36          
11      -1130.38      -362.99       127.42        58.24         2.44          
12      -659.17       -341.94       50.50         58.24         2.52          
13      -715.37       -331.34       159.99        211.50        2.42          
14      -670.26       -343.71       161.98        211.50        2.41          
15      -665.92       -335.92       142.29        211.50        2.41          
16      -672.38       -333.42       47.24         211.50        2.42          
17      -949.00       -314.90       321.87        281.57        2.44          
18      -661.63       -313.92       248.35        281.57        2.44          
19      -641.71       -314.36       133.25        281.57        2.41          
20      -606.79       -294.20       328.90        298.18        2.43          
21      -2244.89      -312.20       189.19        298.18        2.45          
22      -598.02       -264.63       241.61        298.18        2.46          
23      -682.34       -254.43       190.70        298.18        2.44          
24      -604.74       -261.63       287.57        298.18        2.45          
25      -634.61       -240.87       214.59        298.18        2.47          
26      -650.07       -234.95       270.08        304.08        2.48          
27      -637.50       -214.84       270.37        304.08        2.42          
28      -1164.31      -198.80       281.31        304.08        2.44          
29      -606.39       -197.24       334.58        304.08        2.36          
30      -667.61       -160.20       441.02        304.08        2.39          
31      -650.81       -147.33       370.84        304.08        2.39          
32      -630.15       -119.84       501.12        472.23        2.38          
33      -560.76       -73.60        528.41        472.23        2.37          
