experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: FFNN
	hidden_layers: [5, 5]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: False
elapsed_time: 6645.731330394745

Genome Size: 140
Free Parameters: {'individual_size': 140}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -22.71        -3.62         160.77        187.86        15.84         
1       -35.27        -3.09         81.24         187.86        0.40          
2       -20.58        -3.38         86.53         187.86        0.44          
3       -20.73        -3.58         51.36         187.86        0.63          
4       -18.59        -1.89         56.76         187.86        0.41          
5       -19.57        -3.50         34.16         187.86        0.41          
6       -21.27        -1.21         89.31         187.86        0.52          
7       -22.08        -2.95         110.78        187.86        0.55          
8       -26.13        -2.82         121.61        187.86        0.53          
9       -17.60        -1.25         90.54         187.86        0.47          
10      -21.31        -1.70         62.02         187.86        0.40          
11      -21.25        -2.30         98.68         187.86        0.44          
12      -27.28        -0.86         96.67         187.86        0.44          
13      -18.39        -2.55         43.86         187.86        0.42          
14      -17.99        -0.74         50.97         187.86        0.38          
15      -20.29        -1.34         178.62        187.86        0.41          
16      -18.72        -2.31         138.35        187.86        0.40          
17      -20.95        -2.49         59.40         187.86        0.40          
18      -20.11        0.48          133.20        187.86        0.40          
19      -19.16        1.31          176.89        187.86        0.39          
20      -35.94        3.16          190.12        187.86        0.43          
21      -19.13        2.91          194.86        253.07        0.56          
22      -19.00        1.05          67.39         253.07        0.40          
23      -20.27        3.38          144.22        253.07        0.43          
24      -19.68        5.01          136.78        253.07        0.43          
25      -23.85        13.86         314.04        253.07        0.46          
26      -32.64        11.76         242.06        253.07        0.50          
27      -18.77        19.19         214.58        367.05        0.62          
28      -26.75        14.32         188.42        367.05        0.45          
29      -90.90        14.72         175.81        367.05        0.48          
30      -39.33        19.15         437.70        367.05        0.62          
31      -35.08        23.25         263.02        367.05        0.64          
32      -54.50        20.78         328.49        367.05        0.58          
33      -17.69        32.64         363.98        367.05        0.57          
34      -17.67        30.02         350.28        367.05        0.59          
35      -63.87        29.52         177.30        367.05        0.46          
36      -38.74        34.80         249.61        367.05        0.46          
37      -75.62        33.72         260.92        367.05        0.61          
38      -43.79        46.00         487.47        367.05        0.73          
39      -51.24        40.20         266.04        367.05        0.51          
40      -52.75        47.94         314.43        367.05        0.52          
41      -47.35        52.70         405.64        367.05        0.84          
42      -34.07        60.19         1000.84       807.34        1.19          
43      -50.77        62.46         398.81        807.34        0.72          
44      -55.73        52.95         305.44        807.34        0.52          
45      -53.22        62.64         316.06        807.34        0.56          
46      -69.91        66.03         483.69        807.34        0.77          
47      -91.60        73.12         336.81        807.34        0.58          
48      -64.11        66.07         345.34        807.34        0.67          
49      -21.55        77.82         620.85        807.34        0.88          
50      -69.43        72.48         367.46        807.34        0.65          
51      -39.19        86.67         815.31        807.34        0.90          
52      -30.90        87.57         489.55        807.34        0.83          
53      -23.58        89.05         334.89        807.34        0.56          
