experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
elapsed_time: 4294.584175348282

Genome Size: 880
Free Parameters: {'V': 340, 'W': 400, 'T': 120, 'x_0': 20}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -615.07       -588.91       -546.13       -568.75       17.73         
1       -657.53       -588.51       -535.91       -556.94       1.80          
2       -682.17       -588.67       -547.00       -556.38       1.85          
3       -640.22       -587.72       -435.94       -556.38       1.93          
4       -669.05       -586.70       -544.75       -556.38       1.81          
5       -643.07       -584.39       -450.06       -461.26       1.80          
6       -705.77       -588.96       -526.01       -461.26       1.81          
7       -607.42       -585.35       -515.55       -461.26       1.86          
8       -668.42       -583.30       -472.08       -461.26       1.80          
9       -632.54       -587.10       -495.79       -461.26       1.83          
10      -618.44       -582.62       -497.64       -461.26       1.81          
11      -631.13       -583.03       -500.01       -461.26       1.83          
12      -626.26       -583.35       -530.07       -461.26       1.83          
13      -643.34       -584.30       -518.91       -461.26       1.79          
14      -657.63       -576.49       -454.76       -461.26       1.80          
15      -613.68       -581.41       -503.58       -461.26       1.79          
16      -692.74       -579.24       -350.71       -461.26       1.86          
17      -611.75       -578.34       -483.76       -461.26       1.81          
18      -635.40       -581.33       -513.47       -461.26       1.83          
19      -616.93       -581.85       -495.14       -461.26       1.83          
20      -649.74       -578.24       -489.58       -461.26       1.82          
21      -745.26       -579.98       -495.70       -461.26       1.81          
22      -720.64       -578.35       -496.68       -461.26       1.82          
23      -711.17       -577.12       -438.26       -447.31       1.82          
24      -769.43       -580.63       -521.51       -447.31       1.84          
25      -843.94       -573.99       -427.95       -447.31       1.83          
26      -1041.40      -580.45       -503.77       -447.31       1.85          
27      -859.31       -574.95       -496.15       -447.31       1.86          
28      -736.91       -571.86       -400.79       -447.31       1.84          
29      -691.45       -572.67       -490.58       -447.31       1.81          
30      -690.82       -573.03       -397.90       -447.31       1.80          
31      -714.59       -566.83       -428.97       -447.31       1.80          
32      -710.61       -570.35       -416.78       -447.31       1.82          
33      -714.25       -570.35       -224.77       -358.46       1.80          
34      -754.47       -568.81       -375.50       -358.46       1.81          
35      -666.64       -567.85       -383.11       -358.46       1.84          
36      -749.56       -573.19       -373.61       -358.46       1.82          
37      -714.44       -568.83       -451.23       -358.46       1.80          
38      -669.11       -563.88       -129.96       -262.26       1.80          
39      -830.28       -565.66       -337.57       -262.26       1.82          
40      -748.09       -566.60       -430.77       -262.26       1.82          
41      -753.46       -561.85       -382.92       -262.26       1.83          
42      -681.44       -560.36       -410.40       -262.26       1.81          
43      -713.08       -559.64       -367.51       -262.26       1.78          
44      -728.65       -561.58       -417.29       -262.26       1.83          
45      -768.76       -563.85       -418.43       -262.26       1.83          
46      -765.91       -562.91       -371.91       -262.26       1.79          
47      -685.76       -548.21       -92.13        -262.26       1.79          
48      -819.50       -551.33       -325.55       -262.26       1.79          
49      -656.86       -549.22       -364.89       -262.26       1.78          
50      -786.70       -548.52       -155.94       -262.26       1.80          
51      -783.08       -550.40       -196.13       -262.26       1.80          
52      -632.05       -536.88       -302.94       -262.26       1.82          
53      -724.72       -551.19       -255.53       -262.26       1.79          
54      -692.99       -542.99       -309.53       -262.26       1.84          
55      -727.88       -540.09       -211.09       -262.26       1.83          
56      -672.92       -532.59       -234.26       -262.26       1.80          
57      -773.13       -544.35       -161.96       -262.26       1.82          
58      -680.94       -531.17       -149.57       -262.26       1.83          
59      -886.08       -533.24       -46.06        -262.26       1.79          
60      -697.95       -540.37       -238.28       -262.26       1.80          
61      -676.57       -523.10       4.30          -154.54       1.79          
62      -990.75       -537.43       -287.87       -154.54       1.80          
63      -714.50       -530.59       -250.96       -154.54       1.81          
64      -694.67       -525.39       -205.28       -154.54       1.78          
65      -879.78       -529.49       -248.89       -154.54       1.83          
66      -704.32       -519.62       -211.80       -154.54       1.81          
67      -968.99       -528.15       -187.39       -154.54       1.76          
68      -736.34       -522.06       -227.60       -154.54       1.78          
69      -749.51       -515.62       -170.38       -154.54       1.84          
70      -796.11       -517.08       -152.52       -128.37       1.81          
71      -910.15       -512.97       93.75         26.60         1.79          
72      -760.31       -504.91       61.94         26.60         1.84          
73      -736.63       -488.95       306.02        26.60         1.79          
74      -911.77       -492.33       23.06         26.60         1.79          
75      -817.22       -511.09       121.06        26.60         1.81          
76      -801.34       -496.11       -1.53         26.60         1.78          
77      -758.26       -500.05       -16.32        26.60         1.81          
78      -970.04       -494.31       55.72         26.60         1.79          
79      -798.30       -495.08       -111.42       26.60         1.79          
80      -784.49       -475.63       -1.19         26.60         1.79          
81      -813.13       -491.42       -0.09         26.60         1.81          
82      -790.17       -465.73       126.70        26.60         1.78          
83      -1107.62      -481.53       5.61          26.60         1.81          
84      -802.25       -459.44       85.35         26.60         1.77          
85      -813.95       -460.13       27.95         26.60         1.81          
86      -848.68       -464.32       15.92         26.60         1.80          
87      -986.18       -457.92       83.12         26.60         1.82          
88      -871.54       -449.65       70.71         26.60         1.79          
89      -869.50       -444.91       93.59         26.60         1.76          
90      -830.91       -430.94       131.83        26.60         1.77          
91      -778.27       -399.02       102.47        26.60         1.79          
92      -833.09       -415.96       153.54        26.60         1.79          
93      -733.99       -391.87       63.30         26.60         1.81          
94      -787.25       -392.65       137.77        26.60         1.81          
95      -746.06       -407.31       156.87        26.60         1.81          
96      -732.27       -419.75       210.51        54.42         1.77          
97      -789.10       -391.81       143.00        54.42         1.79          
98      -747.00       -393.26       179.37        54.42         1.79          
99      -770.21       -373.66       183.44        142.29        1.77          
100     -706.24       -359.35       126.81        142.29        1.78          
101     -940.78       -350.30       200.61        142.29        1.81          
102     -833.94       -324.74       177.28        142.29        1.80          
103     -764.85       -340.54       118.46        142.29        1.78          
104     -1014.71      -357.75       145.47        142.29        1.80          
105     -1025.19      -343.16       198.88        142.29        1.75          
106     -842.05       -338.75       154.67        142.29        1.82          
107     -782.08       -341.06       201.25        142.29        1.81          
108     -758.35       -312.54       127.05        142.29        1.78          
109     -843.19       -308.37       175.83        142.29        1.75          
110     -896.89       -307.58       160.37        142.29        1.80          
111     -933.70       -325.11       133.46        142.29        1.82          
112     -1095.33      -290.15       152.32        142.29        1.80          
113     -921.33       -307.27       187.06        142.29        1.80          
114     -929.36       -319.90       168.63        142.29        1.79          
115     -886.23       -278.20       151.22        142.29        1.78          
116     -860.14       -322.97       182.14        142.29        1.75          
117     -860.93       -294.74       202.77        142.29        1.80          
118     -963.48       -316.87       188.80        142.29        1.79          
119     -794.22       -312.29       238.25        153.45        1.78          
120     -873.13       -332.70       204.62        153.45        1.86          
121     -808.05       -293.52       202.49        153.45        1.79          
122     -835.64       -333.55       180.09        153.45        1.82          
123     -740.65       -277.22       268.48        189.03        1.77          
124     -872.59       -330.53       234.42        189.03        1.75          
125     -1014.02      -349.39       210.16        189.03        1.75          
126     -997.02       -280.53       218.93        189.03        1.76          
127     -930.85       -304.88       247.16        189.03        1.83          
128     -793.42       -249.25       320.55        189.03        1.82          
129     -931.51       -267.68       249.78        189.03        1.78          
130     -929.82       -322.88       220.68        189.03        1.76          
131     -890.71       -294.36       217.64        189.03        1.78          
132     -842.46       -292.20       205.19        189.03        1.77          
133     -994.19       -292.24       229.87        189.03        1.78          
134     -878.46       -286.65       172.21        189.03        1.77          
135     -999.64       -275.07       224.84        189.03        1.79          
136     -892.71       -280.89       228.85        189.03        1.79          
137     -831.61       -272.70       210.45        189.03        1.75          
138     -1001.62      -257.13       192.66        189.03        1.78          
139     -824.88       -206.80       239.78        189.03        1.77          
140     -849.95       -244.81       285.92        220.64        1.78          
141     -681.40       -228.34       207.07        220.64        1.77          
142     -924.04       -210.47       284.69        227.78        1.77          
143     -846.10       -224.38       197.07        227.78        1.77          
144     -809.27       -193.81       272.69        227.78        1.76          
145     -888.30       -211.46       232.30        227.78        1.75          
146     -753.17       -193.09       247.13        227.78        1.76          
147     -810.45       -146.86       258.45        227.78        1.74          
148     -829.21       -254.85       326.94        249.03        1.78          
149     -958.31       -215.18       266.41        249.03        1.75          
150     -1010.18      -207.78       313.30        249.03        1.80          
151     -908.09       -169.33       248.28        249.03        1.72          
152     -858.42       -168.55       245.16        249.03        1.75          
153     -1013.83      -241.44       288.93        249.03        1.76          
154     -809.21       -180.73       261.53        249.03        1.78          
155     -948.18       -166.94       243.60        249.03        1.74          
156     -866.84       -223.04       269.13        249.03        1.75          
157     -915.40       -162.94       368.96        249.03        1.72          
158     -864.24       -154.35       310.02        256.33        1.77          
159     -986.65       -175.65       321.91        266.06        1.75          
160     -752.76       -187.26       263.95        266.06        1.76          
161     -815.18       -213.34       254.81        266.06        1.78          
162     -995.61       -147.54       356.44        266.06        1.74          
163     -892.29       -160.97       296.60        266.06        1.77          
164     -1108.44      -178.51       298.13        266.06        1.76          
165     -967.81       -144.22       393.99        266.06        1.74          
166     -912.68       -132.31       269.03        266.06        1.74          
167     -1021.67      -182.06       284.01        266.06        1.76          
168     -795.16       -124.28       328.20        282.96        1.72          
169     -773.17       -140.18       307.66        282.96        1.76          
170     -1051.66      -101.25       371.36        333.03        1.77          
171     -759.59       -145.53       335.47        333.03        1.79          
172     -988.23       -148.85       376.66        333.03        1.76          
173     -944.89       -187.19       308.67        333.03        1.78          
174     -816.23       -120.01       321.07        333.03        1.75          
175     -843.33       -119.18       349.23        333.03        1.75          
176     -986.92       -162.36       268.26        333.03        1.73          
177     -951.03       -158.54       386.24        333.03        1.76          
178     -945.51       -160.26       312.05        333.03        1.78          
179     -1021.37      -121.29       373.71        360.28        1.76          
180     -926.08       -116.37       344.16        360.28        1.80          
181     -1016.75      -124.39       287.71        360.28        1.79          
182     -776.78       -91.21        393.17        360.28        1.78          
183     -949.55       -105.27       347.98        360.28        1.76          
184     -886.70       -119.57       333.85        360.28        1.77          
185     -1025.25      -128.95       361.29        360.28        1.77          
186     -1026.67      -86.07        399.48        360.28        1.77          
187     -973.51       -96.99        412.42        360.28        1.79          
188     -994.15       -135.82       370.48        360.28        1.81          
189     -826.23       -134.98       374.44        360.28        1.80          
190     -975.89       -106.82       392.04        360.28        1.74          
191     -932.73       -92.29        403.50        360.28        1.76          
192     -961.30       -123.39       405.13        360.28        1.79          
193     -725.51       -119.14       397.33        360.28        1.77          
194     -988.11       -128.75       396.04        360.28        1.78          
195     -1020.13      -128.45       414.97        381.18        1.79          
196     -905.89       -87.57        419.93        381.18        1.76          
197     -805.60       -106.84       405.93        403.09        1.76          
198     -805.89       -97.46        356.49        403.09        1.74          
199     -970.13       -64.98        410.51        403.09        1.76          
200     -639.21       -90.76        363.05        403.09        1.75          
201     -829.46       -76.02        398.47        403.09        1.75          
202     -647.08       -51.08        401.20        403.09        1.75          
203     -880.86       -54.16        400.54        403.09        1.76          
204     -839.85       -59.32        372.84        403.09        1.77          
205     -882.07       -94.97        361.71        403.09        1.74          
206     -633.49       -79.59        390.23        403.09        1.78          
207     -728.01       -86.98        423.21        403.09        1.78          
208     -663.89       -82.26        394.27        403.09        1.76          
209     -662.23       -35.16        412.08        403.09        1.71          
210     -646.80       -48.44        378.14        403.09        1.75          
211     -647.16       -57.80        420.33        403.09        1.72          
212     -686.77       -24.02        409.21        403.09        1.75          
213     -657.59       -41.91        396.43        403.09        1.74          
214     -698.26       -77.60        389.03        403.09        1.75          
215     -838.92       -27.50        383.02        403.09        1.77          
216     -674.89       -62.63        363.46        403.09        1.73          
217     -652.44       -12.95        435.76        403.09        1.78          
218     -982.39       -65.28        412.98        403.09        1.78          
219     -718.62       -52.35        382.50        403.09        1.82          
220     -969.59       -9.50         388.00        403.09        1.76          
221     -734.26       -47.91        402.42        403.09        1.79          
222     -630.49       -62.06        400.50        403.09        1.87          
223     -783.06       -37.81        428.14        403.09        1.79          
224     -732.55       -34.97        400.87        403.09        1.78          
225     -889.61       -11.97        390.74        403.09        1.77          
226     -666.08       -43.72        387.11        403.09        1.78          
227     -600.68       -95.80        418.15        403.09        1.75          
228     -673.33       -26.69        443.09        403.09        1.74          
229     -624.53       -40.26        393.91        403.09        1.76          
230     -599.52       -46.07        417.94        403.09        1.77          
231     -650.01       -16.92        405.81        403.09        1.73          
232     -616.67       -30.82        416.57        403.09        1.74          
233     -762.15       -10.20        413.62        403.09        1.73          
