experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 7446.549109458923

Genome Size: 880
Free Parameters: {'V': 340, 'W': 400, 'T': 120, 'x_0': 20}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -19.38        -6.01         28.20         23.06         16.89         
1       -35.69        -5.09         45.51         36.81         0.48          
2       -28.27        -5.58         67.43         36.81         0.66          
3       -21.36        -6.12         119.71        70.52         0.70          
4       -21.06        -4.42         61.84         70.52         0.56          
5       -47.84        -5.61         27.32         70.52         0.57          
6       -21.30        -5.12         51.46         70.52         0.59          
7       -25.69        -6.03         42.36         70.52         0.58          
8       -21.55        -3.47         82.18         70.52         0.53          
9       -23.71        -5.75         61.21         70.52         0.54          
10      -34.02        -4.74         49.87         70.52         0.53          
11      -23.70        -4.73         84.00         71.09         0.59          
12      -30.70        -3.64         101.21        93.77         0.52          
13      -23.46        -2.23         221.39        119.82        0.53          
14      -28.20        -3.04         105.52        135.64        0.56          
15      -29.76        -1.65         147.20        155.15        0.63          
16      -24.48        0.22          183.58        155.15        0.56          
17      -43.52        3.16          320.32        207.51        0.60          
18      -41.54        1.99          106.26        207.51        0.55          
19      -26.08        4.12          159.54        207.51        0.57          
20      -75.87        7.76          213.97        207.51        0.59          
21      -46.54        10.00         488.96        207.51        0.96          
22      -34.15        16.94         291.28        212.53        0.68          
23      -41.12        21.85         317.14        287.42        0.63          
24      -65.72        30.00         421.21        287.42        0.71          
25      -35.85        47.00         696.51        287.42        0.97          
26      -21.93        45.53         483.86        328.16        0.85          
27      -46.26        76.84         978.65        368.48        1.27          
28      -87.95        63.40         550.96        407.70        1.05          
29      -57.96        72.11         675.25        702.01        1.18          
30      -60.24        79.78         771.39        702.01        1.14          
31      -32.15        99.81         710.50        702.01        1.23          
32      -33.31        115.50        621.68        702.01        1.18          
33      -31.66        104.42        989.93        803.38        1.41          
34      -79.55        125.13        995.79        893.48        1.39          
35      -66.36        116.28        777.70        893.48        1.12          
36      -28.09        130.04        666.27        893.48        1.20          
37      -25.03        133.55        684.59        893.48        1.22          
38      -31.65        145.11        539.30        893.48        1.02          
39      -82.18        134.92        593.84        893.48        1.22          
40      -51.16        145.01        447.62        893.48        0.97          
41      -25.22        166.21        972.37        921.92        1.48          
42      -50.24        165.70        930.64        931.95        1.44          
43      -36.89        164.83        705.24        931.95        1.32          
44      -68.68        158.00        999.03        931.95        1.41          
45      -34.18        162.19        724.23        931.95        1.29          
46      -43.36        167.40        1045.76       1044.39       1.44          
47      -103.27       165.80        1016.49       1044.39       1.62          
48      -45.00        176.52        897.57        1044.39       1.16          
49      -20.03        188.32        968.35        1044.39       1.45          
50      -21.06        192.58        987.77        1044.39       1.39          
51      -17.78        196.16        1020.84       1044.39       1.56          
52      -25.35        185.16        929.57        1044.39       1.44          
53      -12.89        206.72        1022.21       1044.39       1.61          
54      -91.54        186.52        1015.02       1044.39       1.60          
55      -75.11        196.51        927.61        1044.39       1.39          
56      -70.42        216.69        1018.06       1044.39       1.68          
57      -34.10        229.89        998.00        1044.39       1.48          
58      -45.51        213.17        1058.31       1044.39       1.57          
59      -56.02        249.41        1019.01       1044.39       1.66          
60      -35.84        257.01        1027.77       1044.39       1.69          
61      -40.31        223.67        998.53        1044.39       1.57          
62      -41.58        240.24        992.78        1044.39       1.62          
63      -38.00        247.04        1043.29       1044.39       1.65          
64      -39.37        255.08        1052.15       1046.09       1.71          
65      -58.15        235.56        1075.33       1046.09       1.65          
66      -51.98        280.37        1066.91       1066.63       1.81          
67      -69.13        282.49        1022.65       1066.63       1.76          
68      -41.47        324.53        1065.04       1066.63       2.06          
69      -47.85        353.14        1047.65       1066.63       2.00          
70      -115.52       321.27        1043.46       1066.63       1.90          
71      -37.07        337.33        1073.43       1066.63       1.84          
72      -41.61        363.68        1064.05       1066.63       2.14          
73      -23.27        390.39        1044.00       1066.63       2.14          
74      -31.41        452.14        1055.05       1066.63       2.22          
75      -53.46        466.44        1085.14       1084.89       2.21          
76      -43.33        465.70        1069.73       1084.89       2.29          
77      -23.43        550.30        1081.09       1084.89       2.37          
78      -18.95        509.89        1067.04       1084.89       2.34          
79      -27.74        581.54        1082.61       1084.89       2.40          
80      -46.18        535.39        1065.00       1084.89       2.38          
