experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 5664.874804973602

Genome Size: 240
Free Parameters: {'V': 110, 'W': 100, 'T': 30}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       1.40          19.00         172.98        171.48        17.28         
1       1.54          24.57         171.33        171.48        0.45          
2       0.88          22.31         179.44        173.43        0.49          
3       2.69          21.78         161.74        173.43        0.69          
4       1.25          23.60         147.72        173.43        0.49          
5       1.39          25.84         202.12        195.73        0.54          
6       1.24          23.87         251.09        259.50        0.70          
7       1.27          25.26         213.47        259.50        0.55          
8       0.79          23.91         133.49        259.50        0.49          
9       1.33          26.95         122.23        259.50        0.41          
10      0.71          27.83         132.12        259.50        0.44          
11      1.64          32.04         174.59        259.50        0.54          
12      1.07          32.61         191.11        259.50        0.46          
13      1.15          32.34         197.87        259.50        0.42          
14      2.82          34.17         117.17        259.50        0.43          
15      0.81          34.25         181.98        259.50        0.44          
16      2.16          33.36         157.19        259.50        0.43          
17      0.80          37.07         164.56        259.50        0.51          
18      1.39          42.14         179.02        259.50        0.44          
19      0.84          46.90         288.75        267.83        0.51          
20      1.04          46.65         211.53        267.83        0.47          
21      2.52          52.14         220.15        267.83        0.47          
22      4.12          47.79         203.98        267.83        0.46          
23      1.56          52.90         227.31        267.83        0.45          
24      1.86          53.67         210.34        267.83        0.45          
25      0.99          59.64         366.28        305.64        0.56          
26      0.42          56.16         194.57        305.64        0.48          
27      1.37          55.78         449.41        444.82        0.53          
28      0.76          53.09         222.93        444.82        0.47          
29      1.26          63.22         233.65        444.82        0.52          
