experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 4078.3527162075043

Genome Size: 330
Free Parameters: {'V': 170, 'W': 100, 'T': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -751.36       -590.84       -315.30       -482.57       17.50         
1       -728.00       -590.59       -376.18       -482.57       1.73          
2       -843.60       -592.18       -515.38       -475.56       1.77          
3       -684.93       -590.68       -522.73       -475.56       1.81          
4       -762.19       -589.65       -433.44       -475.56       1.76          
5       -681.34       -589.27       -462.11       -475.56       1.80          
6       -757.02       -592.32       -482.21       -475.56       1.76          
7       -714.79       -586.76       -491.11       -475.56       1.82          
8       -708.40       -586.85       -496.13       -475.56       1.75          
9       -696.55       -590.41       -499.65       -475.56       1.75          
10      -660.98       -586.66       -431.81       -475.56       1.75          
11      -715.69       -586.38       -373.82       -372.33       1.76          
12      -705.09       -589.49       -483.37       -372.33       1.76          
13      -776.97       -588.77       -498.10       -372.33       1.76          
14      -725.70       -589.18       -477.51       -372.33       1.76          
15      -800.42       -595.24       -475.39       -372.33       1.82          
16      -764.73       -590.28       -452.57       -372.33       1.77          
17      -870.87       -589.26       -319.10       -372.33       1.80          
18      -792.09       -589.06       -405.63       -372.33       1.74          
19      -815.56       -589.08       -452.82       -372.33       1.75          
20      -778.35       -585.65       -215.38       -372.33       1.76          
21      -732.14       -587.06       -486.80       -372.33       1.74          
22      -688.56       -585.56       -440.47       -372.33       1.76          
23      -692.61       -578.95       -446.62       -372.33       1.71          
24      -799.76       -585.45       -392.09       -372.33       1.74          
25      -792.55       -581.41       -346.16       -350.05       1.79          
26      -703.58       -576.71       -399.32       -350.05       1.75          
27      -710.04       -581.06       -369.57       -350.05       1.73          
28      -779.04       -571.84       -342.70       -350.05       1.72          
29      -917.97       -579.91       -365.35       -350.05       1.70          
30      -701.63       -576.60       -18.88        -159.09       1.75          
31      -685.42       -571.35       -297.70       -159.09       1.75          
32      -775.76       -568.97       -156.98       -159.09       1.75          
33      -714.94       -575.60       -417.13       -159.09       1.80          
34      -795.93       -574.82       56.76         -159.09       1.74          
35      -820.42       -572.62       -177.85       -159.09       1.77          
36      -812.55       -580.11       -242.67       -159.09       1.82          
37      -768.28       -580.46       -301.74       -159.09       1.79          
38      -772.59       -574.03       76.92         -159.09       1.77          
39      -764.19       -570.37       -133.93       -159.09       1.78          
40      -710.73       -563.86       -90.97        -159.09       1.79          
41      -925.52       -578.26       -301.76       -159.09       1.77          
42      -754.33       -560.16       -55.39        -159.09       1.78          
43      -757.03       -564.92       -162.51       -159.09       1.75          
44      -843.40       -565.07       -270.32       -159.09       1.80          
45      -862.78       -568.63       -260.04       -159.09       1.78          
46      -848.38       -553.08       -38.88        -154.77       1.75          
47      -838.92       -556.71       253.29        115.32        1.75          
48      -749.96       -555.26       231.58        115.32        1.74          
49      -723.64       -551.04       95.28         115.32        1.78          
50      -771.70       -546.68       292.15        115.32        1.75          
51      -770.89       -552.33       -149.25       115.32        1.75          
52      -777.87       -540.11       175.78        115.32        1.76          
53      -977.23       -553.62       -31.72        115.32        1.76          
54      -782.74       -555.61       -311.42       115.32        1.74          
55      -811.20       -545.26       -158.24       115.32        1.73          
56      -908.46       -539.23       573.78        115.32        1.74          
57      -894.86       -544.35       132.81        115.32        1.75          
58      -764.44       -528.08       275.91        115.32        1.74          
59      -861.67       -533.47       476.81        115.32        1.73          
60      -751.55       -509.10       420.78        115.32        1.77          
61      -747.90       -527.73       105.18        115.32        1.76          
62      -770.12       -507.29       395.27        115.32        1.74          
63      -793.70       -515.23       450.34        167.95        1.74          
64      -870.60       -499.83       452.31        167.95        1.78          
65      -735.60       -450.21       772.06        466.99        1.76          
66      -714.92       -474.05       547.84        466.99        1.80          
67      -754.07       -466.74       525.03        466.99        1.77          
68      -758.11       -453.90       846.98        635.98        1.73          
69      -764.60       -457.75       476.02        635.98        1.77          
70      -723.45       -433.29       686.62        635.98        1.76          
71      -791.80       -386.33       888.00        635.98        1.75          
72      -917.88       -373.85       992.03        635.98        1.74          
73      -901.62       -372.17       1032.75       635.98        1.71          
74      -826.80       -383.61       1067.21       635.98        1.78          
75      -752.28       -341.37       1068.88       635.98        1.75          
76      -810.56       -324.13       854.63        635.98        1.73          
77      -888.50       -369.73       552.56        635.98        1.73          
78      -833.59       -250.79       1150.13       635.98        1.78          
79      -776.62       -310.49       679.71        635.98        1.81          
80      -803.00       -301.89       1106.88       635.98        1.78          
81      -824.52       -294.11       1078.63       635.98        1.74          
82      -911.83       -171.91       1293.15       635.98        1.72          
83      -741.56       -181.30       1238.36       635.98        1.81          
84      -767.92       -235.78       1279.76       635.98        1.76          
85      -791.97       -206.67       1118.44       676.71        1.74          
86      -855.06       -130.84       1233.12       676.71        1.76          
87      -833.01       -268.40       1215.85       676.71        1.74          
88      -697.75       -176.78       1019.78       676.71        1.78          
89      -824.23       -128.56       1279.81       697.95        1.75          
90      -791.60       -166.81       1126.03       713.41        1.77          
91      -750.49       -111.14       1156.44       713.41        1.75          
92      -812.83       -121.06       1199.42       753.00        1.80          
93      -796.54       -121.07       1181.36       753.00        1.81          
94      -780.30       -72.07        1276.37       753.00        1.84          
95      -702.04       -57.78        1252.59       753.00        1.76          
96      -761.75       -110.70       1255.65       753.00        1.74          
97      -709.26       -24.58        1305.12       793.14        1.74          
98      -931.87       -53.42        1275.61       793.14        1.72          
99      -704.63       3.99          1257.71       891.38        1.73          
100     -838.69       50.43         1370.26       891.38        1.75          
101     -709.77       35.90         1355.47       952.44        1.74          
102     -714.23       -21.49        1160.99       952.44        1.74          
103     -769.97       60.83         1349.93       952.44        1.75          
104     -773.25       42.91         1317.98       952.44        1.73          
