experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: FFNN
	hidden_layers: [10, 10]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: False
elapsed_time: 3241.496408700943

Genome Size: 330
Free Parameters: {'individual_size': 330}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -2041.47      -527.16       341.46        389.10        16.47         
1       -2464.98      -581.63       879.72        914.38        1.28          
2       -1763.27      -538.55       453.74        914.38        1.30          
3       -2044.46      -513.46       1213.70       1193.53       1.35          
4       -2375.38      -508.52       347.68        1193.53       1.35          
5       -2338.18      -492.82       34.60         1193.53       1.31          
6       -2032.37      -486.13       764.41        1193.53       1.30          
7       -2716.12      -559.77       748.88        1193.53       1.29          
8       -2632.13      -502.94       525.21        1193.53       1.33          
9       -2567.77      -491.77       264.12        1193.53       1.30          
10      -3036.21      -491.17       602.98        1193.53       1.32          
11      -2294.92      -496.45       1072.72       1193.53       1.33          
12      -1794.17      -498.14       430.27        1193.53       1.35          
13      -1856.41      -488.47       941.81        1193.53       1.32          
14      -2406.53      -505.54       1005.04       1193.53       1.31          
15      -2260.25      -488.00       835.71        1193.53       1.32          
16      -1550.21      -442.58       233.42        1193.53       1.30          
17      -2006.24      -453.21       529.16        1193.53       1.29          
18      -1974.55      -449.45       609.38        1193.53       1.31          
19      -1644.62      -413.93       568.56        1193.53       1.28          
20      -1908.58      -412.71       1188.55       1193.53       1.30          
21      -2232.27      -427.82       747.05        1193.53       1.33          
22      -1903.50      -410.58       701.99        1193.53       1.34          
23      -2064.50      -405.60       958.59        1193.53       1.36          
24      -1912.38      -382.14       1356.50       1359.00       1.32          
25      -2454.39      -384.02       1149.23       1359.00       1.31          
26      -1726.01      -396.53       871.15        1359.00       1.33          
27      -1603.41      -317.17       909.45        1359.00       1.32          
28      -2592.93      -373.66       1020.04       1359.00       1.28          
29      -2186.92      -346.66       833.33        1359.00       1.34          
30      -2686.30      -306.51       1004.12       1359.00       1.32          
31      -1534.76      -235.40       1141.10       1359.00       1.32          
32      -2552.63      -269.71       1017.04       1359.00       1.30          
33      -1592.13      -180.03       1302.29       1359.00       1.32          
34      -1548.28      -126.24       1074.48       1359.00       1.29          
35      -1977.52      -122.62       1192.09       1359.00       1.28          
36      -1773.05      -29.35        1563.93       1572.02       1.31          
37      -1436.62      40.72         1323.48       1572.02       1.27          
38      -1599.08      122.89        1380.56       1572.02       1.29          
39      -1273.16      148.27        1640.34       1572.02       1.28          
40      -1693.92      235.61        1289.80       1572.02       1.29          
41      -2342.29      186.40        1386.37       1572.02       1.29          
42      -1424.04      204.43        1367.54       1572.02       1.27          
43      -1506.03      227.06        1436.30       1572.02       1.30          
44      -599.81       299.98        1281.00       1572.02       1.31          
45      -1771.70      227.19        1319.78       1572.02       1.27          
46      -1995.78      261.62        1268.74       1572.02       1.29          
47      -955.19       246.19        1149.23       1572.02       1.25          
48      -1674.69      349.63        1292.82       1572.02       1.32          
49      -2097.35      299.44        1461.97       1572.02       1.27          
50      -1014.85      304.58        1293.53       1572.02       1.27          
51      -1396.12      302.65        1328.20       1572.02       1.26          
52      -1655.45      304.92        1388.56       1572.02       1.33          
53      -1162.39      297.81        1420.91       1572.02       1.31          
54      -1374.71      352.55        1296.18       1572.02       1.29          
55      -1388.56      287.66        1440.07       1572.02       1.27          
56      -1435.60      396.27        1412.33       1572.02       1.29          
57      -896.78       380.00        1635.65       1655.48       1.27          
58      -1265.15      398.77        1386.29       1655.48       1.25          
59      -1141.45      371.03        1266.09       1655.48       1.26          
60      -1510.65      399.53        1414.61       1655.48       1.27          
61      -629.27       409.31        1575.64       1655.48       1.28          
62      -1116.25      385.12        1388.62       1655.48       1.28          
63      -1451.07      328.97        1368.22       1655.48       1.29          
64      -1642.05      404.86        1463.33       1655.48       1.32          
65      -195.93       467.00        1463.24       1655.48       1.30          
66      -851.88       390.67        1265.07       1655.48       1.30          
67      -1870.15      422.04        1378.24       1655.48       1.30          
68      -1093.79      413.50        1542.34       1655.48       1.29          
69      -1703.79      436.76        1587.29       1655.48       1.29          
70      -899.01       442.75        1427.68       1655.48       1.28          
71      -872.99       423.89        1471.08       1655.48       1.33          
72      -780.27       413.98        1405.96       1655.48       1.29          
73      -1505.59      396.96        1326.91       1655.48       1.30          
74      -1459.20      425.57        1608.34       1682.28       1.28          
75      -819.33       426.55        1501.30       1682.28       1.24          
76      -1372.85      432.79        1596.81       1682.28       1.32          
77      -1538.15      440.56        1784.71       1782.03       1.29          
78      -728.80       392.50        1787.96       1791.59       1.28          
79      -1112.93      340.11        1645.31       1791.59       1.30          
80      -1511.11      443.71        1820.03       1791.59       1.30          
81      -770.10       365.49        1607.02       1791.59       1.30          
82      -949.92       302.81        1543.84       1791.59       1.28          
83      -1537.98      376.32        1670.00       1791.59       1.31          
84      -972.50       392.68        1579.95       1791.59       1.29          
85      -915.60       450.84        1897.83       1879.93       1.30          
86      -1222.19      344.45        1640.99       1879.93       1.28          
87      -931.47       439.54        1867.48       1879.93       1.30          
88      -1156.94      389.37        1682.13       1879.93       1.30          
89      -884.05       456.49        1985.83       1961.76       1.28          
90      -821.33       441.74        1906.44       1961.76       1.27          
