experiment_id: 2
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: LSTMNN
	hidden_layer_structure: [20]
	use_bias: False
elapsed_time: 7412.325437784195

Genome Size: 3080
Free Parameters: {'layer 0': {'input_weight_matrix': 1360, 'hidden_weight_matrix': 1600}, 'output_weight_matrix': 120}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -12310.43     -8903.80      -5845.61      -6022.46      17.71         
1       -13032.30     -8693.27      -5493.59      -5303.25      2.57          
2       -11521.54     -8380.22      -4698.52      -4696.39      2.55          
3       -12622.26     -8178.47      -5342.81      -4696.39      2.61          
4       -12019.56     -7876.40      -4902.16      -4696.39      2.59          
5       -11827.66     -7974.11      -4989.41      -4696.39      2.57          
6       -10850.91     -7677.68      -4898.23      -4696.39      2.57          
7       -11685.48     -7773.99      -4765.36      -4696.39      2.60          
8       -10778.58     -7528.91      -4980.25      -4696.39      2.63          
9       -11970.89     -7409.92      -4576.15      -4360.38      2.63          
10      -11483.57     -7005.54      -4225.26      -4321.84      2.59          
11      -10540.49     -7027.64      -4820.97      -4321.84      2.69          
12      -10684.12     -7000.84      -4773.13      -4321.84      2.60          
13      -9670.96      -6682.96      -3943.04      -4121.30      2.59          
14      -10305.61     -6664.31      -4131.30      -4121.30      2.62          
15      -9990.10      -6578.58      -4104.52      -4121.30      2.57          
16      -8957.13      -6353.12      -4257.20      -4121.30      2.66          
17      -8814.09      -6210.05      -3838.10      -3930.43      2.65          
18      -10778.08     -6250.79      -4119.63      -3930.43      2.63          
19      -8989.95      -6021.41      -3421.52      -3598.16      2.65          
20      -9392.73      -5978.37      -3739.49      -3598.16      2.66          
21      -18320.83     -5763.06      -3645.79      -3548.57      2.70          
22      -8387.01      -5630.57      -3522.66      -3548.57      2.67          
23      -9255.41      -5600.65      -3285.51      -3439.49      2.68          
24      -8498.42      -5475.95      -3332.35      -3282.70      2.70          
25      -7761.25      -5361.36      -3259.93      -3282.70      2.70          
26      -7545.93      -5315.20      -2913.01      -3057.83      2.72          
27      -7698.90      -5095.80      -3205.31      -3057.83      2.64          
28      -7271.52      -5167.63      -3270.73      -3057.83      2.67          
29      -7514.99      -5065.49      -3345.58      -3057.83      2.66          
30      -7570.44      -4882.72      -2841.62      -2860.12      2.72          
31      -8519.15      -4928.71      -3109.17      -2860.12      2.71          
32      -8283.07      -4761.98      -2723.39      -2860.12      2.67          
33      -8513.25      -4843.81      -2804.55      -2860.12      2.69          
34      -8842.46      -4771.69      -3115.36      -2860.12      2.74          
35      -8759.16      -4565.84      -2771.82      -2860.12      2.74          
36      -6396.84      -4516.18      -2552.23      -2860.12      2.74          
37      -7093.17      -4376.26      -2242.86      -2544.61      2.72          
38      -6227.83      -4209.81      -2668.21      -2544.61      2.71          
39      -6196.62      -4243.84      -2436.30      -2544.61      2.78          
40      -6629.16      -4098.10      -2520.85      -2544.61      2.75          
41      -6748.77      -3980.36      -2286.34      -2415.61      2.67          
42      -6104.60      -3843.98      -2440.34      -2415.61      2.71          
43      -6239.07      -3869.74      -2541.87      -2415.61      2.68          
44      -6092.83      -3868.63      -2095.42      -2336.81      2.80          
45      -6498.22      -3680.96      -2144.11      -2336.81      2.68          
46      -6474.26      -3823.24      -2150.87      -2336.81      2.72          
47      -6354.62      -3670.93      -1842.90      -1789.56      2.69          
48      -7718.80      -3637.67      -2179.55      -1789.56      2.77          
49      -5773.86      -3513.45      -2151.55      -1789.56      2.71          
50      -5755.88      -3404.71      -1916.79      -1789.56      2.80          
