experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
elapsed_time: 3762.715845823288

Genome Size: 145
Free Parameters: {'V': 85, 'W': 25, 'T': 30, 'x_0': 5}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -737.96       -587.71       -505.40       -545.22       16.53         
1       -816.67       -588.02       -423.30       -497.84       1.61          
2       -732.18       -586.73       -486.16       -497.84       1.56          
3       -734.55       -583.15       -386.10       -484.55       1.64          
4       -824.61       -585.62       -347.81       -358.87       1.57          
5       -762.52       -588.33       -88.74        -358.87       1.60          
6       -711.30       -583.89       -381.55       -358.87       1.58          
7       -765.87       -585.64       -388.07       -358.87       1.61          
8       -689.85       -583.83       -499.01       -358.87       1.61          
9       -948.69       -589.35       -453.85       -358.87       1.57          
10      -743.48       -584.37       -246.52       -328.79       1.57          
11      -873.25       -585.60       -367.79       -328.79       1.58          
12      -806.51       -590.72       -458.43       -328.79       1.61          
13      -1099.70      -589.27       -445.97       -328.79       1.59          
14      -783.01       -592.63       -476.09       -328.79       1.58          
15      -718.34       -584.81       -459.61       -305.27       1.59          
16      -807.88       -589.29       -330.22       -305.27       1.58          
17      -967.05       -585.77       -340.64       -305.27       1.59          
18      -830.03       -587.77       -400.55       -305.27       1.60          
19      -803.99       -570.34       318.98        37.79         1.56          
20      -957.16       -590.22       -411.38       37.79         1.55          
21      -773.85       -583.29       -367.06       37.79         1.56          
22      -828.84       -580.89       -192.20       37.79         1.60          
23      -751.74       -579.47       561.83        154.13        1.60          
24      -864.26       -581.18       68.67         154.13        1.59          
25      -828.47       -576.79       -103.25       154.13        1.55          
26      -928.31       -579.85       -119.18       154.13        1.60          
27      -737.61       -565.55       -55.31        154.13        1.56          
28      -854.31       -568.78       38.05         154.13        1.60          
29      -900.07       -571.48       157.03        154.13        1.54          
30      -850.69       -565.01       16.40         154.13        1.54          
31      -860.64       -581.87       -332.70       154.13        1.57          
32      -926.02       -568.16       -46.60        154.13        1.57          
33      -1271.13      -579.94       43.05         154.13        1.55          
34      -999.93       -582.96       -104.49       154.13        1.56          
35      -960.18       -568.62       112.00        154.13        1.56          
36      -857.96       -564.14       -18.05        154.13        1.57          
37      -885.28       -559.21       -69.47        154.13        1.57          
38      -941.79       -553.79       104.28        154.13        1.56          
39      -1195.72      -543.19       583.20        154.13        1.55          
40      -939.77       -533.10       468.40        367.47        1.56          
41      -885.81       -532.35       543.11        367.47        1.56          
42      -952.33       -530.46       458.16        367.47        1.56          
43      -1237.79      -524.97       498.40        367.47        1.53          
44      -1208.67      -491.13       575.38        367.47        1.59          
45      -965.40       -473.22       744.29        367.47        1.56          
46      -898.83       -442.79       1124.47       575.94        1.56          
47      -856.69       -453.35       1040.94       575.94        1.57          
48      -796.90       -421.59       1041.20       628.31        1.54          
49      -815.33       -448.99       687.66        628.31        1.60          
50      -742.12       -406.76       1211.63       1046.83       1.58          
51      -923.16       -399.16       1006.81       1046.83       1.59          
52      -738.23       -357.33       895.27        1046.83       1.58          
53      -901.15       -400.75       893.38        1046.83       1.57          
54      -882.58       -397.98       1087.33       1046.83       1.56          
55      -736.77       -379.25       1009.43       1046.83       1.59          
56      -873.54       -380.89       876.63        1046.83       1.59          
57      -756.76       -363.66       1164.29       1046.83       1.56          
58      -995.38       -338.32       1112.44       1046.83       1.62          
59      -741.65       -277.68       1032.86       1046.83       1.61          
60      -894.86       -251.99       1296.74       1046.83       1.59          
61      -883.28       -277.33       1290.53       1046.83       1.60          
62      -804.56       -227.53       1176.87       1046.83       1.58          
63      -768.08       -191.92       1291.52       1046.83       1.54          
64      -736.72       -115.74       1293.56       1046.83       1.61          
65      -699.51       -56.46        1155.72       1046.83       1.59          
66      -759.32       -215.66       1394.26       1046.83       1.58          
67      -772.25       -213.74       954.88        1046.83       1.57          
68      -721.09       -248.68       968.46        1046.83       1.61          
69      -862.40       -106.44       1223.57       1046.83       1.60          
70      -772.71       -158.54       1198.29       1046.83       1.58          
71      -753.80       -201.55       1242.37       1046.83       1.59          
72      -735.12       66.62         1263.26       1046.83       1.57          
73      -636.22       -16.34        1245.70       1046.83       1.56          
74      -725.07       -56.81        1222.94       1046.83       1.55          
75      -664.50       38.80         1149.45       1046.83       1.58          
76      -725.93       56.34         1337.74       1046.83       1.58          
77      -700.76       194.02        1451.81       1051.63       1.58          
78      -691.59       286.33        1292.24       1051.63       1.56          
79      -673.17       170.69        1320.15       1062.19       1.54          
80      -757.19       104.37        1356.65       1062.19       1.57          
81      -663.89       69.52         1314.35       1062.19       1.58          
82      -741.11       123.76        1266.95       1138.29       1.59          
83      -652.29       228.11        1406.58       1138.29       1.52          
84      -934.87       202.24        1426.40       1138.29       1.56          
85      -743.42       253.66        1387.33       1209.90       1.58          
86      -719.64       309.65        1389.95       1209.90       1.54          
87      -742.78       283.52        1510.12       1217.73       1.56          
88      -745.70       332.45        1433.99       1264.00       1.57          
89      -707.40       400.93        1382.43       1303.62       1.61          
90      -633.58       364.25        1489.59       1303.62       1.56          
91      -787.09       415.03        1360.24       1303.62       1.55          
92      -721.96       230.77        1455.82       1303.62       1.54          
93      -608.25       420.07        1454.22       1357.46       1.59          
94      -732.10       405.61        1391.53       1357.46       1.56          
95      -608.45       430.65        1381.76       1357.46       1.54          
96      -706.57       414.15        1396.29       1357.46       1.54          
97      -633.23       549.21        1432.58       1357.46       1.54          
98      -588.13       431.02        1419.60       1357.46       1.57          
99      -599.12       494.90        1395.99       1357.46       1.56          
100     -793.47       500.88        1410.04       1357.46       1.53          
101     -610.85       481.20        1471.00       1357.46       1.56          
102     -601.81       585.90        1392.21       1357.46       1.54          
103     -595.92       645.00        1497.48       1357.46       1.51          
104     -598.32       702.31        1468.69       1357.46       1.52          
105     -874.49       699.94        1543.72       1357.46       1.54          
106     -588.19       754.12        1465.30       1435.95       1.52          
107     -447.29       748.45        1546.75       1435.95       1.56          
108     -590.81       768.84        1535.12       1435.95       1.56          
109     -620.90       631.65        1426.36       1435.95       1.55          
110     -726.91       633.11        1503.57       1435.95       1.52          
111     -679.15       731.14        1559.58       1435.95       1.52          
112     -491.51       779.10        1493.39       1435.95       1.55          
113     -592.39       823.94        1500.78       1435.95       1.52          
114     -639.00       557.60        1497.16       1435.95       1.50          
115     -628.72       852.19        1478.09       1435.95       1.51          
116     -456.53       681.10        1475.55       1435.95       1.52          
117     -579.89       764.96        1535.30       1435.95       1.52          
118     -659.86       821.29        1503.84       1435.95       1.52          
119     -479.65       816.80        1555.52       1435.95       1.51          
120     -695.43       801.25        1509.89       1435.95       1.55          
121     -459.71       927.72        1530.72       1435.95       1.52          
122     -414.15       888.03        1588.76       1435.95       1.52          
123     -600.01       759.08        1568.40       1589.66       1.55          
124     -342.60       917.92        1557.17       1589.66       1.50          
125     -377.57       1046.30       1537.00       1589.66       1.50          
126     -423.89       978.67        1514.79       1589.66       1.54          
127     -411.31       1029.79       1536.70       1589.66       1.53          
128     -386.20       1001.47       1532.04       1589.66       1.56          
129     -261.70       1032.58       1566.93       1589.66       1.55          
130     -579.47       925.47        1548.44       1589.66       1.53          
131     -391.83       1020.39       1585.30       1589.66       1.51          
132     -545.17       950.34        1580.98       1589.66       1.50          
133     -430.89       977.91        1558.99       1589.66       1.53          
134     -325.12       982.96        1522.32       1589.66       1.54          
135     -444.41       1068.24       1566.70       1589.66       1.55          
136     -490.94       941.64        1593.76       1589.66       1.54          
137     -618.67       1032.82       1595.46       1589.66       1.54          
138     -554.47       1003.57       1586.37       1589.66       1.50          
139     -304.82       1032.14       1545.08       1589.66       1.52          
140     -804.54       1022.28       1505.22       1589.66       1.52          
141     -367.09       1016.13       1559.22       1589.66       1.50          
142     -807.23       1007.43       1557.11       1589.66       1.51          
143     -576.27       993.26        1578.74       1589.66       1.50          
144     -374.53       1093.30       1681.42       1589.66       1.53          
145     -457.89       1084.16       1670.52       1589.66       1.53          
146     -462.41       1117.16       1569.65       1589.66       1.50          
147     -398.46       1188.05       1634.65       1589.66       1.52          
148     -317.69       1002.53       1587.81       1589.66       1.53          
149     -228.68       1159.85       1624.60       1589.66       1.57          
150     -388.97       1046.67       1632.94       1589.66       1.55          
151     -663.31       1090.57       1627.54       1589.66       1.50          
152     -572.19       1064.30       1697.55       1589.66       1.48          
153     -482.71       1093.09       1715.70       1589.66       1.50          
154     -364.89       1130.60       1651.88       1589.66       1.52          
155     -346.37       1079.42       1636.37       1589.66       1.53          
156     -407.38       1143.10       1846.47       1589.66       1.50          
157     -453.19       1186.63       1730.16       1589.66       1.53          
158     -495.52       921.43        1639.46       1589.66       1.54          
159     -484.17       1069.70       1702.78       1589.66       1.54          
160     -456.55       1176.35       1783.17       1589.66       1.54          
161     -393.79       1127.17       1673.49       1589.66       1.54          
162     -258.23       1205.20       1695.27       1589.66       1.54          
163     -150.16       1183.82       1730.44       1589.66       1.52          
164     -471.40       995.73        1679.46       1589.66       1.53          
165     -680.21       1019.96       1659.55       1589.66       1.53          
166     -360.06       1145.15       1814.25       1617.61       1.52          
167     -355.59       1127.70       1733.99       1617.61       1.54          
168     -421.17       1113.14       1674.40       1617.61       1.51          
169     -286.05       1137.16       1739.00       1617.61       1.48          
170     -292.61       1132.18       1682.17       1617.61       1.52          
171     -443.10       1178.80       1823.21       1617.61       1.51          
172     -427.93       1021.66       1727.55       1617.61       1.51          
173     -160.51       1138.99       1803.87       1617.61       1.53          
174     -287.07       1067.85       1792.47       1617.61       1.50          
175     -254.69       1250.75       1813.14       1734.09       1.54          
176     -295.97       1136.77       1755.93       1734.09       1.50          
177     -516.77       1221.56       1818.21       1734.09       1.52          
178     -292.47       1094.98       1778.59       1734.09       1.53          
179     -68.36        1178.38       1828.56       1734.09       1.54          
180     -319.76       1209.32       1792.25       1734.09       1.52          
181     -271.33       1263.33       1809.09       1734.09       1.52          
182     -34.84        1225.67       1799.40       1734.09       1.52          
183     -15.04        1192.31       1811.38       1734.09       1.52          
184     -45.62        1250.12       1840.41       1734.09       1.53          
185     -283.19       1167.03       1831.95       1734.09       1.53          
186     51.99         1335.27       1782.47       1734.09       1.51          
187     318.12        1353.36       1948.40       1734.09       1.54          
188     -186.42       1236.62       1888.22       1737.24       1.53          
189     -187.03       1197.53       1821.73       1737.24       1.53          
