experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 7359.872212409973

Genome Size: 375
Free Parameters: {'layer 0': {'input_weight_matrix': 255, 'hidden_weight_matrix': 75, 'bias': 15}, 'output_weight_matrix': 30}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -20.16        -4.19         33.44         34.40         17.05         
1       -22.55        -3.50         49.69         34.40         0.41          
2       -30.37        -2.27         53.80         41.86         0.50          
3       -22.67        -0.99         95.17         63.43         0.66          
4       -22.02        0.29          206.49        398.36        0.73          
5       -53.98        -1.07         110.25        398.36        0.47          
6       -17.97        -0.72         73.81         398.36        0.68          
7       -21.54        0.04          74.34         398.36        0.57          
8       -24.25        4.93          307.24        398.36        0.56          
9       -35.52        6.18          295.58        398.36        0.51          
10      -30.62        6.58          501.96        398.36        0.81          
11      -30.97        10.19         324.38        398.36        0.61          
12      -48.28        7.35          133.90        398.36        0.47          
13      -55.15        16.71         379.79        398.36        0.63          
14      -24.05        24.88         528.44        649.78        0.96          
15      -33.56        52.26         965.87        940.35        1.44          
16      -60.09        47.13         664.50        940.35        0.90          
17      -62.02        62.34         569.25        940.35        0.88          
18      -40.29        62.26         638.33        940.35        0.90          
19      -51.51        80.39         394.24        940.35        0.81          
20      -41.32        104.00        986.92        969.98        1.42          
21      -49.29        128.60        977.87        969.98        1.41          
22      -32.52        131.60        661.87        969.98        1.07          
23      -82.99        146.75        1007.25       969.98        1.46          
24      -41.13        139.42        958.91        969.98        1.34          
25      -41.18        179.36        1022.69       969.98        1.37          
26      -28.06        172.76        786.84        969.98        1.34          
27      -45.86        182.20        1022.90       1005.87       1.52          
28      -65.88        168.25        1011.30       1005.87       1.42          
29      -52.44        179.68        1010.81       1005.87       1.51          
30      -149.27       189.09        996.90        1005.87       1.50          
31      -32.67        222.43        1013.38       1011.66       1.64          
