experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
brain
	type: LSTMNN
	hidden_layer_structure: [50]
	use_bias: False
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
elapsed_time: 32200.047642707825

Genome Size: 12350
Free Parameters: {'layer 0': {'input_weight_matrix': 2200, 'hidden_weight_matrix': 10000}, 'output_weight_matrix': 150}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -2.25         10.76         61.63         53.25         25.98         
1       -3.08         9.07          55.88         53.25         10.22         
2       -1.69         9.37          72.92         53.25         10.33         
3       -1.69         11.75         115.14        53.25         10.62         
4       -1.93         11.45         92.86         53.25         10.29         
5       -1.64         11.51         75.82         72.15         10.35         
6       -2.45         13.66         98.28         87.04         10.36         
7       -1.85         14.87         99.00         87.73         10.39         
8       -1.60         17.41         81.75         87.73         10.33         
9       -1.44         18.28         110.45        173.47        10.39         
10      -2.34         18.48         87.11         173.47        10.28         
11      -3.03         21.22         113.26        173.47        10.31         
12      -1.81         25.59         191.76        173.47        10.31         
13      -2.23         28.60         139.07        173.47        10.34         
14      -2.18         29.62         105.50        173.47        10.28         
15      -1.04         35.93         109.65        173.47        10.32         
16      -0.47         36.30         110.52        173.47        10.30         
17      -2.40         36.47         101.68        173.47        10.43         
18      -0.89         38.69         124.51        173.47        10.81         
19      -3.02         39.69         112.79        173.47        10.26         
20      0.46          40.04         135.38        173.47        10.22         
21      -1.61         41.59         209.52        173.47        10.35         
22      2.56          47.49         149.52        173.47        10.24         
23      1.27          46.89         133.67        173.47        10.20         
24      2.34          48.99         132.21        173.47        10.27         
25      1.97          49.22         139.33        173.47        10.25         
26      -0.51         56.66         182.53        173.47        10.25         
27      1.26          57.08         181.01        173.47        10.33         
28      2.63          53.58         190.42        173.47        10.41         
29      4.89          59.70         218.33        173.47        10.36         
30      -0.76         60.46         193.12        173.47        10.31         
31      2.86          59.21         188.86        173.47        10.25         
32      3.92          63.72         160.78        173.47        10.27         
33      -2.44         71.23         289.01        205.96        10.39         
34      4.93          72.92         297.45        236.67        10.39         
35      -1.46         77.22         287.40        236.67        10.45         
36      5.42          85.05         343.14        236.67        10.50         
37      -0.58         90.77         371.11        437.90        10.52         
38      3.67          91.11         418.03        437.90        10.58         
39      2.21          92.76         370.31        437.90        10.46         
40      5.75          93.36         400.59        437.90        10.58         
41      1.98          100.80        442.38        506.26        10.67         
42      2.83          109.44        521.55        506.26        10.67         
43      5.34          115.25        580.94        515.10        10.82         
44      3.69          129.58        462.02        515.10        10.77         
45      6.25          132.20        774.01        666.11        11.16         
46      -0.72         124.54        656.68        666.11        10.86         
47      8.07          161.83        895.43        848.52        11.25         
48      5.63          186.87        897.96        848.52        11.30         
49      0.29          185.17        908.54        848.52        11.44         
50      5.98          199.94        955.84        848.52        11.38         
51      6.52          193.09        868.36        865.43        11.27         
52      1.92          199.65        957.84        894.20        11.67         
53      5.53          228.27        935.28        894.20        11.39         
54      2.67          218.10        941.00        942.12        11.51         
55      7.62          225.43        935.82        942.12        11.33         
56      2.96          280.27        935.85        942.12        11.56         
57      17.31         272.96        934.28        942.12        11.57         
58      11.38         276.54        916.12        942.12        11.73         
59      6.52          284.40        928.69        942.12        11.65         
60      19.32         336.87        943.33        942.12        11.84         
61      16.88         313.44        956.86        942.12        11.61         
62      23.63         390.44        953.42        942.12        11.97         
63      47.79         396.32        941.76        942.12        12.00         
64      20.29         346.43        949.12        942.12        11.75         
65      0.32          402.56        951.65        942.12        12.08         
66      12.19         408.00        959.84        942.12        11.96         
67      11.00         420.70        949.78        942.12        12.02         
68      23.36         405.89        948.49        942.12        11.92         
69      24.13         464.27        956.46        942.12        12.26         
70      42.63         425.80        964.72        942.12        11.95         
71      24.18         443.18        952.88        942.12        12.20         
72      11.01         434.87        967.71        960.38        12.05         
73      47.01         468.33        954.47        960.38        12.10         
74      14.84         451.82        966.39        960.38        12.14         
75      28.47         476.95        964.20        960.38        12.03         
76      30.34         464.51        974.06        960.38        12.10         
77      12.50         526.63        963.68        964.77        12.27         
78      9.44          497.60        964.26        964.77        12.26         
79      31.63         507.50        969.54        964.77        12.22         
80      29.94         475.96        975.11        973.68        12.37         
81      28.65         482.21        1002.05       973.68        12.23         
82      16.69         519.42        963.93        973.68        12.42         
83      31.07         548.36        995.96        973.68        12.43         
84      64.08         539.82        959.05        973.68        12.28         
85      38.29         559.06        957.84        973.68        12.45         
86      38.93         564.80        986.32        973.68        12.52         
87      42.40         581.06        959.81        973.68        12.64         
88      28.15         593.95        972.85        973.68        12.46         
89      34.50         610.67        974.70        973.68        12.90         
90      36.14         564.04        980.70        973.68        13.02         
91      27.06         568.87        975.02        973.68        12.50         
92      32.13         587.74        984.98        973.68        12.79         
93      13.38         570.71        979.07        977.18        12.60         
94      38.12         568.60        982.37        977.18        12.70         
95      32.37         586.88        982.62        977.18        12.74         
96      10.95         534.20        971.55        977.18        12.47         
97      16.60         623.79        984.68        977.18        13.05         
98      84.68         616.95        980.63        977.18        12.75         
99      18.74         607.93        974.74        977.18        12.60         
100     42.09         581.60        1072.83       977.18        12.82         
101     67.22         642.00        982.45        977.18        13.02         
102     42.54         612.13        983.55        977.18        12.72         
103     11.90         592.52        986.19        977.18        12.75         
104     18.97         614.39        995.08        977.18        13.00         
105     34.92         624.81        978.01        977.18        12.91         
106     45.24         654.33        989.78        977.18        13.11         
107     30.88         602.75        982.14        980.03        12.77         
108     43.18         650.21        986.32        980.03        13.12         
109     27.45         648.69        992.96        980.03        13.50         
110     33.32         654.03        988.12        980.03        13.16         
111     31.78         647.40        988.68        980.03        12.97         
112     53.57         630.71        990.95        980.03        13.02         
113     61.85         590.93        1004.41       980.03        12.75         
114     31.90         664.24        987.06        980.03        12.85         
115     39.83         645.23        997.58        980.03        12.94         
116     46.84         656.89        993.64        980.03        12.84         
117     42.94         660.27        1001.72       980.03        12.80         
118     41.13         698.10        1001.90       980.03        13.14         
119     31.80         656.77        992.27        980.03        12.99         
120     32.25         674.54        996.78        980.03        13.13         
121     16.14         660.05        996.89        980.03        12.92         
122     29.35         662.55        997.81        980.03        12.85         
123     35.56         641.22        1006.80       982.40        13.02         
124     52.25         655.21        1014.25       982.40        12.94         
125     37.16         697.41        1014.76       982.40        13.05         
126     59.37         665.67        1002.46       987.98        13.07         
127     36.25         674.46        999.26        987.98        13.66         
128     90.38         768.93        1016.64       987.98        14.32         
129     24.94         738.36        1005.43       987.98        13.48         
130     63.71         674.18        1007.72       987.98        12.96         
131     34.38         674.18        1005.61       987.98        13.15         
132     29.16         728.41        1005.85       987.98        13.15         
133     56.83         656.47        1008.90       987.98        13.03         
134     39.85         641.95        1009.98       987.98        12.85         
135     43.85         669.74        1011.73       991.08        13.04         
136     60.67         698.44        1006.27       994.23        13.14         
137     5.67          618.27        1011.29       994.23        12.93         
138     36.83         735.29        1021.66       994.23        12.98         
139     31.88         701.24        1010.49       994.23        13.10         
140     27.16         690.12        1010.99       994.23        13.31         
141     111.61        729.11        1021.38       994.23        13.32         
142     49.53         676.77        1013.96       1014.85       13.14         
143     10.81         692.96        1016.36       1014.85       13.18         
144     33.58         653.83        1016.14       1014.85       12.91         
145     10.25         749.65        1020.36       1014.85       13.00         
146     0.29          724.35        1016.39       1014.85       13.20         
147     80.79         717.94        1013.70       1014.85       13.30         
148     61.32         705.01        1025.17       1014.85       13.27         
149     40.27         691.77        1017.29       1014.85       13.05         
150     12.36         729.11        1024.17       1014.85       13.25         
151     33.45         714.12        1024.31       1014.85       12.92         
152     38.78         700.08        1025.13       1021.53       12.94         
153     48.39         698.39        1026.95       1021.53       12.78         
154     28.91         699.36        1047.81       1021.53       12.96         
155     30.43         635.11        1039.11       1021.53       12.64         
156     25.04         721.18        1020.46       1021.53       12.87         
157     46.01         726.07        1013.17       1021.53       12.90         
158     25.62         716.42        1021.85       1021.53       12.84         
159     32.21         769.06        1028.16       1021.53       13.14         
160     55.86         722.94        1022.17       1021.53       12.77         
161     42.92         731.28        1026.83       1021.53       12.85         
162     8.68          710.68        1052.58       1021.53       12.79         
163     13.36         651.36        1025.81       1024.22       12.83         
164     45.30         717.27        1022.09       1024.27       13.18         
165     24.79         726.62        1019.11       1024.27       13.11         
166     46.81         705.98        1033.25       1024.27       12.87         
167     32.26         715.46        1033.11       1024.27       13.01         
168     83.25         721.21        1041.61       1024.27       13.08         
169     29.50         709.22        1033.65       1024.27       13.13         
170     12.19         737.10        1032.67       1024.27       13.24         
171     74.13         740.05        1030.19       1024.27       13.30         
172     3.06          764.44        1025.58       1024.27       13.42         
173     48.16         752.10        1028.32       1027.32       13.18         
174     15.05         729.03        1029.41       1027.32       13.17         
175     10.20         746.63        1037.04       1037.73       13.41         
176     25.22         735.37        1037.26       1037.73       13.04         
177     32.75         698.15        1036.27       1037.73       13.12         
178     58.85         718.15        1039.74       1037.73       13.28         
179     35.99         757.93        1041.96       1037.73       13.22         
180     8.27          717.21        1042.37       1037.73       13.09         
181     36.07         709.70        1048.62       1037.73       13.01         
182     42.41         703.84        1035.52       1037.73       12.84         
183     22.33         741.60        1052.56       1037.73       13.12         
184     43.36         749.86        1035.00       1037.73       13.20         
185     30.11         714.26        1037.85       1037.73       13.16         
186     34.50         773.74        1051.22       1037.73       13.33         
187     33.94         719.20        1048.29       1037.73       13.07         
188     40.86         764.31        1049.22       1037.73       13.38         
189     39.62         724.08        1047.73       1037.73       12.98         
190     77.17         790.65        1051.73       1046.60       13.14         
191     80.16         780.09        1052.06       1046.60       13.22         
192     59.61         729.82        1060.44       1046.60       13.08         
193     73.78         707.08        1050.45       1046.60       13.22         
194     62.57         744.79        1052.08       1046.60       13.17         
195     137.94        731.97        1057.81       1046.60       13.29         
196     47.78         693.08        1051.42       1046.60       12.99         
197     33.26         709.65        1045.15       1046.60       13.11         
198     7.31          732.24        1049.66       1046.60       13.02         
199     38.32         746.43        1048.51       1046.60       13.22         
200     79.50         699.51        1041.47       1046.60       13.16         
201     69.88         731.78        1045.53       1046.60       13.07         
202     90.33         739.42        1051.87       1046.60       13.36         
203     82.98         727.73        1048.60       1046.60       13.39         
204     52.70         721.27        1054.81       1046.60       13.10         
205     90.41         794.83        1052.22       1046.60       13.47         
206     28.47         741.66        1050.02       1046.60       13.21         
207     59.41         727.38        1051.36       1046.60       13.17         
208     41.73         804.44        1053.68       1059.04       13.22         
209     74.86         765.15        1048.57       1059.04       13.62         
210     61.16         802.29        1042.33       1059.04       13.54         
211     13.85         761.29        1069.03       1059.04       13.38         
212     102.82        769.86        1072.85       1059.04       13.13         
213     73.22         758.56        1053.38       1059.04       13.43         
214     71.96         789.00        1055.11       1059.04       13.34         
215     37.01         787.13        1085.45       1059.04       13.34         
216     95.32         760.91        1060.64       1059.04       13.31         
217     63.56         757.06        1054.56       1059.04       13.05         
218     77.82         803.27        1055.74       1059.04       13.33         
219     41.46         732.28        1058.12       1063.73       12.99         
220     28.52         715.44        1058.94       1063.73       13.06         
221     52.96         791.72        1061.58       1063.73       13.38         
222     85.32         756.51        1059.36       1063.73       13.10         
223     36.13         763.00        1077.26       1063.73       13.15         
224     120.58        776.68        1073.31       1063.73       13.27         
225     84.58         761.84        1070.05       1063.73       13.12         
226     46.91         741.00        1075.47       1063.73       13.13         
227     85.15         748.16        1065.98       1063.73       13.23         
228     84.59         794.59        1065.33       1063.73       13.37         
229     97.37         732.49        1055.68       1063.73       13.37         
230     64.78         806.54        1063.68       1063.73       13.47         
231     80.78         767.71        1060.04       1063.73       13.42         
232     22.71         759.17        1091.04       1063.73       13.79         
233     66.31         755.29        1060.90       1063.73       13.43         
234     63.60         779.74        1075.13       1063.73       13.18         
235     83.17         745.69        1072.05       1063.73       13.08         
236     62.07         759.44        1078.10       1063.73       13.08         
237     76.78         755.86        1084.04       1063.73       13.03         
238     83.18         733.33        1070.62       1072.83       12.98         
239     35.93         777.77        1074.04       1072.83       13.25         
240     100.00        770.26        1127.03       1072.83       13.13         
241     63.54         753.22        1063.27       1072.83       13.15         
242     57.63         756.98        1065.25       1072.83       13.08         
243     57.02         731.60        1074.25       1072.83       13.05         
244     61.82         735.03        1087.95       1072.83       13.23         
245     129.00        824.69        1088.85       1072.83       13.48         
246     46.17         788.13        1071.24       1072.83       13.38         
247     90.78         792.46        1096.48       1072.83       13.04         
248     68.73         784.55        1086.17       1072.83       13.42         
249     54.23         705.06        1075.02       1078.33       13.04         
250     80.03         764.90        1091.90       1078.33       13.09         
251     56.38         748.31        1076.48       1078.33       13.11         
252     58.21         736.81        1069.03       1078.33       13.13         
253     114.03        744.89        1072.76       1078.33       13.20         
254     94.52         783.81        1073.13       1078.33       13.34         
255     46.92         755.35        1089.38       1078.33       13.22         
256     69.79         801.69        1137.31       1078.33       13.29         
257     122.43        776.57        1083.32       1078.33       13.21         
258     91.37         730.56        1100.61       1078.33       12.92         
259     111.08        753.23        1091.72       1078.33       13.35         
260     45.51         752.33        1099.95       1078.33       13.30         
261     78.84         781.40        1079.17       1078.33       13.19         
262     104.19        788.76        1081.77       1078.33       13.16         
263     37.35         783.37        1090.44       1078.33       13.13         
264     117.41        813.36        1127.07       1078.33       13.30         
265     116.64        768.89        1108.18       1078.33       13.03         
266     54.93         738.02        1102.90       1078.33       12.95         
267     94.86         795.32        1100.21       1091.10       13.18         
268     77.21         815.13        1108.82       1091.10       13.14         
269     71.45         783.61        1100.84       1091.10       13.24         
270     47.99         790.74        1096.07       1091.10       13.27         
271     71.37         761.76        1134.53       1091.10       13.13         
272     69.23         797.33        1102.77       1091.10       13.35         
273     67.18         779.11        1087.76       1091.10       13.30         
274     103.38        797.27        1105.97       1091.10       13.07         
275     52.70         796.49        1113.68       1091.10       13.34         
