experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.01
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
elapsed_time: 6173.394552946091

Genome Size: 3700
Free Parameters: {'V': 850, 'W': 2500, 'T': 300, 'x_0': 50}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -675.85       -531.46       -444.24       -491.43       20.24         
1       -673.34       -529.91       -418.13       -443.09       2.53          
2       -687.31       -534.69       -404.62       -423.96       2.63          
3       -700.66       -531.11       -403.09       -401.18       2.61          
4       -659.56       -531.70       -391.20       -377.18       2.58          
5       -640.78       -529.28       -416.95       -377.18       2.55          
6       -685.23       -533.77       -447.36       -377.18       2.62          
7       -720.68       -538.58       -426.06       -377.18       2.52          
8       -772.55       -532.28       -404.87       -377.18       2.51          
9       -661.09       -530.99       -409.46       -377.18       2.48          
10      -630.55       -533.19       -442.97       -377.18       2.50          
11      -678.05       -526.60       -383.28       -377.18       2.49          
12      -629.26       -526.12       -437.08       -377.18       2.52          
13      -697.08       -527.78       -420.56       -377.18       2.49          
14      -648.62       -529.72       -398.13       -377.18       2.50          
15      -728.01       -528.98       -390.48       -377.18       2.49          
16      -682.44       -528.05       -401.29       -377.18       2.49          
17      -683.09       -527.39       -411.61       -377.18       2.60          
18      -771.23       -528.20       -277.16       -377.18       2.54          
19      -749.78       -525.19       -433.31       -377.18       2.52          
20      -652.14       -528.84       -350.22       -377.18       2.51          
21      -722.36       -527.94       -339.82       -377.18       2.57          
22      -637.55       -528.06       -397.16       -377.18       2.58          
23      -668.81       -521.87       -359.12       -377.18       2.57          
24      -612.08       -517.53       -362.46       -377.18       2.60          
25      -612.14       -515.32       -397.45       -377.18       2.57          
26      -639.07       -519.69       -412.61       -377.18       2.54          
27      -661.74       -521.05       -378.60       -377.18       2.52          
28      -659.99       -513.21       -368.93       -377.18       2.58          
29      -668.63       -521.20       -385.73       -377.18       2.55          
30      -668.02       -510.97       -316.31       -377.18       2.53          
31      -661.28       -510.74       -329.66       -377.18       2.56          
32      -723.56       -513.50       -337.21       -377.18       2.55          
33      -716.67       -505.53       -365.89       -362.04       2.53          
34      -634.99       -503.15       -341.87       -362.04       2.53          
35      -633.50       -494.60       -353.16       -362.04       2.53          
36      -653.51       -492.25       -340.85       -303.36       2.57          
37      -779.51       -494.02       -170.64       -264.09       2.61          
38      -684.24       -488.58       -207.48       -253.09       2.53          
39      -628.40       -475.98       -164.52       -222.15       2.54          
40      -624.82       -471.73       -265.52       -222.15       2.56          
41      -623.31       -466.78       -198.65       -215.81       2.52          
42      -625.40       -454.48       -111.96       -212.30       2.56          
43      -663.49       -443.99       -194.78       -209.37       2.53          
44      -653.32       -424.21       -145.99       -209.37       2.50          
45      -618.04       -415.00       -117.98       -209.37       2.49          
46      -644.65       -410.64       -23.52        -201.17       2.56          
47      -599.69       -401.83       51.96         -37.60        2.49          
48      -649.15       -376.85       -27.98        -37.60        2.53          
49      -616.02       -358.48       -38.93        -37.60        2.49          
50      -558.55       -343.54       21.50         -37.60        2.53          
51      -600.77       -337.47       -2.19         -37.60        2.54          
52      -644.66       -323.81       31.91         -37.60        2.51          
53      -559.64       -299.68       98.59         -37.60        2.54          
54      -591.76       -293.30       169.25        131.15        2.53          
55      -568.53       -276.97       45.71         131.15        2.47          
56      -598.19       -244.95       284.78        131.15        2.50          
57      -584.06       -241.18       232.37        133.38        2.47          
58      -557.32       -207.03       243.60        133.38        2.48          
59      -524.74       -181.90       284.36        167.82        2.48          
60      -616.90       -160.64       275.96        167.82        2.54          
61      -506.83       -136.69       238.38        193.29        2.53          
62      -570.06       -141.83       316.86        193.29        2.53          
63      -569.56       -111.12       413.62        262.36        2.52          
64      -602.45       -113.85       406.79        304.41        2.51          
65      -539.90       -48.26        376.69        304.41        2.52          
66      -582.37       -72.28        375.71        304.41        2.54          
67      -546.73       -17.63        341.81        304.41        2.51          
68      -613.70       14.30         423.36        306.46        2.51          
69      -545.01       25.90         444.78        316.87        2.50          
70      -531.36       36.04         419.76        370.74        2.49          
71      -590.56       76.24         449.66        378.67        2.51          
72      -660.86       94.87         421.99        378.67        2.51          
73      -367.93       99.92         421.44        378.67        2.47          
74      -531.28       125.08        437.66        386.67        2.47          
75      -468.25       135.37        414.22        386.67        2.49          
76      -523.39       122.77        434.49        386.67        2.52          
