experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
elapsed_time: 5678.507480621338

Genome Size: 250
Free Parameters: {'V': 110, 'W': 100, 'T': 30, 'x_0': 10}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.12         14.01         85.25         102.35        16.89         
1       -1.17         17.48         187.53        191.70        0.37          
2       -1.44         11.20         175.98        191.70        0.46          
3       -0.86         16.24         215.26        210.41        0.67          
4       -0.81         15.28         112.26        210.41        0.46          
5       -1.25         15.62         100.57        210.41        0.43          
6       -0.90         16.53         107.85        210.41        0.54          
7       -0.65         15.28         112.33        210.41        0.55          
8       -0.72         19.69         166.11        210.41        0.49          
9       -1.53         17.35         120.06        210.41        0.46          
10      -0.89         20.22         134.35        210.41        0.45          
11      -0.82         19.58         118.80        210.41        0.41          
12      -1.14         22.60         141.99        210.41        0.46          
13      -1.21         22.28         149.41        210.41        0.41          
14      -1.57         21.28         157.38        210.41        0.40          
15      -0.98         23.09         124.07        210.41        0.40          
16      -1.31         31.03         181.03        210.41        0.41          
17      -0.90         28.10         162.21        210.41        0.40          
18      -0.96         27.79         185.29        210.41        0.41          
19      -1.22         30.34         186.98        210.41        0.42          
20      -1.25         27.42         176.42        210.41        0.41          
21      -0.95         29.49         114.31        210.41        0.41          
22      -1.16         30.68         170.43        210.41        0.38          
23      -1.32         34.49         188.37        210.41        0.45          
24      -1.37         33.96         198.30        210.41        0.41          
25      -1.14         34.41         163.40        210.41        0.39          
26      0.20          40.53         184.85        210.41        0.41          
27      -0.06         37.56         190.99        210.41        0.41          
28      -0.90         43.49         217.62        219.06        0.43          
29      -1.02         50.48         239.06        219.06        0.47          
30      -1.25         55.49         200.04        219.06        0.43          
31      -1.37         53.40         244.27        233.07        0.44          
32      2.36          58.60         239.12        233.07        0.42          
33      -0.84         55.27         278.58        260.75        0.47          
34      -1.04         57.95         250.71        260.75        0.44          
35      -1.34         65.77         308.48        260.75        0.43          
36      0.03          64.80         236.79        260.75        0.44          
37      3.35          70.87         255.01        260.75        0.42          
38      3.17          70.63         265.58        260.75        0.44          
39      -1.16         80.09         234.55        260.75        0.39          
40      0.12          73.86         230.67        260.75        0.44          
41      -1.17         83.98         272.03        260.75        0.45          
42      -0.95         84.92         330.59        292.95        0.48          
43      -1.34         72.45         238.85        292.95        0.40          
44      -1.21         77.99         218.87        292.95        0.42          
45      3.32          84.15         291.54        292.95        0.45          
46      3.35          79.73         229.45        292.95        0.44          
47      2.46          81.93         229.24        292.95        0.43          
48      -0.77         86.31         218.92        292.95        0.42          
49      -0.25         86.75         231.87        292.95        0.43          
50      -0.04         93.30         310.66        292.95        0.50          
51      1.67          87.62         286.01        292.95        0.45          
52      -1.00         88.22         259.63        292.95        0.45          
53      -1.18         93.45         381.99        292.95        0.46          
54      5.85          95.95         286.48        292.95        0.44          
55      -1.45         96.36         277.28        292.95        0.53          
56      -1.61         102.51        319.39        292.95        0.52          
57      -1.59         91.70         251.03        292.95        0.48          
58      -1.14         102.79        356.94        292.95        0.51          
59      4.87          104.43        334.86        292.95        0.48          
60      5.98          107.25        284.03        292.95        0.49          
61      5.23          112.52        283.75        292.95        0.49          
62      -0.91         114.76        291.87        292.95        0.53          
63      -1.16         121.27        272.83        292.95        0.48          
64      8.16          115.21        324.04        292.95        0.53          
65      -1.72         122.59        319.24        292.95        0.49          
66      3.60          122.12        343.50        292.95        0.58          
67      -1.33         136.70        392.00        456.65        0.73          
68      2.80          134.12        448.19        578.44        0.73          
69      3.23          130.89        473.08        578.44        0.77          
70      5.88          126.32        498.07        578.44        0.65          
71      -0.62         129.75        515.33        578.44        0.68          
72      4.71          124.87        466.02        578.44        0.65          
73      4.80          136.01        398.38        578.44        0.56          
74      5.73          151.37        549.29        578.44        0.73          
75      6.73          144.73        451.32        578.44        0.63          
76      2.94          162.21        453.17        578.44        0.75          
77      6.53          155.25        537.87        578.44        0.75          
78      3.72          174.90        608.18        578.44        0.93          
79      5.65          166.77        581.80        578.44        0.78          
80      -0.78         170.93        518.21        578.44        0.76          
81      0.05          177.38        592.70        578.44        0.78          
82      7.75          187.64        851.75        598.60        1.04          
83      8.91          178.36        1015.01       759.11        1.11          
84      -0.65         192.79        998.49        777.30        1.21          
85      3.73          199.13        936.78        873.93        1.23          
86      4.90          214.78        647.92        873.93        0.86          
87      10.03         223.42        912.50        873.93        1.21          
88      12.78         229.56        943.71        899.01        1.22          
89      8.62          222.60        1007.58       922.75        1.25          
90      7.26          234.26        991.17        989.32        1.24          
91      9.17          253.17        998.96        989.32        1.23          
92      10.72         280.59        1030.86       989.32        1.30          
93      9.63          292.73        1037.37       989.32        1.45          
94      36.67         311.06        1051.84       989.32        1.34          
95      16.47         355.79        1018.45       989.32        1.54          
96      22.39         335.54        1023.86       989.32        1.52          
97      5.08          346.43        1025.81       997.95        1.69          
98      7.47          307.04        1028.85       997.95        1.53          
99      -0.71         361.43        1029.71       1008.85       1.57          
100     6.82          337.78        1025.48       1008.85       1.48          
101     5.81          360.79        1025.98       1008.85       1.68          
102     15.00         374.52        1028.85       1008.85       1.64          
103     2.75          350.46        1021.47       1021.30       1.78          
104     6.00          400.56        1053.44       1021.30       1.72          
105     13.19         416.95        1024.56       1023.66       1.89          
106     11.35         434.03        1029.24       1023.66       1.72          
107     2.95          397.25        1028.36       1023.66       1.64          
108     12.17         468.72        1032.24       1027.30       1.89          
109     10.77         454.80        1062.58       1027.30       1.72          
110     20.98         470.58        1027.54       1027.52       1.78          
111     7.97          490.56        1027.43       1027.52       1.94          
112     15.70         514.35        1029.97       1027.52       1.90          
113     16.46         545.30        1030.08       1027.52       1.95          
114     18.81         531.36        1029.65       1027.52       1.90          
115     17.38         545.10        1031.96       1030.82       1.97          
116     21.56         548.32        1030.13       1030.82       1.89          
117     11.63         573.81        1029.17       1030.82       2.00          
118     4.35          556.83        1032.50       1030.82       1.99          
119     5.47          531.98        1028.67       1030.82       2.01          
120     12.85         571.37        1034.36       1030.82       1.96          
121     7.93          534.62        1034.78       1030.82       1.87          
122     9.28          555.24        1028.37       1030.82       1.94          
123     45.34         520.78        1031.16       1030.82       1.90          
124     7.81          566.92        1030.35       1030.82       2.05          
125     4.63          567.06        1032.12       1032.49       1.96          
126     4.84          544.06        1030.56       1032.49       1.91          
127     11.36         555.90        1030.85       1032.49       2.01          
128     43.52         634.89        1028.18       1032.49       2.23          
129     43.02         584.56        1032.58       1032.49       1.97          
130     11.29         610.64        1031.62       1032.49       2.06          
131     35.24         681.83        1033.26       1032.49       2.30          
132     63.09         693.64        1036.61       1032.49       2.41          
133     21.87         649.51        1029.53       1032.49       2.18          
134     8.28          638.71        1032.88       1032.49       2.18          
135     13.43         705.25        1035.81       1032.49       2.38          
136     6.50          595.55        1035.53       1032.49       2.15          
137     14.87         605.33        1032.95       1033.32       2.13          
138     10.68         619.77        1041.35       1033.32       2.10          
139     9.64          642.45        1033.68       1033.32       2.31          
140     -1.16         623.67        1041.65       1033.32       2.13          
141     2.20          605.14        1030.69       1033.32       2.10          
142     35.90         685.47        1037.60       1033.32       2.36          
143     8.76          700.54        1046.21       1033.32       2.33          
144     10.52         591.29        1071.44       1033.32       2.00          
145     41.72         653.58        1032.58       1033.32       2.27          
146     17.25         711.42        1046.19       1045.69       2.28          
147     11.88         651.82        1034.55       1045.69       2.37          
148     16.00         682.08        1033.40       1045.69       2.35          
149     32.86         650.62        1032.54       1045.69       2.18          
150     12.62         618.40        1032.05       1045.69       2.14          
151     45.32         680.23        1038.32       1045.69       2.27          
152     7.26          712.84        1035.43       1045.69       2.39          
153     10.58         686.13        1030.10       1045.69       2.23          
154     9.42          663.71        1032.26       1045.69       2.23          
155     6.00          680.45        1031.97       1045.69       2.35          
156     5.80          697.69        1033.32       1045.69       2.31          
157     7.37          714.66        1045.38       1045.69       2.41          
158     6.64          704.94        1033.50       1045.69       2.43          
159     41.96         750.05        1033.81       1045.69       2.52          
160     15.56         689.31        1032.51       1045.69       2.28          
161     18.97         728.81        1036.55       1045.69       2.38          
162     10.91         717.95        1030.37       1045.69       2.36          
163     26.13         737.91        1032.40       1045.69       2.48          
164     17.12         739.65        1032.52       1045.69       2.63          
165     12.42         719.71        1033.46       1045.69       2.49          
166     40.88         719.03        1042.70       1045.69       2.58          
167     8.50          757.32        1030.60       1045.69       2.63          
168     18.00         721.56        1034.20       1045.69       2.54          
169     6.90          750.34        1035.93       1045.69       2.60          
170     5.86          754.67        1033.81       1045.69       2.64          
171     71.78         744.72        1044.40       1045.69       2.43          
172     22.23         706.51        1036.90       1045.69       2.42          
173     21.22         703.65        1058.81       1045.69       2.40          
174     29.24         782.80        1045.01       1045.69       2.65          
175     81.34         767.46        1033.04       1045.69       2.48          
176     63.47         808.41        1060.71       1045.69       2.53          
177     34.12         708.23        1032.94       1045.69       2.42          
178     14.03         708.71        1046.84       1045.69       2.32          
179     61.08         745.72        1091.72       1045.69       2.61          
180     10.87         675.97        1033.27       1045.69       2.22          
181     7.74          715.20        1038.74       1045.69       2.48          
182     12.19         747.82        1044.30       1045.69       2.55          
183     27.63         687.88        1063.47       1045.69       2.23          
184     12.23         696.50        1040.14       1045.69       2.37          
185     16.41         748.20        1038.21       1045.69       2.63          
186     12.17         757.54        1038.88       1045.69       2.35          
187     5.89          709.18        1041.77       1045.69       2.26          
188     29.50         759.73        1066.28       1045.69       2.50          
189     37.87         746.41        1034.32       1045.69       2.53          
190     40.52         725.83        1035.17       1045.69       2.41          
191     11.86         774.35        1047.68       1045.69       2.61          
192     11.77         761.89        1045.46       1045.69       2.39          
193     6.76          767.49        1045.89       1045.69       2.46          
194     10.33         745.74        1041.83       1045.69       2.65          
195     75.28         708.78        1041.92       1045.69       2.33          
196     90.44         770.27        1040.03       1045.69       2.54          
197     30.42         709.62        1063.30       1045.69       2.38          
198     67.64         769.56        1038.49       1045.69       2.49          
199     18.65         709.18        1040.43       1045.69       2.36          
200     44.55         706.68        1047.83       1045.69       2.43          
201     51.69         759.78        1059.49       1045.69       2.43          
202     63.72         703.82        1065.78       1045.69       2.26          
203     16.27         722.11        1045.26       1045.69       2.50          
204     52.84         748.56        1037.02       1045.69       2.38          
205     38.32         741.45        1042.61       1045.69       2.50          
206     36.92         731.22        1079.06       1069.71       2.53          
207     61.74         726.42        1053.81       1069.71       2.42          
208     67.55         743.71        1069.22       1069.71       2.42          
209     49.61         738.41        1058.21       1069.71       2.28          
210     12.43         685.31        1052.35       1069.71       2.24          
211     31.96         735.96        1073.50       1069.71       2.31          
212     30.85         708.62        1057.63       1069.71       2.24          
213     34.99         749.36        1105.99       1069.71       2.31          
214     10.71         688.92        1071.32       1069.71       2.40          
215     29.82         719.09        1070.21       1080.37       2.43          
216     30.50         728.20        1074.38       1080.37       2.30          
217     12.64         739.39        1080.85       1080.37       2.44          
218     14.28         736.51        1070.64       1080.37       2.34          
219     14.41         707.03        1072.46       1080.37       2.24          
220     9.29          767.99        1074.85       1080.37       2.59          
221     18.40         702.42        1074.07       1080.37       2.21          
222     13.79         751.26        1089.03       1080.37       2.31          
223     99.05         772.68        1080.09       1080.37       2.39          
224     35.49         707.54        1093.79       1080.37       2.37          
225     14.16         688.39        1126.36       1105.82       2.21          
226     7.61          711.51        1107.53       1105.82       2.27          
227     15.84         715.30        1095.12       1105.82       2.49          
228     9.10          729.23        1163.52       1105.82       2.40          
229     14.20         697.82        1066.95       1105.82       2.20          
230     11.59         767.04        1110.11       1105.82       2.32          
231     17.25         744.64        1084.29       1105.82       2.42          
232     20.21         760.08        1144.23       1105.82       2.30          
233     26.98         695.07        1065.41       1105.82       2.37          
234     33.11         770.39        1156.54       1105.82       2.32          
235     21.09         736.48        1094.50       1105.82       2.25          
236     31.50         755.79        1066.95       1105.82       2.37          
237     16.76         709.35        1141.44       1105.82       2.25          
238     9.48          714.52        1104.67       1105.82       2.16          
239     -1.60         717.19        1101.33       1105.82       2.33          
240     8.42          760.97        1078.12       1105.82       2.31          
241     6.63          756.95        1150.25       1105.82       2.36          
242     11.84         704.28        1162.26       1105.82       2.10          
243     26.43         713.59        1076.98       1105.82       2.21          
244     8.89          770.11        1085.09       1105.82       2.25          
245     11.76         722.89        1095.49       1105.82       2.25          
246     40.85         739.87        1101.38       1105.82       2.34          
247     46.40         771.40        1120.15       1105.82       2.34          
248     12.20         787.13        1101.52       1105.82       2.37          
249     17.37         780.21        1113.37       1105.82       2.51          
250     29.13         746.42        1123.17       1105.82       2.23          
251     3.09          735.88        1127.08       1105.82       2.44          
252     36.48         753.36        1148.49       1140.35       2.50          
253     21.14         784.24        1096.02       1140.35       2.41          
254     27.93         775.78        1140.99       1140.35       2.30          
255     21.45         814.92        1129.42       1140.35       2.49          
256     8.69          726.02        1121.63       1140.35       2.30          
257     -1.34         690.95        1148.90       1145.65       2.31          
258     6.29          643.08        1136.82       1145.65       2.05          
259     3.28          754.02        1130.62       1145.65       2.36          
260     10.65         762.85        1135.01       1145.65       2.26          
261     22.96         750.78        1124.19       1145.65       2.26          
262     28.19         777.32        1176.79       1145.65       2.33          
263     29.66         712.65        1165.72       1145.65       2.32          
264     11.14         717.07        1145.01       1145.65       2.18          
265     10.00         767.31        1160.57       1145.65       2.28          
266     26.49         719.11        1164.21       1145.65       2.22          
267     11.59         668.71        1123.96       1145.65       2.14          
268     23.06         741.41        1160.83       1145.65       2.28          
269     30.59         759.65        1153.89       1160.62       2.36          
270     5.71          730.77        1107.96       1160.62       2.32          
271     28.18         806.77        1180.77       1181.89       2.52          
272     38.84         733.22        1124.40       1181.89       2.21          
273     30.63         778.20        1191.91       1181.99       2.38          
274     13.45         755.37        1126.92       1181.99       2.23          
275     24.92         749.85        1170.60       1181.99       2.29          
276     22.97         741.65        1140.51       1181.99       2.20          
277     22.67         760.96        1173.06       1181.99       2.30          
278     30.44         749.36        1165.39       1181.99       2.19          
279     26.68         704.44        1158.72       1181.99       2.15          
280     23.78         710.08        1200.90       1181.99       2.37          
281     25.33         767.87        1158.97       1181.99       2.37          
282     12.79         729.37        1136.83       1181.99       2.34          
283     17.52         790.08        1161.41       1181.99       2.49          
284     38.46         737.66        1193.01       1181.99       2.41          
285     19.63         829.94        1139.61       1181.99       2.57          
286     19.42         793.13        1175.25       1181.99       2.33          
287     12.69         737.01        1204.04       1181.99       2.18          
288     44.39         784.96        1199.39       1181.99       2.30          
289     35.16         689.45        1158.11       1181.99       2.17          
290     19.55         704.50        1170.23       1181.99       2.20          
291     23.92         791.97        1189.90       1181.99       2.41          
292     27.00         801.31        1156.25       1181.99       2.18          
293     25.71         758.90        1169.92       1181.99       2.31          
