experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
brain
	type: FFNN
	hidden_layers: [10, 10]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 5342.746091604233

Genome Size: 263
Free Parameters: {'individual_size': 263}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -0.99         20.19         311.91        183.90        17.29         
1       -0.95         22.45         389.48        390.81        0.62          
2       -0.89         27.37         206.20        390.81        0.45          
3       -1.04         29.84         335.39        390.81        0.63          
4       -0.66         37.09         332.82        390.81        0.57          
5       -1.00         42.91         1041.03       1041.19       1.12          
6       -1.15         43.20         993.81        1041.19       1.23          
7       -1.17         49.90         974.25        1041.19       1.12          
8       -1.04         42.00         756.86        1041.19       0.79          
9       -1.07         47.79         1014.51       1041.19       1.15          
10      -1.55         52.98         996.06        1041.19       1.11          
11      -0.55         59.19         1000.06       1041.19       1.13          
12      -1.22         58.44         1019.10       1041.19       1.16          
13      -0.43         57.55         1015.91       1041.19       1.13          
14      -0.97         50.13         453.28        1041.19       0.68          
15      -0.98         68.91         999.86        1041.19       1.13          
16      -0.49         67.59         993.47        1041.19       1.17          
17      -0.90         74.76         1010.13       1041.19       1.10          
18      -0.31         86.62         1025.96       1041.19       1.46          
19      -1.31         95.65         1023.21       1041.19       1.16          
20      -0.48         98.88         1020.72       1041.19       1.28          
21      -1.46         100.75        1019.53       1041.19       1.46          
22      -1.77         126.37        1016.41       1041.19       1.20          
23      -1.30         118.65        1024.46       1041.19       1.18          
24      -1.25         142.60        1023.92       1041.19       1.49          
25      -1.14         156.35        1034.62       1041.19       1.41          
26      -0.58         164.85        1025.76       1041.19       1.23          
27      -1.42         146.46        1026.46       1041.19       1.17          
28      -1.30         163.07        1019.23       1041.19       1.16          
29      -1.24         228.43        1025.15       1041.19       1.28          
30      -1.32         230.46        1033.13       1041.19       1.29          
31      -1.13         201.42        1030.75       1041.19       1.29          
32      -1.34         194.88        1026.20       1041.19       1.34          
33      -1.05         252.53        1022.03       1041.19       1.34          
34      -1.13         222.03        1025.67       1041.19       1.29          
35      -1.68         251.89        1049.13       1048.97       1.28          
36      -0.65         221.75        1026.19       1048.97       1.53          
37      -1.10         251.69        1023.27       1048.97       1.45          
38      -1.35         228.29        1024.13       1048.97       1.37          
39      -1.08         294.70        1024.56       1048.97       1.42          
40      -1.61         263.16        1061.48       1048.97       1.49          
41      -1.53         288.11        1027.02       1048.97       1.40          
42      -1.05         281.57        1025.11       1048.97       1.52          
43      -1.64         289.16        1022.39       1048.97       1.51          
44      -1.32         278.85        1025.81       1048.97       1.40          
45      -1.55         298.00        1026.00       1048.97       1.69          
46      -1.05         292.35        1028.21       1048.97       1.37          
47      -0.81         318.93        1026.95       1048.97       1.66          
