experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 28044.80206680298

Genome Size: 330
Free Parameters: {'V': 170, 'W': 100, 'T': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -42.62        0.53          305.74        244.02        8.65          
1       -62.97        -0.44         207.06        244.02        1.16          
2       -102.70       -0.57         126.05        244.02        0.97          
3       -46.67        6.86          698.73        696.08        2.00          
4       -63.20        4.31          494.28        696.08        1.81          
5       -96.45        0.20          290.07        696.08        1.21          
6       -50.38        12.95         379.12        696.08        1.75          
7       -92.90        8.08          327.20        696.08        1.46          
8       -40.85        25.72         512.66        696.08        1.32          
9       -57.65        20.02         252.68        696.08        1.31          
10      -40.91        33.79         732.11        817.76        2.77          
11      -60.25        46.17         438.04        817.76        2.40          
12      -28.27        57.69         691.34        817.76        2.27          
13      -66.86        50.28         404.48        817.76        1.96          
14      -110.45       63.22         944.81        941.06        3.32          
15      -69.43        54.41         434.31        941.06        2.18          
16      -63.44        70.94         857.41        941.06        2.98          
17      -23.67        85.39         668.19        941.06        2.74          
18      -34.51        71.61         807.69        941.06        3.09          
19      -53.96        87.66         692.46        941.06        3.19          
20      -89.34        103.32        727.60        941.06        3.26          
21      -55.32        114.58        1000.63       962.29        3.99          
22      -60.19        100.20        542.26        962.29        2.62          
23      -118.09       100.87        434.10        962.29        2.80          
24      -39.42        122.57        701.89        962.29        3.43          
25      -48.91        137.48        988.85        966.67        3.66          
26      -83.38        128.98        940.79        966.67        3.43          
27      -86.00        126.64        1029.38       1028.16       3.38          
28      -51.72        138.01        952.71        1028.16       2.85          
29      -46.19        142.84        952.91        1028.16       3.66          
30      -58.28        151.93        1042.54       1035.55       3.79          
31      -46.30        164.92        1017.85       1035.55       4.11          
32      -53.62        161.30        976.99        1035.55       3.52          
33      -39.53        171.38        997.57        1035.55       3.92          
34      -61.35        131.65        823.95        1035.55       3.20          
35      -62.08        181.34        1027.60       1035.55       4.27          
36      -28.23        191.16        993.18        1035.55       4.35          
37      -31.82        214.58        1069.82       1055.32       4.22          
38      -45.49        189.42        978.04        1055.32       4.29          
39      -39.74        210.28        1014.12       1055.32       4.89          
40      -58.87        231.21        1032.44       1055.32       4.18          
41      -38.58        219.98        1071.29       1063.76       4.96          
42      -36.80        239.68        1037.38       1063.76       4.08          
43      -39.59        249.78        1037.06       1063.76       4.50          
44      -91.65        276.05        1079.70       1081.22       4.92          
45      -53.46        293.79        1045.88       1081.22       5.14          
46      -36.03        275.67        1043.45       1081.22       6.03          
47      -27.93        313.21        1064.35       1081.22       5.43          
48      -48.48        273.96        1056.40       1081.22       4.81          
49      -52.14        313.71        1073.71       1081.22       5.59          
