experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.1
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 6383.5529861450195

Genome Size: 3650
Free Parameters: {'V': 850, 'W': 2500, 'T': 300}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -600.90       -572.86       -542.05       -561.46       17.70         
1       -597.58       -574.11       -538.43       -561.46       2.60          
2       -602.91       -574.89       -544.92       -561.46       2.68          
3       -607.24       -574.69       -545.33       -561.46       2.59          
4       -603.52       -576.39       -539.90       -561.46       2.59          
5       -610.98       -577.13       -538.37       -558.86       2.60          
6       -610.02       -574.32       -537.72       -558.86       2.62          
7       -603.10       -573.64       -539.41       -558.86       2.62          
8       -600.92       -574.10       -546.93       -558.86       2.62          
9       -609.60       -575.91       -526.86       -546.41       2.64          
10      -603.55       -574.12       -539.95       -546.41       2.62          
11      -601.26       -575.34       -540.49       -546.41       2.61          
12      -603.84       -573.16       -542.71       -546.41       2.65          
13      -594.89       -573.21       -518.33       -546.41       2.63          
14      -596.23       -574.16       -523.77       -546.41       2.62          
15      -608.64       -571.91       -539.95       -546.41       2.58          
16      -595.56       -571.49       -536.24       -546.41       2.60          
17      -604.09       -572.58       -545.33       -546.41       2.58          
18      -599.97       -571.02       -539.54       -546.41       2.64          
19      -603.81       -572.20       -542.41       -546.41       2.71          
20      -603.10       -571.44       -537.51       -546.41       2.72          
21      -595.96       -571.91       -515.76       -546.41       2.63          
22      -600.72       -571.76       -533.23       -542.09       2.62          
23      -595.71       -570.93       -525.99       -542.09       2.64          
24      -595.92       -571.25       -523.89       -542.09       2.63          
25      -609.29       -570.19       -540.45       -542.09       2.64          
26      -599.42       -569.32       -536.63       -542.09       2.62          
27      -598.44       -569.04       -511.63       -542.09       2.70          
28      -596.79       -570.05       -501.55       -534.88       2.65          
29      -591.30       -568.40       -536.84       -534.88       2.62          
30      -593.71       -567.54       -518.86       -534.88       2.63          
31      -595.50       -568.12       -498.63       -533.82       2.66          
32      -596.55       -568.60       -515.13       -533.82       2.62          
33      -594.90       -564.66       -531.48       -533.82       2.68          
34      -595.84       -563.53       -469.13       -533.82       2.64          
35      -595.59       -564.59       -527.95       -530.94       2.68          
36      -599.45       -562.68       -515.89       -530.94       2.64          
37      -593.45       -559.06       -510.24       -530.94       2.64          
38      -599.76       -559.75       -511.49       -530.94       2.66          
39      -596.38       -559.39       -515.47       -530.94       2.67          
40      -588.74       -558.79       -507.08       -530.94       2.67          
41      -590.64       -557.15       -500.58       -530.94       2.64          
42      -590.35       -554.43       -503.55       -528.80       2.66          
43      -590.53       -554.91       -505.70       -528.80       2.67          
44      -583.82       -549.40       -474.21       -528.80       2.64          
45      -605.26       -549.65       -448.77       -510.64       2.61          
46      -595.38       -550.47       -480.48       -510.64       2.64          
47      -592.50       -545.99       -472.74       -510.64       2.63          
48      -607.91       -544.92       -392.22       -503.79       2.65          
49      -587.17       -540.45       -414.54       -503.79       2.62          
50      -586.93       -539.85       -475.78       -502.76       2.64          
51      -593.08       -549.66       -482.05       -496.72       2.67          
52      -592.36       -531.23       -386.55       -496.72       2.61          
53      -597.26       -533.21       -395.59       -468.61       2.65          
54      -586.47       -530.89       -393.44       -468.61       2.63          
55      -582.25       -531.02       -444.60       -468.61       2.60          
56      -604.44       -528.58       -406.91       -468.61       2.64          
57      -606.94       -531.57       -445.87       -468.61       2.64          
58      -579.86       -521.69       -423.10       -468.61       2.61          
59      -582.20       -513.94       -397.70       -465.89       2.69          
60      -620.11       -521.02       -403.22       -465.89       2.73          
61      -594.70       -517.20       -405.01       -465.07       2.64          
62      -580.29       -507.42       -388.35       -465.07       2.62          
63      -588.25       -510.28       -299.11       -465.07       2.64          
64      -580.60       -502.18       -305.85       -465.07       2.67          
65      -601.84       -504.28       -402.90       -465.07       2.69          
66      -603.61       -499.17       -297.65       -426.92       2.64          
67      -590.16       -501.12       -277.52       -360.49       2.65          
68      -573.70       -479.96       -263.01       -360.49       2.69          
69      -605.64       -486.26       -342.36       -360.49       2.67          
70      -610.02       -489.51       -256.38       -360.49       2.66          
71      -572.66       -480.13       -304.32       -360.49       2.64          
72      -598.65       -483.49       -271.83       -360.49       2.62          
73      -595.37       -482.64       -259.13       -360.49       2.66          
74      -583.51       -486.74       -273.43       -360.49       2.66          
75      -585.31       -474.51       -318.18       -360.49       2.66          
76      -573.41       -465.95       -265.65       -360.49       2.69          
77      -578.88       -463.37       -251.43       -360.49       2.64          
78      -582.27       -465.94       -282.35       -360.49       2.65          
79      -581.13       -464.32       -33.36        -353.03       2.63          
80      -566.35       -457.14       -268.26       -353.03       2.71          
81      -584.19       -459.23       -292.98       -353.03       2.72          
82      -578.42       -460.13       -237.88       -353.03       2.70          
83      -601.84       -468.57       -270.30       -353.03       2.71          
84      -603.64       -464.67       -262.88       -297.69       2.67          
85      -583.21       -453.37       -247.68       -297.69       2.65          
86      -625.76       -461.57       -242.51       -297.69       2.67          
87      -588.84       -432.05       -257.04       -297.69       2.70          
88      -635.93       -453.08       -145.10       -297.69       2.69          
89      -606.24       -440.46       -195.40       -297.69       2.65          
