experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.1
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 7917.4167149066925

Genome Size: 860
Free Parameters: {'V': 340, 'W': 400, 'T': 120}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -52.86        -1.47         99.16         100.72        15.59         
1       -35.68        -1.17         137.96        105.37        0.59          
2       -21.11        -0.87         134.78        105.37        0.70          
3       -103.94       -1.17         125.63        105.37        0.75          
4       -25.03        -0.08         177.31        151.52        0.74          
5       -22.72        0.20          144.71        151.52        0.73          
6       -69.96        1.78          140.84        151.52        0.58          
7       -76.87        -2.71         118.62        151.52        0.60          
8       -24.71        1.00          135.32        151.52        0.82          
9       -65.34        0.67          289.16        278.70        0.66          
10      -59.19        2.01          206.15        278.70        0.57          
11      -61.98        3.22          212.25        278.70        0.67          
12      -155.08       1.73          180.55        278.70        0.65          
13      -48.33        2.33          223.03        278.70        0.66          
14      -59.74        1.74          131.17        278.70        0.61          
15      -52.53        6.90          177.01        278.70        0.68          
16      -70.57        5.71          280.13        283.42        0.63          
17      -61.66        10.88         147.69        283.42        0.72          
18      -72.95        17.60         315.18        283.42        0.66          
19      -62.49        17.94         339.11        293.95        0.66          
20      -83.74        20.58         429.63        321.79        0.93          
21      -62.68        27.32         306.67        321.79        0.79          
22      -69.83        36.62         482.48        321.79        0.97          
23      -60.90        37.88         317.93        321.79        0.83          
24      -86.86        52.21         337.21        351.00        0.77          
25      -62.50        60.52         562.54        351.00        0.98          
26      -63.78        58.73         337.60        351.00        0.71          
27      -86.92        62.03         331.04        351.00        0.75          
28      -51.56        84.41         652.93        626.81        1.19          
29      -35.93        87.07         708.36        663.39        1.10          
30      -41.32        99.42         584.80        663.39        1.11          
31      -31.43        88.41         397.59        663.39        0.81          
32      -48.98        85.19         361.44        663.39        0.86          
33      -26.75        94.58         364.50        663.39        0.80          
34      -46.35        98.46         450.22        663.39        1.01          
35      -30.51        116.19        381.16        663.39        0.89          
36      -100.30       117.59        555.36        719.61        1.20          
37      -29.71        118.08        546.73        719.61        1.09          
38      -36.31        127.94        368.54        719.61        0.91          
39      -55.79        138.85        361.92        719.61        0.89          
40      -51.80        148.34        372.25        719.61        0.91          
41      -49.48        163.44        377.22        719.61        1.17          
42      -83.23        160.93        446.64        719.61        1.05          
43      -34.18        173.86        426.34        719.61        0.96          
44      -32.25        190.87        376.06        719.61        1.00          
45      -32.95        172.25        596.64        719.61        1.09          
46      -26.99        175.92        455.04        719.61        1.07          
47      -38.71        178.15        771.35        719.61        1.27          
48      -30.40        171.27        493.37        719.61        1.11          
49      -33.89        211.72        427.75        719.61        1.03          
50      -29.97        190.32        446.59        719.61        1.07          
51      -33.57        181.64        455.11        719.61        0.95          
52      -22.51        200.57        623.80        719.61        1.19          
53      -37.61        209.36        376.80        719.61        0.92          
54      -39.47        171.05        431.45        719.61        1.05          
55      -21.11        187.09        520.16        719.61        1.07          
56      -69.17        190.74        360.30        719.61        0.92          
57      -95.65        187.00        350.51        719.61        0.98          
58      -46.16        204.83        479.72        719.61        1.05          
59      -87.36        190.88        965.07        969.18        1.53          
60      -42.58        198.30        480.40        969.18        1.18          
61      -38.30        194.63        468.99        969.18        0.97          
62      -38.80        190.34        759.12        969.18        1.28          
63      -53.00        206.79        463.44        969.18        0.92          
64      -87.76        186.42        551.36        969.18        1.07          
65      -35.98        210.87        1009.97       969.18        1.42          
66      -90.25        195.28        659.40        969.18        1.13          
67      -71.08        203.32        558.53        969.18        1.03          
68      -63.39        213.78        522.25        969.18        1.15          
69      -59.02        212.64        484.95        969.18        1.14          
70      -110.33       190.40        557.98        969.18        1.13          
71      -40.77        191.26        425.56        969.18        1.03          
72      -100.60       189.01        563.33        969.18        1.00          
73      -37.49        211.25        541.16        969.18        0.97          
74      -31.66        225.29        493.65        969.18        1.08          
75      -32.84        216.35        415.13        969.18        1.04          
76      -42.38        209.95        664.67        969.18        1.07          
77      -38.41        199.34        462.01        969.18        1.00          
78      -133.74       230.49        712.52        969.18        1.25          
79      -84.53        225.63        761.37        969.18        1.46          
80      -34.65        220.29        626.75        969.18        1.28          
81      -48.53        208.24        767.39        969.18        1.37          
82      -42.63        209.13        1027.04       975.04        1.60          
83      -74.90        218.77        1070.87       1043.39       1.43          
84      -39.70        237.65        930.78        1043.39       1.44          
85      -38.68        214.75        523.05        1043.39       1.27          
86      -35.29        227.97        712.39        1043.39       1.22          
87      -89.04        219.49        609.00        1043.39       1.14          
88      -124.97       206.61        587.90        1043.39       1.15          
89      -45.09        232.37        548.78        1043.39       1.12          
90      -37.24        215.29        947.76        1043.39       1.47          
91      -98.69        220.72        760.49        1043.39       1.30          
92      -41.51        244.72        862.13        1043.39       1.37          
93      -39.59        221.25        554.64        1043.39       1.28          
94      -98.42        210.65        836.42        1043.39       1.41          
95      -40.11        218.33        568.36        1043.39       1.11          
96      -57.43        235.97        473.87        1043.39       1.15          
97      -107.07       218.43        1043.22       1043.39       1.54          
98      -103.95       224.29        769.33        1043.39       1.36          
99      -101.58       221.42        834.94        1043.39       1.53          
100     -69.47        234.05        561.60        1043.39       1.24          
101     -40.59        216.90        609.66        1043.39       1.32          
102     -69.81        234.29        605.88        1043.39       1.27          
103     -53.61        249.80        960.31        1043.39       1.41          
104     -40.21        249.35        793.13        1043.39       1.43          
105     -102.08       239.26        814.86        1043.39       1.25          
106     -103.33       221.98        901.69        1043.39       1.47          
107     -78.87        233.70        958.04        1043.39       1.72          
108     -42.11        196.84        841.56        1043.39       1.48          
109     -96.92        217.07        1001.63       1043.39       1.60          
110     -100.97       219.39        869.56        1043.39       1.59          
111     -72.93        215.93        1069.17       1061.11       1.44          
112     -105.70       224.68        945.49        1061.11       1.56          
113     -100.73       240.74        1004.88       1061.11       1.48          
114     -101.35       244.21        1052.29       1061.11       1.62          
115     -43.42        241.03        1011.79       1061.11       1.71          
116     -53.76        228.08        991.82        1061.11       1.63          
117     -103.20       230.26        1023.17       1061.11       1.56          
118     -141.61       239.76        948.97        1061.11       1.63          
119     -58.43        267.72        1002.28       1061.11       1.71          
120     -63.56        237.08        1040.38       1061.11       1.56          
121     -86.57        226.89        1034.87       1061.11       1.72          
122     -108.96       253.83        995.79        1061.11       1.81          
123     -76.56        228.21        996.56        1061.11       1.63          
124     -106.67       231.81        988.11        1061.11       1.66          
125     -42.64        243.86        986.45        1061.11       1.72          
126     -54.08        258.18        1002.56       1061.11       1.80          
127     -101.23       241.01        1057.16       1061.11       1.87          
128     -44.87        259.54        1025.50       1061.11       1.70          
129     -90.81        269.00        1013.14       1061.11       1.75          
130     -118.77       268.90        992.25        1061.11       1.74          
131     -94.88        285.94        1011.35       1061.11       1.78          
132     -93.08        254.49        1011.04       1061.11       1.98          
133     -66.66        241.57        1072.68       1061.11       1.73          
134     -81.48        298.21        981.63        1061.11       1.77          
135     -41.58        340.50        1041.80       1061.11       2.20          
136     -105.61       278.54        1013.59       1061.11       1.82          
137     -57.10        281.14        1097.17       1061.11       1.92          
138     -58.25        269.53        1040.39       1061.11       1.84          
139     -47.21        320.46        978.15        1061.11       1.96          
140     -102.37       293.79        1011.33       1061.11       1.81          
141     -134.14       357.09        1014.91       1061.11       1.99          
142     -63.89        349.48        1043.66       1061.11       2.12          
143     -53.62        337.16        1021.80       1061.11       2.00          
144     -73.74        379.74        993.82        1061.11       2.06          
145     -51.16        330.84        1023.43       1061.11       1.87          
146     -75.33        384.43        1066.18       1061.11       2.03          
147     -64.16        414.47        1039.71       1061.11       2.13          
148     -77.76        385.46        1015.58       1061.11       2.02          
149     -50.59        395.85        1010.73       1061.11       2.09          
150     -69.19        424.10        1049.09       1061.11       2.19          
151     -72.07        426.20        1053.31       1061.11       2.04          
152     -60.65        411.92        1037.11       1061.11       2.27          
153     -73.52        402.60        1033.13       1061.11       2.11          
154     -39.63        369.29        1015.27       1061.11       2.09          
155     -79.92        420.23        1046.02       1061.11       2.18          
156     -56.24        360.69        1029.54       1061.11       2.14          
157     -35.57        439.98        1046.23       1061.11       2.07          
158     -43.39        429.28        1036.33       1061.11       2.07          
159     -33.69        485.54        1028.01       1061.11       2.21          
160     -60.61        388.64        1070.42       1061.11       2.09          
161     -41.09        413.90        1062.09       1061.11       2.10          
162     -62.82        473.45        1060.68       1061.11       2.25          
163     -42.02        463.95        1051.53       1061.11       2.18          
164     -39.25        440.76        1043.87       1061.11       2.28          
165     -40.30        521.30        1042.75       1061.11       2.32          
166     -39.39        448.98        1032.95       1061.11       2.17          
167     -41.55        460.14        1037.05       1061.11       2.23          
168     -50.04        514.01        1038.53       1061.11       2.30          
169     -33.63        494.34        1038.29       1061.11       2.32          
170     -37.89        536.88        1074.87       1061.11       2.39          
171     -41.22        510.35        1035.47       1061.11       2.43          
172     -42.29        544.45        1068.89       1061.11       2.63          
173     -47.64        574.28        1052.56       1061.11       2.59          
174     -50.22        525.32        1033.13       1061.11       2.47          
175     -38.83        508.29        1057.21       1061.11       2.34          
176     -58.57        517.38        1032.46       1061.11       2.40          
177     -28.12        548.49        1090.34       1061.11       2.50          
178     -20.98        565.69        1052.47       1061.11       2.57          
179     -35.05        594.54        1051.84       1061.11       2.56          
180     -40.97        576.47        1041.25       1061.11       2.53          
181     -70.18        545.55        1029.48       1061.11       2.62          
182     -73.98        553.26        1031.10       1061.11       2.50          
183     -57.11        635.30        1033.53       1061.11       2.67          
184     -33.41        648.11        1065.41       1070.86       2.73          
185     -33.96        593.00        1040.18       1070.86       2.57          
186     -35.35        573.64        1038.84       1070.86       2.58          
187     -24.31        619.21        1050.22       1070.86       2.69          
188     -57.87        578.52        1054.19       1070.86       2.53          
189     -41.63        613.38        1033.42       1070.86       2.61          
190     -71.71        562.70        1028.36       1070.86       2.59          
191     -31.14        638.38        1041.59       1070.86       2.71          
192     -20.43        618.95        1051.44       1070.86       2.70          
193     -25.79        681.19        1047.61       1070.86       2.68          
194     -31.03        671.58        1054.83       1070.86       2.78          
195     -20.90        648.78        1022.89       1070.86       2.67          
196     -35.12        711.33        1066.92       1070.86       2.79          
197     -18.86        669.79        1049.99       1070.86       2.86          
198     -31.08        642.87        1030.88       1070.86       2.73          
199     -30.41        683.81        1044.50       1070.86       2.69          
200     -13.34        620.33        1069.01       1070.86       2.52          
201     -29.52        641.93        1028.03       1070.86       2.67          
202     -35.01        677.86        1043.72       1070.86       3.15          
203     -33.06        631.15        1052.59       1070.86       2.68          
204     -46.74        648.38        1034.96       1070.86       2.70          
205     -40.58        609.95        1035.84       1070.86       2.55          
206     -73.46        629.97        1064.47       1070.86       2.67          
207     -86.85        671.68        1072.07       1070.86       2.88          
208     -35.49        639.06        1053.71       1070.86       2.76          
209     -48.96        670.25        1048.23       1070.86       2.98          
210     -23.60        676.09        1045.67       1070.86       2.94          
211     -28.01        710.46        1028.99       1070.86       3.14          
212     -43.17        704.52        1072.13       1070.86       2.84          
213     -24.51        720.39        1064.83       1070.86       2.93          
214     -11.65        697.10        1062.43       1070.86       2.92          
215     -26.28        683.38        1060.60       1070.86       2.91          
216     -96.55        648.28        1057.70       1070.86       2.67          
217     -16.74        689.97        1060.53       1070.86       2.81          
218     -13.38        672.01        1052.82       1070.86       2.91          
219     -15.87        737.39        1056.26       1070.86       2.95          
220     -15.78        708.51        1067.62       1070.86       2.95          
221     -27.28        747.68        1070.22       1070.86       2.85          
222     -23.68        728.08        1057.98       1070.86       2.82          
223     -12.84        710.50        1051.90       1070.86       2.82          
224     -38.08        699.12        1072.23       1070.86       2.96          
225     -24.04        703.18        1079.11       1070.86       2.75          
226     -46.49        724.44        1045.05       1070.86       3.06          
227     -20.88        728.17        1061.66       1070.86       3.03          
228     -54.48        759.37        1069.86       1070.86       2.83          
229     -40.92        743.51        1056.29       1070.86       3.00          
230     -11.72        694.98        1048.77       1070.86       2.85          
231     -40.20        747.54        1054.56       1070.86       3.15          
232     -14.52        727.70        1079.74       1070.86       2.91          
233     -28.38        713.04        1051.03       1070.86       2.89          
234     -25.51        711.48        1042.31       1070.86       2.84          
235     -18.09        759.89        1062.33       1070.86       2.95          
236     -11.35        768.81        1050.58       1070.86       2.94          
237     -26.01        741.35        1064.78       1070.86       3.06          
238     -13.44        712.97        1077.32       1070.86       2.91          
239     -62.82        758.24        1047.58       1070.86       2.90          
240     -101.98       737.65        1059.60       1070.86       2.89          
241     -17.77        729.43        1056.37       1070.86       2.86          
242     -25.71        725.14        1054.37       1070.86       2.89          
243     -16.15        744.51        1059.85       1070.86       2.94          
244     -9.42         760.23        1075.54       1070.86       3.08          
245     -18.70        709.03        1044.65       1070.86       2.85          
246     -23.68        737.36        1048.48       1070.86       2.87          
247     -33.95        758.30        1060.31       1070.86       2.95          
248     -38.66        739.54        1075.97       1070.86       2.96          
249     -12.96        769.88        1079.87       1070.86       3.16          
250     -14.53        747.04        1056.61       1070.86       3.02          
251     -12.17        769.30        1044.03       1070.86       3.09          
252     -8.28         788.70        1059.39       1070.86       3.03          
253     -34.55        759.01        1032.01       1070.86       3.02          
254     -40.18        757.15        1074.11       1070.86       2.83          
255     -14.34        748.47        1074.90       1070.86       3.04          
256     -22.39        770.47        1071.20       1070.86       3.04          
257     -28.01        778.30        1090.48       1070.86       2.94          
258     -18.53        793.60        1061.68       1070.86       3.22          
259     -43.43        774.20        1065.59       1070.86       2.98          
260     -32.50        750.41        1041.23       1070.86       2.88          
261     -32.45        800.19        1084.84       1070.86       3.03          
262     -91.12        778.02        1078.52       1070.86       3.13          
263     -39.99        797.21        1079.23       1070.86       2.99          
264     -3.47         792.92        1075.90       1070.86       3.02          
265     -26.94        782.01        1066.01       1070.86       2.99          
266     -14.94        793.70        1054.97       1070.86       2.94          
267     -27.14        811.02        1084.51       1070.86       3.16          
268     -3.13         795.44        1073.47       1070.86       3.02          
269     -66.79        826.74        1057.26       1070.86       3.22          
270     -39.50        776.80        1076.88       1070.86       2.92          
271     -63.82        812.62        1068.00       1070.86       3.04          
272     -34.55        799.92        1053.59       1070.86       3.00          
273     -7.21         808.46        1079.69       1070.86       3.00          
274     -11.64        793.39        1051.38       1070.86       3.08          
275     -36.26        775.09        1068.48       1070.86       3.10          
276     -59.07        800.68        1078.42       1070.86       3.17          
277     -15.01        838.53        1048.06       1070.86       3.13          
278     -26.86        819.73        1066.84       1070.86       3.14          
279     -13.02        811.01        1051.59       1070.86       2.93          
280     -18.96        763.25        1052.31       1070.86       2.84          
281     -70.41        799.18        1072.73       1070.86       3.22          
282     -68.75        814.70        1069.12       1070.86       3.16          
283     -26.64        817.90        1075.36       1070.86       3.16          
284     -66.75        784.78        1080.72       1070.86       2.95          
285     -49.89        825.64        1059.59       1070.86       3.01          
286     -23.25        814.17        1056.30       1070.86       3.12          
287     9.47          832.63        1054.05       1070.86       3.11          
288     -32.47        829.03        1071.21       1070.86       3.05          
289     -36.14        823.91        1079.54       1070.86       2.93          
290     -23.15        813.55        1063.73       1070.86       2.92          
291     -32.64        826.96        1065.10       1070.86       3.18          
292     -84.02        809.69        1070.48       1070.86       3.12          
293     1.92          835.82        1068.66       1070.86       3.14          
294     8.24          819.01        1072.22       1070.86       3.14          
295     -57.54        817.75        1058.73       1070.86       3.07          
296     -42.42        818.87        1075.20       1070.86       3.22          
297     -29.93        820.46        1074.81       1070.86       3.16          
298     -28.89        829.85        1060.53       1070.86       3.15          
299     -89.65        825.48        1053.53       1070.86       3.04          
300     29.07         826.34        1059.28       1070.86       2.96          
301     -60.37        836.97        1074.68       1070.86       3.10          
302     -48.55        825.11        1074.50       1070.86       3.18          
303     -48.32        857.83        1056.99       1070.86       3.21          
304     -5.77         844.47        1056.52       1070.86       3.06          
305     -14.81        855.98        1078.23       1075.73       3.05          
306     -69.19        849.13        1085.15       1075.73       3.19          
307     15.75         854.07        1084.06       1075.73       3.09          
308     -33.19        844.44        1087.46       1075.73       3.03          
309     13.11         857.02        1088.05       1075.73       3.14          
310     -37.22        848.98        1057.67       1075.73       3.08          
311     52.85         885.23        1047.99       1075.73       3.23          
312     -3.69         867.33        1059.57       1075.73       3.26          
313     -21.19        881.88        1074.52       1075.73       3.24          
314     -27.01        841.68        1040.39       1075.73       3.21          
315     317.62        898.19        1061.41       1075.73       3.26          
316     -48.30        911.67        1058.51       1075.73       3.33          
