experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
brain
	type: ELMANNN
	hidden_layer_structure: [10]
	use_bias: False
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
elapsed_time: 5065.794352054596

Genome Size: 240
Free Parameters: {'layer 0': {'input_weight_matrix': 110, 'hidden_weight_matrix': 100}, 'output_weight_matrix': 30}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.81         14.70         185.30        123.41        17.25         
1       -2.36         14.44         156.33        140.23        0.44          
2       -1.87         14.56         133.97        168.21        0.52          
3       -1.73         19.83         237.31        245.93        0.67          
4       -2.64         14.06         164.28        245.93        0.52          
5       -2.04         17.85         181.36        245.93        0.50          
6       -1.11         20.96         275.56        245.93        0.63          
7       -1.85         23.88         216.54        245.93        0.60          
8       -0.63         29.22         244.17        245.93        0.62          
9       -1.06         30.86         214.87        245.93        0.51          
10      0.43          41.98         475.89        597.41        0.73          
11      -0.33         42.82         259.74        597.41        0.46          
12      -2.34         49.98         303.26        597.41        0.62          
13      -2.08         53.59         443.09        597.41        0.57          
14      -1.56         61.97         335.49        597.41        0.48          
15      0.19          63.89         380.73        597.41        0.55          
16      -0.73         66.86         641.19        687.24        0.85          
17      -0.79         70.51         299.19        687.24        0.48          
18      -0.36         71.30         425.75        687.24        0.67          
19      -3.17         79.63         360.28        687.24        0.57          
20      0.51          81.21         313.84        687.24        0.54          
21      1.47          92.01         556.58        687.24        0.76          
22      -1.83         101.45        568.69        687.24        0.81          
23      -0.91         97.29         634.77        687.24        0.63          
24      1.00          108.62        415.49        687.24        0.54          
25      -0.51         115.09        730.39        687.24        0.84          
26      0.73          118.58        597.52        687.24        0.66          
27      -3.33         115.03        447.99        687.24        0.84          
28      -1.57         118.04        436.10        687.24        0.71          
29      -2.86         135.08        657.51        687.24        0.85          
30      -1.73         141.11        712.53        687.24        0.78          
31      -0.64         134.59        427.43        687.24        0.63          
32      1.75          138.76        792.82        799.62        0.88          
33      -3.60         129.41        645.45        799.62        0.76          
34      -6.25         146.46        670.71        799.62        0.90          
35      4.47          155.02        514.87        799.62        0.77          
36      -4.82         137.70        684.98        799.62        0.93          
37      3.23          154.43        706.84        799.62        0.94          
38      1.46          153.75        705.82        799.62        1.01          
39      -8.58         163.22        810.37        799.62        1.12          
40      -7.36         165.16        751.21        799.62        1.01          
41      -14.66        169.37        842.41        799.62        1.09          
42      -6.34         189.03        744.98        799.62        1.10          
43      8.49          185.44        820.10        799.62        1.21          
44      -3.16         166.69        807.89        799.62        1.14          
45      -4.35         186.67        833.42        799.62        1.12          
46      -11.60        166.59        777.82        799.62        1.17          
47      -12.50        170.02        805.59        799.62        1.13          
48      -64.45        191.45        601.20        799.62        1.08          
49      -2.01         206.48        781.27        799.62        1.31          
50      -5.64         170.92        745.74        799.62        1.26          
51      -13.23        186.16        688.89        799.62        1.27          
52      -14.98        187.66        718.59        799.62        1.25          
53      -15.97        168.20        851.18        837.46        1.38          
54      -9.19         160.79        654.96        837.46        1.21          
55      -14.90        189.60        679.15        837.46        1.28          
56      -17.59        177.36        622.93        837.46        1.22          
57      -5.54         183.17        694.22        837.46        1.24          
58      -29.58        201.24        774.80        837.46        1.28          
59      -10.58        162.32        781.30        837.46        1.34          
60      -29.86        185.49        760.83        837.46        1.35          
61      -0.78         219.85        797.46        837.46        1.33          
62      -19.23        185.27        759.96        837.46        1.36          
63      -109.91       205.80        721.59        837.46        1.36          
64      -28.97        224.46        732.40        837.46        1.44          
65      -31.71        227.24        744.15        837.46        1.52          
66      -30.70        222.82        762.97        837.46        1.51          
67      -10.85        216.72        773.68        837.46        1.37          
68      -12.09        225.81        838.31        837.46        1.40          
69      -7.17         229.76        834.52        837.46        1.47          
70      1.48          175.24        727.93        837.46        1.31          
71      -1.18         238.52        775.02        837.46        1.43          
72      -5.48         216.18        799.04        837.46        1.34          
73      -7.38         207.63        784.40        837.46        1.33          
74      -13.69        204.20        812.31        837.46        1.46          
75      -22.80        246.75        743.80        837.46        1.48          
