experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: False
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
elapsed_time: 4108.182422161102

Genome Size: 360
Free Parameters: {'layer 0': {'input_weight_matrix': 255, 'hidden_weight_matrix': 75}, 'output_weight_matrix': 30}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -21320.37     -10991.01     -3627.33      -4942.18      17.72         
1       -23270.65     -10377.79     -3814.78      -4139.53      1.58          
2       -21963.85     -9826.21      -3932.33      -4139.53      1.60          
3       -22010.98     -8681.80      -2481.59      -2630.12      1.69          
4       -23905.79     -8823.92      -3077.73      -2630.12      1.62          
5       -19902.68     -8420.99      -1792.89      -2110.82      1.64          
6       -22477.27     -8598.05      -3756.33      -2110.82      1.60          
7       -21184.90     -8290.20      -2776.79      -2110.82      1.64          
8       -17239.85     -8003.22      -2546.61      -2110.82      1.63          
9       -17019.10     -8010.71      -3356.16      -2110.82      1.59          
10      -16647.60     -7870.34      -3181.24      -2110.82      1.61          
11      -14860.66     -7148.45      -2180.94      -2110.82      1.62          
12      -15784.99     -7194.86      -1899.87      -2110.82      1.63          
13      -21752.08     -7239.24      -2116.21      -1998.40      1.58          
14      -18990.28     -6782.15      -2532.84      -1998.40      1.61          
15      -15888.97     -6848.57      -2608.99      -1998.40      1.61          
16      -16186.00     -6867.55      -2145.56      -1998.40      1.62          
17      -13659.50     -6716.08      -2520.55      -1998.40      1.63          
18      -14937.26     -6875.90      -1802.25      -1998.40      1.63          
19      -15459.56     -6589.36      -2258.25      -1998.40      1.59          
20      -16275.11     -7065.44      -2735.42      -1998.40      1.61          
21      -18582.86     -7042.37      -1887.26      -1998.40      1.69          
22      -18687.24     -6937.80      -2341.03      -1998.40      1.62          
23      -18421.77     -6706.72      -1909.16      -1998.40      1.67          
24      -16605.77     -6946.17      -2238.93      -1998.40      1.64          
25      -14935.30     -6668.78      -1589.69      -1998.40      1.64          
26      -18592.19     -7224.04      -1689.72      -1653.48      1.68          
27      -16120.90     -6676.62      -2119.39      -1653.48      1.62          
28      -16046.04     -6849.24      -2250.33      -1653.48      1.63          
29      -15932.26     -6960.84      -2120.61      -1653.48      1.63          
30      -17702.17     -7141.39      -1174.34      -1653.48      1.68          
31      -18397.85     -6706.00      -1597.67      -1190.04      1.64          
32      -17731.76     -6746.26      -2119.63      -1190.04      1.69          
33      -18433.30     -6667.41      -1327.31      -1190.04      1.63          
34      -15604.58     -6811.59      -2152.90      -1190.04      1.64          
35      -16899.46     -6812.99      -1419.28      -1190.04      1.66          
36      -15956.65     -7023.45      -1729.86      -1190.04      1.66          
37      -16279.14     -6557.26      -846.08       -1190.04      1.62          
38      -21044.92     -7075.65      -2337.16      -1190.04      1.64          
39      -14672.19     -6877.82      -1580.18      -1190.04      1.66          
40      -15484.70     -6427.12      -2032.30      -1190.04      1.69          
41      -17691.23     -6489.99      -1472.86      -1190.04      1.66          
42      -21426.23     -6723.07      -1611.07      -1190.04      1.65          
43      -17857.66     -6562.02      -1556.72      -1190.04      1.65          
44      -15267.30     -6407.13      -756.21       -1190.04      1.71          
45      -18299.58     -6638.15      -1438.03      -1190.04      1.66          
46      -13431.40     -6093.55      -955.51       -1190.04      1.66          
47      -19188.06     -6295.46      -2041.00      -1190.04      1.64          
48      -20473.07     -6525.00      -1435.06      -1190.04      1.71          
49      -16503.13     -6175.68      -1912.34      -1190.04      1.71          
50      -14313.07     -6076.32      -1581.08      -1190.04      1.66          
51      -16832.34     -6123.58      -882.21       -1190.04      1.64          
52      -14598.26     -5770.04      -1368.89      -1190.04      1.69          
53      -13418.10     -5580.86      -948.04       -1190.04      1.71          
54      -16617.97     -6130.79      -1410.92      -1190.04      1.69          
55      -13027.63     -5516.31      -1585.60      -1190.04      1.73          
56      -14979.61     -5641.03      -1416.81      -1190.04      1.65          
57      -19796.66     -5743.88      -1299.14      -1190.04      1.70          
58      -19340.82     -5899.33      -969.99       -1190.04      1.70          
59      -14035.75     -5703.89      -1013.89      -1090.22      1.66          
60      -14852.62     -5688.59      -1053.09      -1090.22      1.68          
61      -13520.55     -5670.42      -2162.34      -1090.22      1.70          
62      -16909.75     -5866.89      -1102.35      -1090.22      1.71          
63      -17332.53     -5951.08      -665.57       -972.46       1.68          
64      -15173.77     -6026.42      -1150.03      -972.46       1.70          
65      -13183.38     -5834.79      -1471.38      -972.46       1.70          
66      -17196.69     -5874.22      -1163.04      -972.46       1.67          
67      -15564.68     -5811.43      -1234.21      -972.46       1.74          
68      -12690.70     -5604.57      -1204.07      -972.46       1.68          
69      -15089.41     -5538.39      -1608.64      -972.46       1.69          
70      -14986.94     -5570.16      -424.33       -972.46       1.67          
71      -16898.04     -5700.59      -1255.04      -972.46       1.69          
72      -12194.36     -5606.80      -1688.28      -972.46       1.69          
73      -12126.82     -5342.11      -1039.85      -972.46       1.66          
74      -16137.68     -5496.91      -1062.36      -972.46       1.74          
75      -20764.88     -5579.38      -811.89       -928.53       1.69          
76      -14992.34     -5821.12      -546.58       -928.53       1.70          
77      -17784.16     -5692.33      -835.10       -928.53       1.69          
78      -13480.07     -5558.74      -1246.79      -928.53       1.69          
79      -14878.26     -5282.91      -1155.84      -928.53       1.70          
80      -19325.03     -5554.18      -1343.84      -928.53       1.75          
81      -14003.23     -5352.06      -917.93       -928.53       1.70          
82      -12324.01     -5147.70      -560.32       -640.73       1.66          
83      -22118.21     -5493.94      -576.64       -552.89       1.75          
84      -22771.92     -5461.53      -914.66       -552.89       1.70          
85      -16908.60     -5533.60      -1162.53      -552.89       1.75          
86      -14754.25     -5555.73      -1253.32      -552.89       1.71          
87      -14838.81     -5323.02      -1314.25      -552.89       1.71          
88      -15442.11     -5235.55      -1398.37      -552.89       1.69          
89      -14194.92     -5019.77      -1107.21      -552.89       1.72          
90      -12335.92     -5001.67      -914.38       -552.89       1.69          
91      -13558.12     -5032.27      -669.50       -552.89       1.67          
92      -14571.84     -4907.63      -1035.53      -552.89       1.68          
93      -14175.08     -4794.59      -675.14       -552.89       1.72          
94      -14063.83     -4917.68      -661.77       -552.89       1.66          
95      -14472.97     -5016.73      -715.41       -552.89       1.75          
96      -13221.48     -5123.25      -493.92       -552.89       1.74          
97      -15963.75     -5025.93      -738.95       -552.89       1.70          
98      -17609.93     -4846.27      -779.98       -552.89       1.71          
99      -13654.68     -4871.94      -833.31       -552.89       1.71          
100     -10399.47     -4835.32      -1457.83      -552.89       1.68          
101     -14307.81     -4757.61      -593.25       -552.89       1.72          
102     -13076.36     -5149.21      -991.00       -552.89       1.70          
103     -14371.83     -5076.72      -990.55       -552.89       1.71          
104     -11300.22     -4758.80      -1252.27      -552.89       1.70          
105     -15129.78     -4875.89      -1067.10      -552.89       1.77          
106     -18423.28     -5080.90      -883.87       -552.89       1.69          
107     -12766.51     -4696.90      -686.19       -552.89       1.70          
108     -17284.46     -4933.19      -802.97       -552.89       1.72          
109     -12263.07     -4447.10      -800.63       -552.89       1.71          
110     -12474.83     -4475.66      -727.47       -552.89       1.72          
111     -15198.03     -4589.34      -719.77       -552.89       1.70          
112     -15671.35     -4462.61      -816.34       -552.89       1.71          
113     -12792.37     -4381.42      -617.25       -552.89       1.74          
114     -12500.08     -4454.00      -873.06       -552.89       1.70          
115     -15590.08     -4544.96      -558.65       -552.89       1.69          
116     -13958.53     -4355.56      -1141.96      -552.89       1.76          
117     -11050.15     -4170.90      -802.45       -552.89       1.70          
118     -11453.95     -4358.70      -535.89       -552.89       1.70          
119     -12417.58     -4438.38      -779.53       -552.89       1.72          
120     -12480.67     -4667.94      -1033.10      -552.89       1.70          
121     -13181.08     -4175.32      -716.17       -552.89       1.70          
122     -17163.06     -4217.12      -504.99       -552.89       1.70          
123     -16126.52     -4384.69      -1066.02      -552.89       1.74          
124     -12226.01     -4272.11      -783.67       -552.89       1.74          
125     -12877.65     -4104.74      -778.54       -552.89       1.69          
126     -10009.00     -3920.58      -491.58       -546.42       1.75          
127     -13754.75     -4096.42      -348.98       -437.05       1.72          
128     -9919.91      -3894.57      -411.84       -437.05       1.72          
129     -12990.97     -4104.14      -817.54       -437.05       1.69          
130     -13148.99     -4147.67      -615.02       -437.05       1.71          
131     -17382.87     -4164.46      -570.23       -437.05       1.75          
132     -12571.05     -3903.00      -819.13       -437.05       1.73          
133     -12289.15     -3726.76      -966.80       -437.05       1.72          
134     -13450.30     -4042.09      -701.52       -437.05       1.72          
135     -9232.99      -4082.50      -509.23       -437.05       1.72          
136     -11538.42     -4154.39      -608.45       -437.05       1.75          
137     -12150.28     -3953.15      -610.65       -437.05       1.73          
138     -12043.98     -3911.33      -625.18       -437.05       1.72          
139     -12436.18     -4069.58      -550.59       -437.05       1.75          
140     -13570.63     -4081.10      -474.29       -437.05       1.74          
141     -11151.90     -3686.57      -757.54       -437.05       1.77          
142     -9940.09      -3884.89      -293.20       -299.69       1.74          
143     -13771.50     -4018.98      -550.14       -299.69       1.73          
144     -12427.03     -3822.03      -163.18       -299.69       1.81          
145     -13735.22     -4046.82      -814.93       -299.69       1.72          
146     -11753.27     -3658.71      -692.20       -299.69       1.77          
147     -10948.98     -3632.40      -835.59       -299.69       1.71          
148     -14647.64     -3785.81      -455.13       -299.69       1.75          
149     -9495.74      -3635.38      -710.19       -299.69       1.75          
150     -9920.78      -3553.37      -449.87       -299.69       1.73          
151     -11823.38     -3700.47      -507.91       -299.69       1.77          
152     -15389.88     -3671.44      -260.79       -204.01       1.75          
153     -7944.89      -3528.39      -764.42       -204.01       1.75          
154     -11767.09     -3826.73      -336.57       -204.01       1.77          
155     -11577.69     -3534.76      -446.60       -204.01       1.75          
156     -9714.70      -3683.58      -500.25       -204.01       1.78          
157     -14057.99     -3804.97      -497.49       -204.01       1.75          
158     -9911.51      -3653.39      -592.82       -204.01       1.72          
159     -12390.88     -3698.68      -560.90       -204.01       1.75          
160     -8682.36      -3548.29      -461.75       -204.01       1.71          
161     -19102.03     -3714.52      -623.14       -204.01       1.72          
162     -9031.76      -3764.36      -684.97       -204.01       1.76          
163     -9992.06      -3928.16      -436.81       -204.01       1.73          
164     -10982.09     -3814.22      -498.62       -204.01       1.80          
165     -11704.47     -3693.92      -894.39       -204.01       1.71          
166     -10097.12     -3769.34      -824.75       -204.01       1.73          
