experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
elapsed_time: 5538.980269670486

Genome Size: 250
Free Parameters: {'V': 110, 'W': 100, 'T': 30, 'x_0': 10}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.62         10.85         116.14        116.16        16.95         
1       -1.67         12.38         120.68        126.90        0.40          
2       -1.38         9.74          120.15        126.90        0.49          
3       -0.62         13.50         199.14        241.38        0.74          
4       -1.43         12.33         211.11        241.38        0.48          
5       -1.38         12.90         217.72        241.38        0.69          
6       -1.42         15.89         143.43        241.38        0.53          
7       -1.33         21.22         210.23        309.51        0.65          
8       -1.30         18.91         151.05        309.51        0.53          
9       -0.90         19.29         125.53        309.51        0.47          
10      -1.70         23.75         171.03        309.51        0.43          
11      -1.53         30.63         187.71        309.51        0.46          
12      -1.63         37.51         211.83        309.51        0.49          
13      -0.77         31.54         176.82        309.51        0.46          
14      -0.32         41.45         189.26        309.51        0.46          
15      -1.31         40.30         252.58        309.51        0.47          
16      -1.64         42.70         189.89        309.51        0.46          
17      -0.94         45.03         218.10        309.51        0.45          
18      -1.21         48.66         1018.35       1018.74       1.25          
19      0.45          61.33         436.55        1018.74       0.57          
20      -1.04         59.32         1013.31       1018.74       1.11          
21      -1.10         58.09         231.11        1018.74       0.50          
22      -1.52         61.21         1020.79       1021.71       1.23          
23      -1.02         68.70         404.86        1021.71       0.86          
24      -0.94         66.71         301.89        1021.71       0.47          
25      0.14          71.88         308.06        1021.71       0.50          
26      -0.60         73.39         232.69        1021.71       0.50          
27      -0.58         84.27         284.54        1021.71       0.51          
28      -1.47         81.66         265.99        1021.71       0.50          
29      -1.71         82.74         678.13        1021.71       0.87          
30      -1.23         69.54         353.63        1021.71       0.53          
31      -1.45         77.55         316.10        1021.71       0.56          
32      -1.68         82.11         390.33        1021.71       0.65          
33      4.03          100.85        1004.75       1021.71       1.33          
34      -1.21         86.82         300.12        1021.71       0.55          
35      3.86          96.17         379.05        1021.71       0.55          
36      1.70          110.08        435.67        1021.71       0.83          
37      1.61          113.23        386.48        1021.71       0.75          
38      2.33          111.23        777.41        1021.71       0.98          
39      1.57          118.67        901.43        1021.71       0.95          
40      3.88          124.21        616.71        1021.71       0.80          
41      -0.70         138.16        734.41        1021.71       1.00          
42      6.09          132.95        759.10        1021.71       0.93          
43      -1.34         124.93        491.81        1021.71       0.61          
44      3.98          140.00        410.88        1021.71       0.57          
45      0.65          135.00        765.23        1021.71       0.94          
46      7.32          127.72        627.99        1021.71       0.93          
47      8.40          143.65        595.65        1021.71       0.71          
48      1.10          142.62        424.13        1021.71       0.62          
49      1.48          164.68        1023.55       1021.71       1.22          
50      7.28          185.75        1027.92       1021.71       1.17          
51      -1.15         174.20        991.36        1021.71       1.21          
52      0.93          165.16        1004.55       1021.71       1.16          
53      5.36          174.13        1041.42       1021.71       0.97          
54      6.13          205.34        993.04        1021.71       1.24          
55      3.55          198.64        1017.29       1021.71       1.19          
56      2.16          194.01        839.85        1021.71       1.06          
57      -0.60         210.53        989.36        1021.71       1.27          
58      2.22          195.55        1016.03       1021.71       1.22          
59      1.96          245.69        1011.84       1021.71       1.20          
60      3.81          237.83        1016.40       1021.71       1.33          
61      2.62          227.09        1077.65       1021.71       1.25          
62      10.47         247.15        1056.16       1031.85       1.30          
63      -1.66         240.12        1013.06       1031.85       1.33          
64      7.35          236.13        1008.03       1031.85       1.14          
65      10.07         240.69        1047.54       1031.85       1.24          
66      6.12          276.80        1133.68       1031.85       1.42          
67      6.23          257.59        1032.64       1031.85       1.35          
68      8.32          332.49        1052.93       1031.85       1.46          
69      7.37          312.78        1047.59       1031.85       1.39          
70      7.96          324.44        1028.05       1031.85       1.38          
71      9.82          364.51        1057.62       1031.85       1.59          
72      8.20          345.21        1069.01       1032.31       1.64          
73      9.39          337.82        1016.14       1032.31       1.45          
74      3.65          335.17        1094.47       1048.33       1.42          
75      4.86          380.79        1046.07       1048.33       1.65          
76      4.52          348.45        1054.39       1048.33       1.41          
77      9.03          379.24        1074.91       1048.33       1.52          
78      6.98          442.58        1050.23       1048.33       1.66          
79      3.08          414.74        1066.98       1048.33       1.58          
80      9.01          464.16        1075.48       1048.33       1.75          
81      6.39          468.54        1086.76       1048.33       1.83          
82      16.17         461.79        1065.96       1048.33       1.70          
83      9.55          431.64        1050.36       1048.33       1.65          
84      7.94          437.41        1085.14       1048.33       1.72          
85      11.66         459.64        1062.45       1059.15       1.61          
86      1.98          481.93        1075.06       1059.15       1.78          
87      6.08          483.15        1072.62       1059.15       1.69          
88      9.80          451.11        1084.28       1059.15       1.73          
89      19.50         563.01        1096.14       1059.15       1.94          
90      20.08         560.42        1124.00       1059.15       1.88          
91      9.28          538.23        1096.05       1059.15       1.83          
92      18.95         592.79        1092.59       1059.15       2.16          
93      11.16         560.32        1078.99       1059.15       1.85          
94      18.93         580.98        1134.80       1059.15       1.99          
95      41.23         617.21        1086.32       1059.15       1.99          
96      49.04         586.98        1065.92       1059.15       1.94          
97      22.50         639.40        1074.02       1074.72       2.04          
98      8.12          632.33        1116.01       1074.72       2.00          
99      9.03          596.86        1076.18       1074.72       1.90          
100     24.83         579.38        1133.22       1074.72       1.91          
101     20.11         617.94        1119.33       1074.72       1.91          
102     14.04         582.01        1102.74       1074.72       1.94          
103     8.59          652.95        1114.57       1103.19       2.13          
104     50.18         657.79        1097.71       1103.19       2.05          
105     10.03         580.88        1093.51       1103.19       1.96          
106     51.82         674.45        1075.08       1103.19       2.01          
107     20.93         664.38        1111.87       1103.19       2.15          
108     58.97         615.41        1093.03       1103.19       1.85          
109     12.32         684.36        1090.24       1103.19       2.09          
110     33.14         667.68        1099.64       1103.19       2.28          
111     76.14         695.84        1132.26       1103.19       2.23          
112     51.57         708.03        1082.34       1103.19       2.15          
113     60.05         725.11        1121.90       1103.19       2.36          
114     48.76         770.91        1164.69       1103.19       2.26          
115     73.37         764.34        1164.35       1103.19       2.17          
116     49.26         647.64        1087.38       1103.19       2.03          
117     18.47         721.56        1098.78       1103.19       2.09          
118     65.37         701.61        1107.30       1103.19       2.07          
119     68.34         664.95        1145.00       1103.19       2.09          
120     78.34         729.98        1114.89       1103.19       2.13          
121     51.95         756.71        1108.65       1103.19       2.27          
122     13.73         699.84        1112.90       1103.19       2.04          
123     45.92         694.15        1101.79       1103.19       2.01          
124     51.17         694.76        1103.90       1103.19       2.19          
125     36.90         674.35        1155.23       1103.19       2.03          
126     75.44         742.62        1102.33       1103.19       2.08          
127     45.78         717.67        1098.76       1103.19       2.12          
128     63.38         768.21        1133.26       1103.19       2.26          
129     68.05         732.29        1137.46       1103.19       2.18          
130     49.23         741.77        1130.14       1103.19       2.06          
131     55.23         733.43        1124.66       1103.19       2.09          
132     41.54         726.12        1265.36       1167.98       2.06          
133     50.62         793.57        1134.29       1167.98       2.28          
134     60.27         769.29        1139.42       1167.98       2.22          
135     45.58         791.64        1151.26       1167.98       2.24          
136     89.41         762.61        1161.89       1167.98       2.19          
137     90.88         766.44        1177.19       1167.98       2.14          
138     105.60        771.90        1170.47       1167.98       2.01          
139     55.45         750.06        1134.82       1167.98       2.18          
140     59.81         782.26        1240.92       1167.98       2.25          
141     74.84         790.79        1176.13       1167.98       2.13          
142     177.13        856.97        1239.20       1167.98       2.22          
143     39.67         796.49        1202.67       1167.98       2.30          
144     53.23         818.04        1284.09       1167.98       2.22          
145     50.47         783.96        1213.45       1167.98       2.30          
146     60.88         834.22        1279.67       1167.98       2.32          
147     56.02         853.11        1189.73       1167.98       2.24          
148     53.73         826.07        1289.15       1223.44       2.21          
149     47.65         819.37        1300.35       1223.44       2.25          
150     59.52         779.78        1236.24       1223.44       2.26          
151     75.26         797.25        1329.07       1223.44       2.14          
152     88.92         817.44        1265.29       1223.44       2.22          
153     126.18        830.34        1342.19       1223.44       2.22          
154     39.74         766.44        1286.69       1223.44       2.03          
155     85.41         826.20        1269.27       1223.44       2.17          
156     47.89         843.25        1282.13       1267.42       2.22          
157     94.30         806.71        1255.38       1267.42       2.12          
158     42.25         791.56        1287.09       1267.42       2.14          
159     38.03         803.35        1382.51       1267.42       2.21          
160     50.75         798.98        1364.23       1267.42       1.97          
161     39.55         735.65        1483.33       1267.42       2.10          
162     61.90         795.31        1352.89       1338.58       2.03          
163     28.55         813.74        1370.89       1338.58       2.12          
164     67.64         791.67        1305.63       1338.58       1.96          
165     49.72         790.27        1371.51       1338.58       1.98          
166     55.12         855.58        1488.60       1338.58       2.09          
167     48.68         848.56        1375.36       1338.58       2.02          
168     84.13         810.16        1351.55       1338.58       2.09          
169     53.37         825.11        1332.26       1338.58       1.97          
170     64.77         783.05        1451.69       1338.58       1.98          
171     83.98         898.78        1512.43       1338.58       2.14          
172     48.55         870.72        1393.33       1338.58       2.25          
173     52.31         861.25        1549.21       1483.43       2.07          
174     59.57         844.19        1467.91       1483.43       2.13          
175     75.16         820.12        1486.13       1483.43       1.92          
176     75.12         868.74        1445.75       1483.43       2.10          
177     46.83         819.33        1459.37       1483.43       1.98          
178     37.08         833.73        1467.67       1483.43       1.88          
179     67.40         841.46        1443.11       1483.43       1.96          
180     121.89        838.17        1609.02       1483.43       2.01          
181     77.52         863.94        1460.79       1483.43       2.15          
182     35.93         825.11        1465.85       1483.43       1.93          
183     121.56        832.02        1490.23       1483.43       1.78          
184     108.31        798.17        1599.90       1483.43       1.88          
185     76.33         808.31        1588.32       1483.43       1.98          
186     88.38         838.26        1585.17       1483.43       2.02          
187     33.99         775.67        1525.83       1483.43       1.80          
188     70.94         802.12        1546.79       1483.43       1.84          
189     47.27         799.56        1870.83       1515.21       2.00          
190     112.35        845.11        1468.92       1515.21       1.92          
191     112.52        831.97        1642.75       1515.21       1.95          
192     80.43         851.48        1790.99       1515.21       1.91          
193     70.57         796.10        1683.90       1515.21       1.89          
194     85.79         773.99        1508.95       1515.21       1.80          
195     54.37         788.77        1564.04       1515.21       1.94          
196     52.78         788.55        1593.35       1515.21       1.72          
197     59.73         792.42        1689.39       1515.21       1.92          
198     66.74         759.24        1584.85       1515.21       1.78          
199     50.31         752.86        1601.05       1515.21       1.83          
200     37.36         851.87        1721.49       1515.21       1.91          
201     94.70         858.59        1800.85       1515.21       1.94          
202     112.04        923.33        1773.16       1515.21       2.10          
