experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: LSTMNN
	hidden_layer_structure: [10]
	use_bias: False
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 4799.026726722717

Genome Size: 1140
Free Parameters: {'layer 0': {'input_weight_matrix': 680, 'hidden_weight_matrix': 400}, 'output_weight_matrix': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -719.38       -231.45       207.08        181.79        18.34         
1       -804.69       -234.49       220.35        182.49        1.93          
2       -792.32       -226.28       477.26        455.98        1.92          
3       -763.44       -221.56       156.61        455.98        2.02          
4       -844.84       -198.07       258.75        455.98        1.96          
5       -756.84       -201.66       238.53        455.98        1.92          
6       -887.95       -172.19       198.26        455.98        2.06          
7       -877.26       -171.71       581.22        455.98        1.95          
8       -612.11       -133.08       430.33        455.98        2.07          
9       -607.44       -131.06       225.52        455.98        2.01          
10      -768.28       -135.41       284.51        455.98        1.93          
11      -662.14       -106.94       418.16        455.98        2.03          
12      -785.36       -93.70        588.29        534.17        2.02          
13      -771.63       -93.50        503.05        712.58        1.97          
14      -515.31       -65.15        495.16        712.58        1.95          
15      -609.69       -52.36        704.18        712.58        1.91          
16      -548.72       -56.98        529.67        712.58        1.95          
17      -615.04       -11.11        588.40        712.58        1.93          
18      -947.76       10.82         588.04        712.58        1.96          
19      -436.39       -11.09        558.01        712.58        1.92          
20      -450.85       10.84         657.01        712.58        1.98          
21      -494.54       12.90         617.46        712.58        1.99          
22      -347.31       79.22         652.29        712.58        1.96          
23      -482.30       57.49         646.04        712.58        1.93          
24      -471.66       89.96         584.31        712.58        1.95          
25      -478.59       88.10         712.83        712.58        1.92          
26      -569.06       116.74        661.04        712.58        1.92          
27      -545.62       103.63        736.80        712.58        1.97          
28      -490.57       126.86        736.69        712.58        1.95          
29      -429.82       124.76        976.27        712.58        1.91          
30      -528.95       121.68        753.81        775.28        1.92          
31      -523.70       139.55        777.80        846.72        1.91          
32      -766.51       185.61        705.12        846.72        1.92          
33      -630.85       173.11        743.06        846.72        1.93          
34      -407.42       207.97        1032.19       959.84        1.94          
35      -541.25       209.04        756.78        959.84        1.94          
36      -480.15       253.34        911.11        959.84        1.93          
37      -542.54       212.74        852.38        959.84        1.93          
38      -544.51       227.87        892.58        959.84        1.91          
39      -553.59       238.66        788.38        959.84        1.92          
40      -652.25       250.52        955.78        959.84        1.91          
41      -402.34       270.16        978.30        1159.90       1.89          
42      -624.88       320.34        1043.93       1159.90       1.91          
43      -384.41       311.73        1052.65       1159.90       1.95          
44      -791.68       326.94        952.13        1159.90       1.91          
45      -424.57       333.85        927.05        1159.90       1.96          
46      -420.96       359.18        1024.45       1159.90       1.95          
47      -592.50       349.76        1026.35       1159.90       1.94          
48      -519.17       392.81        1129.78       1159.90       1.95          
49      -445.59       359.77        1038.15       1159.90       1.96          
50      -959.03       375.02        954.45        1159.90       1.90          
51      -451.34       403.88        985.99        1159.90       1.90          
52      -487.36       410.05        1120.50       1159.90       1.92          
53      -327.58       416.17        951.30        1159.90       1.97          
54      -516.98       424.02        1083.20       1159.90       1.97          
55      -555.20       465.60        1051.08       1159.90       1.94          
56      -342.82       490.91        1073.55       1159.90       1.93          
57      -233.60       429.06        1044.87       1159.90       2.00          
58      -324.62       435.33        1105.90       1159.90       1.92          
59      -265.96       469.00        1114.80       1164.68       1.93          
60      -357.74       473.58        1100.93       1164.68       1.91          
61      -1216.00      474.59        1128.40       1164.68       1.92          
62      -272.54       481.75        1233.65       1164.68       1.94          
63      -480.72       478.21        1334.91       1330.34       1.95          
64      -299.58       525.39        1121.24       1330.34       1.95          
65      -1052.03      456.57        1209.96       1330.34       1.94          
66      -688.88       528.56        1115.35       1330.34       1.96          
