experiment_id: 3
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
brain
	type: ELMANNN
	hidden_layer_structure: [10]
	use_bias: False
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
elapsed_time: 11038.673238277435

Genome Size: 330
Free Parameters: {'layer 0': {'input_weight_matrix': 170, 'hidden_weight_matrix': 100}, 'output_weight_matrix': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -3808.43      -1523.49      -560.59       -790.61       9.33          
1       -3635.28      -1368.02      18.68         -0.86         4.49          
2       -4909.28      -1314.59      -301.95       -0.86         4.57          
3       -3741.74      -1274.59      419.40        390.10        4.55          
4       -3195.54      -1260.30      -213.70       390.10        4.48          
5       -3087.58      -1259.53      -388.31       390.10        4.52          
6       -3226.52      -1179.36      -427.17       390.10        4.58          
7       -3159.16      -1214.68      313.20        390.10        4.55          
8       -3620.55      -1237.47      -12.89        390.10        4.31          
9       -3234.76      -1127.89      -259.24       390.10        4.46          
10      -3913.48      -1143.15      -231.63       390.10        4.55          
11      -3939.70      -1144.37      -59.22        390.10        4.46          
12      -3830.89      -1149.10      153.23        390.10        4.53          
13      -4781.81      -1149.41      -166.59       390.10        4.57          
14      -4330.45      -1036.63      -126.65       390.10        4.45          
15      -4339.07      -1110.16      49.12         390.10        4.69          
16      -4801.30      -1061.53      313.15        390.10        4.45          
17      -3685.44      -1074.23      398.15        390.10        4.51          
18      -2913.81      -995.46       466.08        390.10        4.54          
19      -2699.81      -1033.21      614.17        617.34        4.61          
20      -4193.54      -1114.52      -271.77       617.34        4.51          
21      -3728.99      -1036.28      -204.91       617.34        4.62          
22      -2880.17      -1020.07      520.95        617.34        4.36          
23      -3184.03      -1061.23      224.19        617.34        4.47          
24      -4044.95      -1030.96      570.17        617.34        4.55          
25      -3109.10      -1070.22      423.35        617.34        4.38          
26      -3793.40      -960.12       116.56        617.34        4.33          
27      -3054.84      -997.50       701.07        851.22        4.59          
28      -3822.73      -1049.50      63.49         851.22        4.51          
29      -3217.54      -1017.63      1289.48       1282.48       4.53          
30      -3364.85      -915.92       240.54        1282.48       4.46          
31      -3001.16      -1004.01      391.87        1282.48       4.51          
32      -3292.73      -925.79       198.40        1282.48       4.51          
33      -3031.61      -979.84       398.97        1282.48       4.26          
34      -3439.00      -962.89       432.93        1282.48       4.62          
35      -2771.47      -942.62       341.65        1282.48       4.51          
36      -3985.35      -970.81       1483.89       1472.33       4.44          
37      -3371.20      -916.49       198.13        1472.33       4.45          
38      -3051.07      -896.48       559.13        1472.33       4.53          
39      -3048.24      -874.07       562.46        1472.33       4.43          
40      -2987.04      -907.66       284.51        1472.33       4.35          
41      -2494.08      -862.88       1125.07       1472.33       4.64          
42      -4298.74      -959.72       473.95        1472.33       4.59          
43      -2912.95      -853.00       724.11        1472.33       4.50          
44      -3437.47      -814.29       1238.84       1472.33       4.49          
45      -3208.39      -794.10       643.24        1472.33       4.57          
46      -3138.96      -804.48       1244.75       1472.33       4.41          
47      -2765.73      -765.49       1054.88       1472.33       4.28          
48      -2678.70      -784.00       621.05        1472.33       4.68          
49      -3377.07      -822.93       1464.11       1472.33       4.57          
50      -4895.32      -902.79       851.15        1472.33       4.26          
51      -3959.72      -813.37       1066.02       1472.33       4.60          
52      -3160.29      -916.84       1223.92       1472.33       4.41          
53      -4022.26      -913.20       975.99        1472.33       4.45          
54      -3417.38      -1012.35      1026.17       1472.33       4.61          
55      -4948.44      -982.58       818.66        1472.33       4.47          
56      -3033.03      -989.56       1314.25       1472.33       4.45          
57      -4366.71      -1048.99      1024.99       1472.33       4.34          
58      -3341.28      -998.39       943.94        1472.33       4.37          
59      -3881.13      -950.07       1280.90       1472.33       4.51          
60      -3955.76      -1050.33      1113.85       1472.33       4.50          
61      -3579.80      -918.77       1241.62       1472.33       4.47          
62      -3828.55      -927.01       1076.06       1472.33       4.41          
63      -4844.53      -1008.66      789.20        1472.33       4.55          
64      -4809.82      -869.74       1354.51       1472.33       4.42          
65      -3967.42      -908.58       1048.05       1472.33       4.46          
66      -5696.62      -954.68       964.58        1472.33       4.55          
67      -3056.64      -807.17       1372.25       1472.33       4.54          
68      -3163.67      -927.71       1110.90       1472.33       4.41          
69      -4130.24      -986.44       1049.00       1472.33       4.27          
70      -3473.79      -823.54       1149.57       1472.33       4.56          
71      -3071.65      -789.45       805.97        1472.33       4.41          
72      -5286.43      -913.67       1096.00       1472.33       4.59          
73      -3663.35      -742.07       889.93        1472.33       4.40          
74      -3476.13      -758.29       1297.92       1472.33       4.49          
75      -3376.41      -840.83       1069.47       1472.33       4.30          
76      -3767.90      -828.91       1373.86       1472.33       4.61          
77      -3811.39      -704.37       1324.82       1472.33       4.46          
78      -3331.02      -733.47       1545.28       1589.32       4.40          
79      -3622.75      -744.73       1249.31       1589.32       4.46          
80      -3444.76      -776.04       1238.81       1589.32       4.54          
