experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: ELMANNN
	hidden_layer_structure: [5]
	use_bias: False
elapsed_time: 9903.065517187119

Genome Size: 75
Free Parameters: {'layer 0': {'input_weight_matrix': 40, 'hidden_weight_matrix': 25}, 'output_weight_matrix': 10}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -257.50       -5.01         163.98        169.01        9.16          
1       -143.61       -0.47         249.50        247.36        4.44          
2       -157.78       4.67          314.40        314.02        4.45          
3       -148.46       -0.25         254.50        314.02        4.43          
4       -248.88       -0.69         222.00        314.02        4.35          
5       -155.72       4.52          254.13        314.02        4.41          
6       -163.45       1.45          274.72        314.02        4.28          
7       -216.99       11.20         295.25        314.02        4.43          
8       -130.16       12.45         291.36        314.02        4.49          
9       -168.19       22.92         303.55        314.02        4.21          
10      -174.42       16.52         217.23        314.02        4.33          
11      -162.04       25.99         313.32        314.02        4.28          
12      -211.71       10.90         251.88        314.02        4.31          
13      -235.31       23.26         298.29        314.02        4.19          
14      -153.35       40.84         304.35        314.02        4.28          
15      -163.03       38.87         294.19        314.02        4.36          
16      -155.88       35.90         301.97        314.02        4.33          
17      -187.76       47.68         322.58        326.42        4.08          
18      -180.03       58.31         308.82        326.42        4.27          
19      -177.39       56.94         307.12        326.42        4.26          
20      -182.63       57.68         291.80        326.42        4.10          
21      -168.37       55.37         302.11        326.42        4.22          
22      -172.64       41.91         287.42        326.42        4.14          
23      -183.53       43.58         252.89        326.42        4.23          
24      -193.37       24.77         281.34        326.42        4.14          
25      -251.02       17.66         305.63        326.42        4.09          
26      -372.43       17.52         284.54        326.42        4.09          
27      -357.85       9.90          263.36        326.42        4.07          
28      -303.74       7.69          320.30        326.42        4.04          
29      -343.43       26.36         285.16        326.42        4.25          
30      -403.93       28.71         293.58        326.42        4.04          
31      -304.45       25.69         300.42        326.42        4.11          
32      -289.23       6.53          288.39        326.42        4.06          
33      -280.65       16.32         290.01        326.42        4.13          
34      -469.77       30.51         292.62        326.42        3.96          
35      -332.98       21.03         300.72        326.42        4.12          
36      -264.59       48.62         313.04        326.42        4.00          
37      -249.51       19.31         299.83        326.42        4.07          
38      -248.74       31.69         291.83        326.42        4.07          
39      -638.19       23.22         277.20        326.42        4.10          
40      -322.63       39.50         317.29        326.42        3.92          
41      -351.15       47.33         312.19        326.42        3.99          
42      -309.27       48.62         308.41        326.42        4.20          
43      -387.76       46.98         303.79        326.42        4.11          
44      -235.81       63.67         322.82        326.42        4.00          
45      -313.37       67.64         319.08        326.42        4.06          
46      -216.43       90.59         315.33        326.42        4.06          
47      -196.40       86.94         322.90        326.42        3.97          
48      -232.23       102.44        315.84        326.42        3.95          
49      -315.88       103.73        313.45        326.42        3.96          
50      -218.75       128.89        317.46        326.42        3.93          
51      -157.33       122.36        324.11        326.42        3.99          
52      -284.63       101.86        339.53        338.41        3.95          
53      -215.59       96.88         316.74        338.41        4.02          
54      -198.48       104.08        323.79        338.41        4.10          
55      -272.16       102.23        321.24        338.41        4.04          
56      -188.95       121.37        310.12        338.41        4.04          
57      -344.24       117.80        333.78        338.41        4.05          
58      -250.99       112.33        326.03        338.41        3.96          
59      -217.44       118.47        317.26        338.41        3.96          
60      -199.44       109.98        320.69        338.41        3.88          
61      -171.66       116.27        312.60        338.41        4.07          
62      -236.47       121.19        327.28        338.41        4.06          
63      -171.65       128.48        321.04        338.41        4.04          
64      -220.23       142.79        316.84        338.41        4.08          
65      -192.12       151.58        326.39        338.41        4.08          
