experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: FFNN
	hidden_layers: [5, 5]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: True
elapsed_time: 2678.0728805065155

Genome Size: 97
Free Parameters: {'individual_size': 97}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -233.33       21.50         333.33        -28.00        1.05          
1       0.00          29.17         166.67        -28.00        1.05          
2       -233.33       54.33         166.67        -28.00        1.07          
3       -233.33       -38.50        0.00          6.00          1.08          
4       -233.33       97.33         166.67        6.00          1.04          
5       0.00          6.67          166.67        6.00          1.07          
6       -233.33       -10.50        0.00          6.00          1.07          
7       -233.33       54.67         166.67        6.00          1.04          
8       -233.33       -1.17         0.00          6.00          1.05          
9       -233.33       -8.50         166.67        6.00          1.05          
10      0.00          17.50         166.67        6.00          1.10          
11      0.00          0.00          0.00          6.00          1.05          
12      -300.00       -10.83        0.00          6.00          1.07          
13      0.00          65.00         166.67        6.00          1.05          
14      -233.33       117.83        333.33        6.00          1.05          
15      -233.33       -67.67        166.67        6.00          1.04          
16      -233.33       -225.00       -66.67        6.00          1.08          
17      -233.33       17.83         333.33        6.00          1.08          
18      -233.33       -12.00        166.67        6.00          1.03          
19      0.00          4.17          166.67        6.00          1.03          
20      0.00          1.67          166.67        6.00          1.07          
21      0.00          0.00          0.00          6.00          1.08          
22      0.00          0.00          0.00          6.00          1.08          
23      -233.33       47.83         166.67        6.00          1.04          
24      -233.33       22.50         166.67        6.00          1.08          
25      -466.67       -68.83        0.00          6.00          1.10          
26      0.00          26.67         166.67        6.00          1.04          
27      -233.33       -21.33        166.67        6.00          1.02          
28      0.00          165.00        333.33        6.00          1.04          
29      -233.33       -40.67        166.67        6.00          1.07          
30      0.00          0.83          166.67        6.00          1.09          
31      0.00          30.00         333.33        6.00          1.07          
32      -233.33       -25.67        166.67        6.00          1.06          
33      -466.67       -24.33        166.67        6.00          1.04          
34      0.00          36.67         166.67        6.00          1.04          
35      -233.33       -2.33         0.00          6.00          1.08          
36      0.00          14.17         166.67        16.00         1.05          
37      -66.67        153.67        333.33        16.00         1.05          
38      -233.33       -37.67        333.33        16.00         1.04          
39      -233.33       76.83         333.33        16.00         1.04          
40      0.00          0.00          0.00          16.00         1.05          
41      -466.67       -226.33       166.67        16.00         1.07          
42      -933.33       -155.00       166.67        20.00         1.03          
43      -233.33       -6.33         166.67        20.00         1.07          
44      0.00          16.67         166.67        20.00         1.03          
45      0.00          0.00          0.00          20.00         1.06          
46      0.00          50.00         166.67        20.00         1.06          
47      -700.00       -75.83        0.00          20.00         1.07          
48      -466.67       -61.83        0.00          20.00         1.10          
49      -233.33       -96.83        0.00          20.00         1.09          
50      -466.67       -102.00       166.67        20.00         1.05          
51      -233.33       -16.33        0.00          20.00         1.06          
52      -233.33       -1.17         0.00          20.00         1.06          
53      -233.33       16.17         166.67        20.00         1.07          
54      -233.33       24.50         166.67        20.00         1.05          
55      -66.67        91.83         333.33        20.00         1.07          
56      -66.67        24.67         166.67        20.00         1.09          
57      -300.00       18.33         166.67        20.00         1.03          
58      -233.33       6.33          166.67        20.00         1.06          
59      -233.33       -3.50         0.00          20.00         1.04          
60      0.00          0.00          0.00          20.00         1.03          
61      0.00          0.00          0.00          20.00         1.08          
62      -466.67       -10.83        0.00          20.00         1.11          
63      -233.33       -5.83         0.00          20.00         1.09          
64      0.00          0.00          0.00          20.00         1.07          
65      -233.33       3.83          166.67        20.00         1.05          
66      -233.33       4.33          333.33        20.00         1.03          
67      -66.67        149.00        500.00        20.00         1.10          
68      -66.67        91.00         333.33        20.00         1.13          
69      -233.33       23.83         166.67        20.00         1.07          
70      -233.33       57.67         333.33        20.00         1.06          
71      -466.67       31.50         500.00        20.00         1.03          
72      -466.67       -136.50       0.00          20.00         1.03          
73      0.00          25.83         166.67        20.00         1.07          
74      0.00          75.00         333.33        20.00         1.02          
75      -233.33       2.17          166.67        20.00         1.09          
76      -466.67       -74.67        0.00          20.00         1.06          
77      -466.67       -27.00        166.67        20.00         1.05          
78      0.00          30.00         333.33        20.00         1.08          
79      -66.67        3.83          166.67        20.00         1.03          
80      -233.33       0.67          166.67        20.00         1.04          
81      -233.33       0.17          166.67        20.00         1.09          
82      -466.67       -57.50        166.67        20.00         1.08          
83      -233.33       -61.83        0.00          20.00         1.05          
84      0.00          0.00          0.00          20.00         1.08          
85      -233.33       1.67          166.67        20.00         1.06          
86      0.00          0.00          0.00          20.00         1.09          
